RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES
1,0,29936,Ryan Fox,21.74%,50,230
1,0,46046,Scottie Scheffler,21.74%,50,230
3,0,57366,Cameron Young,21.55%,50,232
4,0,32640,Troy Merritt,21.50%,43,200
5,0,32757,Patton Kizzire,21.05%,36,171
6,0,57900,Chandler Phillips,20.97%,52,248
7,0,37275,Sam Ryder,20.88%,38,182
8,0,51349,Nico Echavarria,20.80%,52,250
9,0,24024,Zach Johnson,20.75%,33,159
10,0,27644,Brian Harman,20.22%,55,272
11,0,29908,C.T. Pan,20.10%,40,199
12,0,40006,Erik van Rooyen,20.08%,50,249
13,0,48117,Kurt Kitayama,19.77%,51,258
14,0,46414,Aaron Rai,19.71%,54,274
15,0,35532,Tom Hoge,19.51%,64,328
16,0,51634,Sahith Theegala,19.49%,61,313
17,0,55454,Carl Yuan,19.29%,38,197
18,0,50525,Collin Morikawa,19.28%,48,249
19,0,46441,Robby Shelton,19.26%,47,244
20,0,39977,Max Homa,18.99%,45,237
21,0,37455,Si Woo Kim,18.91%,52,275
22,0,47504,Sam Burns,18.78%,43,229
23,0,12716,Charley Hoffman,18.75%,39,208
24,0,36801,Mark Hubbard,18.52%,55,297
25,0,55182,Tom Kim,18.47%,46,249
26,0,26476,Chez Reavie,18.37%,36,196
27,0,29725,Tony Finau,18.36%,47,256
28,0,39327,Ben Silverman,18.25%,46,252
29,0,59143,Mac Meissner,18.22%,47,258
29,0,52513,Carson Young,18.22%,47,258
31,0,34587,Chan Kim,18.18%,46,253
32,0,47591,Eric Cole,18.13%,58,320
33,0,32333,Kevin Tway,18.12%,25,138
34,0,32839,Hideki Matsuyama,18.03%,42,233
35,0,35450,Patrick Cantlay,17.95%,35,195
36,0,36799,Stephan Jaeger,17.94%,47,262
37,0,40162,Justin Lower,17.92%,55,307
38,0,48119,Ben Taylor,17.89%,34,190
39,0,52955,Ludvig Ãberg,17.87%,42,235
40,0,27936,Martin Laird,17.79%,37,208
41,0,52375,Doug Ghim,17.74%,47,265
42,0,56630,Akshay Bhatia,17.73%,53,299
43,0,40250,Taylor Pendrith,17.70%,40,226
44,0,52514,Trace Crowe,17.68%,29,164
45,0,49947,Taylor Moore,17.57%,55,313
46,0,34099,Harris English,17.48%,50,286
47,0,33141,Keegan Bradley,17.47%,47,269
48,0,29535,Brice Garnett,17.44%,30,172
49,0,30926,Chris Kirk,17.43%,42,241
50,0,35506,Mackenzie Hughes,17.41%,51,293
51,0,60067,Joe Highsmith,17.37%,29,167
52,0,27139,David Skinns,17.28%,42,243
53,0,39997,Corey Conners,17.24%,45,261
54,0,47993,Denny McCarthy,17.11%,52,304
55,0,50095,Austin Smotherman,17.07%,21,123
55,0,38991,Alejandro Tosti,17.07%,35,205
57,0,29478,Kevin Kisner,17.03%,31,182
58,0,40026,Daniel Berger,16.94%,41,242
59,0,57362,Austin Eckroat,16.91%,46,272
59,0,50493,Justin Suh,16.91%,35,207
61,0,40098,Matt Fitzpatrick,16.90%,36,213
62,0,27349,Alex Noren,16.88%,39,231
63,0,46340,Alex Smalley,16.84%,32,190
64,0,47420,Jake Knapp,16.74%,39,233
65,0,49960,Sepp Straka,16.73%,44,263
66,0,30163,Henrik Norlander,16.67%,28,168
67,0,39971,Sungjae Im,16.61%,49,295
68,0,33948,Byeong Hun An,16.59%,37,223
69,0,39546,Keith Mitchell,16.39%,40,244
70,0,33204,Shane Lowry,16.37%,37,226
71,0,32367,Jorge Campillo,16.33%,24,147
72,0,47995,Davis Riley,16.32%,39,239
73,0,51766,Wyndham Clark,16.28%,35,215
74,0,32102,Rickie Fowler,16.27%,41,252
75,0,22371,Aaron Baddeley,16.26%,33,203
76,0,46113,Ryan McCormick,16.11%,24,149
77,0,25900,Lucas Glover,16.08%,46,286
78,0,52372,Cameron Champ,15.95%,26,163
79,0,45157,Cam Davis,15.89%,41,258
80,0,40115,Adam Svensson,15.88%,57,359
81,0,51287,Ryo Hisatsune,15.85%,39,246
82,0,51977,Max Greyserman,15.84%,35,221
83,0,51997,Andrew Novak,15.81%,43,272
84,0,28252,Seamus Power,15.79%,54,342
85,0,34076,Joel Dahmen,15.75%,40,254
85,0,31646,Emiliano Grillo,15.75%,46,292
87,0,55789,Taylor Montgomery,15.73%,28,178
88,0,48081,Xander Schauffele,15.70%,38,242
89,0,58168,Davis Thompson,15.68%,45,287
90,0,50188,S.H. Kim,15.66%,52,332
91,0,34256,Andrew Putnam,15.44%,42,272
92,0,55708,Hayden Buckley,15.42%,33,214
92,0,34098,Russell Henley,15.42%,35,227
94,0,30927,Brendon Todd,15.38%,50,325
95,0,39324,J.J. Spaun,15.33%,40,261
96,0,36884,Ben Kohles,15.23%,37,243
97,0,54591,Ben Griffin,15.21%,47,309
98,0,32791,K.H. Lee,15.19%,36,237
99,0,52666,Sami Valimaki,15.17%,32,211
99,0,51894,Vince Whaley,15.17%,27,178
101,0,56149,Wilson Furr,15.15%,20,132
102,0,25493,Nick Taylor,15.13%,41,271
103,0,46442,Maverick McNealy,15.11%,42,278
104,0,40058,Zac Blair,15.04%,34,226
104,0,33399,Adam Hadwin,15.04%,37,246
106,0,39975,Michael Kim,15.02%,32,213
107,0,36871,Matt NeSmith,15.00%,36,240
108,0,34046,Jordan Spieth,14.98%,31,207
109,0,48887,Matt Wallace,14.93%,30,201
110,0,60767,Blaine Hale Jr.,14.91%,17,114
110,0,47347,Adam Schenk,14.91%,41,275
112,0,24502,Adam Scott,14.89%,35,235
113,0,60004,Jacob Bridgeman,14.88%,32,215
114,0,27214,Kevin Streelman,14.86%,33,222
115,0,28775,Nate Lashley,14.81%,32,216
116,0,34255,Joseph Bramlett,14.75%,36,244
117,0,47983,Chad Ramey,14.62%,37,253
118,0,48699,Callum Tarren,14.59%,27,185
119,0,26596,Ryan Moore,14.57%,36,247
120,0,28089,Jason Day,14.55%,31,213
120,0,54576,Patrick Fishburn,14.55%,24,165
122,0,55893,Sam Stevens,14.52%,36,248
123,0,35310,Lanto Griffin,14.43%,28,194
124,0,52215,Robert MacIntyre,14.41%,34,236
125,0,54421,Garrick Higgo,14.36%,29,202
126,0,51890,Greyson Sigg,14.35%,34,237
127,0,57975,Harry Hall,14.34%,39,272
127,0,35461,Beau Hossler,14.34%,37,258
129,0,34374,Erik Barnes,14.29%,21,147
130,0,47679,Victor Perez,14.23%,34,239
131,0,30911,Tommy Fleetwood,14.22%,31,218
131,0,59095,Chris Gotterup,14.22%,30,211
131,0,28237,Rory McIlroy,14.22%,33,232
134,0,50484,Hayden Springer,14.14%,27,191
135,0,33653,Thomas Detry,14.10%,33,234
136,0,33408,Tyson Alexander,14.09%,31,220
137,0,46717,Viktor Hovland,14.04%,25,178
138,0,33968,ThorbjÃ¸rn Olesen,13.99%,20,143
139,0,27649,Brandt Snedeker,13.97%,25,179
140,0,32366,Kevin Chappell,13.95%,18,129
141,0,34021,Bud Cauley,13.94%,23,165
142,0,59836,Pierceson Coody,13.93%,28,201
143,0,49771,J.T. Poston,13.81%,37,268
144,0,48867,Matti Schmid,13.72%,31,226
145,0,54783,Dylan Wu,13.69%,33,241
146,0,29221,Webb Simpson,13.66%,22,161
147,0,33448,Justin Thomas,13.59%,28,206
148,0,51696,Rico Hoey,13.58%,33,243
149,0,27064,Jhonattan Vegas,13.49%,29,215
150,0,52374,Brandon Wu,13.39%,32,239
151,0,45522,Christiaan Bezuidenhout,13.33%,36,270
152,0,36699,Patrick Rodgers,13.31%,41,308
153,0,59866,Nick Dunlap,13.22%,30,227
154,0,47483,Will Zalatoris,13.19%,31,235
155,0,45242,Kevin Yu,13.02%,28,215
156,0,31323,Gary Woodland,13.01%,35,269
157,0,23108,Matt Kuchar,12.95%,29,224
158,0,51070,Vincent Norrman,12.94%,22,170
159,0,48153,Matthieu Pavon,12.92%,23,178
160,0,28420,Ryan Brehm,12.77%,18,141
161,0,34466,Peter Malnati,12.66%,29,229
162,0,37212,Paul Barjon,12.58%,19,151
163,0,37378,Min Woo Lee,12.44%,24,193
164,0,45609,Tyler Duncan,12.24%,24,196
165,0,47663,Kevin Dougherty,12.23%,17,139
166,0,29420,Billy Horschel,12.20%,31,254
167,0,52453,Nicolai HÃ¸jgaard,12.12%,20,165
168,0,23320,Ryan Palmer,12.07%,14,116
169,0,47988,Nick Hardy,12.05%,30,249
170,0,22405,Justin Rose,12.04%,23,191
171,0,48319,Tom Whitney,12.00%,18,150
172,0,27129,Luke List,11.84%,27,228
173,0,27330,Josh Teater,11.76%,16,136
174,0,59442,Parker Coody,11.56%,20,173
175,0,36326,David Lipsky,11.48%,21,183
176,0,54628,Lee Hodges,11.15%,31,278
177,0,34563,Chesson Hadley,10.88%,21,193
178,0,33486,Roger Sloan,10.84%,18,166
179,0,35617,Martin Trainer,10.42%,15,144
180,0,50497,Adrien Dumont de Chassart,10.31%,20,194
181,0,48084,Wesley Bryan,10.00%,10,100
181,0,27770,Camilo Villegas,10.00%,15,150
183,0,47806,Raul Pereda,9.24%,11,119
184,0,32070,Rafael Campos,8.45%,12,142
