RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,TOTAL HOLES (OVERALL)
1,0,07547,Craig Kanada,1.62,19,1170
2,0,22371,Aaron Baddeley,1.75,23,1314
2,0,02223,Bob Tway,1.75,22,1260
4,0,20850,Daniel Chopra,1.81,27,1494
5,0,08931,Glen Day,1.82,21,1152
6,0,19846,Brian Gay,1.85,34,1836
7,0,25720,Chad Collins,1.93,25,1296
8,0,20127,Chris Riley,1.96,18,918
9,0,06034,Marco Dawson,2.08,24,1152
10,0,22621,Ben Curtis,2.15,31,1440
11,0,27060,John Mallinger,2.16,37,1710
12,0,10505,Shane Bertsch,2.20,38,1728
13,0,25349,Tim Wilkinson,2.22,38,1710
14,0,26500,Alejandro Cañizares,2.24,21,936
15,0,20104,Ken Duke,2.25,47,2088
16,0,20623,Gavin Coles,2.26,22,972
17,0,22548,Patrick Sheehan,2.28,51,2232
18,0,23409,James Driscoll,2.29,35,1530
18,0,21350,Ryuji Imada,2.29,33,1440
20,0,01928,Corey Pavin,2.33,29,1242
21,0,24449,Parker McLachlin,2.34,37,1584
22,0,07749,Brett Quigley,2.36,34,1440
22,0,10423,Mike Weir,2.36,37,1566
24,0,23108,Matt Kuchar,2.40,38,1584
25,0,01473,Todd Hamilton,2.42,40,1656
26,0,22348,Nick O'Hern,2.43,35,1440
26,0,22046,Geoff Ogilvy,2.43,28,1152
28,0,20229,Stewart Cink,2.47,36,1458
29,0,22806,Doug LaBelle II,2.48,29,1170
30,0,23125,Brad Elder,2.49,30,1206
30,0,26668,Marc Turnesa,2.49,39,1566
32,0,10860,Justin Leonard,2.51,43,1710
33,0,10809,Jim Furyk,2.54,43,1692
34,0,23048,Eric Axley,2.56,52,2034
35,0,06004,Stephen Ames,2.57,38,1476
36,0,01313,Steve Elkington,2.58,39,1512
37,0,26420,Richard Johnson,2.59,28,1080
38,0,20443,Jin Park,2.61,40,1530
39,0,25190,Jeff Quinney,2.62,41,1566
40,0,12826,Paul Claxton,2.65,30,1134
40,0,08075,Jerry Kelly,2.65,42,1584
42,0,28089,Jason Day,2.67,39,1458
42,0,12680,Shigeki Maruyama,2.67,24,900
44,0,24357,K.J. Choi,2.70,34,1260
44,0,06527,Steve Stricker,2.70,35,1296
46,0,24024,Zach Johnson,2.71,41,1512
47,0,06012,Greg Kraft,2.73,31,1134
47,0,12309,Bob Sowards,2.73,30,1098
49,0,24924,Bill Haas,2.75,49,1782
50,0,20098,Stuart Appleby,2.78,42,1512
50,0,20766,Padraig Harrington,2.78,25,900
50,0,01553,John Huston,2.78,28,1008
50,0,30925,Dustin Johnson,2.78,46,1656
50,0,01810,Phil Mickelson,2.78,39,1404
55,0,25632,Jimmy Walker,2.82,37,1314
56,0,23353,J.J. Henry,2.83,55,1944
56,0,20382,Stephen Leaney,2.83,27,954
56,0,24138,Ian Poulter,2.83,25,882
59,0,23541,Ben Crane,2.84,44,1548
60,0,23797,Brett Rumford,2.85,37,1296
61,0,21878,Mark Wilson,2.86,55,1926
62,0,08845,Scott Sterling,2.87,46,1602
63,0,10649,Tom Scherrer,2.88,29,1008
64,0,01320,Bob Estes,2.90,47,1620
64,0,08537,J.P. Hayes,2.90,35,1206
64,0,23320,Ryan Palmer,2.90,36,1242
67,0,25345,Carl Pettersson,2.93,58,1980
68,0,21949,Joe Ogilvie,2.94,53,1800
69,0,12602,Dean Wilson,2.96,58,1962
70,0,21961,Charles Howell III,2.97,53,1782
70,0,23325,Vaughn Taylor,2.97,55,1854
72,0,12782,Tim Herron,2.98,52,1746
72,0,12705,Cliff Kresge,2.98,45,1512
74,0,25900,Lucas Glover,2.99,49,1638
74,0,21731,Freddie Jacobson,2.99,42,1404
74,0,27770,Camilo Villegas,2.99,42,1404
77,0,06575,Dudley Hart,3.00,40,1332
78,0,24140,Sean O'Hair,3.02,44,1458
78,0,02206,David Toms,3.02,37,1224
80,0,23157,Richard Johnson,3.03,42,1386
80,0,20663,Brenden Pappas,3.03,36,1188
82,0,20472,Alex Cejka,3.04,41,1350
82,0,12823,Carlos Franco,3.04,40,1314
82,0,06090,Jim McGovern,3.04,41,1350
82,0,01941,Tom Pernice Jr.,3.04,57,1872
86,0,06197,Michael Allen,3.05,50,1638
86,0,20574,Mathew Goggin,3.05,50,1638
88,0,26679,Kevin Stadler,3.09,50,1620
88,0,02239,Scott Verplank,3.09,45,1458
90,0,22582,Kyle Thompson,3.10,39,1260
91,0,01577,Lee Janzen,3.12,50,1602
92,0,23778,Brad Adamonis,3.13,49,1566
92,0,19803,Ryan Armour,3.13,49,1566
92,0,01797,Rocco Mediate,3.13,49,1566
95,0,22293,Heath Slocum,3.15,59,1872
96,0,20157,Retief Goosen,3.16,33,1044
96,0,26695,Michael Letzig,3.16,50,1584
98,0,27649,Brandt Snedeker,3.17,48,1512
99,0,24663,Y.E. Yang,3.18,51,1602
100,0,25396,Kevin Na,3.21,56,1746
100,0,06567,Vijay Singh,3.21,45,1404
102,0,01142,Bart Bryant,3.22,47,1458
103,0,06595,Kevin Sutherland,3.23,57,1764
104,0,26596,Ryan Moore,3.24,42,1296
104,0,28475,Jeff Overton,3.24,60,1854
106,0,01139,Olin Browne,3.25,45,1386
107,0,20572,Rod Pampling,3.26,47,1440
108,0,29718,Anthony Kim,3.29,48,1458
108,0,27933,John Merrick,3.29,58,1764
110,0,06573,Brandt Jobe,3.31,31,936
111,0,11032,Frank Lickliter II,3.32,64,1926
111,0,25562,Andres Romero,3.32,40,1206
111,0,20160,Charlie Wi,3.32,58,1746
114,0,23718,Nathan Green,3.33,57,1710
114,0,26300,Matt Jones,3.33,57,1710
116,0,06643,Paul Goydos,3.35,47,1404
116,0,22378,Trevor Immelman,3.35,41,1224
