RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,AVERAGE DISTANCE (YARDS),AVERAGE CLUB HEAD SPEED,TOTAL ATTEMPTS,HIGHEST DIST. EFFICIENCY
1,0,29221,Webb Simpson,2.639,293.233,111.109,73,0212402999
2,0,34021,Bud Cauley,2.634,294.630,111.843,49,0194703128
3,0,24024,Zach Johnson,2.628,283.101,107.725,91,0224303064
3,0,24781,Hunter Mahan,2.628,294.887,112.223,78,0229303025
5,0,34046,Jordan Spieth,2.625,292.839,111.560,87,0220003053
6,0,06522,Ernie Els,2.621,293.569,111.994,65,0223503001
6,0,01706,Davis Love III,2.621,300.706,114.740,57,0228902977
8,0,22293,Heath Slocum,2.617,275.787,105.400,64,0231502957
9,0,21753,Brian Davis,2.611,278.177,106.537,92,0182903078
9,0,21878,Mark Wilson,2.611,278.967,106.829,62,0206502991
11,0,32839,Hideki Matsuyama,2.607,297.804,114.211,67,0229603002
12,0,27644,Brian Harman,2.606,286.861,110.094,107,0217303000
13,0,25632,Jimmy Walker,2.605,304.926,117.062,71,0212403147
14,0,26596,Ryan Moore,2.604,288.972,110.989,68,0230103034
15,0,24357,K.J. Choi,2.603,279.998,107.556,71,0180902889
15,0,22046,Geoff Ogilvy,2.603,296.780,114.006,71,0214803035
17,0,23135,Tim Clark,2.602,269.245,103.483,66,0185502947
18,0,01724,Jeff Maggert,2.601,273.294,105.056,45,0210402916
19,0,28780,Nicholas Thompson,2.599,288.397,110.949,71,0217702894
20,0,27895,Jonas Blixt,2.598,288.222,110.949,38,0232402916
20,0,25349,Tim Wilkinson,2.598,280.509,107.988,78,0216303218
22,0,19846,Brian Gay,2.597,269.530,103.792,65,0231403086
22,0,27330,Josh Teater,2.597,295.976,113.957,80,0215503017
24,0,29420,Billy Horschel,2.596,295.070,113.655,69,0228702996
24,0,23320,Ryan Palmer,2.596,304.322,117.238,68,0225602946
24,0,35732,Wes Roach,2.596,291.216,112.192,54,0205303190
27,0,33461,Morgan Hoffmann,2.593,295.559,114.002,91,0198602977
27,0,27963,Chris Stroud,2.593,284.449,109.711,73,0202102887
29,0,23541,Ben Crane,2.591,276.332,106.641,85,0220802898
29,0,29535,Brice Garnett,2.591,289.248,111.648,82,0225903087
29,0,24924,Bill Haas,2.591,294.327,113.600,81,0227502898
29,0,24912,Will MacKenzie,2.591,290.128,111.970,80,0185002942
33,0,22621,Ben Curtis,2.589,277.050,106.990,70,0229202945
33,0,25345,Carl Pettersson,2.589,292.833,113.123,91,0201503050
35,0,10885,Robert Allenby,2.585,287.602,111.256,64,0215002966
35,0,26758,David Hearn,2.585,279.024,107.956,92,0193203003
35,0,30926,Chris Kirk,2.585,292.045,112.989,84,0219003169
35,0,27936,Martin Laird,2.585,297.990,115.257,46,0226602933
35,0,34261,Scott Langley,2.585,282.489,109.298,83,0155103139
35,0,26329,Louis Oosthuizen,2.585,298.436,115.438,27,0209402979
41,0,24138,Ian Poulter,2.584,289.325,111.948,42,0227502931
42,0,25444,Justin Hicks,2.583,282.945,109.556,104,0203503070
42,0,30925,Dustin Johnson,2.583,313.444,121.343,41,0219602967
42,0,08075,Jerry Kelly,2.583,276.249,106.931,71,0202402935
45,0,27141,J.B. Holmes,2.582,308.426,119.449,66,0217203061
45,0,06567,Vijay Singh,2.582,287.672,111.425,75,0184302997
47,0,29479,Scott Brown,2.581,288.674,111.832,83,0215403006
