RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL APEX RANGE,TOTAL ATTEMPTS
1,0,25804,Bubba Watson,210.4,9889.8,47
2,0,35300,Andrew Loupe,204.4,8789.3,43
3,0,36689,Brooks Koepka,203.5,7732.0,38
4,0,30925,Dustin Johnson,201.7,7865.3,39
5,0,32334,Charlie Beljan,199.9,13990.5,70
5,0,27064,Jhonattan Vegas,199.9,13191.4,66
7,0,30944,Jason Kokrak,199.1,11351.1,57
8,0,31323,Gary Woodland,198.8,12920.1,65
9,0,27436,Graham DeLaet,198.1,10896.4,55
9,0,27141,J.B. Holmes,198.1,12878.7,65
11,0,21528,Henrik Stenson,198.0,5345.5,27
12,0,21209,Sergio Garcia,197.5,6713.7,34
13,0,29461,Jamie Lovemark,197.1,8671.8,44
14,0,28237,Rory McIlroy,197.0,9258.3,47
15,0,24502,Adam Scott,196.5,10220.1,52
16,0,34099,Harris English,196.3,11977.2,61
17,0,20848,Ángel Cabrera,196.2,12946.6,66
18,0,34264,Hudson Swafford,196.0,10387.7,53
19,0,21961,Charles Howell III,195.7,19374.0,99
20,0,37273,Derek Ernst,195.6,11342.7,58
21,0,34431,Robert Streb,195.0,13261.8,68
22,0,23320,Ryan Palmer,194.9,12860.9,66
23,0,32102,Rickie Fowler,194.8,12275.5,63
24,0,27095,Nick Watney,194.5,10502.7,54
25,0,28089,Jason Day,194.4,5444.5,28
26,0,22371,Aaron Baddeley,194.2,10681.1,55
27,0,26300,Matt Jones,194.1,13201.0,68
28,0,32333,Kevin Tway,193.6,9291.0,48
29,0,26331,Charl Schwartzel,193.5,9482.9,49
30,0,24358,Robert Garrigus,193.4,12766.0,66
31,0,29518,Brendan Steele,193.3,14301.6,74
32,0,25632,Jimmy Walker,192.9,12730.0,66
33,0,12716,Charley Hoffman,192.7,15609.5,81
34,0,33141,Keegan Bradley,192.5,12125.9,63
34,0,26851,Marc Leishman,192.5,12897.4,67
36,0,25364,Paul Casey,192.4,8464.5,44
37,0,20229,Stewart Cink,192.1,12867.5,67
37,0,29289,S.Y. Noh,192.1,14020.0,73
37,0,34265,Will Wilcox,192.1,7874.8,41
40,0,30692,Scott Stallings,191.0,11648.0,61
41,0,28486,Michael Putnam,190.9,17371.9,91
42,0,27408,Martin Kaymer,190.7,9533.8,50
43,0,30110,Kyle Stanley,190.5,14096.9,74
44,0,29420,Billy Horschel,190.2,13123.9,69
45,0,22046,Geoff Ogilvy,189.5,13266.6,70
46,0,28500,Martin Flores,189.3,13626.6,72
46,0,27936,Martin Laird,189.3,8328.3,44
46,0,27330,Josh Teater,189.3,14575.9,77
49,0,24846,Ricky Barnes,189.2,14189.8,75
49,0,25900,Lucas Glover,189.2,9080.8,48
49,0,24140,Sean O'Hair,189.2,11162.4,59
52,0,32366,Kevin Chappell,189.0,16820.3,89
52,0,33413,Ben Martin,189.0,11720.8,62
52,0,24490,George McNeill,189.0,13042.1,69
55,0,22378,Trevor Immelman,188.8,12081.5,64
56,0,34098,Russell Henley,188.7,14527.9,77
57,0,20396,Lee Westwood,188.5,7727.3,41
58,0,22405,Justin Rose,188.3,9793.2,52
59,0,26329,Louis Oosthuizen,188.2,5081.6,27
60,0,22913,John Rollins,188.1,11662.0,62
61,0,32839,Hideki Matsuyama,187.3,12359.9,66
62,0,25274,Steven Bowditch,187.2,14599.7,78
63,0,33418,Shawn Stefani,187.1,10102.0,54
64,0,34360,Patrick Reed,186.9,12519.3,67
65,0,29740,Brad Fritsch,186.6,6343.8,34
65,0,24924,Bill Haas,186.6,14928.7,80
67,0,01810,Phil Mickelson,186.5,8765.8,47
68,0,25191,Gonzalo Fernandez-Castaño,186.2,13404.7,72
69,0,23638,Brendon de Jonge,186.0,16924.3,91
69,0,34409,David Lingmerth,186.0,12834.9,69
71,0,23353,J.J. Henry,185.9,13570.8,73
71,0,27214,Kevin Streelman,185.9,12454.1,67
73,0,01706,Davis Love III,185.7,10026.8,54
74,0,24781,Hunter Mahan,185.5,14285.8,77
75,0,23409,James Driscoll,185.4,8901.1,48
75,0,33461,Morgan Hoffmann,185.4,16316.2,88
77,0,25562,Andres Romero,185.3,10564.2,57
78,0,35539,Luke Guthrie,185.2,15182.7,82
79,0,26679,Kevin Stadler,185.0,12210.8,66
80,0,32448,James Hahn,184.9,12759.1,69
80,0,27120,Troy Matteson,184.9,8874.8,48
82,0,28132,Tyrone Van Aswegen,184.5,8302.0,45
83,0,32150,Michael Thompson,184.3,10134.2,55
83,0,26289,Boo Weekley,184.3,9770.2,53
85,0,24925,Jonathan Byrd,184.2,12157.5,66
86,0,24361,Pat Perez,184.0,13614.1,74
86,0,27770,Camilo Villegas,184.0,16743.7,91
88,0,31557,Jim Herman,183.9,8641.0,47
88,0,20645,John Senden,183.9,16365.4,89
90,0,34021,Bud Cauley,183.2,8610.2,47
91,0,24912,Will MacKenzie,183.1,14462.7,79
92,0,35541,John Peterson,183.0,10616.2,58
93,0,28307,Matt Every,182.8,12066.2,66
93,0,26951,Johnson Wagner,182.8,10599.7,58
95,0,25396,Kevin Na,182.2,15670.6,86
96,0,30852,Ryo Ishikawa,182.1,10015.4,55
97,0,35139,Richard Lee,181.9,12368.0,68
97,0,35732,Wes Roach,181.9,9459.4,52
99,0,06567,Vijay Singh,181.8,13268.5,73
100,0,30750,Tommy Gainey,181.7,10718.5,59
101,0,26956,Bronson La'Cassie,181.6,7083.9,39
102,0,06522,Ernie Els,181.4,11607.2,64
102,0,20157,Retief Goosen,181.4,15786.0,87
104,0,24138,Ian Poulter,181.3,7615.5,42
105,0,29535,Brice Garnett,180.9,14470.8,80
105,0,34046,Jordan Spieth,180.9,15193.5,84
107,0,29478,Kevin Kisner,180.8,13560.9,75
108,0,29221,Webb Simpson,180.7,13007.4,72
109,0,24494,Erik Compton,180.6,14808.7,82
110,0,23983,Luke Donald,180.5,7039.3,39
110,0,31193,Jim Renner,180.5,9203.7,51
112,0,29425,Andrew Svoboda,180.0,13316.9,74
113,0,28259,Sangmoon Bae,179.6,11855.3,66
113,0,23623,Bo Van Pelt,179.6,12390.6,69
115,0,30926,Chris Kirk,179.5,15078.0,84
115,0,23621,Rory Sabbatini,179.5,12028.2,67
117,0,12510,Chad Campbell,179.3,8248.9,46
117,0,25345,Carl Pettersson,179.3,15958.2,89
119,0,34563,Chesson Hadley,179.1,14151.5,79
120,0,31202,William McGirt,178.9,16637.4,93
121,0,29479,Scott Brown,178.8,14844.1,83
121,0,25240,D.A. Points,178.8,8940.3,50
123,0,26596,Ryan Moore,178.7,11975.3,67
123,0,28780,Nicholas Thompson,178.7,12330.2,69
123,0,33419,Cameron Tringale,178.7,18766.3,105
126,0,32640,Troy Merritt,178.6,10895.3,61
127,0,32200,Roberto Castro,178.3,10700.0,60
128,0,21731,Freddie Jacobson,178.0,13172.4,74
128,0,25572,Graeme McDowell,178.0,8546.1,48
130,0,20498,Briny Baird,177.8,6758.3,38
131,0,27649,Brandt Snedeker,177.5,11715.4,66
132,0,27644,Brian Harman,177.1,18246.2,103
133,0,24507,Jason Bohn,176.9,14862.6,84
134,0,29926,Danny Lee,176.5,11475.7,65
135,0,25834,Daniel Summerhays,176.1,16904.1,96
136,0,10885,Robert Allenby,175.8,11072.9,63
136,0,10809,Jim Furyk,175.8,13008.6,74
138,0,27933,John Merrick,175.7,13004.5,74
139,0,31560,Brian Stuard,175.4,14561.6,83
140,0,27895,Jonas Blixt,175.3,6485.5,37
141,0,34174,John Huh,175.2,12437.7,71
141,0,33122,Russell Knox,175.2,16296.7,93
141,0,27556,Ted Potter Jr.,175.2,11036.0,63
144,0,25444,Justin Hicks,175.0,17499.4,100
145,0,27963,Chris Stroud,174.5,12563.6,72
146,0,23800,Bryce Molder,174.3,12025.2,69
146,0,20160,Charlie Wi,174.3,11678.5,67
148,0,23541,Ben Crane,174.1,14627.4,84
148,0,25349,Tim Wilkinson,174.1,13583.1,78
150,0,07867,Woody Austin,174.0,10265.2,59
151,0,24663,Y.E. Yang,173.9,10434.7,60
152,0,23108,Matt Kuchar,173.7,13724.8,79
153,0,29222,Billy Hurley III,173.6,13538.6,78
154,0,20593,Greg Chalmers,173.5,13708.5,79
155,0,21878,Mark Wilson,173.1,10732.8,62
156,0,25686,Jason Dufner,172.4,7241.6,42
157,0,22621,Ben Curtis,172.2,11881.4,69
158,0,28475,Jeff Overton,172.1,11705.4,68
159,0,28092,D.H. Lee,171.9,8249.4,48
160,0,30927,Brendon Todd,171.7,15627.2,91
161,0,24024,Zach Johnson,171.1,15227.6,89
162,0,21753,Brian Davis,170.6,14843.4,87
163,0,26758,David Hearn,170.5,15174.9,89
164,0,25720,Chad Collins,169.9,9172.9,54
165,0,20098,Stuart Appleby,169.7,14767.1,87
166,0,27466,Spencer Levin,169.3,8464.8,50
167,0,34261,Scott Langley,169.0,14029.4,83
168,0,24357,K.J. Choi,168.6,11634.3,69
169,0,20104,Ken Duke,168.5,10281.1,61
170,0,22293,Heath Slocum,168.1,10756.1,64
171,0,08075,Jerry Kelly,166.5,11821.3,71
172,0,02206,David Toms,165.4,9264.6,56
173,0,10860,Justin Leonard,164.3,10847.1,66
174,0,01724,Jeff Maggert,164.1,7383.9,45
175,0,19846,Brian Gay,163.2,10607.3,65
176,0,10423,Mike Weir,161.6,8888.3,55
177,0,23135,Tim Clark,159.3,10353.0,65
