RANK,MOVEMENT,PLAYER_ID,PLAYER,TOP 10,1ST,2ND,3RD
1,0,06567,Vijay Singh,18,9,2,1
2,0,08793,Tiger Woods,14,1,3,3
3,0,01810,Phil Mickelson,13,2,2,3
4,0,06004,Stephen Ames,11,1,1
5,0,20229,Stewart Cink,10,2,1
5,0,06522,Ernie Els,10,3,2,1
7,0,06251,Chris DiMarco,9,2,1
7,0,20157,Retief Goosen,9,2,1
9,0,01457,Jay Haas,8,1
9,0,20433,Mark Hensby,8,1,1,2
9,0,08075,Jerry Kelly,8,1
9,0,01706,Davis Love III,8,2,1
13,0,24357,K.J. Choi,7,1
13,0,01945,Kenny Perry,7,1
13,0,25345,Carl Pettersson,7,1
13,0,23621,Rory Sabbatini,7,2,2
13,0,24502,Adam Scott,7,2,1,1
13,0,02206,David Toms,7,1
13,0,10423,Mike Weir,7,1,1
20,0,23135,Tim Clark,6
20,0,01381,Fred Funk,6,1,1,1
20,0,12680,Shigeki Maruyama,6,1
20,0,02214,Kirk Triplett,6
20,0,02239,Scott Verplank,6,1,1
25,0,10885,Robert Allenby,5
25,0,20098,Stuart Appleby,5,1,1,1
25,0,23541,Ben Crane,5
25,0,01249,John Daly,5,1,1
25,0,21209,Sergio Garcia,5,2
25,0,20766,Padraig Harrington,5,2
25,0,21961,Charles Howell III,5,1
25,0,21731,Freddie Jacobson,5
25,0,24024,Zach Johnson,5,1,2
25,0,01724,Jeff Maggert,5,1,1
25,0,12660,Jesper Parnevik,5,1
25,0,01941,Tom Pernice Jr.,5,2
25,0,23623,Bo Van Pelt,5
25,0,02246,Duffy Waldorf,5
39,0,12510,Chad Campbell,4,1,1
39,0,19825,Darren Clarke,4,2
39,0,23983,Luke Donald,4,1,1
39,0,20121,Todd Fischer,4,2
39,0,07457,Steve Flesch,4,1,1
39,0,12823,Carlos Franco,4,1,2
39,0,21805,Harrison Frazar,4,2,1
39,0,12782,Tim Herron,4,1,1
39,0,01527,Scott Hoch,4,1
39,0,01553,John Huston,4,1
39,0,01666,Bernhard Langer,4
39,0,01677,Tom Lehman,4,1
39,0,11032,Frank Lickliter II,4,1
39,0,21949,Joe Ogilvie,4,1,1
39,0,22046,Geoff Ogilvy,4
39,0,21959,Ted Purdy,4,2
39,0,22405,Justin Rose,4
39,0,06595,Kevin Sutherland,4
39,0,23325,Vaughn Taylor,4,1
58,0,07867,Woody Austin,3,1
58,0,01042,Paul Azinger,3
58,0,20498,Briny Baird,3,1
58,0,24925,Jonathan Byrd,3,1,1
58,0,20472,Alex Cejka,3,1
58,0,20850,Daniel Chopra,3
58,0,01226,Fred Couples,3,1
58,0,06621,Joe Durant,3
58,0,01473,Todd Hamilton,3,2
58,0,23353,J.J. Henry,3,1
58,0,01577,Lee Janzen,3
58,0,10860,Justin Leonard,3,1
58,0,24781,Hunter Mahan,3,1
58,0,20628,Arron Oberholser,3,1
58,0,01948,Tim Petrovic,3
58,0,20127,Chris Riley,3,1
58,0,22548,Patrick Sheehan,3,1,1
58,0,22293,Heath Slocum,3,1
58,0,02104,Jeff Sluman,3
58,0,02223,Bob Tway,3
78,0,06197,Michael Allen,2,1
78,0,01035,Tommy Armour III,2,1
78,0,07223,Brian Bateman,2,1
78,0,12652,Cameron Beckman,2
78,0,20029,Notah Begay III,2,1
78,0,10944,Thomas Bjørn,2,1
78,0,01139,Olin Browne,2
78,0,01157,Tom Byrum,2
78,0,01161,Mark Calcavecchia,2
78,0,25364,Paul Casey,2
78,0,20593,Greg Chalmers,2
78,0,19972,José Coceres,2,1
78,0,19881,Robert Damron,2,1
78,0,12760,Danny Ellis,2
78,0,01329,Brad Faxon,2
78,0,10809,Jim Furyk,2
78,0,01388,Robert Gamez,2
78,0,01418,Bill Glasson,2
78,0,25900,Lucas Glover,2
78,0,10201,Matt Gogel,2
78,0,20378,Mathias Grönberg,2
78,0,06575,Dudley Hart,2,1
78,0,10733,Kent Jones,2
78,0,20094,Jonathan Kaye,2,1
78,0,01619,Skip Kendall,2,1
78,0,23552,Hank Kuehne,2
78,0,06332,Neal Lancaster,2
78,0,20382,Stephen Leaney,2
78,0,01685,J.L. Lewis,2
78,0,01707,Steve Lowery,2,1,1
78,0,10585,Scott McCarron,2,1
78,0,25396,Kevin Na,2,1
78,0,23320,Ryan Palmer,2,1,1
78,0,20572,Rod Pampling,2,1
78,0,01927,Dennis Paulson,2
78,0,01928,Corey Pavin,2
78,0,01968,Nick Price,2
78,0,02010,Loren Roberts,2,1
78,0,22913,John Rollins,2
78,0,20645,John Senden,2
78,0,02101,Joey Sindelar,2,1
78,0,20548,Hidemichi Tanaka,2,1
78,0,20396,Lee Westwood,2
78,0,10425,Jay Williamson,2
122,0,21633,Steve Allan,1,1
122,0,01024,Billy Andrade,1
122,0,21407,Arjun Atwal,1
122,0,22371,Aaron Baddeley,1,1
122,0,21739,Aaron Barber,1
122,0,19824,Craig Barlow,1
122,0,07721,Pat Bates,1
122,0,24507,Jason Bohn,1
122,0,07363,Craig Bowden,1
122,0,08123,Jeff Brehaut,1
122,0,01127,Danny Briggs,1
122,0,01132,Mark Brooks,1
122,0,01142,Bart Bryant,1,1
122,0,06809,Bob Burns,1
122,0,20848,Ángel Cabrera,1
122,0,11123,Chris Couch,1
122,0,22621,Ben Curtis,1
122,0,08931,Glen Day,1,1
122,0,25686,Jason Dufner,1
122,0,20104,Ken Duke,1
122,0,01320,Bob Estes,1,1
122,0,01374,Robin Freeman,1,1
122,0,01378,David Frost,1
122,0,01385,Jim Gallagher Jr.,1
122,0,19846,Brian Gay,1
122,0,12645,Brent Geiberger,1,1
122,0,24924,Bill Haas,1
122,0,08337,Mike Heinen,1
122,0,23063,Scott Hend,1,1
122,0,20608,David Howell,1,1
122,0,06573,Brandt Jobe,1
122,0,08633,Per-Ulrik Johansson,1
122,0,26420,Richard Johnson,1
122,0,22624,Joel Kribel,1
122,0,23108,Matt Kuchar,1
122,0,12662,Thomas Levet,1
122,0,20634,Peter Lonard,1
122,0,01766,Billy Mayfair,1
122,0,12461,Paul McGinley,1
122,0,08339,Spike McRoy,1
122,0,06515,Shaun Micheel,1
122,0,12682,Hirofumi Miyase,1
122,0,08635,Colin Montgomerie,1
122,0,26950,John Morgan,1,1
122,0,01887,Mark O'Meara,1
122,0,06373,José María Olazábal,1
122,0,01920,Craig Parry,1,1
122,0,24361,Pat Perez,1,1
122,0,10912,Craig Perks,1
122,0,24138,Ian Poulter,1
122,0,10213,Dicky Pride,1
122,0,07749,Brett Quigley,1,1
122,0,23497,Tag Ridings,1,1
122,0,02002,John Riegger,1
122,0,02049,Gene Sauers,1
122,0,02099,Scott Simpson,1
122,0,02106,Chris Smith,1,1
122,0,08375,Paul Stankowski,1
122,0,20580,Andre Stolz,1,1
122,0,06527,Steve Stricker,1
122,0,26287,Roland Thatcher,1
122,0,08385,Omar Uresti,1
122,0,27770,Camilo Villegas,1
122,0,12602,Dean Wilson,1,1
122,0,21878,Mark Wilson,1
