RANK,MOVEMENT,PLAYER_ID,PLAYER,NUMBER OF CUTS
1,0,06567,Vijay Singh,24
2,0,06251,Chris DiMarco,20
3,0,08793,Tiger Woods,19
4,0,06522,Ernie Els,13
5,0,25345,Carl Pettersson,12
6,0,02206,David Toms,11
7,0,20572,Rod Pampling,10
8,0,24024,Zach Johnson,9
8,0,10860,Justin Leonard,9
10,0,12510,Chad Campbell,8
10,0,01381,Fred Funk,8
10,0,01473,Todd Hamilton,8
10,0,01619,Skip Kendall,8
14,0,01378,David Frost,7
14,0,24924,Bill Haas,7
14,0,22378,Trevor Immelman,7
14,0,24502,Adam Scott,7
18,0,12823,Carlos Franco,6
18,0,20157,Retief Goosen,6
18,0,01677,Tom Lehman,6
18,0,12680,Shigeki Maruyama,6
18,0,01938,David Peoples,6
18,0,02010,Loren Roberts,6
18,0,22913,John Rollins,6
25,0,10885,Robert Allenby,5
25,0,19825,Darren Clarke,5
25,0,21805,Harrison Frazar,5
25,0,20094,Jonathan Kaye,5
25,0,01941,Tom Pernice Jr.,5
30,0,06004,Stephen Ames,4
30,0,07223,Brian Bateman,4
30,0,20766,Padraig Harrington,4
30,0,19958,Miguel Angel Jiménez,4
30,0,12461,Paul McGinley,4
30,0,22046,Geoff Ogilvy,4
30,0,10107,Deane Pappas,4
30,0,01945,Kenny Perry,4
30,0,02239,Scott Verplank,4
30,0,10425,Jay Williamson,4
40,0,21739,Aaron Barber,3
40,0,01157,Tom Byrum,3
40,0,01161,Mark Calcavecchia,3
40,0,20400,Michael Campbell,3
40,0,23688,Scott Drummond,3
40,0,12760,Danny Ellis,3
40,0,01320,Bob Estes,3
40,0,21209,Sergio Garcia,3
40,0,25732,S.K. Ho,3
40,0,20218,Shingo Katayama,3
40,0,12389,Barry Lane,3
40,0,20382,Stephen Leaney,3
40,0,22122,Andrew McLardy,3
40,0,08635,Colin Montgomerie,3
40,0,20628,Arron Oberholser,3
40,0,06373,José María Olazábal,3
40,0,20663,Brenden Pappas,3
40,0,06581,David Sutherland,3
40,0,21498,Hideto Tanihara,3
59,0,06197,Michael Allen,2
59,0,21407,Arjun Atwal,2
59,0,20498,Briny Baird,2
59,0,01078,Jim Benepe,2
59,0,01142,Bart Bryant,2
59,0,20848,Ángel Cabrera,2
59,0,12394,Tom Carter,2
59,0,25364,Paul Casey,2
59,0,23135,Tim Clark,2
59,0,20104,Ken Duke,2
59,0,06621,Joe Durant,2
59,0,25816,Kevin Durkin,2
59,0,07457,Steve Flesch,2
59,0,20939,Keiichiro Fukabori,2
59,0,19846,Brian Gay,2
59,0,06643,Paul Goydos,2
59,0,01457,Jay Haas,2
59,0,19830,Joakim Haeggman,2
59,0,20608,David Howell,2
59,0,21961,Charles Howell III,2
59,0,01553,John Huston,2
59,0,24511,Thongchai Jaidee,2
59,0,01577,Lee Janzen,2
59,0,10733,Kent Jones,2
59,0,23108,Matt Kuchar,2
59,0,06332,Neal Lancaster,2
59,0,06016,Brad Lardon,2
59,0,12662,Thomas Levet,2
59,0,01685,J.L. Lewis,2
59,0,01717,Sandy Lyle,2
59,0,01724,Jeff Maggert,2
59,0,20445,Casey Martin,2
59,0,10585,Scott McCarron,2
59,0,08339,Spike McRoy,2
59,0,06515,Shaun Micheel,2
59,0,19795,Kelly Mitchum,2
59,0,22348,Nick O'Hern,2
59,0,01887,Mark O'Meara,2
59,0,23320,Ryan Palmer,2
59,0,01928,Corey Pavin,2
59,0,26476,Chez Reavie,2
59,0,24389,Jean-Francois Remesy,2
59,0,23386,David Roesch,2
59,0,22405,Justin Rose,2
59,0,23621,Rory Sabbatini,2
59,0,02076,Peter Senior,2
59,0,20580,Andre Stolz,2
59,0,23325,Vaughn Taylor,2
59,0,02214,Kirk Triplett,2
59,0,20396,Lee Westwood,2
59,0,12602,Dean Wilson,2
59,0,21878,Mark Wilson,2
