RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 10TH TEE LATE RNDS.
1,0,10809,Jim Furyk,69.00,207,3
1,0,01553,John Huston,69.00,621,9
1,0,22046,Geoff Ogilvy,69.00,414,6
4,0,20229,Stewart Cink,69.29,485,7
4,0,06527,Steve Stricker,69.29,485,7
6,0,01945,Kenny Perry,69.45,764,11
7,0,07547,Craig Kanada,69.50,973,14
7,0,27770,Camilo Villegas,69.50,556,8
9,0,19846,Brian Gay,69.58,835,12
9,0,22348,Nick O'Hern,69.58,835,12
11,0,29718,Anthony Kim,69.67,836,12
12,0,23788,D.J. Trahan,69.72,1255,18
13,0,23135,Tim Clark,69.82,768,11
14,0,27141,J.B. Holmes,69.91,769,11
15,0,27214,Kevin Streelman,69.92,1818,26
16,0,28158,Steve Marino,69.96,1609,23
17,0,27933,John Merrick,70.00,1610,23
18,0,20634,Peter Lonard,70.06,1121,16
18,0,23325,Vaughn Taylor,70.06,1261,18
20,0,08931,Glen Day,70.09,771,11
21,0,20623,Gavin Coles,70.11,631,9
21,0,23541,Ben Crane,70.11,1262,18
23,0,26300,Matt Jones,70.17,842,12
23,0,06567,Vijay Singh,70.17,421,6
25,0,07867,Woody Austin,70.18,1193,17
26,0,21753,Brian Davis,70.21,1685,24
26,0,20378,Mathias Grönberg,70.21,1334,19
26,0,23108,Matt Kuchar,70.21,983,14
29,0,10733,Kent Jones,70.23,913,13
29,0,20160,Charlie Wi,70.23,1545,22
31,0,23621,Rory Sabbatini,70.30,703,10
32,0,01226,Fred Couples,70.33,844,12
32,0,10860,Justin Leonard,70.33,633,9
32,0,26679,Kevin Stadler,70.33,1055,15
35,0,20098,Stuart Appleby,70.36,774,11
35,0,23320,Ryan Palmer,70.36,774,11
37,0,28475,Jeff Overton,70.41,1549,22
38,0,06643,Paul Goydos,70.43,986,14
39,0,20574,Mathew Goggin,70.44,1127,16
40,0,11032,Frank Lickliter II,70.48,1480,21
41,0,24361,Pat Perez,70.53,1058,15
41,0,20645,John Senden,70.53,1340,19
41,0,27095,Nick Watney,70.53,1340,19
44,0,01320,Bob Estes,70.56,1270,18
44,0,12782,Tim Herron,70.56,1270,18
44,0,02002,John Riegger,70.56,1270,18
47,0,24358,Robert Garrigus,70.57,988,14
48,0,20766,Padraig Harrington,70.60,353,5
49,0,21209,Sergio Garcia,70.63,565,8
50,0,20498,Briny Baird,70.64,1554,22
51,0,25396,Kevin Na,70.65,1413,20
51,0,26476,Chez Reavie,70.65,1837,26
53,0,08075,Jerry Kelly,70.67,1484,21
53,0,02223,Bob Tway,70.67,848,12
55,0,26951,Johnson Wagner,70.71,1202,17
56,0,12680,Shigeki Maruyama,70.73,778,11
56,0,24449,Parker McLachlin,70.73,778,11
58,0,10423,Mike Weir,70.75,566,8
59,0,20104,Ken Duke,70.76,1486,21
60,0,26289,Boo Weekley,70.81,1133,16
61,0,06573,Brandt Jobe,70.82,779,11
61,0,01766,Billy Mayfair,70.82,1204,17
63,0,01313,Steve Elkington,70.83,850,12
64,0,25562,Andres Romero,70.85,921,13
65,0,01035,Tommy Armour III,70.86,992,14
65,0,22548,Patrick Sheehan,70.86,1559,22
67,0,25900,Lucas Glover,70.87,1063,15
68,0,02239,Scott Verplank,70.89,638,9
69,0,01139,Olin Browne,70.90,1418,20
70,0,22892,Jason Gore,70.92,922,13
70,0,22806,Doug LaBelle II,70.92,851,12
72,0,12716,Charley Hoffman,70.93,993,14
72,0,24781,Hunter Mahan,70.93,993,14
74,0,10505,Shane Bertsch,71.00,1420,20
74,0,24357,K.J. Choi,71.00,426,6
74,0,10875,Todd Demsey,71.00,1136,16
74,0,01706,Davis Love III,71.00,1065,15
