RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK
1,0,23135,Tim Clark,31' 10",35520.750,1115,Under
2,0,10809,Jim Furyk,32' 0",37942.500,1186,Under
3,0,25364,Paul Casey,32' 2",25254.583,786,Under
4,0,27095,Nick Watney,32' 3",32322.583,1001,Under
5,0,32839,Hideki Matsuyama,32' 7",37265.750,1145,Under
6,0,23623,Bo Van Pelt,32' 8",39251.750,1201,Under
7,0,33122,Russell Knox,32' 9",48808.500,1490,Under
8,0,30925,Dustin Johnson,32' 10",24055.583,733,Under
9,0,12510,Chad Campbell,33' 0",27186.417,823,Under
10,0,27436,Graham DeLaet,33' 1",37916.333,1147,Under
11,0,32366,Kevin Chappell,33' 3",51740.333,1556,Under
12,0,24024,Zach Johnson,33' 4",49853.833,1494,1 Under
12,0,28132,Tyrone Van Aswegen,33' 4",38897.417,1166,Over
14,0,27644,Brian Harman,33' 5",60390.000,1809,Under
14,0,02206,David Toms,33' 5",32462.667,971,Under
16,0,32640,Troy Merritt,33' 8",33246.250,988,Over
16,0,22293,Heath Slocum,33' 8",37467.833,1113,Under
18,0,20229,Stewart Cink,33' 10",43508.833,1286,Under
18,0,25900,Lucas Glover,33' 10",28533.083,843,Over
20,0,20104,Ken Duke,33' 11",40201.250,1186,Under
20,0,25572,Graeme McDowell,33' 11",27932.417,823,Under
22,0,21209,Sergio Garcia,34' 0",24354.167,717,Under
22,0,36689,Brooks Koepka,34' 0",25617.667,753,Under
22,0,26596,Ryan Moore,34' 0",37871.500,1113,Under
25,0,24507,Jason Bohn,34' 2",44567.167,1303,Over
25,0,27556,Ted Potter Jr.,34' 2",36723.833,1074,Over
27,0,32334,Charlie Beljan,34' 3",41046.083,1199,Over
27,0,01724,Jeff Maggert,34' 3",26956.750,787,Over
27,0,23800,Bryce Molder,34' 3",39289.833,1147,Over
27,0,30110,Kyle Stanley,34' 3",44337.417,1294,Over
31,0,28237,Rory McIlroy,34' 4",29391.667,856,1 Under
31,0,35541,John Peterson,34' 4",33836.250,985,Over
33,0,25444,Justin Hicks,34' 5",55615.500,1617,Under
33,0,29222,Billy Hurley III,34' 5",44441.667,1291,Under
35,0,26679,Kevin Stadler,34' 6",40188.833,1164,Under
36,0,10885,Robert Allenby,34' 7",43577.333,1259,Under
36,0,12716,Charley Hoffman,34' 7",46927.333,1358,Under
36,0,26851,Marc Leishman,34' 7",42648.167,1234,Under
39,0,22405,Justin Rose,34' 8",32305.833,932,Under
39,0,27770,Camilo Villegas,34' 8",52159.083,1505,Under
41,0,08075,Jerry Kelly,34' 9",40947.167,1179,Under
41,0,24490,George McNeill,34' 9",43474.333,1251,Under
43,0,25686,Jason Dufner,34' 10",26115.583,750,Under
43,0,34563,Chesson Hadley,34' 10",44389.000,1273,Over
43,0,30692,Scott Stallings,34' 10",39307.667,1129,Over
43,0,25804,Bubba Watson,34' 10",34949.667,1004,Under
47,0,06567,Vijay Singh,34' 11",47529.250,1361,Under
48,0,33141,Keegan Bradley,35' 0",41903.583,1197,Under
48,0,33413,Ben Martin,35' 0",39395.583,1126,Under
48,0,25396,Kevin Na,35' 0",49019.417,1399,Under
48,0,34431,Robert Streb,35' 0",40180.833,1147,Under
52,0,24357,K.J. Choi,35' 1",42083.167,1200,Under
52,0,26758,David Hearn,35' 1",51689.667,1474,Under
52,0,31557,Jim Herman,35' 1",30096.167,857,Over
52,0,21731,Freddie Jacobson,35' 1",50732.250,1446,Under
52,0,23108,Matt Kuchar,35' 1",47849.750,1363,1 Under
57,0,24502,Adam Scott,35' 2",35309.917,1004,1 Under
57,0,28780,Nicholas Thompson,35' 2",44086.833,1255,Over
57,0,26289,Boo Weekley,35' 2",35300.500,1003,Over
60,0,28089,Jason Day,35' 3",20786.000,589,Under
60,0,34099,Harris English,35' 3",46714.333,1324,Under
60,0,29740,Brad Fritsch,35' 3",24606.667,698,Under
60,0,31193,Jim Renner,35' 3",32762.833,929,Over
60,0,34264,Hudson Swafford,35' 3",36437.583,1034,Over
60,0,30927,Brendon Todd,35' 3",57449.167,1631,Under
66,0,34261,Scott Langley,35' 4",49973.083,1414,Under
66,0,26329,Louis Oosthuizen,35' 4",18945.667,536,Over
66,0,31560,Brian Stuard,35' 4",46931.667,1329,Under
69,0,32448,James Hahn,35' 5",46232.833,1306,Over
69,0,30852,Ryo Ishikawa,35' 5",39311.917,1109,Under
69,0,27649,Brandt Snedeker,35' 5",41680.500,1177,Under
69,0,29518,Brendan Steele,35' 5",44416.167,1254,Under
69,0,29425,Andrew Svoboda,35' 5",41870.167,1183,Under
69,0,21878,Mark Wilson,35' 5",36134.500,1021,Over
75,0,30926,Chris Kirk,35' 6",54790.417,1542,Under
75,0,27933,John Merrick,35' 6",45849.167,1291,Over
77,0,20098,Stuart Appleby,35' 7",53546.500,1506,Under
77,0,20157,Retief Goosen,35' 7",49766.833,1398,Under
77,0,29478,Kevin Kisner,35' 7",44543.083,1251,Under
77,0,01706,Davis Love III,35' 7",40099.000,1126,Over
77,0,29289,S.Y. Noh,35' 7",47819.667,1343,Under
77,0,34265,Will Wilcox,35' 7",25504.667,717,Under
83,0,24846,Ricky Barnes,35' 8",49883.583,1398,Under
83,0,23541,Ben Crane,35' 8",49887.083,1400,Over
83,0,23638,Brendon de Jonge,35' 8",58687.833,1644,Under
83,0,01810,Phil Mickelson,35' 8",31611.583,887,Under
83,0,33418,Shawn Stefani,35' 8",36339.833,1019,Under
88,0,20848,Ángel Cabrera,35' 9",38886.250,1088,Under
88,0,25345,Carl Pettersson,35' 9",54326.583,1518,Under
90,0,32102,Rickie Fowler,35' 10",39853.083,1111,Under
90,0,24358,Robert Garrigus,35' 10",46826.000,1306,Under
90,0,35539,Luke Guthrie,35' 10",48616.333,1356,Under
90,0,34174,John Huh,35' 10",45020.667,1255,Over
90,0,23320,Ryan Palmer,35' 10",42848.250,1195,Under
90,0,27330,Josh Teater,35' 10",48073.583,1342,Even
96,0,20498,Briny Baird,35' 11",29061.000,810,Over
96,0,29479,Scott Brown,35' 11",53529.583,1489,Under
96,0,24924,Bill Haas,35' 11",52812.250,1472,Under
96,0,24361,Pat Perez,35' 11",48334.750,1347,Over
96,0,29221,Webb Simpson,35' 11",47378.083,1320,Under
101,0,34021,Bud Cauley,36' 0",29690.167,825,Under
