RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (INCHES),ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
1,0,01553,John Huston,35' 8",24393,57,2032.750,-3.00
2,0,23338,David Gossett,35' 11",28040,65,2336.667,+10.00
3,0,02002,John Riegger,36' 9",33040,75,2753.333,+6.00
4,0,01035,Tommy Armour III,37' 8",28015,62,2334.583,+6.00
5,0,07003,David Berganio Jr.,38' 2",31175,68,2597.917,E
6,0,06621,Joe Durant,38' 6",16170,35,1347.500,+7.00
7,0,01219,John Cook,38' 7",22246,48,1853.833,+8.00
7,0,19846,Brian Gay,38' 7",47644,103,3970.333,+8.00
9,0,02206,David Toms,39' 0",41174,88,3431.167,+17.00
10,0,02246,Duffy Waldorf,39' 6",33197,70,2766.417,+5.00
11,0,06575,Dudley Hart,39' 9",29589,62,2465.750,+19.00
12,0,06036,Scott Dunlap,40' 1",37030,77,3085.833,+22.00
13,0,01766,Billy Mayfair,40' 2",25050,52,2087.500,+7.00
14,0,01313,Steve Elkington,40' 3",35762,74,2980.167,+13.00
14,0,21805,Harrison Frazar,40' 3",42472,88,3539.333,+7.00
16,0,01666,Bernhard Langer,40' 6",11179,23,931.583,+2.00
17,0,01139,Olin Browne,40' 8",40044,82,3337.000,+10.00
17,0,06617,Brian Henninger,40' 8",30232,62,2519.333,+5.00
19,0,23353,J.J. Henry,40' 9",43002,88,3583.500,+8.00
20,0,02106,Chris Smith,40' 11",36827,75,3068.917,+9.00
20,0,02223,Bob Tway,40' 11",38814,79,3234.500,+12.00
22,0,01226,Fred Couples,41' 0",22150,45,1845.833,+11.00
22,0,01361,Dan Forsman,41' 0",31519,64,2626.583,+10.00
24,0,20029,Notah Begay III,41' 1",30566,62,2547.167,+2.00
25,0,10565,Ian Leggatt,41' 2",42972,87,3581.000,+22.00
26,0,12663,Phil Tataurangi,41' 5",43205,87,3600.417,+13.00
27,0,08123,Jeff Brehaut,41' 6",45814,92,3817.833,+14.00
27,0,12510,Chad Campbell,41' 6",44810,90,3734.167,+8.00
27,0,01619,Skip Kendall,41' 6",42301,85,3525.083,+18.00
30,0,07721,Pat Bates,41' 7",32431,65,2702.583,+8.00
31,0,01677,Tom Lehman,41' 8",22021,44,1835.083,+4.00
31,0,01797,Rocco Mediate,41' 8",26989,54,2249.083,+16.00
33,0,21209,Sergio Garcia,41' 9",28048,56,2337.333,-1.00
33,0,11032,Frank Lickliter II,41' 9",38099,76,3174.917,+6.00
33,0,01948,Tim Petrovic,41' 9",41122,82,3426.833,+1.00
33,0,06595,Kevin Sutherland,41' 9",35555,71,2962.917,+20.00
37,0,01203,Russ Cochran,41' 10",35124,70,2927.000,+17.00
38,0,23541,Ben Crane,41' 11",47788,95,3982.333,+7.00
38,0,21259,Jason Hill,41' 11",35180,70,2931.667,+17.00
40,0,08535,Gary Nicklaus,42' 0",28250,56,2354.167,+7.00
40,0,01887,Mark O'Meara,42' 0",22158,44,1846.500,+12.00
42,0,07867,Woody Austin,42' 1",59082,117,4923.500,+13.00
42,0,20663,Brenden Pappas,42' 1",41908,83,3492.333,+23.00
44,0,01968,Nick Price,42' 2",24795,49,2066.250,+16.00
44,0,02101,Joey Sindelar,42' 2",51140,101,4261.667,+15.00
46,0,10201,Matt Gogel,42' 5",34578,68,2881.500,+22.00
47,0,01569,Peter Jacobsen,42' 6",25490,50,2124.167,+11.00
47,0,22913,John Rollins,42' 6",50523,99,4210.250,+16.00
49,0,01771,Blaine McCallister,42' 7",27601,54,2300.083,+12.00
50,0,20098,Stuart Appleby,42' 8",43511,85,3625.917,+12.00
51,0,01157,Tom Byrum,42' 9",28731,56,2394.250,+7.00
51,0,20105,Jeff Gove,42' 9",50802,99,4233.500,+26.00
53,0,23621,Rory Sabbatini,42' 10",30327,59,2527.250,+15.00
54,0,20548,Hidemichi Tanaka,42' 11",38105,74,3175.417,+9.00
55,0,01527,Scott Hoch,43' 0",31985,62,2665.417,+8.00
56,0,08537,J.P. Hayes,43' 1",28438,55,2369.833,+13.00
56,0,01549,Mike Hulbert,43' 1",27924,54,2327.000,+13.00
58,0,06251,Chris DiMarco,43' 2",40366,78,3363.833,+9.00
59,0,10107,Deane Pappas,43' 3",53485,103,4457.083,+16.00
60,0,08545,Glen Hnatiuk,43' 5",35404,68,2950.333,+15.00
61,0,01249,John Daly,43' 6",23477,45,1956.417,+17.00
61,0,10809,Jim Furyk,43' 6",25068,48,2089.000,+3.00
61,0,01723,Andrew Magee,43' 6",41271,79,3439.250,+7.00
64,0,20043,Edward Fryatt,43' 7",46535,89,3877.917,+11.00
64,0,10912,Craig Perks,43' 7",44456,85,3704.667,+25.00
66,0,20127,Chris Riley,43' 8",45104,86,3758.667,+13.00
67,0,06809,Bob Burns,43' 9",43074,82,3589.500,+21.00
67,0,01927,Dennis Paulson,43' 9",50425,96,4202.083,+7.00
67,0,02239,Scott Verplank,43' 9",23640,45,1970.000,+6.00
67,0,02257,Brian Watts,43' 9",22561,43,1880.083,+4.00
71,0,20157,Retief Goosen,43' 11",25286,48,2107.167,+5.00
72,0,21633,Steve Allan,44' 0",59685,113,4973.750,+26.00
73,0,07223,Brian Bateman,44' 1",41817,79,3484.750,+22.00
73,0,01577,Lee Janzen,44' 1",37018,70,3084.833,+15.00
73,0,06315,Pete Jordan,44' 1",30679,58,2556.583,+9.00
76,0,01014,Fulton Allem,44' 2",22244,42,1853.667,+18.00
77,0,01938,David Peoples,44' 3",44064,83,3672.000,+9.00
77,0,10649,Tom Scherrer,44' 3",53131,100,4427.583,+11.00
77,0,26289,Boo Weekley,44' 3",31308,59,2609.000,+25.00
80,0,01175,Jim Carter,44' 5",32489,61,2707.417,+6.00
80,0,10585,Scott McCarron,44' 5",56466,106,4705.500,+7.00
82,0,10117,Bob Heintz,44' 6",40014,75,3334.500,+22.00
83,0,19972,José Coceres,44' 7",26727,50,2227.250,+19.00
83,0,06332,Neal Lancaster,44' 7",46023,86,3835.250,+17.00
83,0,01685,J.L. Lewis,44' 7",47623,89,3968.583,+19.00
83,0,01706,Davis Love III,44' 7",42257,79,3521.417,+14.00
87,0,19824,Craig Barlow,44' 8",41301,77,3441.750,+6.00
87,0,24357,K.J. Choi,44' 8",38620,72,3218.333,+7.00
87,0,21961,Charles Howell III,44' 8",48768,91,4064.000,+12.00
90,0,23614,Rich Beem,44' 10",46816,87,3901.333,+21.00
90,0,23983,Luke Donald,44' 10",45165,84,3763.750,+16.00
90,0,10860,Justin Leonard,44' 10",31744,59,2645.333,+9.00
90,0,12680,Shigeki Maruyama,44' 10",32838,61,2736.500,+10.00
94,0,24925,Jonathan Byrd,44' 11",51225,95,4268.750,+5.00
94,0,01599,Steve Jones,44' 11",30202,56,2516.833,+7.00
94,0,11011,Mike Sposa,44' 11",48007,89,4000.583,+12.00
97,0,08881,Tripp Isenhour,45' 0",43779,81,3648.250,+14.00
98,0,12652,Cameron Beckman,45' 1",40050,74,3337.500,+18.00
99,0,23903,Stephen Gangluff,45' 2",43922,81,3660.167,+31.00
99,0,01941,Tom Pernice Jr.,45' 2",53090,98,4424.167,+20.00
99,0,06078,Esteban Toledo,45' 2",39564,73,3297.000,+17.00
102,0,12826,Paul Claxton,45' 3",42892,79,3574.333,+11.00
102,0,08075,Jerry Kelly,45' 3",49398,91,4116.500,+15.00
104,0,01945,Kenny Perry,45' 4",47881,88,3990.083,+1.00
105,0,06567,Vijay Singh,45' 5",45202,83,3766.833,+5.00
105,0,10425,Jay Williamson,45' 5",41974,77,3497.833,+14.00
107,0,06643,Paul Goydos,45' 6",20198,37,1683.167,+6.00
107,0,20436,Garrett Willis,45' 6",49169,90,4097.417,+21.00
109,0,24937,Jess Daley,45' 7",44882,82,3740.167,+15.00
