RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,DISTANCE RANK,ACCURACY RANK
1,0,26289,Boo Weekley,74,36,38
2,0,24781,Hunter Mahan,78,61,17
3,0,23623,Bo Van Pelt,84,40,44
4,0,11123,Chris Couch,85,54,31
4,0,25686,Jason Dufner,85,64,21
6,0,08793,Tiger Woods,87,32,55
7,0,26329,Louis Oosthuizen,90,23,67
8,0,06573,Brandt Jobe,91,25,66
9,0,22913,John Rollins,98,47,51
10,0,26679,Kevin Stadler,102,62,40
11,0,33141,Keegan Bradley,103,16,87
11,0,20645,John Senden,103,79,24
13,0,27933,John Merrick,105,58,47
13,0,20396,Lee Westwood,105,29,76
15,0,32102,Rickie Fowler,108,60,48
15,0,22405,Justin Rose,108,80,28
17,0,29420,Billy Horschel,111,89,22
18,0,32200,Roberto Castro,117,83,34
19,0,28455,Will Claxton,119,85,34
19,0,12716,Charley Hoffman,119,46,73
21,0,27644,Brian Harman,120,87,33
22,0,24924,Bill Haas,122,66,56
23,0,27436,Graham DeLaet,123,13,110
23,0,27330,Josh Teater,123,27,96
25,0,34174,John Huh,124,113,11
26,0,08725,Tom Gillis,126,103,23
27,0,30110,Kyle Stanley,132,8,124
28,0,24502,Adam Scott,133,10,123
29,0,33419,Cameron Tringale,134,85,49
30,0,26331,Charl Schwartzel,135,42,93
31,0,25804,Bubba Watson,136,1,135
32,0,06567,Vijay Singh,137,47,90
33,0,29910,Blake Adams,139,112,27
34,0,32334,Charlie Beljan,141,2,139
34,0,25572,Graeme McDowell,141,136,5
36,0,35139,Richard Lee,144,134,10
36,0,24361,Pat Perez,144,75,69
38,0,34099,Harris English,145,20,125
39,0,26596,Ryan Moore,146,117,29
39,0,29289,S.Y. Noh,146,19,127
41,0,24140,Sean O'Hair,149,31,118
41,0,21528,Henrik Stenson,149,96,53
43,0,28475,Jeff Overton,150,68,82
44,0,33122,Russell Knox,152,132,20
44,0,27214,Kevin Streelman,152,63,89
46,0,20691,Greg Owen,156,41,115
47,0,27936,Martin Laird,157,28,129
47,0,30692,Scott Stallings,157,17,140
49,0,32698,Bobby Gates,158,21,137
49,0,01766,Billy Mayfair,158,122,36
51,0,23320,Ryan Palmer,159,15,144
52,0,24358,Robert Garrigus,160,3,157
52,0,01724,Jeff Maggert,160,141,19
54,0,28237,Rory McIlroy,161,5,156
54,0,23788,D.J. Trahan,161,66,95
56,0,21209,Sergio Garcia,162,64,98
56,0,30925,Dustin Johnson,162,4,158
58,0,29518,Brendan Steele,163,105,58
59,0,23638,Brendon de Jonge,164,105,59
60,0,27770,Camilo Villegas,165,87,78
61,0,22046,Geoff Ogilvy,168,90,78
62,0,01706,Davis Love III,169,39,130
62,0,20572,Rod Pampling,169,105,64
64,0,23108,Matt Kuchar,170,128,42
64,0,27095,Nick Watney,170,36,134
66,0,24494,Erik Compton,171,33,138
67,0,23541,Ben Crane,172,122,50
67,0,27302,Garth Mulroy,172,55,117
69,0,23204,Gary Christian,173,164,9
69,0,01249,John Daly,173,9,164
69,0,25818,Scott Piercy,173,12,161
72,0,28087,Kris Blanks,174,148,26
72,0,26476,Chez Reavie,174,161,13
74,0,20848,Ángel Cabrera,175,22,153
74,0,10809,Jim Furyk,175,171,4
76,0,20766,Padraig Harrington,177,57,120
76,0,29476,Kyle Reifers,177,92,85
76,0,22293,Heath Slocum,177,175,2
79,0,23353,J.J. Henry,178,115,63
80,0,27141,J.B. Holmes,179,6,173
80,0,26287,Roland Thatcher,179,104,75
82,0,24024,Zach Johnson,182,168,14
82,0,27060,John Mallinger,182,166,16
82,0,25834,Daniel Summerhays,182,101,81
85,0,23135,Tim Clark,183,180,3
85,0,08075,Jerry Kelly,183,182,1
85,0,25345,Carl Pettersson,183,35,148
88,0,24138,Ian Poulter,184,145,39
89,0,34021,Bud Cauley,186,74,112
90,0,25892,Steve Wheatcroft,189,121,68
91,0,29479,Scott Brown,190,77,113
91,0,20104,Ken Duke,190,160,30
91,0,30944,Jason Kokrak,190,14,176
91,0,25396,Kevin Na,190,165,25
91,0,02206,David Toms,190,184,6
91,0,27064,Jhonattan Vegas,190,10,180
91,0,31323,Gary Woodland,190,18,172
98,0,20098,Stuart Appleby,191,159,32
98,0,28089,Jason Day,191,7,184
100,0,22621,Ben Curtis,193,186,7
101,0,30926,Chris Kirk,194,73,121
102,0,21878,Mark Wilson,195,183,12
103,0,06251,Chris DiMarco,196,188,8
103,0,26758,David Hearn,196,124,72
105,0,21753,Brian Davis,197,179,18
105,0,25240,D.A. Points,197,152,45
105,0,27963,Chris Stroud,197,126,71
108,0,30750,Tommy Gainey,198,33,165
109,0,06527,Steve Stricker,199,138,61
110,0,21805,Harrison Frazar,200,30,170
110,0,27556,Ted Potter Jr.,200,148,52
112,0,24604,Hunter Haas,201,117,84
112,0,22378,Trevor Immelman,201,80,121
114,0,29221,Webb Simpson,203,111,92
115,0,12510,Chad Campbell,204,90,114
115,0,30711,Colt Knost,204,189,15
115,0,24490,George McNeill,204,105,99
115,0,25457,Alexandre Rocha,204,147,57
119,0,06522,Ernie Els,206,51,155
119,0,28308,Troy Kelly,206,23,183
121,0,23983,Luke Donald,207,170,37
121,0,24940,Edward Loar,207,44,163
123,0,24846,Ricky Barnes,208,68,140
123,0,27120,Troy Matteson,208,26,182
125,0,06036,Scott Dunlap,211,166,45
126,0,32366,Kevin Chappell,212,58,154
127,0,23548,Bill Lunde,215,84,131
128,0,24357,K.J. Choi,216,162,54
128,0,22582,Kyle Thompson,216,151,65
130,0,24507,Jason Bohn,217,174,43
130,0,19970,Robert Karlsson,217,50,167
130,0,29478,Kevin Kisner,217,116,101
133,0,12782,Tim Herron,218,99,119
134,0,27649,Brandt Snedeker,219,110,109
134,0,25632,Jimmy Walker,219,38,181
136,0,26300,Matt Jones,221,55,166
136,0,20160,Charlie Wi,221,134,87
138,0,21961,Charles Howell III,222,51,171
138,0,29926,Danny Lee,222,72,150
138,0,23621,Rory Sabbatini,222,119,103
138,0,26951,Johnson Wagner,222,152,70
142,0,10213,Dicky Pride,224,130,94
143,0,28500,Martin Flores,226,49,177
144,0,01810,Phil Mickelson,227,53,174
145,0,12652,Cameron Beckman,228,142,86
146,0,33120,Mark Anderson,229,43,186
146,0,20574,Mathew Goggin,229,82,147
148,0,20623,Gavin Coles,231,190,41
149,0,20850,Daniel Chopra,235,44,191
149,0,23325,Vaughn Taylor,235,129,106
151,0,28259,Sangmoon Bae,237,95,142
151,0,25562,Andres Romero,237,68,169
153,0,06004,Stephen Ames,238,155,83
153,0,22961,David Mathis,238,176,62
155,0,28307,Matt Every,240,136,104
156,0,24925,Jonathan Byrd,241,96,145
156,0,28093,Miguel Angel Carballo,241,96,145
158,0,22371,Aaron Baddeley,243,68,175
158,0,20593,Greg Chalmers,243,163,80
158,0,01797,Rocco Mediate,243,169,74
161,0,21407,Arjun Atwal,244,144,100
162,0,31202,William McGirt,245,138,107
163,0,01320,Bob Estes,247,142,105
164,0,24663,Y.E. Yang,248,146,102
165,0,10885,Robert Allenby,251,124,127
