RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP,TOTAL HOLES,TOTAL RTP
1,0,10860,Justin Leonard,+.201,149,+30.00
2,0,06373,José María Olazábal,+.234,107,+25.00
3,0,20127,Chris Riley,+.243,115,+28.00
4,0,20157,Retief Goosen,+.244,82,+20.00
5,0,02010,Loren Roberts,+.249,169,+42.00
6,0,01361,Dan Forsman,+.265,166,+44.00
6,0,08793,Tiger Woods,+.265,132,+35.00
8,0,20229,Stewart Cink,+.285,172,+49.00
9,0,01938,David Peoples,+.289,190,+55.00
10,0,01378,David Frost,+.291,182,+53.00
10,0,23621,Rory Sabbatini,+.291,182,+53.00
12,0,20572,Rod Pampling,+.295,183,+54.00
13,0,01329,Brad Faxon,+.300,170,+51.00
14,0,02099,Scott Simpson,+.302,139,+42.00
15,0,12645,Brent Geiberger,+.303,221,+67.00
15,0,01887,Mark O'Meara,+.303,119,+36.00
17,0,01941,Tom Pernice Jr.,+.304,224,+68.00
18,0,01706,Davis Love III,+.306,186,+57.00
19,0,21878,Mark Wilson,+.307,140,+43.00
20,0,12823,Carlos Franco,+.308,201,+62.00
20,0,01928,Corey Pavin,+.308,169,+52.00
22,0,12602,Dean Wilson,+.309,262,+81.00
23,0,23983,Luke Donald,+.310,145,+45.00
24,0,23541,Ben Crane,+.314,220,+69.00
24,0,01920,Craig Parry,+.314,105,+33.00
26,0,01035,Tommy Armour III,+.315,181,+57.00
26,0,12660,Jesper Parnevik,+.315,184,+58.00
28,0,19846,Brian Gay,+.316,225,+71.00
28,0,10107,Deane Pappas,+.316,171,+54.00
30,0,01042,Paul Azinger,+.318,170,+54.00
31,0,19972,José Coceres,+.319,182,+58.00
31,0,01761,Len Mattiace,+.319,188,+60.00
31,0,01927,Dennis Paulson,+.319,182,+58.00
34,0,01473,Todd Hamilton,+.320,206,+66.00
34,0,01677,Tom Lehman,+.320,122,+39.00
34,0,06595,Kevin Sutherland,+.320,175,+56.00
37,0,25396,Kevin Na,+.321,246,+79.00
38,0,12782,Tim Herron,+.323,158,+51.00
38,0,06567,Vijay Singh,+.323,167,+54.00
40,0,01577,Lee Janzen,+.325,151,+49.00
40,0,01666,Bernhard Langer,+.325,123,+40.00
42,0,01457,Jay Haas,+.326,135,+44.00
43,0,06809,Bob Burns,+.327,220,+72.00
43,0,06251,Chris DiMarco,+.327,205,+67.00
45,0,25686,Jason Dufner,+.329,167,+55.00
46,0,06515,Shaun Micheel,+.331,151,+50.00
47,0,06522,Ernie Els,+.333,105,+35.00
47,0,10912,Craig Perks,+.333,168,+56.00
47,0,01968,Nick Price,+.333,114,+38.00
50,0,25345,Carl Pettersson,+.335,194,+65.00
51,0,01948,Tim Petrovic,+.336,247,+83.00
52,0,12680,Shigeki Maruyama,+.337,208,+70.00
52,0,02104,Jeff Sluman,+.337,181,+61.00
54,0,12394,Tom Carter,+.338,234,+79.00
54,0,23353,J.J. Henry,+.338,210,+71.00
54,0,06078,Esteban Toledo,+.338,225,+76.00
57,0,06004,Stephen Ames,+.339,186,+63.00
57,0,06527,Steve Stricker,+.339,180,+61.00
59,0,01313,Steve Elkington,+.340,141,+48.00
59,0,20433,Mark Hensby,+.340,206,+70.00
59,0,24502,Adam Scott,+.340,100,+34.00
62,0,22046,Geoff Ogilvy,+.341,179,+61.00
63,0,22371,Aaron Baddeley,+.344,218,+75.00
63,0,01810,Phil Mickelson,+.344,128,+44.00
65,0,12760,Danny Ellis,+.346,185,+64.00
66,0,01553,John Huston,+.347,95,+33.00
66,0,22405,Justin Rose,+.347,147,+51.00
68,0,01024,Billy Andrade,+.351,242,+85.00
69,0,21961,Charles Howell III,+.352,210,+74.00
70,0,23552,Hank Kuehne,+.353,204,+72.00
70,0,21949,Joe Ogilvie,+.353,221,+78.00
70,0,02239,Scott Verplank,+.353,156,+55.00
73,0,21633,Steve Allan,+.354,223,+79.00
73,0,24925,Jonathan Byrd,+.354,192,+68.00
73,0,01157,Tom Byrum,+.354,192,+68.00
76,0,01142,Bart Bryant,+.355,138,+49.00
76,0,21731,Freddie Jacobson,+.355,155,+55.00
78,0,02214,Kirk Triplett,+.357,143,+51.00
79,0,20663,Brenden Pappas,+.358,268,+96.00
80,0,20628,Arron Oberholser,+.361,155,+56.00
81,0,07363,Craig Bowden,+.362,224,+81.00
81,0,01926,Steve Pate,+.362,141,+51.00
83,0,12510,Chad Campbell,+.363,168,+61.00
83,0,23108,Matt Kuchar,+.363,179,+65.00
85,0,22621,Ben Curtis,+.364,110,+40.00
85,0,20121,Todd Fischer,+.364,258,+94.00
85,0,22293,Heath Slocum,+.364,206,+75.00
88,0,08931,Glen Day,+.365,233,+85.00
89,0,06197,Michael Allen,+.366,183,+67.00
89,0,20094,Jonathan Kaye,+.366,123,+45.00
89,0,06332,Neal Lancaster,+.366,232,+85.00
92,0,20548,Hidemichi Tanaka,+.367,207,+76.00
93,0,22913,John Rollins,+.368,201,+74.00
94,0,12652,Cameron Beckman,+.369,206,+76.00
95,0,01527,Scott Hoch,+.370,100,+37.00
95,0,24781,Hunter Mahan,+.370,208,+77.00
95,0,02223,Bob Tway,+.370,165,+61.00
98,0,01226,Fred Couples,+.371,89,+33.00
98,0,23497,Tag Ridings,+.371,105,+39.00
100,0,10201,Matt Gogel,+.372,183,+68.00
100,0,08075,Jerry Kelly,+.372,196,+73.00
102,0,01219,John Cook,+.373,110,+41.00
102,0,08385,Omar Uresti,+.373,228,+85.00
104,0,01320,Bob Estes,+.374,131,+49.00
105,0,19825,Darren Clarke,+.375,80,+30.00
105,0,20634,Peter Lonard,+.375,136,+51.00
107,0,01388,Robert Gamez,+.376,226,+85.00
107,0,08339,Spike McRoy,+.376,210,+79.00
109,0,01161,Mark Calcavecchia,+.377,138,+52.00
109,0,01381,Fred Funk,+.377,204,+77.00
111,0,20593,Greg Chalmers,+.378,193,+73.00
112,0,23135,Tim Clark,+.379,182,+69.00
113,0,24290,D.J. Brigman,+.380,166,+63.00
113,0,10585,Scott McCarron,+.380,192,+73.00
115,0,21893,Brian Kortan,+.381,126,+48.00
115,0,07749,Brett Quigley,+.381,218,+83.00
117,0,22548,Patrick Sheehan,+.382,251,+96.00
117,0,23623,Bo Van Pelt,+.382,186,+71.00
119,0,08123,Jeff Brehaut,+.384,229,+88.00
120,0,01203,Russ Cochran,+.385,135,+52.00
120,0,07457,Steve Flesch,+.385,195,+75.00
122,0,20098,Stuart Appleby,+.386,153,+59.00
123,0,07721,Pat Bates,+.387,217,+84.00
124,0,01619,Skip Kendall,+.388,214,+83.00
125,0,20382,Stephen Leaney,+.389,157,+61.00
126,0,19881,Robert Damron,+.390,259,+101.00
126,0,01766,Billy Mayfair,+.390,218,+85.00
128,0,21805,Harrison Frazar,+.391,184,+72.00
129,0,01132,Mark Brooks,+.393,168,+66.00
129,0,20580,Andre Stolz,+.393,122,+48.00
131,0,10885,Robert Allenby,+.394,155,+61.00
132,0,20378,Mathias Grönberg,+.396,207,+82.00
132,0,24024,Zach Johnson,+.396,225,+89.00
134,0,21646,David Branshaw,+.397,179,+71.00
135,0,12682,Hirofumi Miyase,+.398,166,+66.00
136,0,01139,Olin Browne,+.399,178,+71.00
136,0,08835,Kris Cox,+.399,148,+59.00
138,0,20585,Niclas Fasth,+.400,145,+58.00
138,0,26287,Roland Thatcher,+.400,155,+62.00
140,0,23325,Vaughn Taylor,+.401,167,+67.00
141,0,06575,Dudley Hart,+.402,107,+43.00
141,0,21959,Ted Purdy,+.402,266,+107.00
143,0,19824,Craig Barlow,+.405,173,+70.00
144,0,20029,Notah Begay III,+.406,160,+65.00
144,0,01771,Blaine McCallister,+.406,192,+78.00
144,0,06613,Tommy Tolles,+.406,165,+67.00
147,0,24507,Jason Bohn,+.408,211,+86.00
147,0,02245,Grant Waite,+.408,169,+69.00
149,0,24357,K.J. Choi,+.411,151,+62.00
149,0,01249,John Daly,+.411,163,+67.00
149,0,01685,J.L. Lewis,+.411,224,+92.00
149,0,01707,Steve Lowery,+.411,197,+81.00
153,0,23614,Rich Beem,+.413,150,+62.00
153,0,10213,Dicky Pride,+.413,150,+62.00
155,0,01261,Jay Delsing,+.414,169,+70.00
156,0,01127,Danny Briggs,+.416,166,+69.00
157,0,21407,Arjun Atwal,+.417,204,+85.00
157,0,20850,Daniel Chopra,+.417,240,+100.00
159,0,20472,Alex Cejka,+.418,141,+59.00
160,0,10733,Kent Jones,+.419,222,+93.00
161,0,23320,Ryan Palmer,+.422,230,+97.00
162,0,12705,Cliff Kresge,+.424,198,+84.00
162,0,10423,Mike Weir,+.424,144,+61.00
164,0,20498,Briny Baird,+.425,167,+71.00
164,0,08537,J.P. Hayes,+.425,160,+68.00
166,0,26420,Richard Johnson,+.426,244,+104.00
166,0,02101,Joey Sindelar,+.426,223,+95.00
168,0,25900,Lucas Glover,+.428,208,+89.00
169,0,01945,Kenny Perry,+.429,140,+60.00
170,0,10425,Jay Williamson,+.432,227,+98.00
171,0,08881,Tripp Isenhour,+.437,126,+55.00
171,0,11032,Frank Lickliter II,+.437,199,+87.00
171,0,01724,Jeff Maggert,+.437,126,+55.00
174,0,06214,Guy Boros,+.438,176,+77.00
175,0,21209,Sergio Garcia,+.440,100,+44.00
175,0,12753,David Morland IV,+.440,175,+77.00
177,0,07223,Brian Bateman,+.442,163,+72.00
177,0,07939,Dan Olsen,+.442,181,+80.00
179,0,20104,Ken Duke,+.446,240,+107.00
180,0,23613,Rich Barcelo,+.451,142,+64.00
181,0,23307,Roger Tambellini,+.452,186,+84.00
182,0,20645,John Senden,+.454,185,+84.00
183,0,08337,Mike Heinen,+.455,134,+61.00
184,0,24361,Pat Perez,+.461,230,+106.00
184,0,02049,Gene Sauers,+.461,232,+107.00
186,0,02206,David Toms,+.469,128,+60.00
187,0,23338,David Gossett,+.471,153,+72.00
188,0,23063,Scott Hend,+.473,201,+95.00
189,0,02002,John Riegger,+.479,119,+57.00
190,0,06621,Joe Durant,+.481,158,+76.00
191,0,07867,Woody Austin,+.484,217,+105.00
192,0,02246,Duffy Waldorf,+.487,117,+57.00
193,0,25237,Kevin Muncrief,+.496,127,+63.00
194,0,02106,Chris Smith,+.532,205,+109.00
195,0,01797,Rocco Mediate,+.538,91,+49.00
196,0,11123,Chris Couch,+.615,117,+72.00
