RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# BIRDIES/EAGLES,# HOLES
1,0,08793,Tiger Woods,25.33,310,1224
2,0,01810,Phil Mickelson,25.12,425,1692
3,0,02206,David Toms,24.29,446,1836
4,0,09011,David Duval,23.78,321,1350
5,0,01945,Kenny Perry,23.68,405,1710
6,0,20157,Retief Goosen,23.66,230,972
7,0,24925,Jonathan Byrd,23.42,392,1674
8,0,01381,Fred Funk,23.27,444,1908
9,0,01226,Fred Couples,23.15,250,1080
10,0,10860,Justin Leonard,23.11,391,1692
11,0,20098,Stuart Appleby,23.05,390,1692
12,0,01161,Mark Calcavecchia,22.86,325,1422
12,0,06567,Vijay Singh,22.86,395,1728
14,0,06251,Chris DiMarco,22.85,436,1908
15,0,01577,Lee Janzen,22.80,394,1728
15,0,22046,Geoff Ogilvy,22.80,353,1548
17,0,23541,Ben Crane,22.72,364,1602
18,0,21961,Charles Howell III,22.67,457,2016
19,0,02239,Scott Verplank,22.65,371,1638
20,0,20572,Rod Pampling,22.64,383,1692
21,0,01388,Robert Gamez,22.62,281,1242
21,0,01685,J.L. Lewis,22.62,399,1764
23,0,01553,John Huston,22.57,390,1728
24,0,20127,Chris Riley,22.56,406,1800
25,0,02246,Duffy Waldorf,22.48,352,1566
26,0,10117,Bob Heintz,22.30,273,1224
27,0,01706,Davis Love III,22.29,349,1566
28,0,24357,K.J. Choi,22.28,357,1602
29,0,24361,Pat Perez,22.22,348,1566
30,0,10585,Scott McCarron,22.17,391,1764
31,0,10423,Mike Weir,22.16,367,1656
32,0,10885,Robert Allenby,22.05,377,1710
32,0,06527,Steve Stricker,22.05,250,1134
34,0,22913,John Rollins,22.04,476,2160
35,0,01797,Rocco Mediate,22.00,297,1350
36,0,01024,Billy Andrade,21.99,380,1728
36,0,23614,Rich Beem,21.99,376,1710
38,0,21633,Steve Allan,21.98,360,1638
39,0,23800,Bryce Molder,21.96,249,1134
39,0,06613,Tommy Tolles,21.96,253,1152
41,0,02214,Kirk Triplett,21.94,312,1422
