RANK,MOVEMENT,PLAYER_ID,PLAYER,FREQUENCY,# OF HOLES,# OF EAGLES
1,0,01249,John Daly,78.4,1098,14
2,0,24925,Jonathan Byrd,98.5,1674,17
3,0,23125,Brad Elder,102.5,1332,13
4,0,01810,Phil Mickelson,105.8,1692,16
5,0,06350,Bob May,106.8,1602,15
6,0,21209,Sergio Garcia,108.0,1296,12
6,0,02206,David Toms,108.0,1836,17
8,0,23353,J.J. Henry,114.4,1944,17
9,0,10585,Scott McCarron,117.6,1764,15
10,0,02223,Bob Tway,118.8,1782,15
11,0,20634,Peter Lonard,119.6,1674,14
12,0,20157,Retief Goosen,121.5,972,8
13,0,10885,Robert Allenby,122.1,1710,14
14,0,09011,David Duval,122.7,1350,11
15,0,20645,John Senden,127.4,1656,13
16,0,23621,Rory Sabbatini,128.0,1152,9
16,0,06613,Tommy Tolles,128.0,1152,9
18,0,23541,Ben Crane,133.5,1602,12
19,0,21961,Charles Howell III,134.4,2016,15
20,0,01797,Rocco Mediate,135.0,1350,10
21,0,20593,Greg Chalmers,136.5,1638,12
22,0,12660,Jesper Parnevik,137.5,1512,11
23,0,08633,Per-Ulrik Johansson,142.4,1566,11
24,0,06567,Vijay Singh,144.0,1728,12
25,0,08375,Paul Stankowski,147.0,1764,12
26,0,20095,Carl Paulson,147.6,1476,10
27,0,21949,Joe Ogilvie,150.0,900,6
28,0,01599,Steve Jones,153.0,1224,8
28,0,02133,Craig Stadler,153.0,1224,8
30,0,20098,Stuart Appleby,153.8,1692,11
31,0,01226,Fred Couples,154.3,1080,7
32,0,01388,Robert Gamez,155.3,1242,8
33,0,23623,Bo Van Pelt,156.0,1404,9
34,0,01706,Davis Love III,156.6,1566,10
34,0,12680,Shigeki Maruyama,156.6,1566,10
34,0,10912,Craig Perks,156.6,1566,10
37,0,01313,Steve Elkington,158.0,1422,9
38,0,20663,Brenden Pappas,159.4,1116,7
39,0,20566,Kaname Yokoo,162.0,1296,8
40,0,21633,Steve Allan,163.8,1638,10
41,0,20043,Edward Fryatt,165.6,1656,10
42,0,22913,John Rollins,166.2,2160,13
43,0,10565,Ian Leggatt,167.4,1674,10
44,0,06575,Dudley Hart,168.0,1512,9
45,0,06573,Brandt Jobe,169.2,1692,10
46,0,12652,Cameron Beckman,170.0,1530,9
47,0,23614,Rich Beem,171.0,1710,10
47,0,26289,Boo Weekley,171.0,1026,6
49,0,01938,David Peoples,171.8,1890,11
50,0,21806,Paul Gow,172.8,1728,10
50,0,01553,John Huston,172.8,1728,10
50,0,01577,Lee Janzen,172.8,1728,10
53,0,23322,Brett Wetterich,174.0,1566,9
54,0,01514,Eduardo Herrera,177.0,1062,6
55,0,01161,Mark Calcavecchia,177.8,1422,8
56,0,01948,Tim Petrovic,178.0,1602,9
57,0,12782,Tim Herron,178.2,1782,10
58,0,07223,Brian Bateman,182.0,1638,9
59,0,23177,Kenneth Staton,183.6,1836,10
60,0,10423,Mike Weir,184.0,1656,9
61,0,06522,Ernie Els,186.0,1116,6
62,0,12823,Carlos Franco,189.0,1890,10
63,0,06197,Michael Allen,190.3,1332,7
64,0,22046,Geoff Ogilvy,193.5,1548,8
65,0,06515,Shaun Micheel,194.0,1746,9
66,0,06004,Stephen Ames,195.8,1566,8
66,0,01927,Dennis Paulson,195.8,1566,8
66,0,24361,Pat Perez,195.8,1566,8
69,0,01723,Andrew Magee,198.0,1584,8
69,0,01887,Mark O'Meara,198.0,1188,6
69,0,01968,Nick Price,198.0,1188,6
72,0,02106,Chris Smith,200.0,1800,9
73,0,07003,David Berganio Jr.,203.1,1422,7
73,0,01457,Jay Haas,203.1,1422,7
75,0,08793,Tiger Woods,204.0,1224,6
76,0,10425,Jay Williamson,204.8,1638,8
77,0,01707,Steve Lowery,207.0,1656,8
77,0,07749,Brett Quigley,207.0,1656,8
79,0,19958,Miguel Angel Jiménez,208.8,1044,5
80,0,07457,Steve Flesch,210.0,1890,9
81,0,10860,Justin Leonard,211.5,1692,8
82,0,21259,Jason Hill,212.4,1062,5
83,0,12663,Phil Tataurangi,216.0,1512,7
84,0,01685,J.L. Lewis,220.5,1764,8
85,0,20029,Notah Begay III,222.0,1332,6
86,0,01374,Robin Freeman,225.0,1350,6
87,0,06527,Steve Stricker,226.8,1134,5
88,0,24357,K.J. Choi,228.9,1602,7
89,0,19972,José Coceres,229.5,918,4
90,0,02239,Scott Verplank,234.0,1638,7
90,0,20436,Garrett Willis,234.0,1404,6
92,0,01098,Jay Don Blake,236.3,1890,8
93,0,01142,Bart Bryant,237.6,1188,5
94,0,01549,Mike Hulbert,238.5,954,4
95,0,23338,David Gossett,239.1,1674,7
96,0,01361,Dan Forsman,243.0,1458,6
96,0,20094,Jonathan Kaye,243.0,1458,6
98,0,10117,Bob Heintz,244.8,1224,5
98,0,08881,Tripp Isenhour,244.8,1224,5
100,0,02245,Grant Waite,246.9,1728,7
101,0,01175,Jim Carter,252.0,1764,7
101,0,08075,Jerry Kelly,252.0,1764,7
103,0,01941,Tom Pernice Jr.,254.6,1782,7
104,0,01307,Joel Edwards,259.7,1818,7
104,0,06332,Neal Lancaster,259.7,1818,7
106,0,08123,Jeff Brehaut,261.0,1566,6
106,0,01320,Bob Estes,261.0,1566,6
106,0,12753,David Morland IV,261.0,1044,4
106,0,10107,Deane Pappas,261.0,1566,6
110,0,02101,Joey Sindelar,262.3,1836,7
111,0,20229,Stewart Cink,264.0,1584,6
111,0,21805,Harrison Frazar,264.0,1584,6
113,0,06016,Brad Lardon,265.5,1062,4
114,0,06251,Chris DiMarco,272.6,1908,7
115,0,24937,Jess Daley,273.6,1368,5
116,0,12645,Brent Geiberger,276.0,1656,6
117,0,08545,Glen Hnatiuk,279.0,1674,6
118,0,12510,Chad Campbell,280.3,1962,7
119,0,01766,Billy Mayfair,282.0,1692,6
120,0,01945,Kenny Perry,285.0,1710,6
121,0,01024,Billy Andrade,288.0,1728,6
121,0,20574,Mathew Goggin,288.0,1152,4
121,0,06498,Matt Peterson,288.0,1440,5
124,0,01035,Tommy Armour III,291.6,1458,5
125,0,19881,Robert Damron,295.2,1476,5
125,0,23108,Matt Kuchar,295.2,1476,5
127,0,06617,Brian Henninger,297.0,1188,4
128,0,02104,Jeff Sluman,300.9,2106,7
129,0,01569,Peter Jacobsen,301.5,1206,4
130,0,06012,Greg Kraft,302.4,1512,5
131,0,01329,Brad Faxon,306.0,1530,5
131,0,02322,Richard Zokol,306.0,918,3
133,0,06621,Joe Durant,309.6,1548,5
134,0,08993,Franklin Langham,310.5,1242,4
135,0,02246,Duffy Waldorf,313.2,1566,5
136,0,01677,Tom Lehman,315.0,1260,4
137,0,01381,Fred Funk,318.0,1908,6
138,0,11032,Frank Lickliter II,320.4,1602,5
139,0,06036,Scott Dunlap,324.0,1296,4
139,0,01666,Bernhard Langer,324.0,972,3
139,0,06595,Kevin Sutherland,324.0,1620,5
139,0,02257,Brian Watts,324.0,972,3
143,0,23135,Tim Clark,328.5,1314,4
144,0,01132,Mark Brooks,334.8,1674,5
145,0,10457,Frank Nobilo,338.4,1692,5
146,0,12388,Michael Clark II,342.0,1710,5
146,0,10649,Tom Scherrer,342.0,1710,5
148,0,19846,Brian Gay,345.0,2070,6
149,0,01157,Tom Byrum,346.5,1386,4
150,0,02214,Kirk Triplett,355.5,1422,4
151,0,10962,Bradley Hughes,360.0,1080,3
151,0,01926,Steve Pate,360.0,1080,3
151,0,20127,Chris Riley,360.0,1800,5
154,0,01219,John Cook,369.0,1476,4
155,0,10733,Kent Jones,370.8,1854,5
156,0,23983,Luke Donald,374.4,1872,5
157,0,01185,Brandel Chamblee,378.0,1512,4
157,0,23800,Bryce Molder,378.0,1134,3
159,0,01761,Len Mattiace,381.6,1908,5
160,0,02002,John Riegger,387.0,1548,4
161,0,20498,Briny Baird,388.8,1944,5
162,0,11011,Mike Sposa,392.4,1962,5
163,0,01203,Russ Cochran,402.0,1206,3
164,0,01920,Craig Parry,414.0,1242,3
164,0,22293,Heath Slocum,414.0,1656,4
166,0,20572,Rod Pampling,423.0,1692,4
167,0,20502,Michael Long,426.0,1278,3
167,0,19817,Michael Muehr,426.0,1278,3
169,0,02170,Hal Sutton,438.0,1314,3
170,0,07867,Woody Austin,445.5,1782,4
171,0,23903,Stephen Gangluff,450.0,1350,3
172,0,01619,Skip Kendall,454.5,1818,4
173,0,08537,J.P. Hayes,456.0,1368,3
173,0,01928,Corey Pavin,456.0,1368,3
175,0,20548,Hidemichi Tanaka,459.0,1836,4
176,0,01139,Olin Browne,468.0,1872,4
177,0,08553,Lee Porter,528.0,1584,3
178,0,01378,David Frost,540.0,1620,3
179,0,06809,Bob Burns,576.0,1728,3
179,0,06373,José María Olazábal,576.0,1152,2
181,0,06643,Paul Goydos,594.0,1188,2
181,0,08535,Gary Nicklaus,594.0,1188,2
183,0,08339,Spike McRoy,603.0,1206,2
184,0,08931,Glen Day,618.0,1854,3
185,0,01527,Scott Hoch,630.0,1260,2
186,0,10201,Matt Gogel,684.0,1368,2
187,0,12826,Paul Claxton,747.0,1494,2
187,0,01724,Jeff Maggert,747.0,1494,2
189,0,10809,Jim Furyk,765.0,1530,2
190,0,20105,Jeff Gove,801.0,1602,2
191,0,07721,Pat Bates,819.0,1638,2
192,0,02010,Loren Roberts,837.0,1674,2
193,0,10213,Dicky Pride,918.0,918,1
193,0,06078,Esteban Toledo,918.0,1836,2
195,0,01475,Donnie Hammond,1080.0,1080,1
196,0,02099,Scott Simpson,1098.0,1098,1
197,0,01042,Paul Azinger,1134.0,1134,1
198,0,01771,Blaine McCallister,1350.0,1350,1
199,0,06315,Pete Jordan,1404.0,1404,1
200,0,02110,Jerry Smith,1566.0,1566,1
