RANK,MOVEMENT,PLAYER_ID,PLAYER,TOP 10,1ST,2ND,3RD
1,0,01968,Nick Price,13,2,1,2
2,0,01226,Fred Couples,12,3,2,3
3,0,01132,Mark Brooks,11,3
4,0,01042,Paul Azinger,10,1,1,3
4,0,01200,Keith Clearwater,10,1,1
6,0,01313,Steve Elkington,9,1,2,3
6,0,01633,Tom Kite,9,2,1,1
6,0,01677,Tom Lehman,9,1,1
6,0,01706,Davis Love III,9,3,1,1
6,0,01887,Mark O'Meara,9,1,2
11,0,01219,John Cook,8,3,2,1
11,0,01361,Dan Forsman,8,1,3
11,0,01876,Greg Norman,8,1,2
11,0,02104,Jeff Sluman,8,2,1
11,0,02246,Duffy Waldorf,8,2,2
16,0,01072,Chip Beck,7,1,2,2
16,0,01329,Brad Faxon,7,2,2
16,0,01385,Jim Gallagher Jr.,7,3,1
16,0,01690,Bruce Lietzke,7,1,2
16,0,01928,Corey Pavin,7,1,3,2
21,0,01378,David Frost,6,2,1
21,0,01457,Jay Haas,6,1,1,1
21,0,01577,Lee Janzen,6,1,2,1
21,0,01797,Rocco Mediate,6,2
21,0,02101,Joey Sindelar,6,1
26,0,01129,Bill Britton,5,2
26,0,01203,Russ Cochran,5,1
26,0,01249,John Daly,5,1,1
26,0,01355,Raymond Floyd,5,1,2,1
26,0,01444,Ken Green,5,2
26,0,01823,Larry Mize,5,1
26,0,01926,Steve Pate,5,1
26,0,01938,David Peoples,5,1,1
26,0,02049,Gene Sauers,5,3,1
26,0,02146,Payne Stewart,5,1
26,0,02256,Tom Watson,5,1
37,0,01098,Jay Don Blake,4,1
37,0,01161,Mark Calcavecchia,4,1
37,0,01235,Ben Crenshaw,4,1,1
37,0,01261,Jay Delsing,4
37,0,01306,David Edwards,4,1,1
37,0,01326,Nick Faldo,4,1,2
37,0,01331,Rick Fehr,4,2
37,0,01353,Bruce Fleisher,4
37,0,01510,Nolan Henke,4,1,1
37,0,01553,John Huston,4,1,1
37,0,01724,Jeff Maggert,4,2
37,0,01771,Blaine McCallister,4,2
37,0,01920,Craig Parry,4,1
37,0,02133,Craig Stadler,4,1
51,0,01049,Ian Baker-Finch,3,1
51,0,01133,Billy Ray Brown,3,1,2
51,0,01143,Brad Bryant,3
51,0,01196,Brian Claar,3
51,0,01323,Brad Fabel,3
51,0,01381,Fred Funk,3,1,1
51,0,01388,Robert Gamez,3,1
51,0,01408,Kelly Gibson,3
51,0,06575,Dudley Hart,3,1
51,0,01549,Mike Hulbert,3
51,0,01682,Wayne Levi,3
51,0,01723,Andrew Magee,3
51,0,01837,Gil Morgan,3
51,0,01945,Kenny Perry,3
51,0,02007,Larry Rinker,3
51,0,02010,Loren Roberts,3,1,1
51,0,02225,Howard Twitty,3,1
51,0,02267,D.A. Weibring,3,1
69,0,01014,Fulton Allem,2
69,0,01024,Billy Andrade,2,1
69,0,01096,Phil Blackmar,2,1
69,0,06034,Marco Dawson,2
69,0,01288,Ed Dougherty,2,2
69,0,01307,Joel Edwards,2,1
69,0,01320,Bob Estes,2,1
69,0,01346,Ed Fiori,2
69,0,01414,Bob Gilder,2
69,0,01418,Bill Glasson,2,1
69,0,01468,Gary Hallberg,2,1
69,0,01469,Dan Halldorson,2
69,0,01475,Donnie Hammond,2,1
69,0,01533,P.H. Horgan III,2
69,0,01557,John Inman,2
69,0,01701,Bob Lohr,2
69,0,01725,John Mahaffey,2
69,0,01755,Dick Mast,2,1
69,0,01810,Phil Mickelson,2,1
69,0,01946,Peter Persons,2
69,0,02067,Ted Schulz,2,1
69,0,02131,Mike Springer,2,1
69,0,02135,Mike Standly,2,1
69,0,02159,Curtis Strange,2
69,0,02167,Mike Sullivan,2
69,0,02242,Lanny Wadkins,2,1
69,0,02279,Mark Wiebe,2
