RANK,MOVEMENT,PLAYER_ID,PLAYER,TOP 10,1ST,2ND,3RD
1,0,35450,Patrick Cantlay,12,2,3,1
2,0,46046,Scottie Scheffler,11,4,4,1
3,0,40098,Matt Fitzpatrick,10,1,1,0
3,0,28237,Rory McIlroy,10,3,1,1
3,0,33448,Justin Thomas,10,1,0,3
6,0,39971,Sungjae Im,9,1,3,0
6,0,47483,Will Zalatoris,9,1,3,0
8,0,47504,Sam Burns,8,3,1,0
8,0,50525,Collin Morikawa,8,0,2,0
8,0,46970,Jon Rahm,8,1,1,1
11,0,29725,Tony Finau,7,2,2,0
11,0,48081,Xander Schauffele,7,3,0,2
11,0,35891,Cameron Smith,7,3,0,1
11,0,30692,Scott Stallings,7,0,1,0
11,0,57366,Cameron Young,7,0,5,2
16,0,33141,Keegan Bradley,6,0,1,0
16,0,27644,Brian Harman,6,0,0,2
16,0,35532,Tom Hoge,6,1,1,0
16,0,32839,Hideki Matsuyama,6,2,0,1
16,0,39546,Keith Mitchell,6,0,0,1
16,0,47995,Davis Riley,6,0,1,0
16,0,34046,Jordan Spieth,6,1,2,0
23,0,45157,Cam Davis,5,0,0,1
23,0,30911,Tommy Fleetwood,5,0,0,0
23,0,33399,Adam Hadwin,5,0,0,0
23,0,39977,Max Homa,5,2,0,0
23,0,29420,Billy Horschel,5,1,2,0
23,0,46717,Viktor Hovland,5,1,1,0
23,0,29478,Kevin Kisner,5,0,1,1
23,0,47993,Denny McCarthy,5,0,0,0
23,0,45486,Joaquin Niemann,5,1,0,1
23,0,28252,Seamus Power,5,0,0,1
23,0,24502,Adam Scott,5,0,0,0
23,0,49960,Sepp Straka,5,1,1,1
23,0,51634,Sahith Theegala,5,0,1,1
23,0,33419,Cameron Tringale,5,0,1,1
23,0,31323,Gary Woodland,5,0,0,0
38,0,39997,Corey Conners,4,0,0,1
38,0,46402,Talor Gooch,4,1,0,0
38,0,35310,Lanto Griffin,4,0,0,1
38,0,34563,Chesson Hadley,4,0,0,0
38,0,34098,Russell Henley,4,0,1,0
38,0,30926,Chris Kirk,4,0,0,0
38,0,33204,Shane Lowry,4,0,1,2
38,0,46442,Maverick McNealy,4,0,1,0
38,0,49947,Taylor Moore,4,0,0,0
38,0,49771,J.T. Poston,4,1,1,1
38,0,29518,Brendan Steele,4,0,1,0
38,0,49964,Aaron Wise,4,0,1,0
38,0,52374,Brandon Wu,4,0,1,1
51,0,45526,Abraham Ancer,3,0,0,0
51,0,40026,Daniel Berger,3,0,0,0
51,0,51766,Wyndham Clark,3,0,0,0
51,0,34076,Joel Dahmen,3,0,0,0
51,0,32448,James Hahn,3,0,0,0
51,0,34363,Tyrrell Hatton,3,0,1,0
51,0,35506,Mackenzie Hughes,3,0,1,0
51,0,30925,Dustin Johnson,3,0,0,0
51,0,55182,Tom Kim,3,1,0,1
51,0,48117,Kurt Kitayama,3,0,2,1
51,0,23108,Matt Kuchar,3,0,1,1
51,0,31420,Anirban Lahiri,3,0,1,0
51,0,29926,Danny Lee,3,0,1,0
51,0,26851,Marc Leishman,3,0,0,1
51,0,36326,David Lipsky,3,0,0,0
51,0,27129,Luke List,3,1,0,0
51,0,46601,Trey Mullinax,3,1,0,0
51,0,48822,Sebastián Muñoz,3,0,0,2
51,0,27349,Alex Noren,3,0,1,0
51,0,40250,Taylor Pendrith,3,0,1,0
51,0,22056,Cameron Percy,3,0,0,0
51,0,47529,Mito Pereira,3,0,0,2
51,0,26476,Chez Reavie,3,1,0,0
51,0,36699,Patrick Rodgers,3,0,0,0
51,0,37275,Sam Ryder,3,0,0,1
51,0,47347,Adam Schenk,3,0,0,1
51,0,34610,Matthias Schwab,3,0,0,0
51,0,46340,Alex Smalley,3,0,1,0
51,0,39324,J.J. Spaun,3,1,0,0
51,0,34431,Robert Streb,3,0,0,0
51,0,40115,Adam Svensson,3,0,0,0
51,0,48699,Callum Tarren,3,0,0,0
51,0,37189,Harold Varner III,3,0,0,1
84,0,55708,Hayden Buckley,2,0,0,0
84,0,52372,Cameron Champ,2,0,0,0
84,0,20229,Stewart Cink,2,0,0,0
84,0,28089,Jason Day,2,0,0,1
84,0,25900,Lucas Glover,2,0,0,1
84,0,59095,Chris Gotterup,2,0,0,0
84,0,29974,Branden Grace,2,0,0,0
84,0,31646,Emiliano Grillo,2,0,2,0
84,0,39058,Lucas Herbert,2,1,0,0
84,0,54628,Lee Hodges,2,0,0,1
84,0,52686,Rasmus Hojgaard,2,0,0,0
84,0,35461,Beau Hossler,2,0,0,1
84,0,36801,Mark Hubbard,2,0,0,1
84,0,34174,John Huh,2,0,1,0
84,0,36799,Stephan Jaeger,2,0,0,0
84,0,26300,Matt Jones,2,0,1,1
84,0,47917,Takumi Kanaya,2,0,0,0
84,0,33122,Russell Knox,2,0,0,0
84,0,36689,Brooks Koepka,2,0,0,1
84,0,33410,Andrew Landry,2,0,0,0
84,0,32791,K.H. Lee,2,1,0,0
84,0,55509,Hurly Long,2,0,0,0
84,0,40162,Justin Lower,2,0,0,0
84,0,34466,Peter Malnati,2,0,0,0
84,0,51950,Max McGreevy,2,0,1,0
84,0,32640,Troy Merritt,2,0,0,0
84,0,25396,Kevin Na,2,0,0,0
84,0,36871,Matthew NeSmith,2,0,0,1
84,0,29908,C.T. Pan,2,0,0,0
84,0,24361,Pat Perez,2,0,0,0
84,0,34256,Andrew Putnam,2,0,0,0
84,0,46414,Aaron Rai,2,0,0,0
84,0,47983,Chad Ramey,2,1,0,0
84,0,34360,Patrick Reed,2,0,1,0
84,0,22405,Justin Rose,2,0,0,0
84,0,26331,Charl Schwartzel,2,0,0,0
84,0,27214,Kevin Streelman,2,0,1,0
84,0,31560,Brian Stuard,2,0,0,0
84,0,32150,Michael Thompson,2,0,0,0
84,0,30927,Brendon Todd,2,0,0,1
84,0,35617,Martin Trainer,2,0,0,0
84,0,48887,Matt Wallace,2,0,0,0
84,0,51894,Vince Whaley,2,0,0,0
84,0,56278,Matthew Wolff,2,0,1,0
128,0,56676,John Augenstein,1,0,0,0
128,0,37212,Paul Barjon,1,0,0,0
128,0,45522,Christiaan Bezuidenhout,1,0,1,0
128,0,45836,Richard Bland,1,0,0,0
128,0,28420,Ryan Brehm,1,1,0,0
128,0,33974,Dean Burmester,1,0,0,0
128,0,24925,Jonathan Byrd,1,0,0,0
128,0,25364,Paul Casey,1,0,0,1
128,0,47959,Bryson DeChambeau,1,0,0,0
128,0,33653,Thomas Detry,1,0,0,0
128,0,25369,Jamie Donaldson,1,0,0,0
128,0,54655,Patrick Flavin,1,0,0,0
128,0,32102,Rickie Fowler,1,0,0,1
128,0,29970,Dylan Frittelli,1,0,0,0
128,0,30750,Tommy Gainey,1,0,0,1
128,0,21209,Sergio Garcia,1,0,0,0
128,0,29535,Brice Garnett,1,0,0,0
128,0,52375,Doug Ghim,1,0,0,0
128,0,32662,Michael Gligic,1,0,0,0
128,0,46594,Ricardo Gouveia,1,0,0,0
128,0,54591,Ben Griffin,1,0,0,0
128,0,24980,Scott Gutschewski,1,0,0,0
128,0,57975,Harry Hall,1,0,0,0
128,0,47988,Nick Hardy,1,0,0,0
128,0,48372,Marcus Helligkilde,1,0,0,0
128,0,20433,Mark Hensby,1,0,0,0
128,0,31557,Jim Herman,1,0,0,0
128,0,49298,Kramer Hickok,1,0,0,0
128,0,54421,Garrick Higgo,1,0,0,0
128,0,33597,Harry Higgs,1,0,0,0
128,0,12716,Charley Hoffman,1,0,0,0
128,0,21961,Charles Howell III,1,0,0,0
128,0,39975,Michael Kim,1,0,0,0
128,0,37455,Si Woo Kim,1,0,0,0
128,0,32757,Patton Kizzire,1,0,0,0
128,0,30944,Jason Kokrak,1,1,0,0
128,0,27936,Martin Laird,1,0,0,1
128,0,28775,Nate Lashley,1,0,0,0
128,0,33413,Ben Martin,1,0,1,0
128,0,40042,Tyler McCumber,1,0,0,0
128,0,31202,William McGirt,1,0,0,0
128,0,25198,Francesco Molinari,1,0,0,0
128,0,30163,Henrik Norlander,1,0,0,0
128,0,24140,Sean O'Hair,1,0,0,0
128,0,33667,Carlos Ortiz,1,0,1,0
128,0,23320,Ryan Palmer,1,0,0,0
128,0,25818,Scott Piercy,1,0,0,0
128,0,53165,Doc Redman,1,0,0,1
128,0,47856,Seth Reeves,1,0,0,0
128,0,23621,Rory Sabbatini,1,0,0,1
128,0,48867,Matti Schmid,1,0,0,0
128,0,31569,Jason Scrivener,1,0,0,0
128,0,51890,Greyson Sigg,1,0,0,0
128,0,29221,Webb Simpson,1,0,0,0
128,0,50095,Austin Smotherman,1,0,0,0
128,0,34264,Hudson Swafford,1,1,0,0
128,0,23325,Vaughn Taylor,1,0,0,0
128,0,10381,Curtis Thompson,1,0,0,0
128,0,57364,Michael Thorbjornsen,1,0,0,0
128,0,32333,Kevin Tway,1,0,1,0
128,0,40006,Erik van Rooyen,1,0,0,0
128,0,27064,Jhonattan Vegas,1,0,0,0
128,0,27095,Nick Watney,1,0,1,0
128,0,25804,Bubba Watson,1,0,0,0
128,0,32139,Danny Willett,1,0,0,0
128,0,54783,Dylan Wu,1,0,0,0
128,0,45242,Kevin Yu,1,0,0,0
