RANK,MOVEMENT,PLAYER_ID,PLAYER,VICTORIES
1,0,46046,Scottie Scheffler,4
2,0,47504,Sam Burns,3
2,0,28237,Rory McIlroy,3
2,0,48081,Xander Schauffele,3
2,0,35891,Cameron Smith,3
6,0,35450,Patrick Cantlay,2
6,0,29725,Tony Finau,2
6,0,39977,Max Homa,2
6,0,32839,Hideki Matsuyama,2
10,0,28420,Ryan Brehm,1
10,0,40098,Matt Fitzpatrick,1
10,0,46402,Talor Gooch,1
10,0,39058,Lucas Herbert,1
10,0,35532,Tom Hoge,1
10,0,29420,Billy Horschel,1
10,0,46717,Viktor Hovland,1
10,0,39971,Sungjae Im,1
10,0,55182,Tom Kim,1
10,0,30944,Jason Kokrak,1
10,0,32791,K.H. Lee,1
10,0,27129,Luke List,1
10,0,46601,Trey Mullinax,1
10,0,45486,Joaquin Niemann,1
10,0,49771,J.T. Poston,1
10,0,46970,Jon Rahm,1
10,0,47983,Chad Ramey,1
10,0,26476,Chez Reavie,1
10,0,39324,J.J. Spaun,1
10,0,34046,Jordan Spieth,1
10,0,49960,Sepp Straka,1
10,0,34264,Hudson Swafford,1
10,0,33448,Justin Thomas,1
10,0,47483,Will Zalatoris,1
34,0,52955,Ludvig Aberg,0
34,0,23778,Brad Adamonis,0
34,0,56050,Camilo Aguado,0
34,0,60853,Ryan Alford,0
34,0,33948,Byeong Hun An,0
34,0,45526,Abraham Ancer,0
34,0,47846,Pep Angles,0
34,0,51336,Maverick Antcliff,0
34,0,30978,Kiradech Aphibarnrat,0
34,0,36632,Connor Arendell,0
34,0,45194,Marcus Armitage,0
34,0,19803,Ryan Armour,0
34,0,52096,Adri Arnaus,0
34,0,21407,Arjun Atwal,0
34,0,56676,John Augenstein,0
34,0,23048,Eric Axley,0
34,0,22371,Aaron Baddeley,0
34,0,28259,Sangmoon Bae,0
34,0,60369,Sam Bairstow,0
34,0,54377,Michael Balcar,0
34,0,30996,Mark Baldwin,0
34,0,37212,Paul Barjon,0
34,0,34374,Erik Barnes,0
34,0,24846,Ricky Barnes,0
34,0,52633,Alex Beach,0
34,0,60685,Andrew Beckler,0
34,0,23614,Rich Beem,0
34,0,31678,Oliver Bekker,0
34,0,32334,Charlie Beljan,0
34,0,49117,Isidro Benitez,0
34,0,39043,Juan Carlos Benitez,0
34,0,59652,Sam Bennett,0
34,0,40026,Daniel Berger,0
34,0,32252,Nino Bertasio,0
34,0,27909,Wil Besseling,0
34,0,54951,Aaron Beverly,0
34,0,45522,Christiaan Bezuidenhout,0
34,0,61065,Brandon Bingaman,0
34,0,55930,Fred Biondi,0
34,0,33803,Lucas Bjerregaard,0
34,0,34310,Alexander Björk,0
34,0,10944,Thomas Bjørn,0
34,0,45836,Richard Bland,0
34,0,27958,Ryan Blaum,0
34,0,27895,Jonas Blixt,0
34,0,22764,Michael Block,0
34,0,24507,Jason Bohn,0
34,0,63350,Albert Boneta,0
34,0,32199,Matthew Borchert,0
34,0,40009,Dominic Bozzelli,0
34,0,33141,Keegan Bradley,0
34,0,34255,Joseph Bramlett,0
34,0,61522,Michael Brennan,0
34,0,60004,Jacob Bridgeman,0
34,0,35582,Kristoffer Broberg,0
34,0,63342,Barclay Brown,0
34,0,29479,Scott Brown,0
34,0,35809,Steven Brown,0
34,0,01139,Olin Browne,0
34,0,36837,Julien Brun,0
34,0,48084,Wesley Bryan,0
34,0,55708,Hayden Buckley,0
34,0,58624,William Buhl,0
34,0,29268,Bronson Burgoon,0
34,0,33974,Dean Burmester,0
34,0,24925,Jonathan Byrd,0
34,0,58816,Marcus Byrd,0
34,0,26499,Rafa Cabrera Bello,0
34,0,01161,Mark Calcavecchia,0
34,0,32980,Jonathan Caldwell,0
34,0,56742,Brady Calkins,0
34,0,33921,Ben Campbell,0
34,0,32367,Jorge Campillo,0
34,0,32070,Rafael Campos,0
34,0,26500,Alejandro Cañizares,0
34,0,34362,Laurie Canter,0
34,0,34697,Yi Cao,0
34,0,48898,David Carey,0
34,0,28100,Kevin Carll,0
34,0,25364,Paul Casey,0
34,0,45734,John Catlin,0
34,0,45702,Rodolfo Cazaubòn,0
34,0,20472,Alex Cejka,0
34,0,52444,Filippo Celli,0
34,0,57492,Eugenio Chacarra,0
34,0,20593,Greg Chalmers,0
34,0,52372,Cameron Champ,0
34,0,32366,Kevin Chappell,0
34,0,46504,Ashley Chesters,0
34,0,28243,Min-gyu Cho,0
34,0,35540,Albin Choi,0
