RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,28237,Rory McIlroy,1.992,1.367,.602,.022,48
2,0,21209,Sergio Garcia,1.818,.382,1.150,.286,40
3,0,10809,Jim Furyk,1.705,.121,1.175,.408,66
4,0,32839,Hideki Matsuyama,1.545,.325,1.022,.198,64
5,0,22405,Justin Rose,1.506,.402,.744,.360,52
6,0,24502,Adam Scott,1.500,.725,.610,.166,56
7,0,25804,Bubba Watson,1.402,.967,.324,.111,56
8,0,26331,Charl Schwartzel,1.286,.550,.315,.421,54
9,0,27436,Graham DeLaet,1.262,.360,.895,.007,64
10,0,30925,Dustin Johnson,1.249,.730,.533,-.015,41
11,0,21528,Henrik Stenson,1.162,.650,.575,-.064,38
12,0,23108,Matt Kuchar,1.117,.210,.527,.380,76
13,0,25686,Jason Dufner,1.098,.316,.590,.192,42
14,0,28089,Jason Day,1.073,.495,.176,.402,33
15,0,31323,Gary Woodland,1.049,.581,.381,.087,73
16,0,23320,Ryan Palmer,.971,.760,.133,.078,67
17,0,32366,Kevin Chappell,.970,.386,.526,.058,87
18,0,24924,Bill Haas,.943,.296,.382,.265,82
19,0,33122,Russell Knox,.938,.221,.502,.215,83
20,0,26679,Kevin Stadler,.878,.505,.386,-.012,65
21,0,26289,Boo Weekley,.875,.732,.044,.099,56
22,0,36689,Brooks Koepka,.797,.425,.598,-.226,42
23,0,26596,Ryan Moore,.794,.253,.499,.041,62
24,0,25632,Jimmy Walker,.774,.119,.608,.048,73
25,0,26851,Marc Leishman,.766,.164,.546,.056,69
26,0,24024,Zach Johnson,.751,.145,.513,.093,84
27,0,33141,Keegan Bradley,.740,.430,.500,-.190,67
28,0,25364,Paul Casey,.725,-.013,.762,-.024,44
29,0,21961,Charles Howell III,.717,.498,.017,.201,95
30,0,12510,Chad Campbell,.709,.056,.641,.011,46
31,0,34099,Harris English,.706,.193,.465,.047,74
32,0,12716,Charley Hoffman,.691,.415,.301,-.026,76
33,0,27095,Nick Watney,.687,.298,.648,-.258,56
34,0,30944,Jason Kokrak,.686,.284,.476,-.074,61
35,0,06522,Ernie Els,.654,-.016,.141,.529,63
36,0,25396,Kevin Na,.638,-.100,.341,.397,78
37,0,01810,Phil Mickelson,.634,.201,.166,.266,50
38,0,34046,Jordan Spieth,.581,.034,.286,.260,79
39,0,29221,Webb Simpson,.580,-.027,.333,.275,74
40,0,33418,Shawn Stefani,.564,.412,.065,.086,57
41,0,33419,Cameron Tringale,.560,.008,.322,.230,98
42,0,06567,Vijay Singh,.554,.167,.126,.261,76
43,0,30110,Kyle Stanley,.552,.440,.623,-.511,72
43,0,34265,Will Wilcox,.552,.487,.203,-.138,40
45,0,25900,Lucas Glover,.539,.335,.469,-.265,47
46,0,24490,George McNeill,.528,-.061,.537,.053,70
47,0,29420,Billy Horschel,.518,.473,.132,-.087,69
48,0,28486,Michael Putnam,.517,.111,.469,-.063,91
49,0,20396,Lee Westwood,.495,.334,.037,.124,43
50,0,30926,Chris Kirk,.489,.033,.287,.169,86
51,0,32102,Rickie Fowler,.480,.264,.213,.003,62
52,0,27141,J.B. Holmes,.476,.509,-.317,.283,77
53,0,23623,Bo Van Pelt,.431,.048,.468,-.085,67
54,0,29289,S.Y. Noh,.427,-.268,.447,.248,75
55,0,02206,David Toms,.405,.083,.203,.120,54
56,0,27644,Brian Harman,.403,-.014,.296,.121,101
57,0,25274,Steven Bowditch,.399,-.002,.094,.307,78
58,0,29518,Brendan Steele,.398,.237,.222,-.062,70
59,0,25345,Carl Pettersson,.397,.294,.096,.006,85
60,0,24358,Robert Garrigus,.382,.362,.156,-.136,73
61,0,29425,Andrew Svoboda,.370,.111,.323,-.064,66
62,0,28500,Martin Flores,.362,-.001,.391,-.029,68
63,0,27408,Martin Kaymer,.355,.279,.370,-.294,48
64,0,35541,John Peterson,.340,.415,.539,-.614,55
65,0,20645,John Senden,.328,.224,.127,-.023,81
66,0,22293,Heath Slocum,.327,.203,.083,.041,62
