RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:OTT,MEASURED ROUNDS
1,0,28237,Rory McIlroy,1.367,65.623,48
2,0,25804,Bubba Watson,.967,54.142,56
3,0,23320,Ryan Palmer,.760,50.908,67
4,0,26289,Boo Weekley,.732,40.978,56
5,0,30925,Dustin Johnson,.730,29.941,41
6,0,24502,Adam Scott,.725,40.578,56
7,0,26329,Louis Oosthuizen,.724,21.712,30
8,0,24781,Hunter Mahan,.687,49.474,72
9,0,21528,Henrik Stenson,.650,24.701,38
10,0,27064,Jhonattan Vegas,.628,40.175,64
11,0,31323,Gary Woodland,.581,42.425,73
12,0,20848,Ángel Cabrera,.554,33.780,61
13,0,26331,Charl Schwartzel,.550,29.711,54
14,0,32334,Charlie Beljan,.523,35.066,67
15,0,27141,J.B. Holmes,.509,39.220,77
16,0,26679,Kevin Stadler,.505,32.801,65
17,0,21961,Charles Howell III,.498,47.349,95
18,0,28089,Jason Day,.495,16.326,33
19,0,34265,Will Wilcox,.487,19.478,40
20,0,29420,Billy Horschel,.473,32.665,69
21,0,27214,Kevin Streelman,.471,28.276,60
22,0,34431,Robert Streb,.461,29.513,64
23,0,25444,Justin Hicks,.456,41.022,90
24,0,30110,Kyle Stanley,.440,31.663,72
25,0,33141,Keegan Bradley,.430,28.812,67
26,0,36689,Brooks Koepka,.425,17.854,42
27,0,12716,Charley Hoffman,.415,31.568,76
27,0,35541,John Peterson,.415,22.835,55
29,0,33418,Shawn Stefani,.412,23.493,57
30,0,22405,Justin Rose,.402,20.906,52
31,0,32366,Kevin Chappell,.386,33.606,87
32,0,21209,Sergio Garcia,.382,15.283,40
33,0,29461,Jamie Lovemark,.374,17.567,47
34,0,24358,Robert Garrigus,.362,26.433,73
35,0,27436,Graham DeLaet,.360,23.013,64
36,0,23638,Brendon de Jonge,.339,31.213,92
37,0,25900,Lucas Glover,.335,15.756,47
38,0,20396,Lee Westwood,.334,14.349,43
39,0,32839,Hideki Matsuyama,.325,20.828,64
40,0,25686,Jason Dufner,.316,13.284,42
41,0,37273,Derek Ernst,.312,19.636,63
42,0,34264,Hudson Swafford,.305,17.702,58
43,0,31557,Jim Herman,.302,14.478,48
44,0,27095,Nick Watney,.298,16.662,56
45,0,24924,Bill Haas,.296,24.302,82
46,0,25345,Carl Pettersson,.294,25.022,85
47,0,30944,Jason Kokrak,.284,17.329,61
48,0,27408,Martin Kaymer,.279,13.411,48
49,0,29479,Scott Brown,.277,23.021,83
50,0,32102,Rickie Fowler,.264,16.340,62
51,0,30750,Tommy Gainey,.257,15.395,60
52,0,26596,Ryan Moore,.253,15.687,62
53,0,27330,Josh Teater,.239,17.941,75
54,0,27936,Martin Laird,.238,13.113,55
55,0,29518,Brendan Steele,.237,16.624,70
56,0,26300,Matt Jones,.236,14.137,60
57,0,20645,John Senden,.224,18.168,81
58,0,33122,Russell Knox,.221,18.350,83
59,0,35300,Andrew Loupe,.220,10.983,50
60,0,33413,Ben Martin,.213,13.410,63
61,0,23108,Matt Kuchar,.210,15.931,76
62,0,34098,Russell Henley,.205,15.359,75
63,0,22293,Heath Slocum,.203,12.581,62
64,0,01810,Phil Mickelson,.201,10.068,50
65,0,34099,Harris English,.193,14.315,74
66,0,23353,J.J. Henry,.192,15.006,78
67,0,28259,Sangmoon Bae,.179,11.625,65
68,0,01706,Davis Love III,.176,11.090,63
69,0,28780,Nicholas Thompson,.174,12.208,70
70,0,06567,Vijay Singh,.167,12.714,76
