RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:APP,MEASURED ROUNDS
1,0,10809,Jim Furyk,1.175,77.564,66
2,0,21209,Sergio Garcia,1.150,46.000,40
3,0,32839,Hideki Matsuyama,1.022,65.391,64
4,0,27436,Graham DeLaet,.895,57.292,64
5,0,25364,Paul Casey,.762,33.507,44
6,0,22405,Justin Rose,.744,38.674,52
7,0,27095,Nick Watney,.648,36.293,56
8,0,12510,Chad Campbell,.641,29.503,46
9,0,30110,Kyle Stanley,.623,44.868,72
10,0,24502,Adam Scott,.610,34.134,56
11,0,25632,Jimmy Walker,.608,44.366,73
12,0,28237,Rory McIlroy,.602,28.906,48
13,0,36689,Brooks Koepka,.598,25.101,42
14,0,25686,Jason Dufner,.590,24.769,42
15,0,21528,Henrik Stenson,.575,21.857,38
16,0,10885,Robert Allenby,.552,38.663,70
17,0,26851,Marc Leishman,.546,37.677,69
18,0,35541,John Peterson,.539,29.632,55
19,0,24490,George McNeill,.537,37.558,70
20,0,30925,Dustin Johnson,.533,21.858,41
21,0,23108,Matt Kuchar,.527,40.045,76
22,0,32366,Kevin Chappell,.526,45.740,87
23,0,24024,Zach Johnson,.513,43.088,84
24,0,33122,Russell Knox,.502,41.699,83
25,0,33141,Keegan Bradley,.500,33.484,67
26,0,26596,Ryan Moore,.499,30.957,62
27,0,30944,Jason Kokrak,.476,29.062,61
28,0,25900,Lucas Glover,.469,22.034,47
28,0,28486,Michael Putnam,.469,42.659,91
30,0,23623,Bo Van Pelt,.468,31.361,67
31,0,34099,Harris English,.465,34.433,74
32,0,29289,S.Y. Noh,.447,33.535,75
33,0,20229,Stewart Cink,.442,31.829,72
34,0,27770,Camilo Villegas,.413,34.726,84
35,0,24846,Ricky Barnes,.396,30.924,78
36,0,30852,Ryo Ishikawa,.395,24.497,62
37,0,28500,Martin Flores,.391,26.600,68
38,0,26679,Kevin Stadler,.386,25.076,65
39,0,24924,Bill Haas,.382,31.294,82
40,0,31323,Gary Woodland,.381,27.801,73
41,0,25572,Graeme McDowell,.379,17.411,46
42,0,27408,Martin Kaymer,.370,17.744,48
43,0,31193,Jim Renner,.367,19.093,52
44,0,25396,Kevin Na,.341,26.631,78
45,0,29221,Webb Simpson,.333,24.622,74
46,0,20104,Ken Duke,.329,21.683,66
47,0,25804,Bubba Watson,.324,18.156,56
48,0,29425,Andrew Svoboda,.323,21.327,66
49,0,33419,Cameron Tringale,.322,31.597,98
50,0,23983,Luke Donald,.315,13.879,44
50,0,26331,Charl Schwartzel,.315,17.009,54
52,0,12716,Charley Hoffman,.301,22.910,76
52,0,28780,Nicholas Thompson,.301,21.101,70
54,0,27644,Brian Harman,.296,29.890,101
55,0,28132,Tyrone Van Aswegen,.291,18.906,65
56,0,30926,Chris Kirk,.287,24.711,86
57,0,34046,Jordan Spieth,.286,22.604,79
58,0,32640,Troy Merritt,.261,14.375,55
59,0,10423,Mike Weir,.257,13.625,53
60,0,23135,Tim Clark,.253,15.671,62
61,0,27933,John Merrick,.252,18.122,72
62,0,29222,Billy Hurley III,.250,17.986,72
63,0,34563,Chesson Hadley,.242,17.147,71
64,0,29518,Brendan Steele,.222,15.555,70
65,0,08075,Jerry Kelly,.218,14.364,66
66,0,32102,Rickie Fowler,.213,13.200,62
67,0,02206,David Toms,.203,10.961,54
67,0,34265,Will Wilcox,.203,8.107,40
