RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,WGC POINTS
1,0,33293,Thomas Pieters,727,336
2,0,30911,Tommy Fleetwood,629,358
3,0,34363,Tyrrell Hatton,448,183
4,0,27896,Ross Fisher,446,380
5,0,27349,Alex Noren,415,204
6,0,27408,Martin Kaymer,360,103
7,0,40098,Matt Fitzpatrick,280,161
8,0,29454,Bernd Wiesberger,262,94
9,0,30163,Henrik Norlander,243,0
10,0,21498,Hideto Tanihara,228,179
11,0,35296,Haotong Li,218,5
12,0,20396,Lee Westwood,217,121
13,0,23063,Scott Hend,178,85
14,0,22000,Chris Wood,175,89
15,0,37380,Curtis Luck,153,0
16,0,32070,Rafael Campos,145,0
17,0,29484,Peter Uihlein,135,0
18,0,35314,Andy Sullivan,126,62
19,0,28300,Joost Luiten,118,107
20,0,33968,Thorbjørn Olesen,95,78
21,0,35174,Matthew Southgate,95,0
22,0,49964,Aaron Wise,93,0
23,0,27942,Rob Oppenheim,84,0
24,0,46464,Jordan L Smith,80,0
25,0,39958,Jeunghun Wang,79,16
26,0,24511,Thongchai Jaidee,76,47
27,0,46441,Robby Shelton,75,0
28,0,29939,Fabrizio Zanotti,72,71
29,0,34587,Chan Kim,72,0
30,0,45836,Richard Bland,71,28
31,0,28258,K.T. Kim,65,57
32,0,39546,Keith Mitchell,65,0
33,0,26908,Yuta Ikeda,62,13
34,0,49773,Chase Koepka,59,0
35,0,30736,Oscar Fraustro,59,0
36,0,47906,Austin Connelly,58,0
37,0,28486,Michael Putnam,58,0
38,0,34709,Eddie Pepperell,55,0
39,0,36521,Young-han Song,52,8
40,0,27899,Rikard Karlberg,52,52
41,0,32254,Xinjun Zhang,48,48
42,0,45157,Cam Davis,47,0
43,0,49298,Kramer Hickok,44,0
44,0,29531,Richie Ramsay,42,0
45,0,24459,Richard Sterne,40,9
46,0,33870,Ashun Wu,39,39
47,0,32816,Satoshi Kodaira,38,11
48,0,35461,Beau Hossler,34,0
49,0,45988,Brett Coletta,32,0
50,0,39251,Ryan Ruffels,30,0
51,0,24179,David Drysdale,29,0
52,0,47994,Lee McCoy,28,0
53,0,35225,Brandon Stone,28,4
54,0,34643,Michael Johnson,28,0
55,0,48117,Kurt Kitayama,27,0
56,0,34261,Scott Langley,27,0
57,0,33974,Dean Burmester,22,22
58,0,46048,Jordan Niebrugge,20,0
59,0,34362,Laurie Canter,18,0
60,0,35261,Miguel Tabuena,18,4
61,0,49633,Charlie Danielson,17,0
62,0,28783,Sam Brazel,17,17
63,0,28937,George Coetzee,16,16
63,0,37338,Zecheng Dou,16,16
65,0,39953,Chase Seiffert,15,0
66,0,34255,Joseph Bramlett,14,0
67,0,47996,Jack Maguire,14,0
68,0,47989,Sam Horsfield,14,0
69,0,24083,Marcus Fraser,14,9
70,0,37157,Renato Paratore,13,13
71,0,46154,Yi Keun Chang,11,0
71,0,28751,Andrew Dodt,11,0
73,0,22983,Bradley Dredge,10,10
73,0,24748,WC Liang,10,10
75,0,27330,Josh Teater,9,0
76,0,29078,Chan Shih-chang,9,5
77,0,26525,Grégory Bourdy,8,8
78,0,29930,Mike Hendry,8,8
79,0,26328,Shaun Norris,8,3
80,0,51766,Wyndham Clark,7,0
81,0,29936,Ryan Fox,7,0
82,0,50666,Matt Gilchrest,7,0
82,0,33904,Grant Leaver,7,0
84,0,49932,Jonathan Garrick,7,0
85,0,47363,Toby Tree,6,0
86,0,47741,Wesley McClain,6,0
87,0,24461,Thomas Aiken,6,0
87,0,34579,Alexander Levy,6,6
87,0,35107,Jordan Zunic,6,6
90,0,47986,Rich Berberian Jr.,6,0
91,0,45526,Abraham Ancer,6,0
91,0,33667,Carlos Ortiz,6,0
93,0,34168,Soomin Lee,6,3
94,0,28697,Gaganjeet Bhullar,6,0
95,0,19904,Paul Lawrie,5,5
96,0,36799,Stephan Jaeger,5,0
96,0,23821,Yusaku Miyazato,5,0
98,0,31670,Matthew Griffin,5,3
99,0,40162,Justin Lower,5,0
100,0,36326,David Lipsky,5,5
101,0,47663,Kevin Dougherty,5,0
101,0,29970,Dylan Frittelli,5,0
103,0,51316,Kenny Pigman,5,0
104,0,29772,Michael Lorenzo-Vera,4,0
105,0,46402,Talor Gooch,4,0
106,0,47610,Tyler Light,4,0
107,0,35376,Roberto Díaz,4,4
108,0,40055,Daniel Obremski,4,0
109,0,24077,Matthew Millar,4,4
110,0,21409,Chris Evans,4,0
110,0,39356,Alex Moon,4,0
112,0,37094,Joseph Dean,3,0
113,0,31273,Gavin Kyle Green,3,0
114,0,29670,Pablo Larrazabal,3,3
115,0,45582,Jared Sawada,3,0
116,0,32979,Jacques Blaauw,3,3
117,0,25203,SSP Chawrasia,3,0
118,0,49884,Cody Blick,3,0
119,0,45409,Huilin Zhang,3,3
120,0,35731,Kent Bulle,3,0
121,0,25108,Chip Deason,3,0
121,0,32698,Bobby Gates,3,0
121,0,35973,Nathan Holman,3,3
124,0,49303,Anders Albertson,2,0
124,0,37092,Hyung-Sung Kim,2,0
126,0,39004,Dru Love,2,0
127,0,23699,Danny Chia,2,0
128,0,47125,Matt Atkins,2,0
129,0,39460,Cyril Bouniol,2,0
