RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS PER EVENT,TOTAL POINTS
1,0,32839,Hideki Matsuyama,159.364,2868.547
2,0,30925,Dustin Johnson,154.126,2466.017
3,0,34046,Jordan Spieth,140.602,2671.429
4,0,33448,Justin Thomas,128.046,2688.960
5,0,32102,Rickie Fowler,107.763,1831.969
6,0,46970,Jon Rahm,92.290,1753.513
7,0,36689,Brooks Koepka,86.799,1735.979
8,0,21528,Henrik Stenson,82.982,1078.761
9,0,21209,Sergio Garcia,77.527,1085.376
10,0,40026,Daniel Berger,73.763,1622.778
11,0,28237,Rory McIlroy,72.996,802.953
12,0,22405,Justin Rose,71.108,995.515
13,0,29478,Kevin Kisner,67.151,1611.614
14,0,24361,Pat Perez,66.407,1460.951
15,0,35450,Patrick Cantlay,64.186,577.672
16,0,26329,Louis Oosthuizen,63.705,955.581
17,0,26851,Marc Leishman,63.061,1324.277
18,0,27644,Brian Harman,59.893,1557.227
19,0,23108,Matt Kuchar,57.293,1260.450
20,0,25364,Paul Casey,56.728,1134.560
21,0,25686,Jason Dufner,56.289,1125.772
22,0,33399,Adam Hadwin,56.132,1347.177
23,0,25198,Francesco Molinari,56.119,1010.136
24,0,29518,Brendan Steele,55.721,1225.871
25,0,12716,Charley Hoffman,55.493,1498.301
26,0,21961,Charles Howell III,55.117,1102.339
27,0,01226,Fred Couples,51.933,51.933
28,0,34098,Russell Henley,49.095,1129.186
29,0,26331,Charl Schwartzel,48.472,727.082
30,0,30110,Kyle Stanley,48.161,1204.015
31,0,31323,Gary Woodland,47.823,1052.104
32,0,28089,Jason Day,47.220,755.512
33,0,24138,Ian Poulter,44.706,760.000
34,0,27649,Brandt Snedeker,44.197,662.953
35,0,32366,Kevin Chappell,44.122,1014.798
36,0,29221,Webb Simpson,44.081,1057.939
37,0,24924,Bill Haas,42.983,945.631
38,0,24502,Adam Scott,42.826,642.393
39,0,29420,Billy Horschel,42.716,1067.904
40,0,24024,Zach Johnson,41.929,838.576
41,0,48084,Wesley Bryan,41.823,1045.571
42,0,48081,Xander Schauffele,41.178,988.281
43,0,29725,Tony Finau,40.970,1024.245
44,0,27064,Jhonattan Vegas,40.913,1022.837
45,0,01810,Phil Mickelson,38.651,734.372
46,0,26499,Rafa Cabrera Bello,38.458,615.329
47,0,34264,Hudson Swafford,36.831,920.776
48,0,35891,Cameron Smith,36.821,846.872
49,0,34360,Patrick Reed,35.823,895.586
50,0,46501,Ollie Schniederjans,35.263,881.581
51,0,31420,Anirban Lahiri,35.114,667.173
52,0,35506,Mackenzie Hughes,34.797,974.304
53,0,06527,Steve Stricker,34.169,410.023
54,0,24140,Sean O'Hair,32.148,707.250
55,0,26596,Ryan Moore,31.934,670.610
56,0,20572,Rod Pampling,31.495,629.895
57,0,29461,Jamie Lovemark,31.475,786.883
58,0,27963,Chris Stroud,31.365,627.295
59,0,37455,Si Woo Kim,31.078,839.105
60,0,27936,Martin Laird,30.734,676.155
61,0,25900,Lucas Glover,30.712,706.385
62,0,33141,Keegan Bradley,30.531,793.801
63,0,33122,Russell Knox,30.422,669.293
64,0,47959,Bryson DeChambeau,29.869,836.319
65,0,32448,James Hahn,28.459,711.470
66,0,29974,Branden Grace,28.334,510.009
67,0,27436,Graham DeLaet,27.836,640.231
68,0,27974,Sung Kang,27.513,797.872
69,0,35879,Kelly Kraft,26.900,672.499
70,0,34021,Bud Cauley,26.641,666.021
71,0,26476,Chez Reavie,26.634,665.852
72,0,27129,Luke List,26.463,740.976
73,0,32333,Kevin Tway,25.771,618.507
74,0,36699,Patrick Rodgers,25.549,638.725
75,0,25396,Kevin Na,25.409,584.403
76,0,20229,Stewart Cink,25.363,583.343
77,0,27895,Jonas Blixt,25.145,578.327
78,0,23983,Luke Donald,24.929,423.800
79,0,29479,Scott Brown,24.849,646.077
80,0,27141,J.B. Holmes,24.688,543.139
81,0,25818,Scott Piercy,24.181,531.986
82,0,29926,Danny Lee,24.041,697.178
83,0,31557,Jim Herman,24.035,552.800
84,0,34213,Grayson Murray,23.620,637.734
85,0,31646,Emiliano Grillo,23.561,518.347
86,0,12510,Chad Campbell,22.798,615.545
87,0,33204,Shane Lowry,22.579,361.265
88,0,27214,Kevin Streelman,22.542,541.009
89,0,33948,Byeong Hun An,22.292,468.128
90,0,25632,Jimmy Walker,21.931,438.623
91,0,34431,Robert Streb,21.382,577.318
92,0,33461,Morgan Hoffmann,20.935,565.255
93,0,34409,David Lingmerth,20.803,436.864
94,0,25240,D.A. Points,20.712,434.950
95,0,37454,Whee Kim,20.211,505.267
96,0,27770,Camilo Villegas,20.167,463.848
97,0,32757,Patton Kizzire,19.949,518.665
98,0,25804,Bubba Watson,19.857,397.132
99,0,39954,Cody Gribble,19.777,514.207
100,0,25493,Nick Taylor,19.711,532.184
101,0,29908,C.T. Pan,19.503,526.592
102,0,25572,Graeme McDowell,19.458,330.788
103,0,31202,William McGirt,19.202,499.246
104,0,24925,Jonathan Byrd,19.146,172.314
105,0,39324,J.J. Spaun,18.886,509.919
106,0,30944,Jason Kokrak,18.862,490.401
107,0,39975,Michael Kim,18.587,483.254
108,0,20691,Greg Owen,18.476,314.091
109,0,30926,Chris Kirk,17.959,466.928
110,0,24358,Robert Garrigus,17.939,448.467
111,0,19846,Brian Gay,17.738,425.722
112,0,27095,Nick Watney,17.563,386.375
113,0,23621,Rory Sabbatini,17.059,375.302
114,0,47128,Richy Werenski,16.919,422.975
115,0,30692,Scott Stallings,16.844,437.947
116,0,23320,Ryan Palmer,16.778,335.566
117,0,46550,Brandon Hagy,16.770,419.248
118,0,22986,Søren Kjeldsen,16.627,282.653
119,0,40009,Dominic Bozzelli,16.424,394.172
120,0,22046,Geoff Ogilvy,16.239,389.741
121,0,22371,Aaron Baddeley,16.235,324.702
122,0,35545,Blayne Barber,15.859,380.617
123,0,31416,Derek Fathauer,15.706,408.364
124,0,27958,Ryan Blaum,15.488,433.651
125,0,34099,Harris English,15.261,396.775
126,0,23548,Bill Lunde,15.131,121.049
127,0,29289,S.Y. Noh,14.867,446.010
128,0,23325,Vaughn Taylor,14.767,369.183
129,0,29223,Sam Saunders,14.757,354.170
130,0,28500,Martin Flores,14.729,382.959
131,0,33413,Ben Martin,14.556,378.461
132,0,48822,Sebastián Muñoz,14.184,241.133
133,0,34174,John Huh,14.151,382.067
134,0,46732,Rick Lamb,14.134,268.552
135,0,28252,Seamus Power,14.005,350.123
136,0,29222,Billy Hurley III,13.336,333.406
137,0,32150,Michael Thompson,13.253,278.317
138,0,28132,Tyrone Van Aswegen,13.139,407.301
139,0,23353,J.J. Henry,13.045,365.252
140,0,37189,Harold Varner III,12.940,375.270
141,0,10809,Jim Furyk,12.869,231.636
142,0,22056,Cameron Percy,12.672,291.458
143,0,26300,Matt Jones,12.379,247.582
144,0,26758,David Hearn,12.364,358.548
145,0,26951,Johnson Wagner,12.362,321.422
146,0,10213,Dicky Pride,12.142,84.993
147,0,46440,Smylie Kaufman,12.138,315.583
148,0,49771,J.T. Poston,12.135,339.793
149,0,33419,Cameron Tringale,12.046,337.295
150,0,25834,Daniel Summerhays,11.985,347.565
151,0,23497,Tag Ridings,11.852,237.049
152,0,46601,Trey Mullinax,11.772,329.626
153,0,25720,Chad Collins,11.747,305.432
154,0,40058,Zac Blair,11.379,364.121
155,0,22892,Jason Gore,11.250,56.250
156,0,19803,Ryan Armour,11.087,221.735
157,0,35532,Tom Hoge,10.998,186.972
158,0,23541,Ben Crane,10.806,280.958
159,0,20157,Retief Goosen,10.779,204.800
160,0,25349,Tim Wilkinson,10.588,232.929
161,0,24846,Ricky Barnes,10.464,324.390
162,0,35541,John Peterson,10.193,152.889
163,0,34358,Jonathan Randolph,10.034,220.747
164,0,30191,Julián Etulain,10.013,220.284
165,0,20472,Alex Cejka,9.851,275.831
166,0,19824,Craig Barlow,9.658,28.973
167,0,01706,Davis Love III,9.504,123.557
