RANK,MOVEMENT,PLAYER_ID,PLAYER,%,POINTS WON,POTENTIAL PTS,# OF WINS,# OF TOP 10'S
1,0,32839,Hideki Matsuyama,29.57,2869,9700,3,7
2,0,30925,Dustin Johnson,28.67,2466,8600,3,7
3,0,34046,Jordan Spieth,26.32,2671,10150,3,8
4,0,33448,Justin Thomas,24.01,2689,11200,4,9
5,0,32102,Rickie Fowler,20.02,1832,9150,1,9
6,0,46970,Jon Rahm,17.28,1754,10150,1,7
7,0,36689,Brooks Koepka,16.22,1736,10700,1,6
8,0,21528,Henrik Stenson,15.09,1079,7150,1,3
9,0,21209,Sergio Garcia,14.10,1085,7700,1,2
10,0,40026,Daniel Berger,13.87,1623,11700,1,6
11,0,22405,Justin Rose,13.10,996,7600,0,4
12,0,28237,Rory McIlroy,12.95,803,6200,0,6
13,0,29478,Kevin Kisner,12.69,1612,12700,1,7
14,0,24361,Pat Perez,12.54,1461,11650,1,5
15,0,35450,Patrick Cantlay,12.29,578,4700,0,2
16,0,26851,Marc Leishman,11.93,1324,11100,1,5
17,0,26329,Louis Oosthuizen,11.65,956,8200,0,3
18,0,27644,Brian Harman,11.58,1557,13450,1,7
19,0,23108,Matt Kuchar,10.77,1260,11700,0,6
20,0,21961,Charles Howell III,10.75,1102,10250,0,5
21,0,33399,Adam Hadwin,10.73,1347,12550,1,5
22,0,12716,Charley Hoffman,10.66,1498,14050,0,7
23,0,25364,Paul Casey,10.60,1135,10700,0,6
24,0,25686,Jason Dufner,10.57,1126,10650,1,2
25,0,29518,Brendan Steele,10.52,1226,11650,1,4
26,0,25198,Francesco Molinari,10.41,1010,9700,0,5
27,0,34098,Russell Henley,9.53,1129,11850,1,4
28,0,30110,Kyle Stanley,9.37,1204,12850,1,5
29,0,24138,Ian Poulter,9.05,760,8400,0,2
30,0,31323,Gary Woodland,8.99,1052,11700,0,5
31,0,26331,Charl Schwartzel,8.87,727,8200,0,3
32,0,28089,Jason Day,8.79,756,8600,0,3
33,0,01226,Fred Couples,8.66,52,600,0
34,0,27649,Brandt Snedeker,8.50,663,7800,0,4
35,0,29221,Webb Simpson,8.43,1058,12550,0,4
36,0,32366,Kevin Chappell,8.32,1015,12200,1,4
37,0,48081,Xander Schauffele,8.27,988,11950,1,3
38,0,29420,Billy Horschel,8.25,1068,12950,1,4
39,0,48084,Wesley Bryan,8.20,1046,12750,1,5
40,0,24924,Bill Haas,8.08,946,11700,0,3
41,0,29725,Tony Finau,8.00,1024,12800,0,6
42,0,24502,Adam Scott,7.88,642,8150,0,4
43,0,24024,Zach Johnson,7.87,839,10650,0,4
