RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
1,0,01226,Fred Couples,69.375,5856,- 28.491,84
2,0,01968,Nick Price,69.606,6910,- 18.990,99
3,0,01633,Tom Kite,69.688,6374,- 32.369,91
4,0,01355,Raymond Floyd,69.692,4205,- 23.487,60
5,0,01706,Davis Love III,69.850,6444,- 17.815,92
6,0,01042,Paul Azinger,69.854,6025,- 17.589,86
7,0,01876,Greg Norman,69.875,4083,- 30.224,58
8,0,01690,Bruce Lietzke,69.910,4625,- 10.933,66
9,0,01219,John Cook,69.918,5526,- 2.467,79
10,0,01313,Steve Elkington,69.944,6015,.158,86
11,0,01887,Mark O'Meara,69.982,5677,- 8.429,81
12,0,02104,Jeff Sluman,70.003,7798,- 27.722,111
13,0,01457,Jay Haas,70.021,7302,- 19.798,104
14,0,01331,Rick Fehr,70.111,5960,- .601,85
15,0,01928,Corey Pavin,70.192,6258,- 10.883,89
16,0,01361,Dan Forsman,70.203,7662,- 9.834,109
16,0,01677,Tom Lehman,70.203,7220,10.871,103
18,0,01132,Mark Brooks,70.220,7538,- 24.431,107
19,0,02146,Payne Stewart,70.297,5774,- 9.619,82
20,0,02246,Duffy Waldorf,70.301,6048,- 2.125,86
21,0,01837,Gil Morgan,70.320,6122,- 4.179,87
22,0,01385,Jim Gallagher Jr.,70.356,7396,- 8.663,105
23,0,01960,Don Pooley,70.366,4031,- 20.124,57
24,0,02010,Loren Roberts,70.411,7158,23.962,102
25,0,01724,Jeff Maggert,70.458,6267,3.806,89
26,0,01378,David Frost,70.460,5735,- 27.730,81
27,0,01072,Chip Beck,70.471,6271,.895,89
27,0,01129,Bill Britton,70.471,5937,- 17.433,84
29,0,01306,David Edwards,70.494,6618,8.390,94
30,0,01577,Lee Janzen,70.527,7348,- 13.223,104
31,0,01444,Ken Green,70.589,6158,- 16.717,87
32,0,01200,Keith Clearwater,70.599,7538,16.058,107
32,0,01553,John Huston,70.599,7397,15.932,105
34,0,01235,Ben Crenshaw,70.619,5797,- 6.212,82
34,0,02133,Craig Stadler,70.619,5818,- 27.238,82
36,0,02242,Lanny Wadkins,70.637,6169,- 23.555,87
37,0,01353,Bruce Fleisher,70.638,7211,- 5.917,102
38,0,01329,Brad Faxon,70.675,6323,- 32.901,89
39,0,02049,Gene Sauers,70.705,5512,2.988,78
40,0,01938,David Peoples,70.743,7001,2.533,99
41,0,01823,Larry Mize,70.757,5723,8.308,81
42,0,02267,D.A. Weibring,70.762,5751,- 19.272,81
43,0,02225,Howard Twitty,70.777,6013,3.027,85
44,0,01196,Brian Claar,70.783,7019,- 11.481,99
44,0,01549,Mike Hulbert,70.783,7792,- 5.818,110
46,0,02101,Joey Sindelar,70.789,7593,- 18.547,107
47,0,01133,Billy Ray Brown,70.801,5340,- 29.927,75
48,0,01766,Billy Mayfair,70.825,8074,.084,114
49,0,02190,Doug Tewell,70.841,5351,32.893,76
50,0,01723,Andrew Magee,70.846,6809,- 7.803,96
51,0,01797,Rocco Mediate,70.850,5822,- 12.338,82
52,0,01510,Nolan Henke,70.867,6092,2.593,86
53,0,01261,Jay Delsing,70.868,6596,- 5.309,93
54,0,01771,Blaine McCallister,70.894,6823,- 17.135,96
55,0,01323,Brad Fabel,70.899,6666,- 1.534,94
56,0,01143,Brad Bryant,70.909,8028,- 15.239,113
57,0,01203,Russ Cochran,70.926,6817,- 8.121,96
58,0,01522,Lon Hinkle,70.931,4123,- 9.004,58
59,0,06090,Jim McGovern,70.936,7163,1.547,101
60,0,01049,Ian Baker-Finch,70.950,4284,- 27.025,60
61,0,01475,Donnie Hammond,70.961,4684,- .545,66
62,0,01098,Jay Don Blake,70.963,5539,- 3.865,78
63,0,01783,Mark McCumber,70.970,5773,- 24.459,81
64,0,01307,Joel Edwards,71.017,3848,- 13.063,54
65,0,01945,Kenny Perry,71.022,5891,3.785,83
66,0,01996,Mike Reid,71.026,5487,- 18.001,77
67,0,02067,Ted Schulz,71.027,7550,- 21.142,106
68,0,02279,Mark Wiebe,71.028,5891,4.303,83
69,0,02111,Mike Smith,71.034,7526,3.649,106
