RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (INCHES),ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
1,0,12510,Chad Campbell,38' 6",99741,216,8311.750,+13.00
2,0,07867,Woody Austin,38' 7",138493,299,11541.083,+16.00
3,0,12661,Todd Barranger,39' 3",118730,252,9894.167,+54.00
4,0,02214,Kirk Triplett,39' 4",86344,183,7195.333,+5.00
5,0,22913,John Rollins,39' 6",70636,149,5886.333,+27.00
6,0,10733,Kent Jones,39' 9",77807,163,6483.917,+3.00
7,0,02101,Joey Sindelar,40' 4",100571,208,8380.917,+29.00
8,0,20229,Stewart Cink,40' 5",131496,271,10958.000,+28.00
9,0,02246,Duffy Waldorf,40' 8",95741,196,7978.417,+9.00
10,0,01161,Mark Calcavecchia,40' 9",96411,197,8034.250,+17.00
11,0,10107,Deane Pappas,40' 11",115827,236,9652.250,+11.00
12,0,01035,Tommy Armour III,41' 0",75743,154,6311.917,+16.00
13,0,06573,Brandt Jobe,41' 1",98163,199,8180.250,+4.00
14,0,07223,Brian Bateman,41' 2",84967,172,7080.583,+20.00
14,0,12662,Thomas Levet,41' 2",109078,221,9089.833,+29.00
16,0,06809,Bob Burns,41' 3",92990,188,7749.167,+48.00
16,0,01553,John Huston,41' 3",94137,190,7844.750,+24.00
18,0,12652,Cameron Beckman,41' 4",106078,214,8839.833,+21.00
18,0,11032,Frank Lickliter II,41' 4",112698,227,9391.500,+48.00
20,0,06332,Neal Lancaster,41' 5",172033,346,14336.083,+29.00
21,0,20663,Brenden Pappas,41' 7",157243,315,13103.583,+29.00
22,0,06621,Joe Durant,41' 8",91083,182,7590.250,+31.00
23,0,19846,Brian Gay,41' 11",119104,237,9925.333,+31.00
24,0,08931,Glen Day,42' 0",126495,251,10541.250,+32.00
24,0,10565,Ian Leggatt,42' 0",96187,191,8015.583,+33.00
26,0,26950,John Morgan,42' 1",131320,260,10943.333,+44.00
27,0,23135,Tim Clark,42' 2",66747,132,5562.250,+26.00
27,0,01619,Skip Kendall,42' 2",108282,214,9023.500,+18.00
27,0,02002,John Riegger,42' 2",56627,112,4718.917,+6.00
30,0,08337,Mike Heinen,42' 3",109085,215,9090.417,+24.00
31,0,21806,Paul Gow,42' 4",99594,196,8299.500,+12.00
31,0,01707,Steve Lowery,42' 4",101169,199,8430.750,+30.00
31,0,01723,Andrew Magee,42' 4",136055,268,11337.917,+12.00
31,0,08547,John Maginnes,42' 4",92372,182,7697.667,+23.00
31,0,22046,Geoff Ogilvy,42' 4",123562,243,10296.833,+20.00
36,0,08123,Jeff Brehaut,42' 5",143166,281,11930.500,+36.00
37,0,20472,Alex Cejka,42' 6",103975,204,8664.583,+21.00
37,0,23552,Hank Kuehne,42' 6",137310,269,11442.500,+5.00
37,0,10912,Craig Perks,42' 6",113247,222,9437.250,+37.00
37,0,25450,Ty Tryon,42' 6",78488,154,6540.667,+14.00
37,0,10425,Jay Williamson,42' 6",106027,208,8835.583,+34.00
42,0,23983,Luke Donald,42' 7",91011,178,7584.250,+48.00
43,0,06567,Vijay Singh,42' 8",133650,261,11137.500,-11.00
44,0,02170,Hal Sutton,42' 9",70254,137,5854.500,+23.00
45,0,02206,David Toms,42' 10",96591,188,8049.250,+18.00
45,0,12755,Vance Veazey,42' 10",102887,200,8573.917,+35.00
47,0,08725,Tom Gillis,42' 11",79768,155,6647.333,+19.00
47,0,24361,Pat Perez,42' 11",123017,239,10251.417,+50.00
49,0,01249,John Daly,43' 0",97518,189,8126.500,+35.00
50,0,07721,Pat Bates,43' 2",122264,236,10188.667,+15.00
50,0,20157,Retief Goosen,43' 2",77226,149,6435.500,+8.00
50,0,01810,Phil Mickelson,43' 2",126903,245,10575.250,+20.00
50,0,20548,Hidemichi Tanaka,43' 2",120722,233,10060.167,+43.00
54,0,24356,Jason Buha,43' 4",87366,168,7280.500,+21.00
54,0,08537,J.P. Hayes,43' 4",84785,163,7065.417,+37.00
56,0,06034,Marco Dawson,43' 5",112020,215,9335.000,+27.00
56,0,01948,Tim Petrovic,43' 5",128121,246,10676.750,+28.00
58,0,20498,Briny Baird,43' 6",134169,257,11180.750,+10.00
58,0,23614,Rich Beem,43' 6",97526,187,8127.167,+31.00
58,0,20572,Rod Pampling,43' 6",98691,189,8224.250,+29.00
58,0,20436,Garrett Willis,43' 6",118531,227,9877.583,+60.00
62,0,20098,Stuart Appleby,43' 7",108879,208,9073.250,+17.00
62,0,20940,Kenichi Kuboya,43' 7",123871,237,10322.583,+42.00
64,0,07457,Steve Flesch,43' 8",150273,287,12522.750,+41.00
64,0,12823,Carlos Franco,43' 8",166747,318,13895.583,+19.00
64,0,01388,Robert Gamez,43' 8",157087,300,13090.583,+55.00
64,0,08339,Spike McRoy,43' 8",127270,243,10605.833,+49.00
68,0,23656,Jason Caron,43' 9",116053,221,9671.083,+38.00
68,0,23338,David Gossett,43' 9",118617,226,9884.750,+29.00
68,0,01475,Donnie Hammond,43' 9",116092,221,9674.333,+45.00
68,0,20094,Jonathan Kaye,43' 9",120286,229,10023.833,+51.00
72,0,01887,Mark O'Meara,43' 11",63290,120,5274.167,+28.00
73,0,01042,Paul Azinger,44' 0",110776,210,9231.333,+45.00
73,0,24925,Jonathan Byrd,44' 0",124589,236,10382.417,+44.00
75,0,01157,Tom Byrum,44' 1",99902,189,8325.167,+36.00
75,0,06251,Chris DiMarco,44' 1",111164,210,9263.667,+16.00
75,0,20127,Chris Riley,44' 1",109587,207,9132.250,+22.00
78,0,06004,Stephen Ames,44' 3",118312,223,9859.333,+21.00
78,0,01941,Tom Pernice Jr.,44' 3",144546,272,12045.500,+23.00
80,0,19972,José Coceres,44' 4",74502,140,6208.500,+26.00
80,0,10213,Dicky Pride,44' 4",97931,184,8160.917,+21.00
80,0,23621,Rory Sabbatini,44' 4",121841,229,10153.417,+33.00
80,0,02239,Scott Verplank,44' 4",101104,190,8425.333,+33.00
84,0,22892,Jason Gore,44' 5",138062,259,11505.167,+40.00
84,0,20634,Peter Lonard,44' 5",117697,221,9808.083,+33.00
84,0,02049,Gene Sauers,44' 5",100174,188,8347.833,+47.00
84,0,10423,Mike Weir,44' 5",84741,159,7061.750,+7.00
88,0,19881,Robert Damron,44' 6",94989,178,7915.750,+42.00
88,0,08633,Per-Ulrik Johansson,44' 6",130287,244,10857.250,+53.00
88,0,20095,Carl Paulson,44' 6",131471,246,10955.917,+47.00
88,0,02106,Chris Smith,44' 6",111161,208,9263.417,+42.00
88,0,12602,Dean Wilson,44' 6",116859,219,9738.250,+27.00
93,0,20099,Doug Barron,44' 7",125779,235,10481.583,+55.00
93,0,21961,Charles Howell III,44' 7",166922,312,13910.167,+15.00
93,0,25345,Carl Pettersson,44' 7",113877,213,9489.750,+38.00
93,0,01968,Nick Price,44' 7",74845,140,6237.083,+26.00
93,0,08375,Paul Stankowski,44' 7",93092,174,7757.667,+29.00
98,0,21739,Aaron Barber,44' 8",121780,227,10148.333,+40.00
98,0,01132,Mark Brooks,44' 8",114794,214,9566.167,+39.00
100,0,06575,Dudley Hart,44' 9",80527,150,6710.583,+18.00
100,0,01945,Kenny Perry,44' 9",93488,174,7790.667,+26.00
100,0,07749,Brett Quigley,44' 9",149716,279,12476.333,+51.00
103,0,22371,Aaron Baddeley,44' 10",118795,221,9899.583,+23.00
103,0,19824,Craig Barlow,44' 10",119411,222,9950.917,+45.00
105,0,01098,Jay Don Blake,44' 11",91009,169,7584.083,+48.00
105,0,12388,Michael Clark II,44' 11",79238,147,6603.167,+28.00
105,0,21805,Harrison Frazar,44' 11",114747,213,9562.250,+14.00
105,0,21209,Sergio Garcia,44' 11",67851,126,5654.250,+16.00
105,0,02104,Jeff Sluman,44' 11",123350,229,10279.167,+41.00
110,0,01928,Corey Pavin,45' 0",103051,191,8587.583,+20.00
111,0,23125,Brad Elder,45' 1",63296,117,5274.667,+19.00
111,0,10860,Justin Leonard,45' 1",88204,163,7350.333,+9.00
113,0,20623,Gavin Coles,45' 2",70459,130,5871.583,+35.00
113,0,10809,Jim Furyk,45' 2",85025,157,7085.417,+32.00
113,0,01938,David Peoples,45' 2",107803,199,8983.583,+27.00
116,0,22295,Darron Stiles,45' 3",108056,199,9004.667,+31.00
117,0,08545,Glen Hnatiuk,45' 4",91912,169,7659.333,+35.00
117,0,10585,Scott McCarron,45' 4",110490,203,9207.500,+13.00
117,0,06515,Shaun Micheel,45' 4",134917,248,11243.083,+46.00
117,0,06078,Esteban Toledo,45' 4",141469,260,11789.083,+39.00
121,0,01361,Dan Forsman,45' 5",139033,255,11586.083,+16.00
122,0,23541,Ben Crane,45' 6",138623,254,11551.917,+44.00
123,0,01226,Fred Couples,45' 7",80956,148,6746.333,+13.00
124,0,20771,Steven Alker,45' 8",109520,200,9126.667,+24.00
124,0,07941,Mike Grob,45' 8",92616,169,7718.000,+60.00
126,0,06643,Paul Goydos,45' 9",103273,188,8606.083,+40.00
126,0,01666,Bernhard Langer,45' 9",71951,131,5995.917,+26.00
128,0,23036,Chris Anderson,45' 10",122733,223,10227.750,+34.00
128,0,20593,Greg Chalmers,45' 10",165148,300,13762.333,+44.00
128,0,20628,Arron Oberholser,45' 10",113891,207,9490.917,+24.00
128,0,11011,Mike Sposa,45' 10",116503,212,9708.583,+19.00
132,0,20573,Scott Laycock,46' 0",105433,191,8786.083,+29.00
133,0,25031,Andy Miller,46' 1",119359,216,9946.583,+30.00
133,0,02223,Bob Tway,46' 1",128733,233,10727.750,+29.00
135,0,12705,Cliff Kresge,46' 2",131396,237,10949.667,+24.00
135,0,12660,Jesper Parnevik,46' 2",132889,240,11074.083,+38.00
137,0,21633,Steve Allan,46' 3",90410,163,7534.167,+23.00
137,0,20121,Todd Fischer,46' 3",144338,260,12028.167,+54.00
137,0,10201,Matt Gogel,46' 3",91056,164,7588.000,+34.00
137,0,23108,Matt Kuchar,46' 3",84391,152,7032.583,+39.00
137,0,20568,Anthony Painter,46' 3",139752,252,11646.000,+54.00
142,0,24357,K.J. Choi,46' 4",152784,275,12732.000,+59.00
142,0,12782,Tim Herron,46' 4",140094,252,11674.500,+45.00
142,0,01569,Peter Jacobsen,46' 4",81150,146,6762.500,+30.00
145,0,01381,Fred Funk,46' 5",92511,166,7709.250,+31.00
145,0,25692,Akio Sadakata,46' 5",114264,205,9522.000,+56.00
145,0,20645,John Senden,46' 5",148264,266,12355.333,+22.00
