RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL ROUGH,POSSIBLE FWYS,RELATIVE TO PAR
1,0,26596,Ryan Moore,16.70,147,880,+0.61
2,0,26476,Chez Reavie,17.85,174,975,+0.69
3,0,19803,Ryan Armour,19.18,200,1043,+1.25
4,0,10809,Jim Furyk,19.65,156,794,+1.47
5,0,21528,Henrik Stenson,20.62,120,582,+1.92
6,0,33410,Andrew Landry,20.93,190,908,+1.47
7,0,46435,Austin Cook,20.95,154,735,+0.97
8,0,19846,Brian Gay,20.96,210,1002,+1.29
9,0,31557,Jim Herman,20.98,111,529,+0.99
9,0,25198,Francesco Molinari,20.98,124,591,+0.81
11,0,32150,Michael Thompson,21.22,192,905,+1.04
12,0,29478,Kevin Kisner,21.66,214,988,+0.79
13,0,32640,Troy Merritt,21.82,170,779,+0.82
14,0,23325,Vaughn Taylor,21.84,249,1140,+0.56
15,0,31560,Brian Stuard,21.96,235,1070,+0.89
16,0,25686,Jason Dufner,22.01,175,795,+1.66
17,0,27644,Brian Harman,22.09,218,987,+0.50
18,0,31646,Emiliano Grillo,22.14,170,768,+1.29
19,0,35449,Adam Long,22.26,211,948,+1.66
20,0,30110,Kyle Stanley,22.43,172,767,+2.21
21,0,34076,Joel Dahmen,22.63,239,1056,+0.71
22,0,34098,Russell Henley,22.67,192,847,+0.83
23,0,29535,Brice Garnett,22.97,209,910,+0.67
24,0,40098,Matt Fitzpatrick,23.02,119,517,+0.92
25,0,23621,Rory Sabbatini,23.18,245,1057,+0.16
26,0,33399,Adam Hadwin,23.29,201,863,+0.75
27,0,32200,Roberto Castro,23.34,201,861,+1.24
28,0,30786,Brady Schnell,23.49,128,545,+0.78
29,0,34261,Scott Langley,23.54,210,892,+1.95
30,0,27214,Kevin Streelman,23.57,226,959,+0.09
31,0,45609,Tyler Duncan,23.59,214,907,+1.50
32,0,25818,Scott Piercy,23.65,232,981,+1.08
33,0,24024,Zach Johnson,23.78,175,736,+1.03
34,0,33141,Keegan Bradley,23.82,223,936,+0.94
35,0,20472,Alex Cejka,23.96,133,555,+1.28
36,0,49298,Kramer Hickok,24.00,197,821,+0.96
37,0,45526,Abraham Ancer,24.02,238,991,+0.25
38,0,37455,Si Woo Kim,24.09,198,822,-0.15
39,0,28679,Fabián Gómez,24.11,162,672,+0.56
40,0,26329,Louis Oosthuizen,24.29,162,667,+1.36
41,0,40026,Daniel Berger,24.33,200,822,+0.50
41,0,35376,Roberto Díaz,24.33,172,707,+1.10
43,0,29420,Billy Horschel,24.51,236,963,+1.27
44,0,29518,Brendan Steele,24.54,174,709,+1.21
45,0,25900,Lucas Glover,24.73,278,1124,+0.25
46,0,24361,Pat Perez,24.74,141,570,+1.63
47,0,23320,Ryan Palmer,24.75,175,707,-0.06
48,0,34021,Bud Cauley,24.76,253,1022,+0.24
49,0,30978,Kiradech Aphibarnrat,24.80,155,625,+1.81
50,0,40115,Adam Svensson,24.87,190,764,+0.37
51,0,29268,Bronson Burgoon,24.89,163,655,+1.60
52,0,47993,Denny McCarthy,24.90,238,956,-0.34
53,0,25364,Paul Casey,24.97,192,769,-0.16
53,0,28775,Nate Lashley,24.97,191,765,E
55,0,39327,Ben Silverman,25.00,195,780,+0.72
56,0,29479,Scott Brown,25.11,238,948,+0.97
