RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),TOTAL STROKES
1,0,19803,Ryan Armour,18' 3",4813.583,264
2,0,40098,Matt Fitzpatrick,18' 10",2698.833,143
3,0,26596,Ryan Moore,19' 2",3870.167,202
4,0,39997,Corey Conners,19' 8",5919.333,301
4,0,26758,David Hearn,19' 8",2934.083,149
6,0,34098,Russell Henley,19' 11",5101.250,256
7,0,10809,Jim Furyk,20' 1",3801.000,189
8,0,45526,Abraham Ancer,20' 7",5545.000,269
9,0,47990,Kyle Jones,21' 0",4953.083,236
9,0,34261,Scott Langley,21' 0",5540.250,264
11,0,29535,Brice Garnett,21' 1",5436.917,258
12,0,30110,Kyle Stanley,21' 2",4401.833,208
13,0,26476,Chez Reavie,21' 3",4511.250,212
14,0,31557,Jim Herman,21' 6",3135.417,146
15,0,29479,Scott Brown,21' 10",6722.917,308
16,0,24138,Ian Poulter,21' 11",4521.333,206
17,0,28679,Fabián Gómez,22' 0",4489.667,204
18,0,23325,Vaughn Taylor,22' 2",7394.417,333
19,0,49298,Kramer Hickok,22' 5",5471.083,244
19,0,33410,Andrew Landry,22' 5",5488.833,245
21,0,32816,Satoshi Kodaira,22' 6",5192.000,231
21,0,23108,Matt Kuchar,22' 6",6199.750,276
21,0,27649,Brandt Snedeker,22' 6",8614.167,383
21,0,32150,Michael Thompson,22' 6",6115.833,272
25,0,33399,Adam Hadwin,22' 7",6107.083,270
26,0,26329,Louis Oosthuizen,22' 8",4518.417,199
27,0,24024,Zach Johnson,22' 9",5093.333,224
27,0,29478,Kevin Kisner,22' 9",6237.000,274
29,0,27644,Brian Harman,22' 10",6856.417,300
29,0,39971,Sungjae Im,22' 10",10446.917,457
29,0,47128,Richy Werenski,22' 10",8481.750,372
32,0,26951,Johnson Wagner,23' 2",5007.250,216
33,0,25364,Paul Casey,23' 3",5122.000,220
33,0,45609,Tyler Duncan,23' 3",6230.667,268
35,0,46435,Austin Cook,23' 4",4754.583,204
36,0,35732,Wes Roach,23' 7",5282.583,224
36,0,30786,Brady Schnell,23' 7",4127.750,175
38,0,32058,José de Jesús Rodríguez,23' 11",6435.500,269
38,0,23621,Rory Sabbatini,23' 11",7593.250,318
38,0,27330,Josh Teater,23' 11",6417.500,268
41,0,30911,Tommy Fleetwood,24' 0",5263.917,219
42,0,20572,Rod Pampling,24' 1",4977.333,207
42,0,31560,Brian Stuard,24' 1",6860.333,285
44,0,19846,Brian Gay,24' 2",7021.250,291
44,0,29908,C.T. Pan,24' 2",7065.583,292
46,0,34363,Tyrrell Hatton,24' 4",4533.667,186
46,0,23353,J.J. Henry,24' 4",4844.667,199
48,0,26499,Rafa Cabrera Bello,24' 5",4952.417,203
49,0,27214,Kevin Streelman,24' 6",7383.083,301
49,0,40115,Adam Svensson,24' 6",6159.833,251
51,0,31646,Emiliano Grillo,24' 8",5418.250,220
51,0,29221,Webb Simpson,24' 8",6974.917,283
53,0,35532,Tom Hoge,24' 9",8744.750,353
53,0,25493,Nick Taylor,24' 9",10281.917,415
55,0,45486,Joaquin Niemann,24' 10",10271.750,414
56,0,49771,J.T. Poston,24' 11",10733.417,431
56,0,39327,Ben Silverman,24' 11",6319.500,254
58,0,21961,Charles Howell III,25' 0",8760.500,350
59,0,25900,Lucas Glover,25' 1",9096.167,363
59,0,32791,K.H. Lee,25' 1",7181.000,286
59,0,37340,Chase Wright,25' 1",6989.500,279
62,0,35449,Adam Long,25' 2",7399.667,294
63,0,35376,Roberto Díaz,25' 3",5495.750,218
63,0,25686,Jason Dufner,25' 3",5637.583,223
63,0,21528,Henrik Stenson,25' 3",3689.583,146
63,0,33448,Justin Thomas,25' 3",7222.917,286
67,0,47993,Denny McCarthy,25' 4",8071.667,319
68,0,21209,Sergio Garcia,25' 5",4676.000,184
68,0,33122,Russell Knox,25' 5",6812.250,268
68,0,25572,Graeme McDowell,25' 5",6027.250,237
71,0,27958,Ryan Blaum,25' 6",9072.417,356
71,0,49766,Hank Lebioda,25' 6",6956.750,273
73,0,34076,Joel Dahmen,25' 7",8249.417,322
73,0,25818,Scott Piercy,25' 7",7436.833,291
75,0,37275,Sam Ryder,25' 8",7332.000,286
76,0,47959,Bryson DeChambeau,25' 9",7343.833,285
77,0,34099,Harris English,26' 0",10144.417,390
77,0,29970,Dylan Frittelli,26' 0",8896.167,342
77,0,24361,Pat Perez,26' 0",4996.583,192
80,0,28259,Sangmoon Bae,26' 1",5139.500,197
80,0,25198,Francesco Molinari,26' 1",4064.250,156
80,0,33486,Roger Sloan,26' 1",9812.250,376
83,0,24781,Hunter Mahan,26' 2",5696.583,218
84,0,33667,Carlos Ortiz,26' 3",9013.083,343
84,0,47347,Adam Schenk,26' 3",11169.250,426
84,0,34264,Hudson Swafford,26' 3",7085.167,270
87,0,29420,Billy Horschel,26' 4",8384.917,318
87,0,37455,Si Woo Kim,26' 4",6931.083,263
87,0,34256,Andrew Putnam,26' 4",7615.750,289
87,0,29518,Brendan Steele,26' 4",5847.583,222
87,0,31323,Gary Woodland,26' 4",8074.583,307
92,0,30978,Kiradech Aphibarnrat,26' 5",5046.333,191
93,0,49303,Anders Albertson,26' 6",7482.000,282
93,0,40026,Daniel Berger,26' 6",6727.500,254
93,0,27895,Jonas Blixt,26' 6",7794.250,294
93,0,26300,Matt Jones,26' 6",8802.750,332
97,0,46402,Talor Gooch,26' 7",6776.583,255
98,0,20472,Alex Cejka,26' 8",4450.500,167
98,0,28775,Nate Lashley,26' 8",6531.250,245
100,0,33419,Cameron Tringale,26' 9",7361.667,275
101,0,36689,Brooks Koepka,26' 10",7109.083,265
101,0,48822,Sebastián Muñoz,26' 10",9150.833,341
101,0,34046,Jordan Spieth,26' 10",10009.500,373
104,0,30946,Alex Prugh,27' 0",7201.750,267
105,0,29974,Branden Grace,27' 1",6499.417,240
105,0,39546,Keith Mitchell,27' 1",7933.750,293
105,0,27556,Ted Potter Jr.,27' 1",8311.583,307
108,0,33141,Keegan Bradley,27' 2",7399.417,272
108,0,39977,Max Homa,27' 2",10585.833,390
108,0,31420,Anirban Lahiri,27' 2",8229.667,303
108,0,34466,Peter Malnati,27' 2",12093.417,445
112,0,35450,Patrick Cantlay,27' 3",8123.833,298
113,0,46523,Joey Garber,27' 4",5813.917,213
114,0,34360,Patrick Reed,27' 5",10108.333,369
114,0,24502,Adam Scott,27' 5",6286.833,229
114,0,30692,Scott Stallings,27' 5",9729.500,355
117,0,28237,Rory McIlroy,27' 7",6599.667,239
117,0,46970,Jon Rahm,27' 7",6542.000,237
119,0,34021,Bud Cauley,27' 8",9571.167,346
120,0,39324,J.J. Spaun,27' 9",8867.333,320
121,0,32640,Troy Merritt,27' 10",6679.083,240
121,0,22405,Justin Rose,27' 10",6590.250,237
123,0,25396,Kevin Na,27' 11",5615.083,201
124,0,29268,Bronson Burgoon,28' 1",5921.667,211
124,0,49964,Aaron Wise,28' 1",6791.500,242
126,0,32200,Roberto Castro,28' 3",7039.000,249
127,0,22371,Aaron Baddeley,28' 4",6650.750,235
127,0,35891,Cameron Smith,28' 4",7902.917,279
129,0,12716,Charley Hoffman,28' 5",7434.750,262
129,0,35506,Mackenzie Hughes,28' 5",10822.667,381
129,0,35879,Kelly Kraft,28' 5",9502.583,334
132,0,35421,Brandon Harkins,28' 6",10849.917,381
132,0,30944,Jason Kokrak,28' 6",10557.917,370
134,0,48081,Xander Schauffele,28' 8",7455.833,260
135,0,25804,Bubba Watson,28' 9",7378.833,257
136,0,34306,John Chin,29' 0",6182.917,213
136,0,47856,Seth Reeves,29' 0",8863.083,306
138,0,06522,Ernie Els,29' 1",4918.000,169
138,0,32102,Rickie Fowler,29' 1",9238.750,318
138,0,49960,Sepp Straka,29' 1",7465.833,257
141,0,36699,Patrick Rodgers,29' 2",7288.917,250
142,0,27095,Nick Watney,29' 3",11185.417,382
143,0,27936,Martin Laird,29' 4",10537.083,359
143,0,37189,Harold Varner III,29' 4",11441.167,390
145,0,32139,Danny Willett,29' 5",7469.167,254
146,0,27349,Alex Noren,29' 6",6221.167,211
146,0,27064,Jhonattan Vegas,29' 6",9462.167,321
148,0,35461,Beau Hossler,29' 7",11394.917,385
149,0,23320,Ryan Palmer,29' 9",7404.583,249
150,0,24925,Jonathan Byrd,29' 10",6262.917,210
150,0,32757,Patton Kizzire,29' 10",7936.500,266
152,0,40009,Dominic Bozzelli,30' 1",8071.417,268
152,0,21731,Freddie Jacobson,30' 1",6559.083,218
154,0,36799,Stephan Jaeger,30' 3",9343.583,309
154,0,33418,Shawn Stefani,30' 3",9389.500,310
154,0,34431,Robert Streb,30' 3",9138.750,302
157,0,29725,Tony Finau,30' 4",10691.167,352
158,0,27974,Sung Kang,30' 5",11045.000,363
158,0,32839,Hideki Matsuyama,30' 5",10688.750,351
160,0,30191,Julián Etulain,30' 6",9174.833,301
161,0,33948,Byeong Hun An,30' 8",9482.750,309
161,0,26851,Marc Leishman,30' 8",8678.417,283
163,0,37380,Curtis Luck,30' 9",8183.750,266
164,0,28089,Jason Day,31' 0",6414.333,207
164,0,30925,Dustin Johnson,31' 0",9240.917,298
164,0,27963,Chris Stroud,31' 0",9111.083,294
167,0,37454,Whee Kim,31' 1",7373.583,237
168,0,34563,Chesson Hadley,31' 3",9811.583,314
169,0,52372,Cameron Champ,31' 7",12446.583,394
170,0,27129,Luke List,31' 8",10353.833,327
171,0,36852,Jim Knous,31' 9",7438.167,234
172,0,29223,Sam Saunders,31' 11",11594.750,363
173,0,24924,Bill Haas,32' 3",10001.417,310
174,0,39975,Michael Kim,32' 6",9515.167,293
175,0,47504,Sam Burns,32' 7",12517.167,384
176,0,29484,Peter Uihlein,32' 9",12632.417,386
177,0,25632,Jimmy Walker,33' 0",10932.000,331
178,0,45157,Cam Davis,33' 2",10283.083,310
178,0,29926,Danny Lee,33' 2",13448.917,406
180,0,46601,Trey Mullinax,33' 3",13426.250,404
180,0,32333,Kevin Tway,33' 3",13588.250,409
182,0,28252,Seamus Power,33' 7",11967.083,356
183,0,46501,Ollie Schniederjans,34' 6",13214.583,383
184,0,39954,Cody Gribble,36' 3",12167.750,336
185,0,51766,Wyndham Clark,36' 4",15102.583,416
186,0,27141,J.B. Holmes,37' 6",10565.333,282
187,0,35617,Martin Trainer,38' 4",12536.583,327
188,0,01810,Phil Mickelson,38' 7",11540.167,299
