RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL RIGHT ROUGH,POSSIBLE FWYS,RELATIVE TO PAR
1,0,21528,Henrik Stenson,8.59,50,582,+0.24
2,0,26476,Chez Reavie,9.33,91,975,+0.11
3,0,23325,Vaughn Taylor,9.47,108,1140,+0.06
4,0,32150,Michael Thompson,9.61,87,905,+0.06
5,0,31557,Jim Herman,9.83,52,529,+0.10
6,0,29478,Kevin Kisner,9.92,98,988,+0.11
7,0,46435,Austin Cook,9.93,73,735,+0.07
8,0,26596,Ryan Moore,10.00,88,880,+0.06
9,0,35449,Adam Long,10.13,96,948,+0.07
10,0,24024,Zach Johnson,10.33,76,736,+0.11
11,0,34431,Robert Streb,10.47,87,831,+0.06
12,0,19846,Brian Gay,10.48,105,1002,+0.11
13,0,26329,Louis Oosthuizen,10.64,71,667,+0.13
14,0,29420,Billy Horschel,10.70,103,963,+0.10
15,0,25686,Jason Dufner,10.94,87,795,+0.20
15,0,27644,Brian Harman,10.94,108,987,+0.08
17,0,20472,Alex Cejka,10.99,61,555,+0.13
18,0,29518,Brendan Steele,11.14,79,709,+0.01
19,0,25198,Francesco Molinari,11.17,66,591,+0.03
20,0,10809,Jim Furyk,11.21,89,794,+0.19
20,0,29535,Brice Garnett,11.21,102,910,+0.12
22,0,47959,Bryson DeChambeau,11.30,104,920,+0.10
23,0,34563,Chesson Hadley,11.37,94,827,E
24,0,32791,K.H. Lee,11.38,98,861,+0.11
25,0,33141,Keegan Bradley,11.43,107,936,+0.02
26,0,23108,Matt Kuchar,11.65,108,927,-0.02
27,0,27214,Kevin Streelman,11.68,112,959,+0.04
28,0,32200,Roberto Castro,11.73,101,861,+0.14
29,0,34076,Joel Dahmen,11.74,124,1056,+0.15
30,0,33410,Andrew Landry,11.78,107,908,+0.18
30,0,40115,Adam Svensson,11.78,90,764,+0.06
32,0,40098,Matt Fitzpatrick,11.80,61,517,+0.11
33,0,34021,Bud Cauley,11.84,121,1022,+0.05
34,0,31560,Brian Stuard,11.87,127,1070,+0.08
35,0,34261,Scott Langley,11.88,106,892,+0.17
36,0,19803,Ryan Armour,11.89,124,1043,+0.15
36,0,48081,Xander Schauffele,11.89,88,740,-0.01
38,0,34098,Russell Henley,11.92,101,847,+0.11
39,0,30110,Kyle Stanley,11.99,92,767,+0.26
40,0,39327,Ben Silverman,12.05,94,780,+0.12
41,0,45609,Tyler Duncan,12.13,110,907,+0.17
42,0,27556,Ted Potter Jr.,12.20,102,836,+0.02
43,0,33667,Carlos Ortiz,12.37,123,994,-0.02
44,0,39546,Keith Mitchell,12.47,106,850,E
45,0,25364,Paul Casey,12.48,96,769,-0.11
46,0,35879,Kelly Kraft,12.53,112,894,+0.13
47,0,30944,Jason Kokrak,12.79,133,1040,-0.06
48,0,29908,C.T. Pan,12.93,108,835,+0.21
48,0,47128,Richy Werenski,12.93,131,1013,+0.11
50,0,32640,Troy Merritt,12.97,101,779,+0.12
51,0,35376,Roberto Díaz,13.01,92,707,+0.13
52,0,30786,Brady Schnell,13.03,71,545,+0.10
53,0,23353,J.J. Henry,13.09,75,573,+0.19
54,0,37455,Si Woo Kim,13.14,108,822,-0.06
55,0,46523,Joey Garber,13.19,79,599,-0.01
56,0,46970,Jon Rahm,13.26,98,739,+0.03
57,0,25572,Graeme McDowell,13.29,92,692,+0.16
57,0,37340,Chase Wright,13.29,105,790,+0.10
59,0,26951,Johnson Wagner,13.37,88,658,+0.14
60,0,28679,Fabián Gómez,13.39,90,672,-0.02
61,0,30911,Tommy Fleetwood,13.40,93,694,-0.06
62,0,23621,Rory Sabbatini,13.43,142,1057,+0.03
63,0,49964,Aaron Wise,13.49,102,756,+0.06
64,0,27936,Martin Laird,13.52,137,1013,-0.08
65,0,26300,Matt Jones,13.55,124,915,+0.07
66,0,23320,Ryan Palmer,13.58,96,707,+0.08
67,0,29221,Webb Simpson,13.60,131,963,-0.08
68,0,25900,Lucas Glover,13.70,154,1124,-0.01
69,0,28252,Seamus Power,13.83,118,853,+0.09
70,0,24361,Pat Perez,13.86,79,570,+0.22
71,0,28775,Nate Lashley,13.99,107,765,+0.07
72,0,28089,Jason Day,14.02,92,656,+0.10
72,0,33122,Russell Knox,14.02,115,820,+0.03
74,0,29479,Scott Brown,14.03,133,948,+0.13
75,0,27958,Ryan Blaum,14.04,140,997,+0.12
75,0,49766,Hank Lebioda,14.04,113,805,+0.15
77,0,25396,Kevin Na,14.08,86,611,+0.13
78,0,39971,Sungjae Im,14.18,197,1389,-0.03
79,0,25804,Bubba Watson,14.24,99,695,+0.05
80,0,33399,Adam Hadwin,14.25,123,863,+0.09
81,0,31646,Emiliano Grillo,14.32,110,768,+0.18
82,0,27895,Jonas Blixt,14.38,128,890,+0.06
82,0,30946,Alex Prugh,14.38,114,793,+0.08
84,0,28259,Sangmoon Bae,14.47,80,553,+0.01
85,0,32757,Patton Kizzire,14.48,106,732,-0.05
86,0,34360,Patrick Reed,14.51,147,1013,-0.01
87,0,37275,Sam Ryder,14.54,121,832,+0.07
88,0,30978,Kiradech Aphibarnrat,14.56,91,625,+0.13
89,0,31420,Anirban Lahiri,14.58,119,816,+0.08
90,0,25493,Nick Taylor,14.62,175,1197,-0.01
91,0,29268,Bronson Burgoon,14.66,96,655,+0.22
92,0,26499,Rafa Cabrera Bello,14.67,98,668,+0.02
93,0,39954,Cody Gribble,14.72,117,795,+0.12
93,0,47990,Kyle Jones,14.72,111,754,+0.08
95,0,20572,Rod Pampling,14.76,84,569,+0.08
96,0,49771,J.T. Poston,14.86,182,1225,+0.07
97,0,33418,Shawn Stefani,14.87,127,854,+0.07
97,0,31323,Gary Woodland,14.87,135,908,-0.04
99,0,27974,Sung Kang,14.93,145,971,+0.10
100,0,27649,Brandt Snedeker,14.94,167,1118,-0.08
101,0,47993,Denny McCarthy,14.96,143,956,-0.03
101,0,22405,Justin Rose,14.96,102,682,+0.19
