RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL LEFT ROUGH,POSSIBLE FWYS,RELATIVE TO PAR
1,0,26596,Ryan Moore,6.70,59,880,+0.07
2,0,19803,Ryan Armour,7.29,76,1043,+0.09
3,0,31646,Emiliano Grillo,7.81,60,768,+0.03
4,0,25818,Scott Piercy,8.05,79,981,+0.09
5,0,10809,Jim Furyk,8.44,67,794,+0.09
6,0,26476,Chez Reavie,8.51,83,975,+0.02
7,0,45526,Abraham Ancer,8.78,87,991,+0.01
8,0,32640,Troy Merritt,8.86,69,779,+0.03
9,0,49298,Kramer Hickok,9.01,74,821,+0.15
10,0,33399,Adam Hadwin,9.04,78,863,+0.05
11,0,40026,Daniel Berger,9.12,75,822,+0.07
12,0,33410,Andrew Landry,9.14,83,908,+0.11
13,0,32839,Hideki Matsuyama,9.15,93,1016,-0.04
14,0,39324,J.J. Spaun,9.65,86,891,+0.06
15,0,23621,Rory Sabbatini,9.74,103,1057,E
16,0,25198,Francesco Molinari,9.81,58,591,+0.14
17,0,32816,Satoshi Kodaira,9.86,70,710,+0.17
18,0,26851,Marc Leishman,9.94,79,795,-0.01
18,0,47993,Denny McCarthy,9.94,95,956,-0.04
20,0,27349,Alex Noren,9.98,59,591,+0.19
21,0,31560,Brian Stuard,10.09,108,1070,+0.10
22,0,29268,Bronson Burgoon,10.23,67,655,+0.07
23,0,30978,Kiradech Aphibarnrat,10.24,64,625,+0.25
24,0,39997,Corey Conners,10.35,100,966,-0.02
25,0,24924,Bill Haas,10.36,87,840,-0.06
26,0,06522,Ernie Els,10.39,43,414,+0.05
27,0,30110,Kyle Stanley,10.43,80,767,+0.18
28,0,30786,Brady Schnell,10.46,57,545,+0.05
29,0,26499,Rafa Cabrera Bello,10.48,70,668,+0.17
29,0,19846,Brian Gay,10.48,105,1002,+0.14
31,0,35732,Wes Roach,10.70,73,682,+0.08
32,0,28679,Fabián Gómez,10.71,72,672,+0.15
33,0,34098,Russell Henley,10.74,91,847,+0.05
33,0,47990,Kyle Jones,10.74,81,754,+0.10
35,0,37275,Sam Ryder,10.82,90,832,+0.01
36,0,34363,Tyrrell Hatton,10.84,63,581,+0.10
37,0,24361,Pat Perez,10.88,62,570,+0.10
38,0,34076,Joel Dahmen,10.89,115,1056,-0.02
39,0,49771,J.T. Poston,10.94,134,1225,-0.04
40,0,37455,Si Woo Kim,10.95,90,822,+0.04
41,0,28775,Nate Lashley,10.98,84,765,-0.08
42,0,46435,Austin Cook,11.02,81,735,+0.12
43,0,25900,Lucas Glover,11.03,124,1124,+0.06
44,0,25686,Jason Dufner,11.07,88,795,+0.14
45,0,29479,Scott Brown,11.08,105,948,+0.06
46,0,35532,Tom Hoge,11.09,111,1001,+0.08
47,0,29223,Sam Saunders,11.10,102,919,+0.03
48,0,27644,Brian Harman,11.14,110,987,+0.02
49,0,31557,Jim Herman,11.15,59,529,+0.10
49,0,34256,Andrew Putnam,11.15,87,780,+0.09
51,0,23320,Ryan Palmer,11.17,79,707,-0.11
52,0,40098,Matt Fitzpatrick,11.22,58,517,+0.07
53,0,26758,David Hearn,11.23,53,472,+0.08
53,0,27330,Josh Teater,11.23,83,739,-0.12
55,0,12716,Charley Hoffman,11.27,73,648,+0.10
56,0,25396,Kevin Na,11.29,69,611,+0.12
57,0,39971,Sungjae Im,11.30,157,1389,-0.01
58,0,35376,Roberto Díaz,11.32,80,707,+0.09
59,0,24138,Ian Poulter,11.40,70,614,-0.06
60,0,36689,Brooks Koepka,11.45,93,812,-0.09
61,0,45609,Tyler Duncan,11.47,104,907,+0.13
62,0,29974,Branden Grace,11.56,72,623,+0.10
63,0,33486,Roger Sloan,11.57,112,968,-0.04
64,0,32150,Michael Thompson,11.60,105,905,+0.14
65,0,32200,Roberto Castro,11.61,100,861,+0.11
66,0,34261,Scott Langley,11.66,104,892,+0.22
66,0,27963,Chris Stroud,11.66,83,712,-0.01
68,0,29478,Kevin Kisner,11.74,116,988,+0.05
69,0,29535,Brice Garnett,11.76,107,910,+0.02
70,0,22405,Justin Rose,11.88,81,682,+0.01
71,0,27214,Kevin Streelman,11.89,114,959,-0.02
72,0,21731,Freddie Jacobson,12.00,66,550,+0.15
73,0,21528,Henrik Stenson,12.03,70,582,+0.16
74,0,29970,Dylan Frittelli,12.10,114,942,-0.04
75,0,35449,Adam Long,12.13,115,948,+0.24
75,0,49960,Sepp Straka,12.13,98,808,+0.02
77,0,37454,Whee Kim,12.15,79,650,+0.19
77,0,24781,Hunter Mahan,12.15,79,650,+0.09
79,0,33948,Byeong Hun An,12.16,103,847,+0.03
80,0,49766,Hank Lebioda,12.17,98,805,+0.19
81,0,33122,Russell Knox,12.20,100,820,+0.01
82,0,27895,Jonas Blixt,12.25,109,890,+0.11
83,0,39977,Max Homa,12.37,118,954,-0.07
83,0,23325,Vaughn Taylor,12.37,141,1140,+0.05
85,0,33141,Keegan Bradley,12.39,116,936,+0.16
86,0,28237,Rory McIlroy,12.44,99,796,+0.02
