RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,AVERAGE DISTANCE (YARDS),AVERAGE CLUB HEAD SPEED,TOTAL ATTEMPTS,HIGHEST DIST. EFFICIENCY
1,0,02239,Scott Verplank,2.650,282.591,106.631,72,0218603406
2,0,24138,Ian Poulter,2.641,292.246,110.666,37,0201103025
3,0,24357,K.J. Choi,2.639,293.259,111.107,63,0230703235
4,0,06643,Paul Goydos,2.638,277.334,105.122,65,0222303244
5,0,07547,Craig Kanada,2.637,274.859,104.215,49,0232902935
5,0,21949,Joe Ogilvie,2.637,291.763,110.657,81,0210703210
7,0,06090,Jim McGovern,2.636,285.423,108.297,60,0234802990
7,0,23621,Rory Sabbatini,2.636,302.470,114.740,67,0226803182
7,0,21878,Mark Wilson,2.636,286.971,108.875,107,0216303170
10,0,06567,Vijay Singh,2.635,305.603,115.967,62,0231703197
11,0,20105,Jeff Gove,2.634,287.703,109.245,39,0237802876
12,0,06527,Steve Stricker,2.633,297.224,112.871,54,0225403393
12,0,10423,Mike Weir,2.633,294.518,111.842,68,0162603292
14,0,22348,Nick O'Hern,2.632,278.017,105.628,62,0222103042
15,0,24781,Hunter Mahan,2.631,295.777,112.416,72,0225103135
16,0,20574,Mathew Goggin,2.628,299.399,113.923,71,0224203082
17,0,24024,Zach Johnson,2.627,281.819,107.260,76,0231903562
18,0,24227,Justin Bolli,2.624,288.098,109.801,69,0234403000
18,0,22806,Doug LaBelle II,2.624,281.715,107.376,45,0198502936
20,0,28158,Steve Marino,2.623,294.446,112.274,88,0225802949
21,0,26476,Chez Reavie,2.621,280.545,107.050,93,0161303217
22,0,27649,Brandt Snedeker,2.620,285.294,108.905,71,0212503380
23,0,19803,Ryan Armour,2.619,290.339,110.845,67,0220503082
23,0,20850,Daniel Chopra,2.619,309.029,117.983,66,0218603245
25,0,10809,Jim Furyk,2.617,291.239,111.280,84,0216603384
26,0,24502,Adam Scott,2.616,309.763,118.405,34,0221303019
27,0,01941,Tom Pernice Jr.,2.615,281.906,107.784,97,0219303012
28,0,12652,Cameron Beckman,2.614,284.429,108.802,61,0222403013
28,0,07457,Steve Flesch,2.614,290.557,111.175,81,0196703586
30,0,01724,Jeff Maggert,2.611,283.749,108.692,78,0221603226
30,0,22293,Heath Slocum,2.611,278.989,106.863,90,0228802975
32,0,23108,Matt Kuchar,2.610,279.135,106.950,64,0223102967
32,0,20663,Brenden Pappas,2.610,297.085,113.806,43,0224002940
34,0,01707,Steve Lowery,2.609,296.559,113.651,63,0219603017
35,0,01388,Robert Gamez,2.608,279.720,107.236,64,0216403011
35,0,27060,John Mallinger,2.608,280.917,107.732,78,0228102948
37,0,12782,Tim Herron,2.606,291.959,112.038,78,0211403012
37,0,06012,Greg Kraft,2.606,272.804,104.692,45,0203703070
37,0,23325,Vaughn Taylor,2.606,284.913,109.329,87,0131002989
40,0,08537,J.P. Hayes,2.605,282.742,108.545,61,0225503033
41,0,20623,Gavin Coles,2.603,269.390,103.511,37,0208002970
41,0,01928,Corey Pavin,2.603,265.009,101.819,50,0224503130
43,0,23135,Tim Clark,2.601,281.534,108.231,70,0230503136
43,0,24358,Robert Garrigus,2.601,315.604,121.325,64,0227003018
45,0,23541,Ben Crane,2.599,284.247,109.354,75,0222303070
45,0,23320,Ryan Palmer,2.599,297.059,114.297,45,0223002957
47,0,10860,Justin Leonard,2.598,286.249,110.178,78,0225703239
47,0,25190,Jeff Quinney,2.598,280.042,107.807,62,0225602945
47,0,22548,Patrick Sheehan,2.598,285.648,109.950,95,0212402949
47,0,23788,D.J. Trahan,2.598,296.882,114.265,72,0207503055
51,0,01766,Billy Mayfair,2.597,282.177,108.636,90,0217802969
51,0,10425,Jay Williamson,2.597,285.283,109.872,68,0225902939
53,0,12680,Shigeki Maruyama,2.596,274.711,105.807,43,0222203123
53,0,28780,Nicholas Thompson,2.596,296.309,114.159,88,0227003223
53,0,26289,Boo Weekley,2.596,299.790,115.498,69,0226003311
56,0,01677,Tom Lehman,2.595,287.348,110.731,38,0232703126
57,0,01139,Olin Browne,2.594,274.302,105.757,66,0198602907
58,0,01945,Kenny Perry,2.593,295.317,113.873,86,0078703195
58,0,08845,Scott Sterling,2.593,287.524,110.868,66,0206302897
58,0,02206,David Toms,2.593,281.370,108.522,54,0168502865
61,0,23623,Bo Van Pelt,2.591,296.131,114.297,81,0087502961
62,0,20848,Ángel Cabrera,2.588,312.538,120.778,37,0197203238
62,0,22582,Kyle Thompson,2.588,286.773,110.800,56,0203803056
64,0,12716,Charley Hoffman,2.587,306.210,118.365,87,0226903218
65,0,19846,Brian Gay,2.586,270.319,104.546,87,0230202966
66,0,20098,Stuart Appleby,2.584,292.660,113.278,62,0223603128
66,0,22621,Ben Curtis,2.584,286.667,110.926,68,0206302892
66,0,28089,Jason Day,2.584,299.598,115.925,74,0211302951
66,0,23125,Brad Elder,2.584,289.767,112.158,50,0236202814
66,0,24490,George McNeill,2.584,304.591,117.893,86,0213503134
71,0,21633,Steve Allan,2.583,300.429,116.306,43,0219102913
71,0,26695,Michael Letzig,2.583,293.930,113.809,68,0216902954
71,0,25349,Tim Wilkinson,2.583,279.333,108.140,75,0224802964
74,0,23778,Brad Adamonis,2.582,295.865,114.590,71,0227002943
74,0,11032,Frank Lickliter II,2.582,287.398,111.306,92,0217103019
76,0,20498,Briny Baird,2.580,287.547,111.459,85,0222203004
76,0,01161,Mark Calcavecchia,2.580,292.754,113.451,47,0220403208
76,0,01313,Steve Elkington,2.580,281.661,109.160,62,0212403105
76,0,08075,Jerry Kelly,2.580,276.384,107.121,76,0217202940
76,0,12705,Cliff Kresge,2.580,280.993,108.904,70,0223703149
81,0,22892,Jason Gore,2.579,302.085,117.155,59,0235202933
81,0,27141,J.B. Holmes,2.579,322.829,125.159,44,0212202861
81,0,26420,Richard Johnson,2.579,281.822,109.270,48,0213402987
84,0,06595,Kevin Sutherland,2.578,291.062,112.924,86,0225602940
85,0,24449,Parker McLachlin,2.577,289.066,112.154,68,0208903036
86,0,01473,Todd Hamilton,2.576,291.677,113.211,46,0197703047
86,0,20634,Peter Lonard,2.576,281.089,109.107,80,0207702886
88,0,21753,Brian Davis,2.575,275.750,107.072,100,0166703096
88,0,21805,Harrison Frazar,2.575,301.213,116.982,52,0200702946
88,0,29718,Anthony Kim,2.575,303.284,117.792,65,0226203206
91,0,01024,Billy Andrade,2.574,289.789,112.596,50,0215503041
91,0,21461,Kenneth Ferrie,2.574,282.297,109.685,55,0215302914
91,0,08385,Omar Uresti,2.574,275.474,107.004,55,0226203056
94,0,20433,Mark Hensby,2.573,286.313,111.295,58,0208202937
94,0,30925,Dustin Johnson,2.573,315.927,122.802,68,0208003059
96,0,10733,Kent Jones,2.572,280.951,109.217,49,0232803035
97,0,23048,Eric Axley,2.571,285.688,111.134,87,0164402897
97,0,23614,Rich Beem,2.571,288.489,112.194,73,0211002891
97,0,20229,Stewart Cink,2.571,298.665,116.163,57,0225103012
97,0,26679,Kevin Stadler,2.571,291.102,113.211,59,0201002837
101,0,10505,Shane Bertsch,2.570,272.453,105.998,89,0216703056
101,0,12510,Chad Campbell,2.570,288.896,112.407,91,0194203217
103,0,01226,Fred Couples,2.569,302.710,117.827,34,0214003013
103,0,20443,Jin Park,2.569,274.345,106.788,65,0226503049
105,0,08931,Glen Day,2.568,275.058,107.129,47,0226603049
105,0,26596,Ryan Moore,2.568,289.926,112.895,56,0212602873
107,0,25364,Paul Casey,2.567,306.087,119.248,31,0214202934
107,0,10875,Todd Demsey,2.567,292.189,113.807,66,0208002956
107,0,27933,John Merrick,2.567,294.030,114.551,70,0217202913
107,0,20572,Rod Pampling,2.567,287.469,111.968,62,0137102945
107,0,02223,Bob Tway,2.567,280.969,109.438,49,0234502779
107,0,27095,Nick Watney,2.567,310.267,120.887,73,0212603182
113,0,01320,Bob Estes,2.566,286.710,111.730,71,0224302884
113,0,25396,Kevin Na,2.566,282.199,109.993,81,0207902974
115,0,24140,Sean O'Hair,2.565,296.224,115.469,64,0211802956
115,0,22046,Geoff Ogilvy,2.565,293.752,114.528,47,0182702890
117,0,01035,Tommy Armour III,2.564,281.205,109.656,65,0185102939
118,0,26631,Cody Freeman,2.562,286.519,111.817,50,0214802923
118,0,24361,Pat Perez,2.562,300.744,117.409,72,0229802925
118,0,07749,Brett Quigley,2.562,289.241,112.883,62,0218202958
121,0,25900,Lucas Glover,2.561,300.923,117.500,80,0204902904
122,0,07867,Woody Austin,2.560,292.803,114.391,92,0216603225
122,0,20382,Stephen Leaney,2.560,274.213,107.097,40,0218202841
122,0,27770,Camilo Villegas,2.560,293.251,114.539,59,0219402912
122,0,25632,Jimmy Walker,2.560,296.061,115.671,49,0205002936
126,0,20160,Charlie Wi,2.559,286.326,111.901,88,0212202960
127,0,06522,Ernie Els,2.558,292.890,114.496,38,0220703200
127,0,28475,Jeff Overton,2.558,296.553,115.934,76,0202703029
127,0,19913,Ron Whittaker,2.558,276.875,108.225,39,0224002953
130,0,20378,Mathias Grönberg,2.557,290.024,113.407,66,0198202859
130,0,23349,Charles Warren,2.557,300.823,117.655,66,0209003057
132,0,06575,Dudley Hart,2.555,280.101,109.633,64,0213702944
132,0,26951,Johnson Wagner,2.555,289.106,113.166,65,0213702934
134,0,22371,Aaron Baddeley,2.554,297.198,116.366,56,0200203168
134,0,01553,John Huston,2.554,290.379,113.688,45,0222602895
134,0,22913,John Rollins,2.554,287.788,112.701,74,0208602949
134,0,25562,Andres Romero,2.554,297.064,116.323,45,0069302982
138,0,20104,Ken Duke,2.553,286.593,112.245,97,0211203056
138,0,22378,Trevor Immelman,2.553,293.863,115.095,50,0218802979
138,0,23157,Richard Johnson,2.553,297.527,116.525,61,0193402881
138,0,01706,Davis Love III,2.553,300.705,117.793,54,0227802935
138,0,01948,Tim Petrovic,2.553,286.094,112.070,75,0220602852
143,0,27613,David Lutterus,2.552,284.254,111.398,45,0214302983
144,0,27561,Nick Flanagan,2.547,290.691,114.125,75,0201302913
144,0,25345,Carl Pettersson,2.547,285.743,112.203,96,0001503070
146,0,06004,Stephen Ames,2.546,287.845,113.051,73,0222303216
146,0,26500,Alejandro Cañizares,2.546,280.673,110.241,41,0204002884
146,0,20472,Alex Cejka,2.546,281.057,110.404,52,0170302964
146,0,01797,Rocco Mediate,2.546,280.799,110.280,69,0211702969
