RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL VERT. LAUNCH ANGLE,TOTAL ATTEMPTS
1,0,21878,Mark Wilson,14.02,1500.23,107
2,0,28780,Nicholas Thompson,13.56,1193.36,88
3,0,24227,Justin Bolli,13.53,933.56,69
4,0,06012,Greg Kraft,13.48,606.75,45
5,0,01724,Jeff Maggert,13.40,1045.16,78
6,0,08931,Glen Day,13.38,642.26,48
7,0,20472,Alex Cejka,13.28,690.64,52
8,0,23325,Vaughn Taylor,13.25,1153.08,87
9,0,26476,Chez Reavie,13.22,1229.54,93
10,0,27649,Brandt Snedeker,13.15,933.45,71
11,0,20105,Jeff Gove,13.01,507.43,39
12,0,21805,Harrison Frazar,12.99,675.62,52
13,0,22293,Heath Slocum,12.97,1167.45,90
14,0,12782,Tim Herron,12.94,1009.71,78
15,0,06567,Vijay Singh,12.92,801.24,62
16,0,01035,Tommy Armour III,12.88,837.08,65
17,0,28158,Steve Marino,12.83,1129.39,88
18,0,08537,J.P. Hayes,12.80,780.61,61
18,0,23320,Ryan Palmer,12.80,575.78,45
18,0,20663,Brenden Pappas,12.80,550.47,43
21,0,19803,Ryan Armour,12.74,853.34,67
22,0,23135,Tim Clark,12.70,888.71,70
22,0,23541,Ben Crane,12.70,952.68,75
22,0,21753,Brian Davis,12.70,1270.17,100
25,0,22582,Kyle Thompson,12.63,707.37,56
26,0,26679,Kevin Stadler,12.61,744.02,59
27,0,30750,Tommy Gainey,12.60,504.20,40
28,0,20229,Stewart Cink,12.59,717.59,57
28,0,01766,Billy Mayfair,12.59,1133.17,90
30,0,21949,Joe Ogilvie,12.57,1018.23,81
31,0,25562,Andres Romero,12.55,564.87,45
32,0,06643,Paul Goydos,12.52,813.54,65
33,0,01941,Tom Pernice Jr.,12.51,1213.73,97
33,0,01945,Kenny Perry,12.51,1075.59,86
35,0,20766,Padraig Harrington,12.48,324.55,26
35,0,25345,Carl Pettersson,12.48,1185.37,95
37,0,08075,Jerry Kelly,12.47,947.76,76
38,0,19846,Brian Gay,12.41,1079.90,87
39,0,20382,Stephen Leaney,12.39,495.70,40
40,0,02239,Scott Verplank,12.37,890.72,72
41,0,12705,Cliff Kresge,12.36,864.93,70
41,0,02206,David Toms,12.36,667.61,54
43,0,06595,Kevin Sutherland,12.33,1060.11,86
44,0,24358,Robert Garrigus,12.32,788.24,64
44,0,27613,David Lutterus,12.32,554.20,45
44,0,20443,Jin Park,12.32,800.83,65
47,0,07547,Craig Kanada,12.31,603.07,49
48,0,22348,Nick O'Hern,12.30,762.44,62
49,0,25632,Jimmy Walker,12.28,601.96,49
50,0,22806,Doug LaBelle II,12.26,551.85,45
50,0,22046,Geoff Ogilvy,12.26,576.42,47
52,0,20623,Gavin Coles,12.24,452.93,37
53,0,20433,Mark Hensby,12.23,709.06,58
54,0,12652,Cameron Beckman,12.21,744.81,61
54,0,06522,Ernie Els,12.21,463.97,38
56,0,20634,Peter Lonard,12.20,976.14,80
57,0,24781,Hunter Mahan,12.18,877.04,72
58,0,12680,Shigeki Maruyama,12.16,522.85,43
59,0,10733,Kent Jones,12.04,589.90,49
60,0,11032,Frank Lickliter II,12.00,1103.82,92
61,0,01139,Olin Browne,11.98,790.86,66
61,0,06090,Jim McGovern,11.98,718.58,60
61,0,07749,Brett Quigley,11.98,743.06,62
64,0,27060,John Mallinger,11.94,931.59,78
65,0,23108,Matt Kuchar,11.93,763.31,64
66,0,01553,John Huston,11.82,531.75,45
67,0,23125,Brad Elder,11.81,590.35,50
68,0,01388,Robert Gamez,11.79,754.49,64
68,0,12660,Jesper Parnevik,11.79,848.97,72
70,0,24357,K.J. Choi,11.78,741.84,63
71,0,23623,Bo Van Pelt,11.77,953.29,81
72,0,28089,Jason Day,11.74,868.58,74
73,0,29718,Anthony Kim,11.73,762.35,65
73,0,06527,Steve Stricker,11.73,633.18,54
75,0,01226,Fred Couples,11.70,397.67,34
76,0,23048,Eric Axley,11.63,1012.01,87
77,0,10885,Robert Allenby,11.61,940.19,81
78,0,22548,Patrick Sheehan,11.60,1102.07,95
79,0,20378,Mathias Grönberg,11.59,764.79,66
