RANK,MOVEMENT,PLAYER_ID,PLAYER,% MADE,ATTEMPTS,PUTTS MADE
1,0,22405,Justin Rose,19.82,439,87
2,0,24781,Hunter Mahan,18.86,440,83
3,0,34360,Patrick Reed,18.83,648,122
4,0,32618,Rhein Gibson,18.75,416,78
5,0,40006,Erik van Rooyen,18.52,729,135
6,0,32139,Danny Willett,18.37,283,52
7,0,34099,Harris English,18.17,820,149
8,0,35450,Patrick Cantlay,18.02,716,129
8,0,35658,Kris Ventura,18.02,577,104
10,0,28237,Rory McIlroy,17.99,628,113
11,0,12716,Charley Hoffman,17.90,827,148
12,0,34046,Jordan Spieth,17.82,724,129
13,0,33597,Harry Higgs,17.70,740,131
14,0,26329,Louis Oosthuizen,17.64,652,115
15,0,32757,Patton Kizzire,17.62,942,166
16,0,49771,J.T. Poston,17.58,859,151
17,0,49766,Hank Lebioda,17.51,594,104
18,0,30927,Brendon Todd,17.49,732,128
19,0,30925,Dustin Johnson,17.40,638,111
20,0,19803,Ryan Armour,17.37,737,128
21,0,32070,Rafael Campos,17.36,432,75
21,0,32816,Satoshi Kodaira,17.36,674,117
23,0,27942,Rob Oppenheim,17.30,578,100
24,0,47504,Sam Burns,17.28,764,132
25,0,29221,Webb Simpson,17.27,637,110
26,0,40098,Matt Fitzpatrick,17.25,545,94
27,0,48887,Matt Wallace,17.24,377,65
28,0,25396,Kevin Na,17.22,755,130
29,0,45526,Abraham Ancer,17.15,828,142
29,0,34466,Peter Malnati,17.15,653,112
31,0,30944,Jason Kokrak,17.14,840,144
32,0,36801,Mark Hubbard,17.10,930,159
33,0,27649,Brandt Snedeker,17.08,720,123
34,0,39997,Corey Conners,17.06,897,153
35,0,24024,Zach Johnson,17.02,846,144
36,0,35891,Cameron Smith,16.99,671,114
37,0,24361,Pat Perez,16.92,839,142
38,0,33419,Cameron Tringale,16.84,855,144
39,0,23325,Vaughn Taylor,16.80,625,105
40,0,36689,Brooks Koepka,16.79,548,92
41,0,29725,Tony Finau,16.78,739,124
42,0,36699,Patrick Rodgers,16.77,847,142
43,0,29518,Brendan Steele,16.76,710,119
44,0,32150,Michael Thompson,16.74,711,119
45,0,46717,Viktor Hovland,16.60,723,120
46,0,29478,Kevin Kisner,16.53,738,122
47,0,33448,Justin Thomas,16.52,666,110
48,0,27141,J.B. Holmes,16.51,436,72
49,0,40026,Daniel Berger,16.49,776,128
49,0,35532,Tom Hoge,16.49,837,138
51,0,45157,Cam Davis,16.48,910,150
52,0,46442,Maverick McNealy,16.45,687,113
52,0,24502,Adam Scott,16.45,626,103
54,0,34563,Chesson Hadley,16.38,635,104
55,0,24138,Ian Poulter,16.36,544,89
56,0,29535,Brice Garnett,16.34,759,124
57,0,47959,Bryson DeChambeau,16.32,717,117
57,0,49964,Aaron Wise,16.32,772,126
59,0,31420,Anirban Lahiri,16.30,552,90
60,0,25632,Jimmy Walker,16.25,634,103
61,0,23621,Rory Sabbatini,16.24,708,115
62,0,39971,Sungjae Im,16.21,1234,200
63,0,30911,Tommy Fleetwood,16.16,489,79
64,0,35506,Mackenzie Hughes,16.12,819,132
65,0,46046,Scottie Scheffler,16.07,859,138
66,0,39977,Max Homa,16.06,660,106
67,0,27644,Brian Harman,16.05,835,134
68,0,25686,Jason Dufner,16.03,761,122
