RANK,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS
1,0,20766,Padraig Harrington,77.98,85,109
2,0,06527,Steve Stricker,76.81,106,138
3,0,23541,Ben Crane,73.25,115,157
4,0,19846,Brian Gay,73.15,158,216
5,0,06573,Brandt Jobe,72.83,134,184
6,0,25396,Kevin Na,72.59,143,197
7,0,21878,Mark Wilson,72.28,133,184
8,0,08375,Paul Stankowski,72.22,117,162
9,0,23718,Nathan Green,71.92,146,203
10,0,08075,Jerry Kelly,71.78,117,163
11,0,20593,Greg Chalmers,71.68,162,226
12,0,10860,Justin Leonard,71.58,131,183
13,0,24024,Zach Johnson,71.52,118,165
14,0,26881,Jarrod Lyle,71.50,143,200
15,0,28089,Jason Day,71.33,107,150
16,0,27939,Matt McQuillan,71.30,82,115
17,0,27095,Nick Watney,71.25,114,160
18,0,29221,Webb Simpson,71.11,128,180
19,0,06515,Shaun Micheel,70.53,134,190
20,0,20157,Retief Goosen,70.30,71,101
21,0,01577,Lee Janzen,70.29,97,138
22,0,23621,Rory Sabbatini,70.27,104,148
23,0,31193,Jim Renner,70.23,92,131
24,0,23800,Bryce Molder,70.18,120,171
25,0,22046,Geoff Ogilvy,69.88,116,166
26,0,20572,Rod Pampling,69.82,118,169
27,0,23108,Matt Kuchar,69.51,114,164
28,0,21961,Charles Howell III,69.47,157,226
29,0,31202,William McGirt,68.97,160,232
30,0,22378,Trevor Immelman,68.87,104,151
31,0,10885,Robert Allenby,68.86,115,167
32,0,29910,Blake Adams,68.75,187,272
33,0,21731,Freddie Jacobson,68.65,127,185
34,0,24138,Ian Poulter,68.47,76,111
35,0,19970,Robert Karlsson,68.29,84,123
36,0,27649,Brandt Snedeker,68.25,129,189
37,0,20098,Stuart Appleby,68.24,116,170
38,0,06251,Chris DiMarco,68.23,131,192
39,0,01948,Tim Petrovic,68.22,146,214
40,0,01810,Phil Mickelson,68.12,94,138
41,0,22621,Ben Curtis,68.05,115,169
42,0,22348,Nick O'Hern,67.80,120,177
43,0,24361,Pat Perez,67.49,137,203
44,0,31401,Zack Miller,67.44,145,215
45,0,28158,Steve Marino,67.35,99,147
45,0,23320,Ryan Palmer,67.35,99,147
47,0,22371,Aaron Baddeley,67.30,107,159
48,0,21209,Sergio Garcia,67.20,84,125
48,0,23497,Tag Ridings,67.20,127,189
50,0,08725,Tom Gillis,67.19,86,128
51,0,20160,Charlie Wi,67.16,135,201
52,0,10809,Jim Furyk,67.12,98,146
52,0,24604,Hunter Haas,67.12,149,222
54,0,24980,Scott Gutschewski,67.09,106,158
54,0,32640,Troy Merritt,67.09,106,158
56,0,23409,James Driscoll,67.07,112,167
57,0,25240,D.A. Points,66.96,154,230
57,0,25457,Alexandre Rocha,66.96,75,112
59,0,33911,Nate Smith,66.90,97,145
60,0,24925,Jonathan Byrd,66.85,121,181
61,0,23325,Vaughn Taylor,66.83,137,205
62,0,32366,Kevin Chappell,66.67,106,159
62,0,20229,Stewart Cink,66.67,86,129
62,0,23983,Luke Donald,66.67,74,111
62,0,06567,Vijay Singh,66.67,140,210
66,0,07457,Steve Flesch,66.40,164,247
67,0,33419,Cameron Tringale,66.38,156,235
68,0,12652,Cameron Beckman,66.28,114,172
69,0,10585,Scott McCarron,66.24,104,157
70,0,27466,Spencer Levin,66.10,156,236
71,0,26758,David Hearn,66.09,115,174
72,0,20127,Chris Riley,65.97,126,191
73,0,24357,K.J. Choi,65.96,93,141
74,0,35087,Bio Kim,65.93,120,182
75,0,29718,Anthony Kim,65.71,92,140
76,0,32150,Michael Thompson,65.57,120,183
77,0,01706,Davis Love III,65.41,87,133
78,0,01313,Steve Elkington,65.29,79,121
78,0,27214,Kevin Streelman,65.29,111,170
80,0,20498,Briny Baird,65.18,73,112
81,0,24507,Jason Bohn,65.00,104,160
82,0,12782,Tim Herron,64.88,133,205
83,0,26851,Marc Leishman,64.82,129,199
84,0,24781,Hunter Mahan,64.74,112,173
85,0,25818,Scott Piercy,64.67,97,150
86,0,10505,Shane Bertsch,64.66,86,133
87,0,07867,Woody Austin,64.62,84,130
87,0,23788,D.J. Trahan,64.62,126,195
87,0,25632,Jimmy Walker,64.62,126,195
90,0,25834,Daniel Summerhays,64.58,124,192
91,0,22405,Justin Rose,64.52,100,155
92,0,24924,Bill Haas,64.50,109,169
93,0,33141,Keegan Bradley,64.29,135,210
94,0,21949,Joe Ogilvie,64.24,106,165
95,0,25345,Carl Pettersson,64.19,147,229
96,0,24490,George McNeill,64.04,114,178
97,0,27963,Chris Stroud,64.00,128,200
98,0,24663,Y.E. Yang,63.87,76,119
99,0,32102,Rickie Fowler,63.64,112,176
100,0,01766,Billy Mayfair,63.59,124,195
101,0,26331,Charl Schwartzel,63.54,61,96
102,0,28486,Michael Putnam,63.45,92,145
103,0,23673,Michael Connell,63.40,123,194
104,0,27936,Martin Laird,63.35,102,161
105,0,21407,Arjun Atwal,63.33,133,210
106,0,26300,Matt Jones,63.13,113,179
107,0,22913,John Rollins,63.01,109,173
108,0,34072,Will Strickler,62.99,80,127
109,0,28620,Aron Price,62.90,78,124
110,0,31323,Gary Woodland,62.73,101,161
111,0,24140,Sean O'Hair,62.57,107,171
112,0,02206,David Toms,62.40,78,125
113,0,21350,Ryuji Imada,62.37,116,186
114,0,12602,Dean Wilson,62.21,107,172
115,0,23638,Brendon de Jonge,62.16,138,222
116,0,30750,Tommy Gainey,62.10,136,219
117,0,27064,Jhonattan Vegas,62.05,103,166
118,0,25562,Andres Romero,62.03,116,187
119,0,22961,David Mathis,61.98,119,192
