RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,NON-ATTEMPTS,RTP-GOING FOR THE GREEN,RTP-NOT GOING FOR THE GRN
1,0,08793,Tiger Woods,73.02,157,58,-105,-1
2,0,23063,Scott Hend,72.27,185,71,-92,+20
3,0,23322,Brett Wetterich,71.43,180,72,-81,+4
4,0,06567,Vijay Singh,71.39,242,97,-150,-3
5,0,25900,Lucas Glover,70.23,210,89,-116,+3
6,0,20378,Mathias Grönberg,69.44,150,66,-84,+6
7,0,01810,Phil Mickelson,66.49,125,63,-76,-4
8,0,24980,Scott Gutschewski,66.30,181,92,-108,+12
9,0,26679,Kevin Stadler,65.15,215,115,-127,+11
10,0,01249,John Daly,64.52,140,77,-81,+5
11,0,20396,Lee Westwood,64.22,70,39,-36,+5
12,0,21209,Sergio Garcia,64.10,125,70,-79,-5
13,0,23788,D.J. Trahan,63.94,172,97,-109,+1
14,0,23552,Hank Kuehne,63.82,187,106,-83,+11
15,0,21805,Harrison Frazar,62.71,227,135,-132,E
16,0,20433,Mark Hensby,62.50,115,69,-65,+5
17,0,24925,Jonathan Byrd,62.22,219,133,-121,-3
18,0,20850,Daniel Chopra,61.69,219,136,-114,-1
19,0,06599,John Elliott,61.46,118,74,-53,+11
20,0,23409,James Driscoll,61.29,152,96,-96,-2
21,0,27095,Nick Watney,61.11,198,126,-123,E
22,0,23349,Charles Warren,61.08,193,123,-104,-2
23,0,23497,Tag Ridings,60.70,207,134,-118,+1
24,0,06573,Brandt Jobe,60.68,179,116,-109,+16
25,0,20663,Brenden Pappas,60.64,114,74,-83,+14
26,0,20157,Retief Goosen,59.88,97,65,-67,-3
27,0,23320,Ryan Palmer,59.87,188,126,-97,-1
28,0,22913,John Rollins,59.82,195,131,-122,-4
29,0,01945,Kenny Perry,59.72,126,85,-69,-1
30,0,01706,Davis Love III,59.59,115,78,-79,+4
31,0,12660,Jesper Parnevik,59.52,150,102,-70,+5
32,0,01707,Steve Lowery,59.38,209,143,-111,+7
33,0,02106,Chris Smith,59.00,200,139,-99,+10
34,0,10885,Robert Allenby,58.60,167,118,-86,-16
35,0,21407,Arjun Atwal,58.44,135,96,-79,-9
36,0,24781,Hunter Mahan,58.19,206,148,-107,-17
37,0,20572,Rod Pampling,58.11,154,111,-86,+5
38,0,23353,J.J. Henry,58.04,195,141,-101,-9
39,0,20691,Greg Owen,57.80,163,119,-93,+3
40,0,01161,Mark Calcavecchia,57.61,159,117,-90,-9
41,0,20502,Michael Long,57.14,140,105,-78,+2
42,0,01766,Billy Mayfair,56.88,219,166,-122,-21
43,0,21633,Steve Allan,56.62,201,154,-98,+7
44,0,11032,Frank Lickliter II,56.52,195,150,-109,-20
44,0,22405,Justin Rose,56.52,195,150,-105,E
46,0,01553,John Huston,56.44,171,132,-84,-17
47,0,12823,Carlos Franco,56.38,159,123,-86,-9
48,0,21961,Charles Howell III,56.27,157,122,-108,-10
49,0,24140,Sean O'Hair,56.25,180,140,-94,E
50,0,26287,Roland Thatcher,56.23,149,116,-68,+7
51,0,24361,Pat Perez,56.04,153,120,-61,+7
52,0,21959,Ted Purdy,55.80,207,164,-114,-4
53,0,24604,Hunter Haas,55.79,159,126,-85,-7
54,0,23623,Bo Van Pelt,55.77,203,161,-121,-15
55,0,20645,John Senden,54.65,194,161,-100,-8
56,0,01927,Dennis Paulson,54.63,124,103,-71,+4
57,0,22371,Aaron Baddeley,54.61,160,133,-89,+3
58,0,10962,Bradley Hughes,54.50,103,86,-49,+10
59,0,20098,Stuart Appleby,53.68,124,107,-68,-18
60,0,25240,D.A. Points,53.52,175,152,-89,-11
61,0,06621,Joe Durant,53.41,141,123,-64,-2
62,0,06332,Neal Lancaster,53.29,178,156,-85,-27
63,0,07867,Woody Austin,53.14,186,164,-105,-20
64,0,01226,Fred Couples,53.13,85,75,-41,-6
65,0,10585,Scott McCarron,53.11,128,113,-67,-3
66,0,21951,Joey Snyder III,53.09,189,167,-110,+8
67,0,23725,Brendan Jones,52.90,155,138,-90,-12
68,0,01941,Tom Pernice Jr.,52.82,187,167,-106,-15
69,0,26758,David Hearn,52.30,125,114,-60,-3
70,0,06373,José María Olazábal,52.00,78,72,-43,-10
71,0,24502,Adam Scott,51.79,101,94,-60,-22
72,0,23325,Vaughn Taylor,51.68,185,173,-104,-16
73,0,01724,Jeff Maggert,51.61,112,105,-47,-8
74,0,08123,Jeff Brehaut,51.59,130,122,-62,-23
75,0,23540,Jason Allred,51.45,124,117,-59,+14
76,0,21350,Ryuji Imada,51.16,132,126,-63,-8
77,0,23621,Rory Sabbatini,51.15,111,106,-61,-2
78,0,01948,Tim Petrovic,51.01,151,145,-84,+5
79,0,21753,Brian Davis,50.99,129,124,-77,-15
80,0,24507,Jason Bohn,50.97,157,151,-108,-3
81,0,12782,Tim Herron,50.91,140,135,-74,-17
82,0,20094,Jonathan Kaye,50.81,126,122,-63,-21
83,0,22548,Patrick Sheehan,50.40,190,187,-83,-4
84,0,21498,Hideto Tanihara,50.29,87,86,-42,+10
85,0,20766,Padraig Harrington,50.00,78,78,-46,-5
85,0,24912,Will MacKenzie,50.00,136,136,-63,-11
87,0,21806,Paul Gow,49.81,130,131,-57,-1
88,0,07223,Brian Bateman,49.70,164,166,-88,-4
88,0,07749,Brett Quigley,49.70,167,169,-96,-19
90,0,06595,Kevin Sutherland,49.48,143,146,-88,+2
91,0,01677,Tom Lehman,49.43,86,88,-33,-15
92,0,12510,Chad Campbell,49.26,133,137,-71,-14
93,0,01361,Dan Forsman,49.19,91,94,-50,-11
94,0,24290,D.J. Brigman,49.14,114,118,-57,-12
95,0,24227,Justin Bolli,48.91,112,117,-57,-8
96,0,24024,Zach Johnson,48.89,154,161,-85,-18
97,0,19824,Craig Barlow,48.87,130,136,-67,-11
98,0,07457,Steve Flesch,48.81,123,129,-61,-5
99,0,23541,Ben Crane,48.80,102,107,-72,-3
100,0,08075,Jerry Kelly,48.74,135,142,-64,-17
101,0,01313,Steve Elkington,48.57,102,108,-55,-16
102,0,02101,Joey Sindelar,48.51,195,207,-88,-17
103,0,23135,Tim Clark,48.46,110,117,-73,-19
104,0,02239,Scott Verplank,48.33,116,124,-64,-23
105,0,06004,Stephen Ames,48.10,101,109,-58,E
106,0,01723,Andrew Magee,48.04,135,146,-72,-13
107,0,01024,Billy Andrade,47.89,136,148,-81,-23
108,0,21949,Joe Ogilvie,47.85,145,158,-72,-19
109,0,25345,Carl Pettersson,47.68,175,192,-101,-23
110,0,08725,Tom Gillis,47.64,131,144,-62,-12
111,0,20628,Arron Oberholser,47.62,90,99,-50,-13
112,0,06515,Shaun Micheel,47.58,118,130,-60,-9
113,0,01685,J.L. Lewis,47.38,154,171,-80,-19
114,0,20472,Alex Cejka,47.35,125,139,-54,-16
115,0,12454,Mario Tiziani,47.21,110,123,-48,-5
116,0,02206,David Toms,47.14,107,120,-75,-18
117,0,23614,Rich Beem,47.12,90,101,-47,-10
118,0,20498,Briny Baird,46.88,158,179,-100,-17
119,0,01599,Steve Jones,46.63,76,87,-30,-6
120,0,12652,Cameron Beckman,46.58,150,172,-84,E
121,0,24357,K.J. Choi,46.52,87,100,-52,-9
122,0,20812,Tjaart van der Walt,46.43,104,120,-43,-11
123,0,12662,Thomas Levet,46.21,61,71,-31,+15
124,0,22046,Geoff Ogilvy,46.13,131,153,-79,-18
125,0,01142,Bart Bryant,45.96,131,154,-70,-20
126,0,06034,Marco Dawson,45.91,146,172,-81,-16
127,0,10912,Craig Perks,45.74,102,121,-46,+7
128,0,06575,Dudley Hart,45.42,129,155,-75,-12
128,0,02246,Duffy Waldorf,45.42,129,155,-81,-1
130,0,20634,Peter Lonard,45.27,110,133,-46,-22
130,0,25847,Rob Rashell,45.27,91,110,-38,+5
132,0,20160,Charlie Wi,45.15,107,130,-56,-10
133,0,24138,Ian Poulter,45.11,60,73,-29,-10
134,0,21731,Freddie Jacobson,45.05,91,111,-45,+12
135,0,01666,Bernhard Langer,44.85,74,91,-36,-10
136,0,20229,Stewart Cink,44.74,119,147,-48,-15
137,0,20548,Hidemichi Tanaka,44.70,173,214,-87,-13
138,0,26420,Richard Johnson,44.62,83,103,-42,-10
139,0,01797,Rocco Mediate,44.36,114,143,-63,-10
140,0,10423,Mike Weir,44.13,79,100,-42,-12
141,0,28088,Matt Davidson,44.00,88,112,-51,-2
142,0,25396,Kevin Na,43.75,133,171,-66,-18
143,0,01042,Paul Azinger,43.70,104,134,-48,-4
144,0,06197,Michael Allen,43.67,131,169,-82,+4
145,0,12826,Paul Claxton,43.66,117,151,-58,-22
146,0,08931,Glen Day,43.48,120,156,-60,-14
147,0,12645,Brent Geiberger,43.43,86,112,-46,-12
148,0,12680,Shigeki Maruyama,43.13,135,178,-81,-27
149,0,01388,Robert Gamez,43.04,133,176,-70,-20
150,0,19972,José Coceres,42.93,88,117,-31,+9
151,0,10733,Kent Jones,42.60,144,194,-76,-11
152,0,02223,Bob Tway,42.52,108,146,-56,-9
153,0,01577,Lee Janzen,42.39,103,140,-50,-14
154,0,20121,Todd Fischer,42.26,142,194,-61,-24
155,0,20099,Doug Barron,42.15,110,151,-49,-20
155,0,10809,Jim Furyk,42.15,110,151,-64,-36
157,0,10860,Justin Leonard,42.13,75,103,-42,-12
158,0,19881,Robert Damron,41.94,130,180,-61,-26
158,0,10117,Bob Heintz,41.94,104,144,-61,-13
160,0,01473,Todd Hamilton,41.78,122,170,-63,-9
161,0,12602,Dean Wilson,41.74,134,187,-84,-17
162,0,22295,Darron Stiles,41.54,113,159,-56,-32
163,0,10425,Jay Williamson,41.18,77,110,-41,-3
164,0,06251,Chris DiMarco,41.13,95,136,-45,-24
165,0,01329,Brad Faxon,40.95,86,124,-32,-8
166,0,01320,Bob Estes,40.91,117,169,-64,-20
167,0,01127,Danny Briggs,40.65,100,146,-41,-13
168,0,20474,Phillip Price,40.64,102,149,-64,-23
169,0,01035,Tommy Armour III,40.34,142,210,-84,-19
170,0,23108,Matt Kuchar,40.28,85,126,-43,-4
171,0,02104,Jeff Sluman,40.24,134,199,-75,-24
172,0,10201,Matt Gogel,40.15,104,155,-46,-5
173,0,22293,Heath Slocum,39.39,141,217,-70,-38
174,0,08385,Omar Uresti,39.38,115,177,-71,-35
175,0,08545,Glen Hnatiuk,38.69,77,122,-33,-22
176,0,06527,Steve Stricker,38.46,85,136,-52,-25
177,0,20127,Chris Riley,37.74,60,99,-25,+10
178,0,23983,Luke Donald,37.19,45,76,-26,-19
179,0,01457,Jay Haas,36.94,58,99,-31,-4
180,0,22621,Ben Curtis,36.92,72,123,-30,+10
181,0,01219,John Cook,35.29,78,143,-35,-27
182,0,08537,J.P. Hayes,35.21,75,138,-40,-28
183,0,01619,Skip Kendall,34.77,97,182,-40,-11
184,0,23036,Chris Anderson,34.60,82,155,-43,-16
185,0,01823,Larry Mize,34.25,62,119,-22,-19
186,0,08993,Franklin Langham,34.23,102,196,-54,-13
187,0,20382,Stephen Leaney,34.00,102,198,-66,-32
188,0,01761,Len Mattiace,33.22,99,199,-37,-19
189,0,01418,Bill Glasson,32.76,57,117,-21,-2
190,0,02214,Kirk Triplett,32.70,52,107,-24,-11
191,0,01381,Fred Funk,31.46,95,207,-45,-45
192,0,01928,Corey Pavin,30.57,70,159,-37,-26
193,0,01139,Olin Browne,30.55,95,216,-46,-36
194,0,21878,Mark Wilson,30.43,77,176,-38,-21
195,0,19846,Brian Gay,29.89,107,251,-54,-37
196,0,01175,Jim Carter,29.70,60,142,-20,-11
