RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG (YARDS),TOTAL DISTANCE (INCHES),NUMBER OF APPROACH SHOTS
1,0,06613,Tommy Tolles,.3,9000,1
2,0,21584,Richie Coughlan,.7,26000,1
3,0,01200,Keith Clearwater,1.0,36000,1
3,0,12705,Cliff Kresge,1.0,35000,1
5,0,08075,Jerry Kelly,1.1,120000,3
5,0,01928,Corey Pavin,1.1,38000,1
7,0,01024,Billy Andrade,1.2,86000,2
8,0,06004,Stephen Ames,1.5,159000,3
9,0,20043,Edward Fryatt,2.0,147000,2
9,0,10649,Tom Scherrer,2.0,292000,4
11,0,24357,K.J. Choi,2.2,79000,1
11,0,12645,Brent Geiberger,2.2,711000,9
11,0,12714,Chris Tidland,2.2,236000,3
14,0,01219,John Cook,2.4,879000,10
15,0,06140,Sean Murphy,2.5,272000,3
15,0,06527,Steve Stricker,2.5,455000,5
17,0,12753,David Morland IV,2.6,278000,3
17,0,01887,Mark O'Meara,2.6,948000,10
17,0,10912,Craig Perks,2.6,466000,5
20,0,07003,David Berganio Jr.,2.7,868000,9
20,0,23621,Rory Sabbatini,2.7,1460000,15
22,0,24604,Hunter Haas,2.8,101000,1
22,0,10565,Ian Leggatt,2.8,606000,6
22,0,08553,Lee Porter,2.8,595000,6
22,0,10425,Jay Williamson,2.8,404000,4
26,0,06515,Shaun Micheel,3.0,1173000,11
27,0,08063,Kelly Grunewald,3.1,226000,2
27,0,20566,Kaname Yokoo,3.1,1540000,14
29,0,02010,Loren Roberts,3.2,583000,5
29,0,06567,Vijay Singh,3.2,2555000,22
31,0,06036,Scott Dunlap,3.3,593000,5
31,0,06643,Paul Goydos,3.3,833000,7
33,0,01307,Joel Edwards,3.4,1573000,13
33,0,12660,Jesper Parnevik,3.4,1710000,14
35,0,06522,Ernie Els,3.5,1133000,9
35,0,01487,Jeff Hart,3.5,748000,6
35,0,01666,Bernhard Langer,3.5,1370000,11
35,0,01723,Andrew Magee,3.5,752000,6
35,0,20436,Garrett Willis,3.5,511000,4
40,0,06617,Brian Henninger,3.6,2081000,16
41,0,20098,Stuart Appleby,3.7,1864000,14
41,0,07763,Doug Dunakey,3.7,266000,2
41,0,06621,Joe Durant,3.7,1482000,11
41,0,01771,Blaine McCallister,3.7,1334000,10
45,0,23125,Brad Elder,3.8,814000,6
45,0,01685,J.L. Lewis,3.8,946000,7
45,0,01766,Billy Mayfair,3.8,1913000,14
45,0,01823,Larry Mize,3.8,959000,7
45,0,08535,Gary Nicklaus,3.8,954000,7
45,0,22046,Geoff Ogilvy,3.8,543000,4
51,0,10809,Jim Furyk,3.9,2243000,16
51,0,19846,Brian Gay,3.9,1269000,9
51,0,01553,John Huston,3.9,139000,1
51,0,01761,Len Mattiace,3.9,706000,5
51,0,01797,Rocco Mediate,3.9,849000,6
51,0,02246,Duffy Waldorf,3.9,417000,3
57,0,01374,Robin Freeman,4.0,1017000,7
57,0,01926,Steve Pate,4.0,854000,6
57,0,20095,Carl Paulson,4.0,1573000,11
60,0,21633,Steve Allan,4.1,295000,2
60,0,06251,Chris DiMarco,4.1,3359000,23
60,0,21805,Harrison Frazar,4.1,738000,5
60,0,08545,Glen Hnatiuk,4.1,1175000,8
60,0,01577,Lee Janzen,4.1,2784000,19
60,0,06573,Brandt Jobe,4.1,448000,3
60,0,11032,Frank Lickliter II,4.1,1607000,11
60,0,06595,Kevin Sutherland,4.1,2192000,15
68,0,01527,Scott Hoch,4.2,907000,6
68,0,02099,Scott Simpson,4.2,451000,3
70,0,01157,Tom Byrum,4.3,1556000,10
70,0,08931,Glen Day,4.3,1541000,10
70,0,07457,Steve Flesch,4.3,2340000,15
70,0,10963,Jimmy Green,4.3,1073000,7
70,0,20127,Chris Riley,4.3,1237000,8
70,0,02218,Ted Tryba,4.3,1230000,8
76,0,01035,Tommy Armour III,4.4,1588000,10
76,0,01381,Fred Funk,4.4,1752000,11
76,0,20094,Jonathan Kaye,4.4,2070000,13
76,0,19817,Michael Muehr,4.4,1279000,8
76,0,02110,Jerry Smith,4.4,1758000,11
76,0,02206,David Toms,4.4,2860000,18
82,0,01042,Paul Azinger,4.5,2274000,14
82,0,08881,Tripp Isenhour,4.5,1142000,7
82,0,01619,Skip Kendall,4.5,2403000,15
82,0,02104,Jeff Sluman,4.5,1777000,11
82,0,02239,Scott Verplank,4.5,1135000,7
87,0,10201,Matt Gogel,4.6,995000,6
87,0,10213,Dicky Pride,4.6,823000,5
