RANK,MOVEMENT,PLAYER_ID,PLAYER,STATUS,PAR 3 AVG,TOTAL PAR
1,0,35139,Richard Lee,-12,2.96,945
2,0,06004,Stephen Ames,-5,2.98,606
2,0,08793,Tiger Woods,-5,2.98,720
4,0,01810,Phil Mickelson,-4,2.99,945
5,0,30926,Chris Kirk,E,3.00,1074
5,0,21528,Henrik Stenson,E,3.00,768
7,0,01320,Bob Estes,+1,3.00,807
8,0,20098,Stuart Appleby,+2,3.01,1029
8,0,24227,Justin Bolli,+2,3.01,672
8,0,30925,Dustin Johnson,+2,3.01,834
8,0,23800,Bryce Molder,+2,3.01,981
12,0,21753,Brian Davis,+3,3.01,1110
12,0,10809,Jim Furyk,+3,3.01,951
12,0,34174,John Huh,+3,3.01,1053
12,0,22806,Doug LaBelle II,+3,3.01,852
12,0,24361,Pat Perez,+3,3.01,846
12,0,29425,Andrew Svoboda,+3,3.02,534
18,0,01116,Michael Bradley,+4,3.02,639
18,0,23135,Tim Clark,+4,3.02,738
18,0,31560,Brian Stuard,+4,3.01,909
21,0,23409,James Driscoll,+5,3.02,882
21,0,27933,John Merrick,+5,3.02,954
23,0,24846,Ricky Barnes,+6,3.02,855
23,0,24507,Jason Bohn,+6,3.02,855
23,0,23638,Brendon de Jonge,+6,3.01,1341
26,0,20593,Greg Chalmers,+7,3.02,894
26,0,23983,Luke Donald,+7,3.03,708
26,0,22792,Peter Hanson,+7,3.04,516
26,0,28475,Jeff Overton,+7,3.02,954
26,0,22913,John Rollins,+7,3.02,894
31,0,24358,Robert Garrigus,+8,3.03,801
31,0,21961,Charles Howell III,+8,3.02,1026
31,0,24024,Zach Johnson,+8,3.02,999
31,0,23320,Ryan Palmer,+8,3.02,969
31,0,26476,Chez Reavie,+8,3.03,879
31,0,06527,Steve Stricker,+8,3.04,555
37,0,32698,Bobby Gates,+9,3.05,546
37,0,23353,J.J. Henry,+9,3.03,978
37,0,27503,Steve LeBrun,+9,3.04,750
37,0,22405,Justin Rose,+9,3.04,720
41,0,31557,Jim Herman,+10,3.04,669
41,0,30852,Ryo Ishikawa,+10,3.04,849
41,0,06573,Brandt Jobe,+10,3.04,696
41,0,25572,Graeme McDowell,+10,3.05,588
41,0,25345,Carl Pettersson,+10,3.03,963
41,0,24138,Ian Poulter,+10,3.05,627
41,0,31323,Gary Woodland,+10,3.03,1089
48,0,26300,Matt Jones,+11,3.03,1011
48,0,01724,Jeff Maggert,+11,3.04,765
48,0,33419,Cameron Tringale,+11,3.03,981
