RANK,MOVEMENT,PLAYER_ID,PLAYER,%,OFFICIAL MONEY WON,POTENTIAL MONEY
1,0,20370,Steven Bottomley,52.53,104738,199375
2,0,01876,Greg Norman,33.99,1654959,4869375
3,0,12702,Costantino Rocca,33.16,185500,559375
4,0,01572,Mark James,26.67,53166,199375
5,0,01928,Corey Pavin,21.12,1340079,6345375
6,0,01766,Billy Mayfair,20.71,1543191,7452000
7,0,01313,Steve Elkington,20.29,1254351,6183375
8,0,01666,Bernhard Langer,18.05,394877,2187375
9,0,01577,Lee Janzen,17.63,1378966,7821375
10,0,20400,Michael Campbell,17.05,141388,829375
11,0,01706,Davis Love III,15.90,1111998,6993375
12,0,06567,Vijay Singh,15.72,1018712,6480375
13,0,01677,Tom Lehman,15.51,830230,5354000
14,0,06522,Ernie Els,15.20,842590,5544375
15,0,01569,Peter Jacobsen,15.01,1075056,7164375
16,0,01385,Jim Gallagher Jr.,14.52,1057241,7281375
17,0,01326,Nick Faldo,14.17,790960,5580375
18,0,08635,Colin Montgomerie,13.18,335616,2547375
19,0,09011,David Duval,12.56,881436,7020375
20,0,01887,Mark O'Meara,12.16,914128,7516375
21,0,02099,Scott Simpson,11.74,795797,6777375
22,0,02146,Payne Stewart,11.61,866218,7461375
23,0,01235,Ben Crenshaw,11.24,737475,6561375
23,0,01457,Jay Haas,11.24,822258,7317375
25,0,01968,Nick Price,11.10,611700,5508375
26,0,01945,Kenny Perry,11.08,773387,6983000
27,0,19965,Peter Mitchell,10.80,21532,199375
27,0,02010,Loren Roberts,10.80,678335,6282375
29,0,01527,Scott Hoch,10.69,792643,7416375
30,0,06036,Scott Dunlap,10.63,44000,414000
31,0,02223,Bob Tway,10.58,787348,7443375
32,0,01161,Mark Calcavecchia,10.46,843552,8064375
33,0,02207,Sam Torrance,10.18,56970,559375
34,0,01810,Phil Mickelson,9.46,655777,6930375
35,0,10860,Justin Leonard,9.28,748793,8065375
36,0,02214,Kirk Triplett,9.21,644607,7002000
37,0,01143,Brad Bryant,8.70,723833,8316375
38,0,01381,Fred Funk,8.64,717231,8297000
39,0,07867,Woody Austin,8.63,736496,8532000
40,0,01724,Jeff Maggert,8.49,527951,6219375
41,0,02267,D.A. Weibring,8.42,517065,6138000
42,0,11155,Katsuyoshi Tomori,8.25,16455,199375
43,0,02246,Duffy Waldorf,7.74,525622,6794000
44,0,02104,Jeff Sluman,7.55,563681,7469000
45,0,02133,Craig Stadler,7.31,402316,5500375
46,0,06527,Steve Stricker,7.30,438930,6011000
47,0,01329,Brad Faxon,7.27,471886,6489375
48,0,01783,Mark McCumber,7.09,375923,5301375
49,0,10809,Jim Furyk,7.06,535379,7587000
50,0,01418,Bill Glasson,7.04,412094,5850375
51,0,02300,Ian Woosnam,7.00,174463,2493375
52,0,02170,Hal Sutton,6.98,554733,7946000
53,0,01226,Fred Couples,6.94,299259,4310000
53,0,02271,Wayne Westner,6.94,18750,270000
55,0,02256,Tom Watson,6.89,320784,4653375
56,0,01320,Bob Estes,6.86,433991,6327375
57,0,06373,José María Olazábal,6.75,213415,3159375
58,0,07235,John Morse,6.62,416803,6292375
59,0,06557,Stephen Keppler,6.58,90040,1368000
60,0,19825,Darren Clarke,6.50,12954,199375
60,0,19960,Ross Drummond,6.50,12954,199375
62,0,01378,David Frost,6.36,357657,5625375
63,0,01707,Steve Lowery,6.11,463858,7587375
64,0,01890,Brett Ogle,6.06,326931,5391375
65,0,01690,Bruce Lietzke,5.93,269394,4545000
66,0,01201,Lennie Clements,5.91,355129,6012000
67,0,01249,John Daly,5.75,321747,5598375
68,0,06140,Sean Murphy,5.71,40115,702000
69,0,19929,Warren Bennett,5.64,11244,199375
70,0,19927,Mark Roe,5.63,30934,549375
71,0,02159,Curtis Strange,5.61,358175,6381375
72,0,02049,Gene Sauers,5.51,311578,5653375
73,0,01905,Joe Ozaki,5.50,290000,5274000
74,0,01355,Raymond Floyd,5.35,65031,1215375
75,0,02218,Ted Tryba,5.15,451982,8774000
76,0,02239,Scott Verplank,5.12,332886,6506000
77,0,06090,Jim McGovern,5.09,402587,7910000
78,0,01360,Anders Forsbrand,5.08,10128,199375
79,0,01098,Jay Don Blake,5.03,333550,6633000
80,0,01127,Danny Briggs,5.01,46415,927000
81,0,01132,Mark Brooks,4.99,366859,7345375
82,0,20259,Hisayuki Sasaki,4.98,27854,559375
83,0,07707,Mike Small,4.97,17875,360000
84,0,19905,Andrew Coltart,4.96,36682,739375
85,0,01157,Tom Byrum,4.93,145426,2952000
86,0,20229,Stewart Cink,4.92,58426,1188000
86,0,01920,Craig Parry,4.92,293413,5959375
88,0,01823,Larry Mize,4.90,289576,5904375
89,0,06034,Marco Dawson,4.84,261213,5400000
90,0,01560,David Ishii,4.75,31200,657000
91,0,19902,Russell Claydon,4.72,9410,199375
91,0,01886,Peter O'Malley,4.72,9410,199375
93,0,01559,Hale Irwin,4.71,190960,4058000
94,0,01837,Gil Morgan,4.70,255565,5436000
95,0,01701,Bob Lohr,4.69,314946,6715375
96,0,08337,Mike Heinen,4.68,350920,7496000
97,0,01288,Ed Dougherty,4.58,154006,3366000
98,0,12660,Jesper Parnevik,4.48,222457,4960375
99,0,01960,Don Pooley,4.41,226803,5140375
100,0,08191,Paul Broadhurst,4.38,8732,199375
100,0,11651,Derrick Cooper,4.38,8732,199375
100,0,19984,Martin Gates,4.38,8732,199375
100,0,01514,Eduardo Herrera,4.38,8732,199375
100,0,19904,Paul Lawrie,4.38,8732,199375
105,0,01958,Dan Pohl,4.31,166218,3861000
106,0,01553,John Huston,4.19,294574,7038375
107,0,01006,John Adams,4.13,243366,5895000
108,0,01599,Steve Jones,4.11,234748,5706000
109,0,12546,Peter Baker,3.98,7935,199375
109,0,20379,Mats Hallberg,3.98,7935,199375
109,0,19961,Olle Karlsson,3.98,7935,199375
109,0,19903,Jonathan Lomas,3.98,7935,199375
109,0,02009,José Rivero,3.98,7935,199375
114,0,01549,Mike Hulbert,3.97,311054,7838000
115,0,02321,Fuzzy Zoeller,3.94,170705,4337000
116,0,01306,David Edwards,3.86,225857,5858000
116,0,01374,Robin Freeman,3.86,283756,7344000
118,0,02245,Grant Waite,3.85,240721,6246000
119,0,02101,Joey Sindelar,3.83,202895,5292000
120,0,01510,Nolan Henke,3.82,237140,6201000
121,0,01723,Andrew Magee,3.78,256917,6803000
122,0,01024,Billy Andrade,3.76,276493,7362375
123,0,06315,Pete Jordan,3.69,143935,3905000
124,0,19958,Miguel Angel Jiménez,3.67,57195,1557375
124,0,02257,Brian Watts,3.67,33724,919375
126,0,01771,Blaine McCallister,3.65,238847,6542000
127,0,12389,Barry Lane,3.64,33079,909375
128,0,01261,Jay Delsing,3.60,230769,6409375
128,0,20381,Ryoken Kawagishi,3.60,7177,199375
128,0,20385,Dean Robertson,3.60,7177,199375
128,0,20387,Jarmo Sandelin,3.60,7177,199375
132,0,08633,Per-Ulrik Johansson,3.59,32659,909375
133,0,06214,Guy Boros,3.58,303653,8486000
134,0,20094,Jonathan Kaye,3.57,191883,5373000
135,0,01361,Dan Forsman,3.45,194538,5643000
135,0,01971,Dillard Pruitt,3.45,210452,6102000
137,0,01185,Brandel Chamblee,3.35,213796,6373375
138,0,22087,Mark Davis,3.30,6579,199375
139,0,01748,Doug Martin,3.28,227462,6938000
140,0,01196,Brian Claar,3.24,241107,7435375
141,0,20372,Simon Burnell,3.20,6380,199375
141,0,19972,José Coceres,3.20,6380,199375
141,0,20380,John Hawksworth,3.20,6380,199375
141,0,20383,Peter Linhart,3.20,6380,199375
141,0,10803,Bill Longmuir,3.20,6380,199375
141,0,20384,Mark Nichols,3.20,6380,199375
141,0,20396,Lee Westwood,3.20,6380,199375
141,0,02279,Mark Wiebe,3.20,168832,5274000
149,0,01116,Michael Bradley,3.19,214468,6732000
150,0,01444,Ken Green,3.08,173576,5635375
151,0,01388,Robert Gamez,3.02,206587,6848000
152,0,01042,Paul Azinger,3.01,182595,6075375
153,0,06124,Patrick Burke,2.99,162891,5446375
154,0,01096,Phil Blackmar,2.98,154801,5202000
155,0,01282,Trevor Dodds,2.94,20122,684000
156,0,01906,Masashi Jumbo Ozaki,2.92,60292,2061375
157,0,10569,Mike Brisky,2.91,194873,6704000
158,0,09071,David Gilford,2.86,26992,945375
159,0,02294,Willie Wood,2.85,64696,2268000
160,0,01938,David Peoples,2.83,86679,3060000
160,0,02008,Lee Rinker,2.83,187065,6615000
162,0,10457,Frank Nobilo,2.82,52119,1845375
162,0,10215,Charlie Rymer,2.82,180400,6390000
164,0,02076,Peter Senior,2.81,33390,1189375
165,0,06409,Brad Sherfy,2.80,18112,648000
166,0,01633,Tom Kite,2.79,178580,6390375
166,0,06613,Tommy Tolles,2.79,166430,5967000
168,0,06044,Scott Gump,2.78,184828,6642000
169,0,10585,Scott McCarron,2.77,147370,5319000
170,0,01984,Sam Randolph,2.75,4955,180000
171,0,10885,Robert Allenby,2.68,73287,2737375
172,0,20051,Joe Acosta Jr.,2.67,147744,5535000
172,0,01175,Jim Carter,2.67,180664,6768000
174,0,01219,John Cook,2.63,186976,7101375
175,0,01975,Tom Purtzer,2.60,120717,4644000
176,0,06591,Rocky Walcher,2.59,20300,783000
177,0,10425,Jay Williamson,2.57,120179,4671000
178,0,08931,Glen Day,2.55,201809,7928000
179,0,20118,Eiji Mizoguchi,2.54,14650,576000
180,0,10963,Jimmy Green,2.51,3161,126000
181,0,02167,Mike Sullivan,2.49,167485,6732000
182,0,06332,Neal Lancaster,2.48,182218,7343000
182,0,01725,John Mahaffey,2.48,156607,6317000
184,0,01346,Ed Fiori,2.47,83852,3393000
185,0,01334,Keith Fergus,2.45,146358,5985000
186,0,20230,Anthony Gilligan,2.44,15350,630000
186,0,02135,Mike Standly,2.44,177919,7298000
188,0,01203,Russ Cochran,2.42,145663,6012000
189,0,01475,Donnie Hammond,2.41,141149,5868000
190,0,20157,Retief Goosen,2.39,20652,864000
191,0,01331,Rick Fehr,2.38,147766,6209000
192,0,01408,Kelly Gibson,2.35,173425,7371000
193,0,01353,Bruce Fleisher,2.32,108829,4689000
193,0,06617,Brian Henninger,2.32,166729,7182000
195,0,01214,Frank Conner,2.31,7480,324000
196,0,01051,Seve Ballesteros,2.30,64344,2799375
196,0,02241,Bobby Wadkins,2.30,166526,7236000
198,0,01797,Rocco Mediate,2.29,105617,4608000
198,0,02224,Greg Twiggs,2.29,42474,1854000
200,0,01607,Brian Kamm,2.28,165235,7254000
201,0,01072,Chip Beck,2.25,170080,7568000
202,0,01796,Mark McNulty,2.19,64794,2961375
203,0,02023,Clarence Rose,2.18,7061,324000
204,0,01156,Curt Byrum,2.17,173837,8018000
204,0,02094,Tony Sills,2.17,113186,5211000
206,0,01891,David Ogrin,2.15,151419,7047000
207,0,02225,Howard Twitty,2.12,140694,6642000
207,0,06577,John Wilson,2.12,149280,7056000
209,0,01736,Roger Maltbie,2.10,61663,2934000
210,0,01040,Emlyn Aubrey,2.03,137019,6750000
211,0,01869,Jack Nicklaus,2.01,68180,3393375
212,0,01414,Bob Gilder,1.97,139361,7074000
213,0,01035,Tommy Armour III,1.96,134406,6866000
213,0,01142,Bart Bryant,1.96,119200,6084000
213,0,07101,Dave Stockton Jr.,1.96,149578,7632000
216,0,01540,Robert Hoyt,1.94,4550,234000
217,0,08537,J.P. Hayes,1.91,111695,5859000
217,0,08375,Paul Stankowski,1.91,144558,7578000
219,0,01093,Ronnie Black,1.86,122187,6579000
220,0,02226,Tray Tyner,1.81,126339,6966000
221,0,01996,Mike Reid,1.80,102809,5706000
222,0,01846,Jodie Mudd,1.79,43200,2412000
223,0,01060,Dave Barr,1.78,118218,6651000
223,0,02242,Lanny Wadkins,1.78,97484,5481000
225,0,06643,Paul Goydos,1.75,146423,8378000
226,0,06575,Dudley Hart,1.71,116334,6786000
227,0,10201,Matt Gogel,1.67,5842,350000
228,0,06012,Greg Kraft,1.64,137654,8406000
228,0,19913,Ron Whittaker,1.64,14650,891000
230,0,01943,Chris Perry,1.63,113632,6992000
231,0,01307,Joel Edwards,1.56,114284,7308000
232,0,01330,David Feherty,1.50,90273,6022375
232,0,08385,Omar Uresti,1.50,104876,7010000
234,0,07275,Mike Taylor,1.49,4035,270000
235,0,20095,Carl Paulson,1.47,64501,4383000
236,0,02180,Harry Taylor,1.46,94265,6444000
237,0,01927,Dennis Paulson,1.45,103411,7128000
238,0,01468,Gary Hallberg,1.43,99331,6930375
238,0,01779,Gary McCord,1.43,15812,1107000
238,0,20158,Anthony Rodriguez,1.43,12846,900000
241,0,06657,Steve Rintoul,1.40,112876,8082000
242,0,01129,Bill Britton,1.38,73574,5336000
242,0,06118,Greg Bruckner,1.38,4833,350000
244,0,01619,Skip Kendall,1.35,93605,6948000
245,0,01955,Gary Player,1.33,7935,595375
245,0,02033,Dave Rummells,1.33,26095,1962000
247,0,07001,J.B. Sneve,1.30,2925,225000
248,0,10213,Dicky Pride,1.29,97711,7560000
249,0,07763,Doug Dunakey,1.28,2308,180000
250,0,06197,Michael Allen,1.26,55824,4419000
251,0,19809,Richard Backwell,1.25,2250,180000
251,0,01458,Jerry Haas,1.25,78768,6282000
