RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,0,46046,Scottie Scheffler,72.29,1093,1512,-0.33
2,0,39997,Corey Conners,71.90,1126,1566,-0.27
3,0,46970,Jon Rahm,71.59,902,1260,-0.30
4,0,33122,Russell Knox,71.41,1144,1602,-0.24
5,0,29725,Tony Finau,71.25,1103,1548,-0.30
6,0,21961,Charles Howell III,70.99,690,972,-0.28
7,0,34098,Russell Henley,70.94,996,1404,-0.30
8,0,47483,Will Zalatoris,70.91,970,1368,-0.31
9,0,39971,Sungjae Im,70.83,1122,1584,-0.29
10,0,40250,Taylor Pendrith,70.66,903,1278,-0.28
11,0,48081,Xander Schauffele,70.52,914,1296,-0.33
12,0,28237,Rory McIlroy,69.91,755,1080,-0.34
13,0,27129,Luke List,69.72,1004,1440,-0.24
14,0,47529,Mito Pereira,69.60,1115,1602,-0.27
15,0,55708,Hayden Buckley,69.54,1139,1638,-0.26
16,0,46402,Talor Gooch,69.33,886,1278,-0.32
16,0,29518,Brendan Steele,69.33,911,1314,-0.24
18,0,35450,Patrick Cantlay,69.28,848,1224,-0.33
19,0,52374,Brandon Wu,69.22,922,1332,-0.27
20,0,54628,Lee Hodges,69.12,1157,1674,-0.26
21,0,49964,Aaron Wise,69.06,1069,1548,-0.31
22,0,34255,Joseph Bramlett,68.86,1004,1458,-0.25
23,0,46414,Aaron Rai,68.79,1102,1602,-0.25
24,0,27936,Martin Laird,68.77,817,1188,-0.24
25,0,47988,Nick Hardy,68.74,730,1062,-0.28
26,0,47504,Sam Burns,68.68,989,1440,-0.33
27,0,28252,Seamus Power,68.66,964,1404,-0.30
28,0,34610,Matthias Schwab,68.65,865,1260,-0.25
29,0,45540,Jared Wolfe,68.64,729,1062,-0.25
30,0,50525,Collin Morikawa,68.61,741,1080,-0.29
31,0,36871,Matthew NeSmith,68.48,1134,1656,-0.25
32,0,50095,Austin Smotherman,68.47,949,1386,-0.27
33,0,24980,Scott Gutschewski,68.45,690,1008,-0.26
34,0,33448,Justin Thomas,68.35,935,1368,-0.35
35,0,36801,Mark Hubbard,68.30,836,1224,-0.31
36,0,32839,Hideki Matsuyama,68.29,885,1296,-0.32
37,0,25900,Lucas Glover,68.28,1143,1674,-0.25
37,0,46340,Alex Smalley,68.28,1143,1674,-0.27
39,0,20229,Stewart Cink,68.25,946,1386,-0.27
39,0,49947,Taylor Moore,68.25,1032,1512,-0.28
41,0,29420,Billy Horschel,68.17,859,1260,-0.28
41,0,36699,Patrick Rodgers,68.17,1043,1530,-0.27
43,0,30163,Henrik Norlander,68.13,883,1296,-0.24
44,0,36326,David Lipsky,68.12,1079,1584,-0.28
45,0,27064,Jhonattan Vegas,68.11,944,1386,-0.29
46,0,51890,Greyson Sigg,68.09,1103,1620,-0.27
47,0,35891,Cameron Smith,68.01,759,1116,-0.37
48,0,31646,Emiliano Grillo,67.92,1027,1512,-0.30
48,0,45486,Joaquin Niemann,67.92,978,1440,-0.31
50,0,34076,Joel Dahmen,67.91,1039,1530,-0.28
50,0,33204,Shane Lowry,67.91,709,1044,-0.28
52,0,33399,Adam Hadwin,67.84,1099,1620,-0.28
53,0,28775,Nate Lashley,67.69,926,1368,-0.30
54,0,45609,Tyler Duncan,67.68,999,1476,-0.29
55,0,24502,Adam Scott,67.67,877,1296,-0.31
56,0,31557,Jim Herman,67.65,621,918,-0.22
57,0,39546,Keith Mitchell,67.64,1047,1548,-0.29
58,0,19803,Ryan Armour,67.56,608,900,-0.23
59,0,36884,Ben Kohles,67.46,765,1134,-0.29
60,0,33419,Cameron Tringale,67.45,1117,1656,-0.28
61,0,40115,Adam Svensson,67.44,1214,1800,-0.30
62,0,34046,Jordan Spieth,67.42,898,1332,-0.31
63,0,40162,Justin Lower,67.36,873,1296,-0.29
64,0,53165,Doc Redman,67.30,957,1422,-0.26
65,0,32662,Michael Gligic,67.29,860,1278,-0.28
66,0,29535,Brice Garnett,67.17,931,1386,-0.25
66,0,29478,Kevin Kisner,67.17,798,1188,-0.28
66,0,35449,Adam Long,67.17,1064,1584,-0.27
69,0,52372,Cameron Champ,67.16,677,1008,-0.27
70,0,29289,S.Y. Noh,67.11,761,1134,-0.29
71,0,27644,Brian Harman,67.09,1099,1638,-0.27
72,0,39324,J.J. Spaun,67.02,1146,1710,-0.29
73,0,32816,Satoshi Kodaira,66.99,615,918,-0.29
74,0,46717,Viktor Hovland,66.98,844,1260,-0.34
75,0,47995,Davis Riley,66.96,1133,1692,-0.32
76,0,48699,Callum Tarren,66.91,831,1242,-0.28
77,0,45526,Abraham Ancer,66.86,698,1044,-0.30
78,0,40098,Matt Fitzpatrick,66.83,842,1260,-0.27
79,0,34174,John Huh,66.82,890,1332,-0.30
80,0,27095,Nick Watney,66.81,914,1368,-0.23
81,0,46442,Maverick McNealy,66.79,1058,1584,-0.33
81,0,22056,Cameron Percy,66.79,529,792,-0.30
83,0,23320,Ryan Palmer,66.75,805,1206,-0.26
83,0,34264,Hudson Swafford,66.75,769,1152,-0.31
85,0,46601,Trey Mullinax,66.73,985,1476,-0.32
85,0,49771,J.T. Poston,66.73,1057,1584,-0.28
87,0,54783,Dylan Wu,66.58,803,1206,-0.25
88,0,23325,Vaughn Taylor,66.56,635,954,-0.27
89,0,34256,Andrew Putnam,66.55,1126,1692,-0.26
89,0,49960,Sepp Straka,66.55,1174,1764,-0.25
91,0,26476,Chez Reavie,66.54,1018,1530,-0.25
92,0,29908,C.T. Pan,66.53,982,1476,-0.27
93,0,37189,Harold Varner III,66.51,826,1242,-0.30
94,0,27214,Kevin Streelman,66.48,1053,1584,-0.26
95,0,52375,Doug Ghim,66.47,1005,1512,-0.24
95,0,48822,Sebastián Muñoz,66.47,993,1494,-0.28
95,0,51634,Sahith Theegala,66.47,1352,2034,-0.29
98,0,32366,Kevin Chappell,66.46,658,990,-0.29
99,0,26851,Marc Leishman,66.36,860,1296,-0.31
100,0,47856,Seth Reeves,66.33,800,1206,-0.30
101,0,35532,Tom Hoge,66.32,1146,1728,-0.29
102,0,27649,Brandt Snedeker,66.20,703,1062,-0.24
103,0,33141,Keegan Bradley,66.18,953,1440,-0.29
103,0,24925,Jonathan Byrd,66.18,679,1026,-0.26
105,0,30926,Chris Kirk,66.14,1000,1512,-0.27
106,0,31323,Gary Woodland,66.10,821,1242,-0.25
107,0,45522,Christiaan Bezuidenhout,66.04,951,1440,-0.27
107,0,27974,Sung Kang,66.04,951,1440,-0.27
109,0,39953,Chase Seiffert,66.01,606,918,-0.24
110,0,39977,Max Homa,65.99,974,1476,-0.31
111,0,48887,Matt Wallace,65.97,665,1008,-0.26
112,0,49298,Kramer Hickok,65.93,1080,1638,-0.26
113,0,47983,Chad Ramey,65.91,866,1314,-0.28
114,0,32791,K.H. Lee,65.82,1161,1764,-0.29
115,0,32448,James Hahn,65.81,841,1278,-0.28
116,0,48117,Kurt Kitayama,65.79,829,1260,-0.30
