RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL FAIRWAY BUNKERS,POSSIBLE FWYS,RELATIVE TO PAR
1,0,01313,Steve Elkington,1.9,13,681,+0.385
2,0,08793,Tiger Woods,2.6,14,532,-0.071
3,0,20498,Briny Baird,2.9,31,1073,+0.290
3,0,06621,Joe Durant,2.9,41,1405,+0.146
5,0,01139,Olin Browne,3.0,39,1316,+0.179
6,0,02239,Scott Verplank,3.1,32,1027,+0.219
7,0,10809,Jim Furyk,3.3,33,1011,+0.121
7,0,01945,Kenny Perry,3.3,29,868,+0.241
9,0,01142,Bart Bryant,3.4,35,1036,+0.371
9,0,24357,K.J. Choi,3.4,39,1144,+0.154
9,0,26596,Ryan Moore,3.4,29,852,+0.276
12,0,20472,Alex Cejka,3.7,47,1268,+0.149
12,0,01381,Fred Funk,3.7,47,1268,+0.106
12,0,01941,Tom Pernice Jr.,3.7,50,1334,+0.240
12,0,08385,Omar Uresti,3.7,30,821,+0.067
16,0,01619,Skip Kendall,3.8,36,947,+0.139
16,0,10565,Ian Leggatt,3.8,40,1059,+0.125
18,0,23353,J.J. Henry,3.9,46,1184,+0.196
18,0,02110,Jerry Smith,3.9,50,1282,+0.240
20,0,01823,Larry Mize,4.0,26,653,+0.346
20,0,22293,Heath Slocum,4.0,50,1243,+0.360
22,0,19846,Brian Gay,4.1,61,1488,+0.279
22,0,22892,Jason Gore,4.1,46,1120,+0.413
22,0,24138,Ian Poulter,4.1,24,588,+0.375
22,0,23322,Brett Wetterich,4.1,44,1083,+0.091
22,0,19913,Ron Whittaker,4.1,45,1101,+0.356
27,0,20099,Doug Barron,4.2,43,1018,+0.279
27,0,01219,John Cook,4.2,37,874,+0.216
27,0,21805,Harrison Frazar,4.2,51,1214,+0.314
27,0,06643,Paul Goydos,4.2,42,1000,+0.190
31,0,10885,Robert Allenby,4.3,37,852,+0.189
31,0,24358,Robert Garrigus,4.3,50,1158,+0.340
31,0,20105,Jeff Gove,4.3,52,1211,+0.096
31,0,01599,Steve Jones,4.3,47,1088,+0.340
31,0,24140,Sean O'Hair,4.3,50,1176,+0.400
31,0,22046,Geoff Ogilvy,4.3,33,760,+0.212
37,0,11123,Chris Couch,4.4,45,1015,+0.378
37,0,08835,Kris Cox,4.4,50,1128,+0.260
37,0,20157,Retief Goosen,4.4,28,642,+0.179
37,0,20094,Jonathan Kaye,4.4,56,1285,+0.161
37,0,01724,Jeff Maggert,4.4,46,1046,+0.304
42,0,01132,Mark Brooks,4.5,53,1184,+0.321
42,0,12510,Chad Campbell,4.5,46,1017,+0.348
42,0,21753,Brian Davis,4.5,56,1256,+0.286
42,0,01320,Bob Estes,4.5,51,1125,+0.176
42,0,06012,Greg Kraft,4.5,46,1019,+0.370
42,0,01766,Billy Mayfair,4.5,53,1173,+0.189
42,0,01948,Tim Petrovic,4.5,57,1270,+0.246
42,0,21660,Jason Schultz,4.5,47,1045,+0.277
42,0,20812,Tjaart van der Walt,4.5,36,795,+0.139
51,0,20574,Mathew Goggin,4.6,42,922,E
51,0,20382,Stephen Leaney,4.6,54,1167,+0.074
51,0,20127,Chris Riley,4.6,50,1085,+0.160
51,0,06595,Kevin Sutherland,4.6,61,1336,+0.082
55,0,12645,Brent Geiberger,4.7,64,1353,+0.328
55,0,27943,Matt Hansen,4.7,43,919,+0.233
55,0,12716,Charley Hoffman,4.7,61,1311,+0.115
55,0,06573,Brandt Jobe,4.7,50,1059,+0.320
55,0,10733,Kent Jones,4.7,63,1348,+0.270
55,0,20691,Greg Owen,4.7,47,990,+0.191
55,0,01928,Corey Pavin,4.7,42,890,+0.286
62,0,01042,Paul Azinger,4.8,57,1185,+0.175
62,0,22946,Henrik Bjornstad,4.8,64,1327,+0.141
62,0,21646,David Branshaw,4.8,66,1363,+0.258
62,0,24925,Jonathan Byrd,4.8,41,859,+0.073
62,0,23135,Tim Clark,4.8,43,904,+0.116
62,0,25900,Lucas Glover,4.8,61,1273,+0.049
62,0,26420,Richard Johnson,4.8,61,1278,+0.246
62,0,08075,Jerry Kelly,4.8,62,1280,+0.290
62,0,24781,Hunter Mahan,4.8,63,1307,+0.159
62,0,21470,Daisuke Maruyama,4.8,53,1101,+0.245
62,0,20628,Arron Oberholser,4.8,45,937,+0.067
62,0,28475,Jeff Overton,4.8,62,1299,+0.258
62,0,23497,Tag Ridings,4.8,65,1361,+0.215
62,0,24502,Adam Scott,4.8,35,726,+0.286
62,0,02246,Duffy Waldorf,4.8,60,1250,+0.183
62,0,27095,Nick Watney,4.8,63,1324,+0.063
78,0,24507,Jason Bohn,4.9,67,1367,+0.060
78,0,23673,Michael Connell,4.9,33,669,+0.303
78,0,23983,Luke Donald,4.9,32,657,+0.313
78,0,07457,Steve Flesch,4.9,76,1548,+0.105
78,0,01388,Robert Gamez,4.9,63,1284,+0.143
78,0,22378,Trevor Immelman,4.9,52,1060,+0.154
78,0,20634,Peter Lonard,4.9,47,952,+0.234
78,0,02214,Kirk Triplett,4.9,37,754,+0.135
78,0,25804,Bubba Watson,4.9,54,1099,+0.259
87,0,01035,Tommy Armour III,5.0,42,846,+0.262
87,0,27141,J.B. Holmes,5.0,47,937,+0.170
87,0,01577,Lee Janzen,5.0,53,1068,+0.057
87,0,11032,Frank Lickliter II,5.0,68,1348,+0.147
87,0,02223,Bob Tway,5.0,52,1033,+0.423
87,0,23349,Charles Warren,5.0,60,1197,+0.267
93,0,20098,Stuart Appleby,5.1,47,924,+0.021
93,0,20608,David Howell,5.1,22,434,+0.227
93,0,24024,Zach Johnson,5.1,55,1088,+0.545
93,0,23788,D.J. Trahan,5.1,62,1226,+0.274
93,0,27770,Camilo Villegas,5.1,62,1213,+0.210
98,0,23614,Rich Beem,5.2,52,991,+0.346
98,0,25935,John Engler Jr.,5.2,49,935,+0.245
98,0,06350,Bob May,5.2,45,861,+0.222
98,0,02104,Jeff Sluman,5.2,66,1264,+0.212
102,0,23048,Eric Axley,5.3,66,1239,+0.212
102,0,07223,Brian Bateman,5.3,48,905,+0.188
102,0,02101,Joey Sindelar,5.3,62,1171,+0.290
102,0,28780,Nicholas Thompson,5.3,67,1268,+0.328
102,0,12602,Dean Wilson,5.3,77,1460,+0.260
107,0,22371,Aaron Baddeley,5.4,53,978,+0.189
107,0,10505,Shane Bertsch,5.4,77,1418,+0.091
107,0,19881,Robert Damron,5.4,69,1268,+0.203
107,0,06515,Shaun Micheel,5.4,62,1153,+0.290
107,0,21949,Joe Ogilvie,5.4,67,1244,+0.313
107,0,25240,D.A. Points,5.4,60,1116,+0.317
107,0,22405,Justin Rose,5.4,69,1268,+0.159
107,0,20548,Hidemichi Tanaka,5.4,55,1019,+0.345
107,0,10423,Mike Weir,5.4,52,960,+0.192
116,0,20229,Stewart Cink,5.5,57,1028,+0.123
116,0,24980,Scott Gutschewski,5.5,39,711,+0.231
116,0,20766,Padraig Harrington,5.5,29,532,+0.276
116,0,06575,Dudley Hart,5.5,63,1142,+0.254
116,0,08537,J.P. Hayes,5.5,42,767,+0.095
116,0,23320,Ryan Palmer,5.5,73,1324,+0.123
116,0,25345,Carl Pettersson,5.5,62,1135,+0.226
116,0,21959,Ted Purdy,5.5,68,1244,+0.338
116,0,20645,John Senden,5.5,67,1214,+0.104
116,0,11011,Mike Sposa,5.5,50,907,+0.460
116,0,21878,Mark Wilson,5.5,58,1059,+0.259
127,0,08123,Jeff Brehaut,5.6,75,1336,+0.173
127,0,01161,Mark Calcavecchia,5.6,66,1171,+0.364
127,0,23541,Ben Crane,5.6,53,950,+0.075
127,0,06251,Chris DiMarco,5.6,52,923,+0.135
127,0,12760,Danny Ellis,5.6,50,893,+0.460
127,0,01329,Brad Faxon,5.6,59,1063,+0.305
127,0,27120,Troy Matteson,5.6,79,1408,+0.329
127,0,01887,Mark O'Meara,5.6,34,610,+0.235
127,0,23621,Rory Sabbatini,5.6,55,988,+0.018
127,0,02106,Chris Smith,5.6,52,933,+0.192
127,0,06527,Steve Stricker,5.6,42,751,+0.048
138,0,01553,John Huston,5.7,57,1001,+0.140
138,0,01666,Bernhard Langer,5.7,52,919,+0.173
138,0,22913,John Rollins,5.7,69,1213,+0.246
138,0,08375,Paul Stankowski,5.7,56,975,+0.321
142,0,01024,Billy Andrade,5.8,55,944,+0.255
142,0,25936,Alex Aragon,5.8,49,851,+0.306
142,0,22621,Ben Curtis,5.8,58,1005,+0.207
142,0,23409,James Driscoll,5.8,65,1116,+0.123
142,0,23718,Nathan Green,5.8,79,1366,+0.304
142,0,23616,Ryan Hietala,5.8,48,823,+0.250
142,0,10860,Justin Leonard,5.8,58,993,+0.034
142,0,01810,Phil Mickelson,5.8,43,740,+0.116
142,0,20572,Rod Pampling,5.8,57,975,+0.281
142,0,23325,Vaughn Taylor,5.8,65,1120,+0.138
142,0,23623,Bo Van Pelt,5.8,78,1339,+0.244
153,0,09011,David Duval,5.9,47,796,E
153,0,20631,David McKenzie,5.9,66,1114,+0.485
153,0,07749,Brett Quigley,5.9,82,1379,+0.220
153,0,23307,Roger Tambellini,5.9,50,850,+0.300
157,0,06004,Stephen Ames,6.0,40,671,+0.125
157,0,21407,Arjun Atwal,6.0,79,1322,+0.152
157,0,01249,John Daly,6.0,36,602,+0.333
157,0,26360,Bubba Dickerson,6.0,80,1338,+0.200
157,0,06522,Ernie Els,6.0,40,668,+0.300
157,0,12660,Jesper Parnevik,6.0,68,1142,+0.206
157,0,24361,Pat Perez,6.0,40,670,+0.200
164,0,19824,Craig Barlow,6.1,57,936,+0.351
164,0,01677,Tom Lehman,6.1,44,723,+0.409
164,0,01761,Len Mattiace,6.1,50,820,+0.080
164,0,06373,José María Olazábal,6.1,36,587,+0.056
168,0,01473,Todd Hamilton,6.2,54,865,+0.259
168,0,12782,Tim Herron,6.2,58,933,+0.207
168,0,21961,Charles Howell III,6.2,73,1186,+0.247
168,0,22548,Patrick Sheehan,6.2,87,1394,+0.241
172,0,20121,Todd Fischer,6.3,87,1376,+0.230
172,0,06567,Vijay Singh,6.3,78,1231,+0.167
174,0,06197,Michael Allen,6.4,75,1174,+0.147
