RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES,GIR RANK
1,0,08793,Tiger Woods,25.33,310,1224,1
2,0,01810,Phil Mickelson,25.12,425,1692,47
3,0,02206,David Toms,24.29,446,1836,10
4,0,09011,David Duval,23.78,321,1350,100
5,0,01945,Kenny Perry,23.68,405,1710,6
6,0,20157,Retief Goosen,23.66,230,972,29
7,0,24925,Jonathan Byrd,23.42,392,1674,136
8,0,01381,Fred Funk,23.27,444,1908,5
9,0,01226,Fred Couples,23.15,250,1080,127
10,0,10860,Justin Leonard,23.11,391,1692,50
11,0,20098,Stuart Appleby,23.05,390,1692,97
12,0,01161,Mark Calcavecchia,22.86,325,1422,88
12,0,06567,Vijay Singh,22.86,395,1728,7
14,0,06251,Chris DiMarco,22.85,436,1908,40
15,0,01577,Lee Janzen,22.80,394,1728,34
15,0,22046,Geoff Ogilvy,22.80,353,1548,147
17,0,23541,Ben Crane,22.72,364,1602,171
18,0,21961,Charles Howell III,22.67,457,2016,25
19,0,02239,Scott Verplank,22.65,371,1638,31
20,0,20572,Rod Pampling,22.64,383,1692,121
21,0,01388,Robert Gamez,22.62,281,1242,70
21,0,01685,J.L. Lewis,22.62,399,1764,55
23,0,01553,John Huston,22.57,390,1728,28
24,0,20127,Chris Riley,22.56,406,1800,114
25,0,02246,Duffy Waldorf,22.48,352,1566,105
26,0,10117,Bob Heintz,22.30,273,1224,202
27,0,01706,Davis Love III,22.29,349,1566,85
28,0,24357,K.J. Choi,22.28,357,1602,106
29,0,24361,Pat Perez,22.22,348,1566,187
30,0,10585,Scott McCarron,22.17,391,1764,67
31,0,10423,Mike Weir,22.16,367,1656,14
32,0,10885,Robert Allenby,22.05,377,1710,15
32,0,06527,Steve Stricker,22.05,250,1134,183
34,0,22913,John Rollins,22.04,476,2160,42
35,0,01797,Rocco Mediate,22.00,297,1350,18
36,0,01024,Billy Andrade,21.99,380,1728,149
36,0,23614,Rich Beem,21.99,376,1710,65
38,0,21633,Steve Allan,21.98,360,1638,84
39,0,23800,Bryce Molder,21.96,249,1134,157
39,0,06613,Tommy Tolles,21.96,253,1152,164
41,0,02214,Kirk Triplett,21.94,312,1422,86
42,0,07457,Steve Flesch,21.90,414,1890,63
43,0,01249,John Daly,21.86,240,1098,195
43,0,06522,Ernie Els,21.86,244,1116,135
45,0,10565,Ian Leggatt,21.80,365,1674,74
46,0,12652,Cameron Beckman,21.76,333,1530,52
47,0,08375,Paul Stankowski,21.71,383,1764,165
48,0,23135,Tim Clark,21.69,285,1314,78
48,0,12663,Phil Tataurangi,21.69,328,1512,81
50,0,01361,Dan Forsman,21.67,316,1458,19
51,0,08881,Tripp Isenhour,21.57,264,1224,106
52,0,06575,Dudley Hart,21.56,326,1512,68
52,0,20645,John Senden,21.56,357,1656,13
54,0,20634,Peter Lonard,21.51,360,1674,39
55,0,20593,Greg Chalmers,21.49,352,1638,163
55,0,08537,J.P. Hayes,21.49,294,1368,144
57,0,01707,Steve Lowery,21.44,355,1656,71
57,0,02106,Chris Smith,21.44,386,1800,3
59,0,01938,David Peoples,21.43,405,1890,23
60,0,02101,Joey Sindelar,21.41,393,1836,24
61,0,07721,Pat Bates,21.37,350,1638,49
62,0,12510,Chad Campbell,21.36,419,1962,21
63,0,01475,Donnie Hammond,21.30,230,1080,53
64,0,01307,Joel Edwards,21.29,387,1818,37
65,0,01219,John Cook,21.27,314,1476,44
66,0,19846,Brian Gay,21.26,440,2070,129
67,0,21209,Sergio Garcia,21.22,275,1296,130
68,0,20229,Stewart Cink,21.21,336,1584,66
68,0,23338,David Gossett,21.21,355,1674,36
70,0,23621,Rory Sabbatini,21.18,244,1152,79
71,0,01142,Bart Bryant,21.13,251,1188,12
71,0,01968,Nick Price,21.13,251,1188,134
73,0,12680,Shigeki Maruyama,21.07,330,1566,148
74,0,11032,Frank Lickliter II,21.04,337,1602,60
75,0,02133,Craig Stadler,21.00,257,1224,89
76,0,23322,Brett Wetterich,20.95,328,1566,139
77,0,01139,Olin Browne,20.94,392,1872,113
78,0,08075,Jerry Kelly,20.86,368,1764,59
79,0,20498,Briny Baird,20.83,405,1944,54
79,0,21805,Harrison Frazar,20.83,330,1584,132
81,0,23903,Stephen Gangluff,20.81,281,1350,155
82,0,20029,Notah Begay III,20.80,277,1332,73
83,0,01527,Scott Hoch,20.79,262,1260,115
