RANK,MOVEMENT,PLAYER_ID,PLAYER,BIRDIE TO BOGEY RATIO,TOTAL BIRDIES AND BETTER,TOTAL BOGEYS AND WORSE
1,0,08793,Tiger Woods,2.46,310,126
2,0,01381,Fred Funk,1.80,444,246
2,0,06567,Vijay Singh,1.80,395,220
4,0,02206,David Toms,1.77,446,252
5,0,20127,Chris Riley,1.71,406,237
6,0,01810,Phil Mickelson,1.70,425,250
7,0,10860,Justin Leonard,1.69,391,232
8,0,06251,Chris DiMarco,1.66,436,263
9,0,20157,Retief Goosen,1.65,230,139
10,0,01307,Joel Edwards,1.62,387,239
11,0,10809,Jim Furyk,1.61,302,187
12,0,01945,Kenny Perry,1.60,405,253
12,0,02010,Loren Roberts,1.60,338,211
12,0,02239,Scott Verplank,1.60,371,232
15,0,01361,Dan Forsman,1.59,316,199
16,0,08545,Glen Hnatiuk,1.57,339,216
16,0,01553,John Huston,1.57,390,248
16,0,22913,John Rollins,1.57,476,303
19,0,20572,Rod Pampling,1.56,383,246
19,0,01938,David Peoples,1.56,405,260
21,0,21961,Charles Howell III,1.55,457,294
21,0,08075,Jerry Kelly,1.55,368,237
23,0,20634,Peter Lonard,1.52,360,237
23,0,02104,Jeff Sluman,1.52,435,286
25,0,12652,Cameron Beckman,1.49,333,224
25,0,06522,Ernie Els,1.49,244,164
25,0,01706,Davis Love III,1.49,349,235
28,0,10885,Robert Allenby,1.46,377,258
28,0,01142,Bart Bryant,1.46,251,172
28,0,01320,Bob Estes,1.46,324,222
28,0,01797,Rocco Mediate,1.46,297,203
28,0,01968,Nick Price,1.46,251,172
28,0,02223,Bob Tway,1.46,358,245
34,0,07721,Pat Bates,1.45,350,241
34,0,24925,Jonathan Byrd,1.45,392,271
34,0,12510,Chad Campbell,1.45,419,289
37,0,20098,Stuart Appleby,1.44,390,270
37,0,08931,Glen Day,1.44,384,267
39,0,01226,Fred Couples,1.43,250,175
39,0,06515,Shaun Micheel,1.43,361,252
41,0,12823,Carlos Franco,1.42,392,276
41,0,02214,Kirk Triplett,1.42,312,220
43,0,09011,David Duval,1.41,321,227
43,0,01685,J.L. Lewis,1.41,399,283
43,0,06350,Bob May,1.41,321,228
43,0,02002,John Riegger,1.41,322,229
43,0,02246,Duffy Waldorf,1.41,352,249
48,0,01388,Robert Gamez,1.40,281,201
49,0,01527,Scott Hoch,1.39,262,189
49,0,01619,Skip Kendall,1.39,377,271
51,0,06809,Bob Burns,1.38,351,254
52,0,19846,Brian Gay,1.37,440,321
52,0,01457,Jay Haas,1.37,290,211
52,0,06573,Brandt Jobe,1.37,350,256
55,0,23983,Luke Donald,1.36,381,281
55,0,20645,John Senden,1.36,357,263
55,0,10423,Mike Weir,1.36,367,270
58,0,23614,Rich Beem,1.35,376,278
58,0,23541,Ben Crane,1.35,364,270
58,0,12782,Tim Herron,1.35,369,274
58,0,10585,Scott McCarron,1.35,391,289
58,0,02101,Joey Sindelar,1.35,393,291
58,0,12663,Phil Tataurangi,1.35,328,243
64,0,20498,Briny Baird,1.34,405,302
64,0,01139,Olin Browne,1.34,392,292
64,0,24357,K.J. Choi,1.34,357,266
64,0,23135,Tim Clark,1.34,285,213
64,0,01219,John Cook,1.34,314,235
64,0,01475,Donnie Hammond,1.34,230,172
64,0,01577,Lee Janzen,1.34,394,294
64,0,01948,Tim Petrovic,1.34,321,240
72,0,07457,Steve Flesch,1.33,414,312
72,0,06575,Dudley Hart,1.33,326,245
72,0,01569,Peter Jacobsen,1.33,230,173
72,0,01920,Craig Parry,1.33,252,190
72,0,02106,Chris Smith,1.33,386,290
77,0,06004,Stephen Ames,1.32,325,246
77,0,01024,Billy Andrade,1.32,380,288
77,0,20229,Stewart Cink,1.32,336,255
77,0,10565,Ian Leggatt,1.32,365,277
81,0,01329,Brad Faxon,1.31,316,242
81,0,23338,David Gossett,1.31,355,272
81,0,08633,Per-Ulrik Johansson,1.31,319,244
81,0,01761,Len Mattiace,1.31,383,292
81,0,22046,Geoff Ogilvy,1.31,353,269
81,0,06078,Esteban Toledo,1.31,355,271
87,0,08537,J.P. Hayes,1.30,294,226
87,0,20548,Hidemichi Tanaka,1.30,379,291
89,0,12645,Brent Geiberger,1.29,341,264
89,0,12680,Shigeki Maruyama,1.29,330,255
91,0,21633,Steve Allan,1.28,360,281
92,0,07003,David Berganio Jr.,1.27,275,217
92,0,01098,Jay Don Blake,1.27,385,302
92,0,21209,Sergio Garcia,1.27,275,216
92,0,20094,Jonathan Kaye,1.27,286,226
96,0,01157,Tom Byrum,1.26,258,204
96,0,01707,Steve Lowery,1.26,355,282
96,0,24361,Pat Perez,1.26,348,277
96,0,02133,Craig Stadler,1.26,257,204
100,0,01185,Brandel Chamblee,1.25,296,236
100,0,01927,Dennis Paulson,1.25,321,257
100,0,02245,Grant Waite,1.25,334,267
103,0,19824,Craig Barlow,1.24,206,166
104,0,06621,Joe Durant,1.23,289,235
104,0,21805,Harrison Frazar,1.23,330,268
104,0,20574,Mathew Goggin,1.23,235,191
104,0,11032,Frank Lickliter II,1.23,337,273
104,0,01723,Andrew Magee,1.23,325,265
104,0,23800,Bryce Molder,1.23,249,202
104,0,01941,Tom Pernice Jr.,1.23,358,291
104,0,23621,Rory Sabbatini,1.23,244,198
112,0,20593,Greg Chalmers,1.22,352,289
112,0,23903,Stephen Gangluff,1.22,281,231
112,0,10733,Kent Jones,1.22,376,308
112,0,06332,Neal Lancaster,1.22,354,291
112,0,11011,Mike Sposa,1.22,360,296
112,0,10425,Jay Williamson,1.22,317,259
118,0,20029,Notah Begay III,1.21,277,228
118,0,08881,Tripp Isenhour,1.21,264,219
118,0,23108,Matt Kuchar,1.21,293,242
118,0,10457,Frank Nobilo,1.21,335,277
122,0,01161,Mark Calcavecchia,1.20,325,270
123,0,08123,Jeff Brehaut,1.19,309,259
123,0,10201,Matt Gogel,1.19,262,221
123,0,20105,Jeff Gove,1.19,298,250
123,0,01677,Tom Lehman,1.19,227,190
123,0,01766,Billy Mayfair,1.19,311,262
123,0,06373,José María Olazábal,1.19,224,189
123,0,01926,Steve Pate,1.19,215,180
123,0,06595,Kevin Sutherland,1.19,301,254
131,0,01175,Jim Carter,1.18,332,282
131,0,06498,Matt Peterson,1.18,257,218
133,0,06617,Brian Henninger,1.17,242,207
133,0,06012,Greg Kraft,1.17,289,248
133,0,06527,Steve Stricker,1.17,250,213
136,0,12388,Michael Clark II,1.16,330,285
136,0,01313,Steve Elkington,1.16,265,229
136,0,23353,J.J. Henry,1.16,350,302
136,0,08375,Paul Stankowski,1.16,383,330
140,0,01887,Mark O'Meara,1.15,218,190
141,0,07223,Brian Bateman,1.14,324,285
141,0,01378,David Frost,1.14,304,266
141,0,01666,Bernhard Langer,1.14,178,156
141,0,12753,David Morland IV,1.14,211,185
145,0,06643,Paul Goydos,1.13,229,202
145,0,20502,Michael Long,1.13,242,214
145,0,01724,Jeff Maggert,1.13,289,256
145,0,12660,Jesper Parnevik,1.13,295,260
145,0,10649,Tom Scherrer,1.13,322,284
145,0,22293,Heath Slocum,1.13,314,279
145,0,06613,Tommy Tolles,1.13,253,223
152,0,01042,Paul Azinger,1.12,223,199
152,0,19881,Robert Damron,1.12,303,270
154,0,07749,Brett Quigley,1.11,334,302
