RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL APEX HEIGHT,TOTAL ATTEMPTS
1,0,28089,Jason Day,131' 8",5661',43
2,0,27436,Graham DeLaet,125' 2",8385' 4",67
3,0,24140,Sean O'Hair,119' 11",4797' 1",40
4,0,33141,Keegan Bradley,119' 6",6933' 3",58
5,0,32102,Rickie Fowler,119' 3",6675',56
6,0,27330,Josh Teater,118' 4",6980' 6",59
7,0,34360,Patrick Reed,117' 9",7538' 6",64
8,0,30110,Kyle Stanley,116' 9",6073' 0",52
9,0,28237,Rory McIlroy,114' 10",3788',33
10,0,32334,Charlie Beljan,113' 3",4644' 7",41
11,0,21528,Henrik Stenson,111' 5",2563' 5",23
12,0,24361,Pat Perez,111' 3",6673' 8",60
13,0,34021,Bud Cauley,111' 0",5772' 6",52
14,0,32448,James Hahn,110' 11",6987' 5",63
14,0,23320,Ryan Palmer,110' 11",6657' 6",60
16,0,29289,S.Y. Noh,110' 9",6310' 7",57
17,0,24781,Hunter Mahan,110' 7",6967' 1",63
18,0,20848,Ángel Cabrera,110' 6",5855' 5",53
18,0,12716,Charley Hoffman,110' 6",7958' 0",72
20,0,24358,Robert Garrigus,109' 10",4174' 2",38
21,0,29420,Billy Horschel,109' 4",8421' 4",77
22,0,08793,Tiger Woods,109' 2",2946' 8",27
23,0,27936,Martin Laird,109' 1",4909',45
24,0,27120,Troy Matteson,108' 10",5660' 6",52
25,0,22792,Peter Hanson,108' 8",3584' 9",33
26,0,23452,Nicolas Colsaerts,108' 7",3475' 8",32
27,0,22046,Geoff Ogilvy,108' 6",4341' 7",40
27,0,23325,Vaughn Taylor,108' 6",4123' 7",38
29,0,06522,Ernie Els,108' 1",4648' 6",43
30,0,20766,Padraig Harrington,107' 11",3346' 5",31
30,0,28780,Nicholas Thompson,107' 11",8960' 0",83
32,0,33461,Morgan Hoffmann,107' 8",5489' 1",51
33,0,21878,Mark Wilson,107' 6",5160' 5",48
34,0,22405,Justin Rose,107' 2",4180' 3",39
35,0,31323,Gary Woodland,106' 8",5439',51
