RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,AVERAGE DISTANCE (YARDS),AVERAGE CLUB HEAD SPEED,TOTAL ATTEMPTS,HIGHEST DIST. EFFICIENCY
1,0,23135,Tim Clark,2.644,276.510,104.584,45,0223302936
2,0,22792,Peter Hanson,2.636,298.346,113.175,34,0214603015
3,0,06527,Steve Stricker,2.624,291.463,111.056,35,0227803094
4,0,22405,Justin Rose,2.622,301.955,115.154,40,0178102890
5,0,01724,Jeff Maggert,2.615,275.840,105.488,59,0228603174
5,0,23325,Vaughn Taylor,2.615,288.130,110.174,39,0206003149
7,0,29420,Billy Horschel,2.613,295.447,113.082,79,0213602986
8,0,21753,Brian Davis,2.611,280.357,107.355,87,0223003000
8,0,22295,Darron Stiles,2.611,273.880,104.891,40,0197303056
8,0,21878,Mark Wilson,2.611,280.382,107.369,51,0221703039
11,0,26476,Chez Reavie,2.609,281.455,107.861,73,0220803049
12,0,24138,Ian Poulter,2.603,292.184,112.259,36,0224002926
13,0,21099,David Lynn,2.602,281.067,108.021,56,0197203084
14,0,28780,Nicholas Thompson,2.599,294.214,113.218,87,0217803117
15,0,06522,Ernie Els,2.596,290.157,111.791,45,0230402880
15,0,33461,Morgan Hoffmann,2.596,296.281,114.122,53,0214202979
15,0,22806,Doug LaBelle II,2.596,278.096,107.139,61,0231002943
18,0,19846,Brian Gay,2.595,272.479,104.989,75,0203803134
19,0,24781,Hunter Mahan,2.594,291.632,112.419,68,0233402960
20,0,23452,Nicolas Colsaerts,2.591,313.421,120.947,36,0216703198
21,0,26596,Ryan Moore,2.589,286.860,110.791,61,0228302946
22,0,23541,Ben Crane,2.585,279.988,108.292,54,0220802989
22,0,24024,Zach Johnson,2.585,279.173,108.012,71,0156302946
24,0,27644,Brian Harman,2.584,286.347,110.825,80,0202802962
24,0,27933,John Merrick,2.584,292.438,113.182,66,0220102922
24,0,25834,Daniel Summerhays,2.584,288.246,111.559,83,0221502918
27,0,26758,David Hearn,2.583,280.681,108.672,77,0222802997
28,0,02206,David Toms,2.581,272.884,105.732,31,0222602868
29,0,10860,Justin Leonard,2.580,274.600,106.438,78,0212902967
29,0,34046,Jordan Spieth,2.580,288.805,111.930,71,0223602933
31,0,24140,Sean O'Hair,2.579,301.273,116.805,40,0226902872
32,0,34021,Bud Cauley,2.576,285.320,110.742,52,0217902959
33,0,25818,Scott Piercy,2.575,299.820,116.434,53,0205103203
34,0,01320,Bob Estes,2.573,285.795,111.088,51,0224602946
34,0,32150,Michael Thompson,2.573,287.231,111.623,51,0229003076
34,0,23788,D.J. Trahan,2.573,292.083,113.497,36,0223202893
37,0,23623,Bo Van Pelt,2.572,290.947,113.130,53,0216603045
38,0,30926,Chris Kirk,2.571,289.397,112.554,79,0168602947
39,0,25240,D.A. Points,2.568,281.276,109.538,68,0189603050
40,0,30925,Dustin Johnson,2.565,312.894,121.999,40,0212003078
40,0,25345,Carl Pettersson,2.565,291.694,113.709,63,0194102957
42,0,23320,Ryan Palmer,2.564,298.858,116.545,63,0207903006
43,0,28307,Matt Every,2.562,290.068,113.239,88,0209402974
