RANK,MOVEMENT,PLAYER_ID,PLAYER,%,POINTS WON,POTENTIAL PTS,# OF WINS,# OF TOP 10'S
1,0,33448,Justin Thomas,31.92,2458,7700,3,9
2,0,29221,Webb Simpson,30.29,1878,6200,2,7
3,0,34363,Tyrrell Hatton,24.13,1025,4250,1,5
4,0,08793,Tiger Woods,23.25,604,2600,1,2
5,0,47959,Bryson DeChambeau,23.01,1657,7200,1,9
6,0,28237,Rory McIlroy,21.23,1327,6250,1,6
7,0,46970,Jon Rahm,20.88,1295,6200,1,5
8,0,50525,Collin Morikawa,20.67,1902,9200,2,6
9,0,40026,Daniel Berger,18.83,1347,7150,1,6
10,0,30925,Dustin Johnson,18.78,1071,5700,1,4
11,0,24502,Adam Scott,17.28,726,4200,1,1
12,0,34360,Patrick Reed,16.30,1426,8750,1,7
13,0,48081,Xander Schauffele,16.24,1258,7750,0,6
14,0,35450,Patrick Cantlay,14.46,745,5150,0,3
15,0,26851,Marc Leishman,14.11,1086,7700,1,3
16,0,39971,Sungjae Im,13.90,1633,11750,1,7
17,0,45526,Abraham Ancer,12.56,1099,8750,0,4
18,0,30927,Brendon Todd,11.96,1316,11000,2,3
19,0,32839,Hideki Matsuyama,11.77,1030,8750,0,4
20,0,25396,Kevin Na,11.26,1036,9200,1,4
21,0,52372,Cameron Champ,11.00,951,8650,1,2
22,0,29725,Tony Finau,10.43,907,8700,0,6
23,0,23320,Ryan Palmer,10.28,838,8150,0,4
24,0,34099,Harris English,10.08,867,8600,0,5
25,0,46717,Viktor Hovland,9.96,842,8450,1,3
26,0,35310,Lanto Griffin,9.87,1159,11750,1,3
27,0,35891,Cameron Smith,9.79,807,8250,1,2
28,0,47128,Richy Werenski,9.76,703,7200,1,3
29,0,31323,Gary Woodland,9.62,741,7700,0,6
30,0,29420,Billy Horschel,9.16,893,9750,0,6
31,0,46046,Scottie Scheffler,9.00,900,10000,0,5
32,0,48822,Sebastián Muñoz,8.97,1045,11650,1,3
33,0,40098,Matt Fitzpatrick,8.92,602,6750,0,4
34,0,25493,Nick Taylor,8.83,720,8150,1,2
35,0,45486,Joaquin Niemann,8.65,878,10150,1,3
36,0,28089,Jason Day,8.54,653,7650,0,5
37,0,27214,Kevin Streelman,8.53,909,10650,0,4
38,0,33399,Adam Hadwin,8.49,654,7700,0,3
39,0,25364,Paul Casey,8.27,559,6750,0,1
40,0,35449,Adam Long,7.86,912,11600,0,3
41,0,29478,Kevin Kisner,7.68,710,9250,0,3
42,0,56278,Matthew Wolff,7.66,739,9650,0,2
43,0,29518,Brendan Steele,7.52,669,8900,0,3
44,0,33948,Byeong Hun An,7.46,765,10250,0,5
45,0,30911,Tommy Fleetwood,7.25,380,5250,0,1
46,0,34076,Joel Dahmen,7.09,720,10150,0,5
47,0,32150,Michael Thompson,7.07,647,9150,1,2
48,0,23108,Matt Kuchar,6.98,502,7200,0,1
49,0,33410,Andrew Landry,6.48,626,9650,1,1
50,0,35532,Tom Hoge,6.45,716,11100,0,3
51,0,45609,Tyler Duncan,6.43,736,11450,1,1
51,0,36801,Mark Hubbard,6.43,701,10900,0,3
53,0,01810,Phil Mickelson,6.34,488,7700,0,2
54,0,24138,Ian Poulter,6.33,392,6200,0,1
55,0,33667,Carlos Ortiz,6.21,630,10150,0,3
56,0,35506,Mackenzie Hughes,6.18,597,9650,0,3
57,0,26329,Louis Oosthuizen,6.16,354,5750,0,2
58,0,27349,Alex Noren,6.12,428,7000,0,3
