RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP 10'S,POINTS BEHIND LEAD
1,0,33448,Justin Thomas,2458,3,9,0
2,0,50525,Collin Morikawa,1902,2,6,556
3,0,29221,Webb Simpson,1878,2,7,580
4,0,47959,Bryson DeChambeau,1657,1,9,801
5,0,39971,Sungjae Im,1633,1,7,825
6,0,34360,Patrick Reed,1426,1,7,1032
7,0,40026,Daniel Berger,1347,1,6,1111
8,0,28237,Rory McIlroy,1327,1,6,1131
9,0,30927,Brendon Todd,1316,2,3,1142
10,0,46970,Jon Rahm,1295,1,5,1163
11,0,48081,Xander Schauffele,1258,0,6,1200
12,0,35310,Lanto Griffin,1159,1,3,1299
13,0,45526,Abraham Ancer,1099,0,4,1359
14,0,26851,Marc Leishman,1086,1,3,1372
15,0,30925,Dustin Johnson,1071,1,4,1387
16,0,48822,Sebastián Muñoz,1045,1,3,1413
17,0,25396,Kevin Na,1036,1,4,1422
18,0,32839,Hideki Matsuyama,1030,0,4,1428
19,0,34363,Tyrrell Hatton,1025,1,5,1433
20,0,52372,Cameron Champ,951,1,2,1507
21,0,35449,Adam Long,912,0,3,1546
22,0,27214,Kevin Streelman,909,0,4,1549
23,0,29725,Tony Finau,907,0,6,1551
24,0,46046,Scottie Scheffler,900,0,5,1558
25,0,29420,Billy Horschel,893,0,6,1565
26,0,45486,Joaquin Niemann,878,1,3,1580
27,0,34099,Harris English,867,0,5,1591
28,0,46717,Viktor Hovland,842,1,3,1616
29,0,23320,Ryan Palmer,838,0,4,1620
30,0,35891,Cameron Smith,807,1,2,1651
31,0,33948,Byeong Hun An,765,0,5,1693
32,0,35450,Patrick Cantlay,745,0,3,1713
33,0,31323,Gary Woodland,741,0,6,1717
34,0,56278,Matthew Wolff,739,0,2,1719
35,0,45609,Tyler Duncan,736,1,1,1722
36,0,24502,Adam Scott,726,1,1,1732
37,0,25493,Nick Taylor,720,1,2,1738
38,0,34076,Joel Dahmen,720,0,5,1738
39,0,35532,Tom Hoge,716,0,3,1742
40,0,29478,Kevin Kisner,710,0,3,1748
41,0,47128,Richy Werenski,703,1,3,1755
42,0,36801,Mark Hubbard,701,0,3,1757
43,0,29518,Brendan Steele,669,0,3,1789
44,0,33399,Adam Hadwin,654,0,3,1804
45,0,28089,Jason Day,653,0,5,1805
46,0,32150,Michael Thompson,647,1,2,1811
47,0,33667,Carlos Ortiz,630,0,3,1828
48,0,33410,Andrew Landry,626,1,1,1832
49,0,08793,Tiger Woods,604,1,2,1854
