RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# BIRDIES/EAGLES,# HOLES
1,0,23320,Ryan Palmer,23.35,290,1242
2,0,24358,Robert Garrigus,22.04,357,1620
3,0,02223,Bob Tway,21.90,276,1260
4,0,27770,Camilo Villegas,21.79,306,1404
5,0,01553,John Huston,21.73,219,1008
6,0,01810,Phil Mickelson,21.44,301,1404
7,0,01945,Kenny Perry,21.36,373,1746
8,0,20766,Padraig Harrington,21.22,191,900
9,0,24361,Pat Perez,21.07,349,1656
10,0,20229,Stewart Cink,21.06,307,1458
11,0,22892,Jason Gore,21.04,356,1692
12,0,30750,Tommy Gainey,21.02,227,1080
13,0,29718,Anthony Kim,20.99,306,1458
14,0,23621,Rory Sabbatini,20.98,287,1368
15,0,28158,Steve Marino,20.92,448,2142
16,0,12510,Chad Campbell,20.80,352,1692
17,0,27936,Martin Laird,20.75,366,1764
18,0,20104,Ken Duke,20.74,433,2088
19,0,27141,J.B. Holmes,20.65,316,1530
20,0,23541,Ben Crane,20.61,319,1548
20,0,21949,Joe Ogilvie,20.61,371,1800
22,0,24924,Bill Haas,20.59,367,1782
23,0,26695,Michael Letzig,20.52,325,1584
24,0,20433,Mark Hensby,20.50,262,1278
25,0,23718,Nathan Green,20.47,350,1710
25,0,10860,Justin Leonard,20.47,350,1710
27,0,06567,Vijay Singh,20.44,287,1404
28,0,27214,Kevin Streelman,20.42,419,2052
29,0,21878,Mark Wilson,20.40,393,1926
30,0,01313,Steve Elkington,20.37,308,1512
31,0,10885,Robert Allenby,20.35,392,1926
32,0,24490,George McNeill,20.33,355,1746
32,0,23497,Tag Ridings,20.33,322,1584
34,0,27095,Nick Watney,20.31,351,1728
35,0,23325,Vaughn Taylor,20.23,375,1854
36,0,28780,Nicholas Thompson,20.21,411,2034
37,0,24502,Adam Scott,20.18,178,882
38,0,12660,Jesper Parnevik,20.14,319,1584
39,0,01226,Fred Couples,20.09,217,1080
40,0,06595,Kevin Sutherland,20.07,354,1764
41,0,21753,Brian Davis,20.06,390,1944
41,0,26679,Kevin Stadler,20.06,325,1620
43,0,01948,Tim Petrovic,20.05,350,1746
44,0,20663,Brenden Pappas,20.03,238,1188
45,0,06197,Michael Allen,20.02,328,1638
45,0,12823,Carlos Franco,20.02,263,1314
47,0,28475,Jeff Overton,20.01,371,1854
48,0,19846,Brian Gay,19.99,367,1836
48,0,11032,Frank Lickliter II,19.99,385,1926
50,0,22371,Aaron Baddeley,19.94,262,1314
51,0,24925,Jonathan Byrd,19.93,305,1530
51,0,30925,Dustin Johnson,19.93,330,1656
51,0,25396,Kevin Na,19.93,348,1746
51,0,25804,Bubba Watson,19.93,348,1746
55,0,23788,D.J. Trahan,19.92,337,1692
56,0,06004,Stephen Ames,19.85,293,1476
56,0,10505,Shane Bertsch,19.85,343,1728
56,0,23135,Tim Clark,19.85,318,1602
59,0,21633,Steve Allan,19.83,207,1044
60,0,02239,Scott Verplank,19.82,289,1458
61,0,12652,Cameron Beckman,19.80,310,1566
61,0,26668,Marc Turnesa,19.80,310,1566
63,0,20574,Mathew Goggin,19.78,324,1638
64,0,28089,Jason Day,19.75,288,1458
65,0,06575,Dudley Hart,19.74,263,1332
65,0,12716,Charley Hoffman,19.74,334,1692
65,0,24781,Hunter Mahan,19.74,302,1530
68,0,01941,Tom Pernice Jr.,19.66,368,1872
69,0,26289,Boo Weekley,19.61,293,1494
70,0,10585,Scott McCarron,19.58,222,1134
70,0,23623,Bo Van Pelt,19.58,356,1818
72,0,25345,Carl Pettersson,19.55,387,1980
73,0,20850,Daniel Chopra,19.54,292,1494
74,0,21209,Sergio Garcia,19.52,246,1260
75,0,27120,Troy Matteson,19.50,330,1692
76,0,19803,Ryan Armour,19.48,305,1566
