RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR 5 BIRDIES OR BETTER,PAR 5 HOLES
1,0,06567,Vijay Singh,51.54,117,227
2,0,01810,Phil Mickelson,50.84,121,238
3,0,24358,Robert Garrigus,50.35,145,288
4,0,27141,J.B. Holmes,50.19,133,265
5,0,27770,Camilo Villegas,49.11,110,224
6,0,29718,Anthony Kim,48.46,110,227
7,0,27095,Nick Watney,48.29,155,321
8,0,25804,Bubba Watson,47.46,140,295
9,0,01226,Fred Couples,47.34,98,207
10,0,20229,Stewart Cink,47.19,126,267
10,0,25900,Lucas Glover,47.19,126,267
12,0,23320,Ryan Palmer,46.98,101,215
13,0,24502,Adam Scott,46.94,69,147
14,0,20663,Brenden Pappas,46.89,98,209
15,0,21209,Sergio Garcia,46.88,90,192
16,0,27936,Martin Laird,46.73,143,306
17,0,21949,Joe Ogilvie,46.50,146,314
18,0,23497,Tag Ridings,45.77,130,284
19,0,24924,Bill Haas,45.69,143,313
20,0,21961,Charles Howell III,45.59,150,329
21,0,06595,Kevin Sutherland,45.58,134,294
22,0,01945,Kenny Perry,45.14,130,288
23,0,20766,Padraig Harrington,44.97,67,149
24,0,12823,Carlos Franco,44.90,110,245
25,0,20574,Mathew Goggin,44.79,129,288
26,0,30750,Tommy Gainey,44.74,85,190
27,0,22371,Aaron Baddeley,44.54,102,229
28,0,28158,Steve Marino,44.48,157,353
29,0,26695,Michael Letzig,44.40,119,268
30,0,26289,Boo Weekley,44.02,114,259
31,0,28780,Nicholas Thompson,43.94,156,355
32,0,01553,John Huston,43.92,83,189
33,0,23621,Rory Sabbatini,43.81,99,226
34,0,27933,John Merrick,43.71,132,302
34,0,25396,Kevin Na,43.71,139,318
36,0,12716,Charley Hoffman,43.58,129,296
37,0,01035,Tommy Armour III,43.53,101,232
38,0,20848,Ángel Cabrera,43.51,67,154
39,0,10423,Mike Weir,43.38,118,272
40,0,28089,Jason Day,43.35,114,263
41,0,10885,Robert Allenby,43.32,146,337
42,0,12660,Jesper Parnevik,43.22,118,273
43,0,26668,Marc Turnesa,43.21,121,280
44,0,24361,Pat Perez,43.06,121,281
45,0,24490,George McNeill,42.90,130,303
46,0,20634,Peter Lonard,42.86,117,273
47,0,21633,Steve Allan,42.62,78,183
47,0,19846,Brian Gay,42.62,127,298
49,0,21753,Brian Davis,42.60,144,338
50,0,12510,Chad Campbell,42.55,117,275
50,0,10860,Justin Leonard,42.55,120,282
52,0,24140,Sean O'Hair,42.54,97,228
53,0,02002,John Riegger,42.49,99,233
54,0,07867,Woody Austin,42.39,142,335
55,0,06527,Steve Stricker,42.38,89,210
56,0,23718,Nathan Green,42.35,130,307
57,0,27214,Kevin Streelman,42.24,147,348
58,0,06004,Stephen Ames,42.21,103,244
58,0,23541,Ben Crane,42.21,111,263
60,0,02223,Bob Tway,42.08,93,221
61,0,23409,James Driscoll,41.99,118,281
62,0,20098,Stuart Appleby,41.94,104,248
63,0,11032,Frank Lickliter II,41.79,140,335
64,0,24925,Jonathan Byrd,41.76,114,273
65,0,22892,Jason Gore,41.75,129,309
66,0,23797,Brett Rumford,41.74,96,230
67,0,30925,Dustin Johnson,41.69,123,295
68,0,23788,D.J. Trahan,41.67,120,288
69,0,25562,Andres Romero,41.62,82,197
