RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,# OF BIRDIES,TOTAL ROUNDS
1,0,23320,Ryan Palmer,4.16,287,69
2,0,24358,Robert Garrigus,3.89,350,90
3,0,02223,Bob Tway,3.87,271,70
4,0,01553,John Huston,3.86,216,56
5,0,27770,Camilo Villegas,3.83,299,78
6,0,01945,Kenny Perry,3.79,368,97
7,0,01810,Phil Mickelson,3.78,295,78
8,0,20766,Padraig Harrington,3.76,188,50
9,0,28158,Steve Marino,3.70,440,119
9,0,23621,Rory Sabbatini,3.70,281,76
11,0,20104,Ken Duke,3.69,428,116
11,0,22892,Jason Gore,3.69,347,94
13,0,30750,Tommy Gainey,3.68,221,60
14,0,23541,Ben Crane,3.67,316,86
14,0,21949,Joe Ogilvie,3.67,367,100
16,0,20229,Stewart Cink,3.65,296,81
16,0,29718,Anthony Kim,3.65,296,81
16,0,24361,Pat Perez,3.65,336,92
19,0,01313,Steve Elkington,3.64,306,84
19,0,27141,J.B. Holmes,3.64,309,85
19,0,10860,Justin Leonard,3.64,346,95
19,0,21878,Mark Wilson,3.64,389,107
23,0,23718,Nathan Green,3.63,345,95
23,0,24924,Bill Haas,3.63,359,99
25,0,27936,Martin Laird,3.62,355,98
25,0,23325,Vaughn Taylor,3.62,373,103
27,0,26695,Michael Letzig,3.61,318,88
28,0,06567,Vijay Singh,3.60,281,78
29,0,10885,Robert Allenby,3.59,384,107
29,0,20433,Mark Hensby,3.59,255,71
29,0,12660,Jesper Parnevik,3.59,316,88
29,0,01948,Tim Petrovic,3.59,348,97
33,0,19846,Brian Gay,3.58,365,102
34,0,12510,Chad Campbell,3.57,336,94
34,0,24490,George McNeill,3.57,346,97
34,0,23497,Tag Ridings,3.57,314,88
37,0,21753,Brian Davis,3.56,384,108
37,0,27214,Kevin Streelman,3.56,406,114
39,0,10505,Shane Bertsch,3.55,341,96
39,0,06595,Kevin Sutherland,3.55,348,98
41,0,28475,Jeff Overton,3.54,365,103
41,0,02239,Scott Verplank,3.54,287,81
43,0,06575,Dudley Hart,3.53,261,74
43,0,24502,Adam Scott,3.53,173,49
43,0,28780,Nicholas Thompson,3.53,399,113
43,0,27095,Nick Watney,3.53,339,96
