RANK,MOVEMENT,PLAYER_ID,PLAYER,% MAKES BOGEY,BOGEYS,HOLES PLAYED
1,0,06527,Steve Stricker,12.29,104,846
2,0,01320,Bob Estes,13.55,161,1188
3,0,23638,Brendon de Jonge,13.79,273,1980
4,0,23108,Matt Kuchar,13.92,218,1566
5,0,21961,Charles Howell III,13.99,214,1530
6,0,30926,Chris Kirk,14.04,225,1602
7,0,24924,Bill Haas,14.22,215,1512
8,0,21528,Henrik Stenson,14.58,168,1152
9,0,20098,Stuart Appleby,14.62,221,1512
10,0,35139,Richard Lee,14.65,203,1386
11,0,27963,Chris Stroud,14.71,233,1584
12,0,26300,Matt Jones,14.73,220,1494
13,0,33141,Keegan Bradley,14.94,234,1566
14,0,10809,Jim Furyk,14.96,210,1404
15,0,08793,Tiger Woods,15.09,163,1080
16,0,08075,Jerry Kelly,15.11,204,1350
17,0,32200,Roberto Castro,15.12,264,1746
18,0,27436,Graham DeLaet,15.13,256,1692
19,0,22405,Justin Rose,15.28,165,1080
20,0,34046,Jordan Spieth,15.31,226,1476
21,0,33419,Cameron Tringale,15.35,221,1440
22,0,24024,Zach Johnson,15.39,230,1494
23,0,31560,Brian Stuard,15.47,206,1332
24,0,26476,Chez Reavie,15.51,201,1296
25,0,28500,Martin Flores,15.53,232,1494
26,0,25632,Jimmy Walker,15.54,235,1512
27,0,21209,Sergio Garcia,15.61,177,1134
28,0,24357,K.J. Choi,15.67,237,1512
29,0,24502,Adam Scott,15.74,170,1080
30,0,01810,Phil Mickelson,15.81,222,1404
30,0,21878,Mark Wilson,15.81,148,936
32,0,27649,Brandt Snedeker,15.82,225,1422
33,0,23800,Bryce Molder,15.83,228,1440
34,0,31202,William McGirt,15.85,214,1350
35,0,24781,Hunter Mahan,15.88,243,1530
36,0,23541,Ben Crane,15.90,166,1044
37,0,22913,John Rollins,16.06,211,1314
38,0,28475,Jeff Overton,16.10,226,1404
38,0,24361,Pat Perez,16.10,200,1242
38,0,26679,Kevin Stadler,16.10,229,1422
41,0,28089,Jason Day,16.11,232,1440
42,0,27214,Kevin Streelman,16.15,250,1548
43,0,12510,Chad Campbell,16.23,222,1368
44,0,23353,J.J. Henry,16.26,237,1458
45,0,24494,Erik Compton,16.29,217,1332
46,0,01724,Jeff Maggert,16.31,185,1134
47,0,22056,Cameron Percy,16.33,194,1188
47,0,25834,Daniel Summerhays,16.33,244,1494
49,0,27120,Troy Matteson,16.50,196,1188
50,0,29420,Billy Horschel,16.55,286,1728
51,0,24138,Ian Poulter,16.56,158,954
52,0,28310,Lee Williams,16.57,179,1080
53,0,23497,Tag Ridings,16.58,194,1170
54,0,25686,Jason Dufner,16.59,230,1386
54,0,25804,Bubba Watson,16.59,218,1314
56,0,27933,John Merrick,16.60,236,1422
56,0,29221,Webb Simpson,16.60,263,1584
58,0,23983,Luke Donald,16.67,174,1044
59,0,26758,David Hearn,16.73,265,1584
60,0,32102,Rickie Fowler,16.74,223,1332
61,0,20396,Lee Westwood,16.75,208,1242
62,0,27895,Jonas Blixt,16.81,230,1368
63,0,23409,James Driscoll,16.82,218,1296
64,0,28679,Fabián Gómez,16.84,197,1170
65,0,24846,Ricky Barnes,16.90,213,1260
66,0,22378,Trevor Immelman,16.91,210,1242
66,0,24490,George McNeill,16.91,207,1224
68,0,10860,Justin Leonard,16.93,262,1548
69,0,25572,Graeme McDowell,17.01,150,882
70,0,23320,Ryan Palmer,17.02,242,1422
71,0,23788,D.J. Trahan,17.03,141,828
72,0,34431,Robert Streb,17.06,218,1278
72,0,26497,Casey Wittenberg,17.06,215,1260
74,0,21099,David Lynn,17.07,212,1242
74,0,23621,Rory Sabbatini,17.07,252,1476
76,0,10213,Dicky Pride,17.08,206,1206
77,0,28092,D.H. Lee,17.09,200,1170
78,0,34174,John Huh,17.11,271,1584
78,0,34261,Scott Langley,17.11,231,1350
80,0,33461,Morgan Hoffmann,17.19,198,1152
81,0,29518,Brendan Steele,17.21,254,1476
82,0,25274,Steven Bowditch,17.26,202,1170
82,0,27770,Camilo Villegas,17.26,233,1350
84,0,34360,Patrick Reed,17.27,258,1494
85,0,20593,Greg Chalmers,17.28,227,1314
85,0,26289,Boo Weekley,17.28,311,1800
87,0,27556,Ted Potter Jr.,17.30,190,1098
88,0,30944,Jason Kokrak,17.31,243,1404
89,0,27644,Brian Harman,17.32,265,1530
89,0,30163,Henrik Norlander,17.32,212,1224
89,0,26331,Charl Schwartzel,17.32,212,1224
92,0,31323,Gary Woodland,17.35,281,1620
93,0,34099,Harris English,17.37,297,1710
93,0,19846,Brian Gay,17.37,247,1422
95,0,27503,Steve LeBrun,17.38,194,1116
96,0,28780,Nicholas Thompson,17.40,310,1782
97,0,32448,James Hahn,17.42,232,1332
98,0,32366,Kevin Chappell,17.43,251,1440
99,0,27095,Nick Watney,17.44,270,1548
100,0,23135,Tim Clark,17.49,192,1098
101,0,22295,Darron Stiles,17.57,155,882
102,0,21731,Freddie Jacobson,17.59,190,1080
103,0,26851,Marc Leishman,17.60,244,1386
104,0,21753,Brian Davis,17.64,289,1638
104,0,33418,Shawn Stefani,17.64,200,1134
106,0,06567,Vijay Singh,17.67,194,1098
107,0,28307,Matt Every,17.73,284,1602
108,0,02206,David Toms,17.80,141,792
109,0,22806,Doug LaBelle II,17.86,225,1260
109,0,20572,Rod Pampling,17.86,135,756
111,0,29740,Brad Fritsch,17.89,248,1386
112,0,06004,Stephen Ames,17.91,158,882
113,0,28135,Aaron Watkins,17.93,142,792
114,0,34098,Russell Henley,17.95,252,1404
115,0,06573,Brandt Jobe,18.01,188,1044
116,0,27330,Josh Teater,18.02,266,1476
117,0,29425,Andrew Svoboda,18.06,143,792
118,0,22792,Peter Hanson,18.09,140,774
119,0,24507,Jason Bohn,18.17,229,1260
120,0,06522,Ernie Els,18.19,203,1116
121,0,29479,Scott Brown,18.21,213,1170
122,0,20443,Jin Park,18.22,164,900
123,0,36884,Ben Kohles,18.23,233,1278
123,0,26596,Ryan Moore,18.23,233,1278
125,0,31557,Jim Herman,18.28,181,990
126,0,20160,Charlie Wi,18.31,234,1278
127,0,30925,Dustin Johnson,18.33,231,1260
128,0,08725,Tom Gillis,18.38,215,1170
