RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,GIR PUTTS,GREENS HIT,BIRDIE CONVERSION
1,38,01098,Jay Don Blake,1.733,2100,1212,3.30
1,38,01928,Corey Pavin,1.733,2071,1195,3.19
3,41,01553,John Huston,1.737,2017,1161,3.49
3,41,02185,Lance Ten Broeck,1.737,992,571,3.01
5,43,01639,Kenny Knox,1.738,2374,1366,3.21
6,49,02033,Dave Rummells,1.744,2019,1158,3.21
7,51,02131,Mike Springer,1.745,1937,1110,3.15
8,51,02104,Jeff Sluman,1.746,2308,1322,3.18
9,51,01049,Ian Baker-Finch,1.747,1555,890,3.10
10,51,02099,Scott Simpson,1.749,1385,792,3.01
11,51,01876,Greg Norman,1.750,1286,735,3.28
11,51,02049,Gene Sauers,1.750,1810,1034,3.14
13,63,01329,Brad Faxon,1.751,2022,1155,3.07
13,63,01577,Lee Janzen,1.751,2232,1275,3.15
15,63,01024,Billy Andrade,1.752,2048,1169,3.03
16,63,01527,Scott Hoch,1.753,2522,1439,3.10
17,65,01072,Chip Beck,1.754,2042,1164,2.82
18,65,02239,Scott Verplank,1.755,965,550,2.87
19,65,02007,Larry Rinker,1.756,1640,934,3.02
19,65,02010,Loren Roberts,1.756,2313,1317,2.82
19,65,02255,Denis Watson,1.756,1099,626,3.13
22,66,01226,Fred Couples,1.759,1807,1027,3.34
22,66,01468,Gary Hallberg,1.759,1784,1014,3.20
24,68,01361,Dan Forsman,1.760,1874,1065,3.05
24,68,01723,Andrew Magee,1.760,1962,1115,3.18
24,68,01887,Mark O'Meara,1.760,1755,997,3.10
24,68,01926,Steve Pate,1.760,2167,1231,2.98
24,68,02146,Payne Stewart,1.760,1508,857,3.12
29,70,01706,Davis Love III,1.761,2083,1183,3.31
30,70,01068,Andy Bean,1.762,1524,865,2.90
31,71,01235,Ben Crenshaw,1.763,1199,680,2.84
32,73,01197,Bobby Clampett,1.764,1582,897,2.93
32,73,02242,Lanny Wadkins,1.764,1843,1045,3.07
34,78,01132,Mark Brooks,1.766,2236,1266,2.94
34,78,02133,Craig Stadler,1.766,1489,843,3.19
34,78,02170,Hal Sutton,1.766,2327,1318,2.94
34,78,02267,D.A. Weibring,1.766,1840,1042,2.93
38,78,02279,Mark Wiebe,1.767,1822,1031,2.82
38,78,02303,Robert Wrenn,1.767,1907,1079,3.03
40,79,01196,Brian Claar,1.768,2150,1216,2.92
40,79,01495,Morris Hatalsky,1.768,1607,909,2.84
40,79,01968,Nick Price,1.768,1819,1029,3.08
43,79,01510,Nolan Henke,1.769,1987,1123,2.91
44,86,01958,Dan Pohl,1.770,1515,856,3.17
44,86,02225,Howard Twitty,1.770,2227,1258,2.80
44,86,02294,Willie Wood,1.770,1490,842,2.91
47,88,01042,Paul Azinger,1.771,1645,929,3.10
47,88,01203,Russ Cochran,1.771,2221,1254,2.97
47,88,01390,Buddy Gardner,1.771,2285,1290,2.94
50,90,01161,Mark Calcavecchia,1.772,1614,911,3.27
50,90,01200,Keith Clearwater,1.772,2233,1260,2.94
50,90,01378,David Frost,1.772,1795,1013,2.79
50,90,01559,Hale Irwin,1.772,1226,692,3.01
50,90,01599,Steve Jones,1.772,2008,1133,3.01
55,90,01444,Ken Green,1.773,2007,1132,2.98
55,90,06090,Jim McGovern,1.773,1993,1124,2.90
55,90,01938,David Peoples,1.773,2177,1228,2.94
55,90,02214,Kirk Triplett,1.773,1993,1124,2.83
59,94,01701,Bob Lohr,1.774,1721,970,2.97
59,94,02256,Tom Watson,1.774,1121,632,3.01
61,96,01381,Fred Funk,1.775,2031,1144,3.01
61,96,01457,Jay Haas,1.775,2061,1161,2.89
63,96,01355,Raymond Floyd,1.776,1263,711,3.05
63,96,01385,Jim Gallagher Jr.,1.776,2400,1351,2.96
63,96,01835,Tommy Moore,1.776,1195,673,2.67
63,96,01943,Chris Perry,1.776,2177,1226,2.82
63,96,02321,Fuzzy Zoeller,1.776,1284,723,2.89
68,100,01129,Bill Britton,1.778,2095,1178,2.80
68,100,01771,Blaine McCallister,1.778,2174,1223,2.94
68,100,01823,Larry Mize,1.778,2020,1136,2.80
71,108,01201,Lennie Clements,1.779,1135,638,2.71
71,108,01284,Mike Donald,1.779,2078,1168,2.82
71,108,01945,Kenny Perry,1.779,1735,975,2.75
74,109,01306,David Edwards,1.780,2177,1223,2.84
74,109,02230,Stan Utley,1.780,1837,1032,2.78
76,111,01557,John Inman,1.781,2068,1161,2.71
76,111,01837,Gil Morgan,1.781,1799,1010,2.77
76,111,02090,Tom Sieckmann,1.781,1847,1037,2.75
79,112,01219,John Cook,1.782,2117,1188,2.77
79,112,01331,Rick Fehr,1.782,1689,948,2.88
79,112,01633,Tom Kite,1.782,1987,1115,2.88
79,112,01715,Mark Lye,1.782,1967,1104,3.05
79,112,01724,Jeff Maggert,1.782,1965,1103,3.11
79,112,02241,Bobby Wadkins,1.782,2190,1229,2.81
85,112,02246,Duffy Waldorf,1.783,2079,1166,2.98
86,117,01035,Tommy Armour III,1.784,1846,1035,2.86
86,117,01755,Dick Mast,1.784,1327,744,2.88
88,118,01388,Robert Gamez,1.785,1678,940,3.17
88,118,01414,Bob Gilder,1.785,1639,918,2.96
88,118,01435,Wayne Grady,1.785,1335,748,2.81
88,118,01549,Mike Hulbert,1.785,2412,1351,2.83
88,118,01797,Rocco Mediate,1.785,1901,1065,2.78
88,118,02100,Tim Simpson,1.785,1805,1011,2.84
88,118,02159,Curtis Strange,1.785,1423,797,2.71
88,118,06072,Greg Whisman,1.785,1780,997,2.91
96,119,01323,Brad Fabel,1.786,2048,1147,2.85
96,119,06332,Neal Lancaster,1.786,2365,1324,3.00
96,119,02041,Bill Sander,1.786,1175,658,2.93
99,123,01039,Perry Arthur,1.787,1417,793,2.95
99,123,06284,Jim Hallet,1.787,2429,1359,2.88
99,123,06575,Dudley Hart,1.787,1948,1090,2.79
99,123,01984,Sam Randolph,1.787,1376,770,2.95
99,123,02148,Ray Stewart,1.787,1928,1079,2.84
104,124,01093,Ronnie Black,1.788,1690,945,2.96
104,124,01261,Jay Delsing,1.788,1983,1109,3.00
104,124,01682,Wayne Levi,1.788,1647,921,2.76
104,124,01996,Mike Reid,1.788,1470,822,2.71
104,124,02067,Ted Schulz,1.788,2188,1224,2.91
