RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,YEAR/TOURN#,ROUND,HOLE
1,0,22621,Ben Curtis,100' 1",THE PLAYERS,1,14 - Par 4
2,0,26881,Jarrod Lyle,91' 0",Sony Open,1,2 - Par 4 -
3,0,20433,Mark Hensby,89' 4",PODS Champ,2,11 - Par 5
4,0,01948,Tim Petrovic,82' 2",Wyndham Champ.,2,2 - Par 5 -
5,0,24507,Jason Bohn,77' 10",Shell Houston,2,17 - Par 4
6,0,11032,Frank Lickliter II,77' 5",Viking Classic,2,7 - Par 5 -
7,0,21209,Sergio Garcia,75' 11",Arnold Palmer,3,15 - Par 4
8,0,02036,Jim Rutledge,75' 11",Canadian Open,1,3 - Par 4 -
9,0,01313,Steve Elkington,74' 9",Nissan Open,1,12 - Par 4
10,0,01577,Lee Janzen,72' 5",AT&T Classic,2,9 - Par 4 -
11,0,20382,Stephen Leaney,72' 2",Heritage,4,14 - Par 3
12,0,23613,Rich Barcelo,71' 0",Honda Classic,4,6 - Par 4 -
13,0,25892,Steve Wheatcroft,71' 0",Wyndham Champ.,2,9 - Par 5 -
14,0,08375,Paul Stankowski,70' 10",Wachovia Champ,2,6 - Par 3 -
15,0,08793,Tiger Woods,70' 4",THE TOUR Champ,2,9 - Par 5 -
16,0,23322,Brett Wetterich,70' 2",BMW Champ,2,16 - Par 4
17,0,22806,Doug LaBelle II,70' 1",PODS Champ,2,11 - Par 5
18,0,25364,Paul Casey,70' 0",THE PLAYERS,1,5 - Par 4 -
19,0,24781,Hunter Mahan,69' 10",Bob Hope Chrysl,4,16 - Par 4
20,0,20572,Rod Pampling,69' 9",Buick Invitatio,1,3 - Par 3 -
21,0,25900,Lucas Glover,69' 4",Ginn Classic,3,15 - Par 4
22,0,23983,Luke Donald,68' 9",WGC-CA Champ,4,5 - Par 4 -
23,0,06373,José María Olazábal,68' 2",Nissan Open,3,1 - Par 5 -
24,0,06522,Ernie Els,68' 1",Heritage,4,12 - Par 4
25,0,12680,Shigeki Maruyama,67' 10",FBR Open,1,5 - Par 4 -
