RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL HIT,TOTAL ATTEMPTS,RTP SCORE
1,0,08793,Tiger Woods,76.23,590,774,-190.00
2,0,10809,Jim Furyk,75.99,902,1187,-211.00
3,0,20472,Alex Cejka,75.28,1002,1331,-228.00
4,0,28475,Jeff Overton,75.21,731,972,-169.00
5,0,20645,John Senden,74.80,1131,1512,-235.00
6,0,10885,Robert Allenby,74.59,1007,1350,-224.00
7,0,06621,Joe Durant,74.49,978,1313,-172.00
8,0,01677,Tom Lehman,74.46,656,881,-142.00
9,0,01035,Tommy Armour III,74.38,923,1241,-207.00
10,0,01766,Billy Mayfair,74.21,1108,1493,-239.00
11,0,23353,J.J. Henry,74.16,907,1223,-207.00
12,0,20498,Briny Baird,73.86,1396,1890,-306.00
13,0,20105,Jeff Gove,73.82,1249,1692,-246.00
14,0,12652,Cameron Beckman,73.79,1129,1530,-260.00
15,0,01945,Kenny Perry,73.78,996,1350,-218.00
16,0,26951,Johnson Wagner,73.71,1141,1548,-253.00
17,0,20382,Stephen Leaney,73.70,981,1331,-208.00
18,0,24140,Sean O'Hair,73.56,1099,1494,-273.00
19,0,27933,John Merrick,73.53,1072,1458,-229.00
20,0,06522,Ernie Els,73.48,582,792,-161.00
21,0,20574,Mathew Goggin,73.42,1149,1565,-247.00
22,0,06515,Shaun Micheel,73.41,925,1260,-182.00
23,0,23349,Charles Warren,73.22,1225,1673,-291.00
24,0,27095,Nick Watney,73.02,920,1260,-206.00
25,0,20691,Greg Owen,72.78,917,1260,-174.00
26,0,23788,D.J. Trahan,72.76,1178,1619,-236.00
27,0,23623,Bo Van Pelt,72.66,1268,1745,-308.00
28,0,22293,Heath Slocum,72.62,1215,1673,-301.00
29,0,08123,Jeff Brehaut,72.56,640,882,-131.00
30,0,21959,Ted Purdy,72.52,1135,1565,-239.00
31,0,01142,Bart Bryant,72.45,965,1332,-227.00
32,0,25900,Lucas Glover,72.42,1016,1403,-269.00
33,0,02246,Duffy Waldorf,72.38,768,1061,-164.00
34,0,21753,Brian Davis,72.29,1145,1584,-284.00
34,0,02239,Scott Verplank,72.29,767,1061,-191.00
36,0,24781,Hunter Mahan,72.28,936,1295,-234.00
37,0,28158,Steve Marino,72.27,1183,1637,-261.00
