RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES
130,0,49947,Taylor Moore,14.59%,27,185
131,0,22371,Aaron Baddeley,14.58%,21,144
132,0,39546,Keith Mitchell,14.52%,18,124
133,0,30692,Scott Stallings,14.38%,22,153
134,0,47504,Sam Burns,14.36%,26,181
135,0,37338,Zecheng Dou,14.29%,28,196
135,0,32102,Rickie Fowler,14.29%,20,140
135,0,28252,Seamus Power,14.29%,18,126
135,0,26476,Chez Reavie,14.29%,22,154
139,0,27349,Alex Noren,14.04%,24,171
140,0,50525,Collin Morikawa,13.98%,13,93
141,0,49766,Hank Lebioda,13.92%,11,79
142,0,34563,Chesson Hadley,13.91%,21,151
143,0,30911,Tommy Fleetwood,13.73%,14,102
144,0,49298,Kramer Hickok,13.70%,20,146
145,0,31323,Gary Woodland,13.64%,21,154
146,0,47993,Denny McCarthy,13.58%,22,162
147,0,30926,Chris Kirk,13.56%,16,118
148,0,46435,Austin Cook,13.48%,12,89
148,0,22405,Justin Rose,13.48%,12,89
150,0,24140,Sean O'Hair,13.33%,8,60
151,0,47983,Chad Ramey,13.22%,23,174
152,0,54421,Garrick Higgo,13.19%,24,182
153,0,40058,Zac Blair,13.11%,16,122
154,0,47128,Richy Werenski,12.98%,17,131
155,0,34076,Joel Dahmen,12.90%,16,124
155,0,34098,Russell Henley,12.90%,12,93
155,0,40162,Justin Lower,12.90%,20,155
158,0,33408,Tyson Alexander,12.80%,21,164
159,0,34256,Andrew Putnam,12.70%,24,189
160,0,33948,Byeong Hun An,12.67%,28,221
161,0,36699,Patrick Rodgers,12.62%,26,206
161,0,40115,Adam Svensson,12.62%,27,214
163,0,32640,Troy Merritt,12.61%,15,119
164,0,52411,Kyle Westmoreland,12.43%,23,185
165,0,51950,Max McGreevy,12.36%,22,178
166,0,12716,Charley Hoffman,12.33%,18,146
167,0,27095,Nick Watney,11.97%,17,142
168,0,48081,Xander Schauffele,11.93%,13,109
169,0,32139,Danny Willett,11.86%,14,118
170,0,37455,Si Woo Kim,11.85%,16,135
171,0,34046,Jordan Spieth,11.67%,14,120
172,0,51349,Nico Echavarria,11.61%,13,112
173,0,25493,Nick Taylor,11.49%,17,148
174,0,46442,Maverick McNealy,11.48%,14,122
175,0,27963,Chris Stroud,11.46%,11,96
176,0,29535,Brice Garnett,11.40%,13,114
177,0,40098,Matt Fitzpatrick,11.22%,11,98
178,0,45609,Tyler Duncan,11.11%,17,153
178,0,33410,Andrew Landry,11.11%,15,135
180,0,33122,Russell Knox,11.04%,18,163
181,0,39058,Lucas Herbert,11.02%,14,127
182,0,51890,Greyson Sigg,10.80%,19,176
183,0,35310,Lanto Griffin,10.53%,10,95
184,0,32662,Michael Gligic,10.34%,15,145
185,0,35901,Paul Haley II,10.24%,13,127
186,0,23320,Ryan Palmer,10.17%,12,118
187,0,31557,Jim Herman,10.00%,10,100
187,0,26596,Ryan Moore,10.00%,11,110
189,0,34409,David Lingmerth,9.68%,9,93
190,0,29420,Billy Horschel,9.64%,8,83
191,0,31560,Brian Stuard,8.65%,9,104
192,0,31202,William McGirt,8.47%,5,59
193,0,19803,Ryan Armour,7.95%,7,88
