RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES
1,0,52955,Ludvig Åberg,45.93%,79,172
2,0,28237,Rory McIlroy,41.15%,100,243
3,0,35450,Patrick Cantlay,41.03%,119,290
4,0,58696,Peter Kuest,40.96%,68,166
5,0,32102,Rickie Fowler,40.85%,134,328
6,0,36799,Stephan Jaeger,40.63%,193,475
7,0,54591,Ben Griffin,40.52%,141,348
8,0,54421,Garrick Higgo,39.68%,150,378
9,0,57366,Cameron Young,39.65%,113,285
10,0,51070,Vincent Norrman,39.63%,107,270
11,0,39067,MJ Daffue,39.62%,126,318
12,0,46046,Scottie Scheffler,39.40%,132,335
13,0,34363,Tyrrell Hatton,38.85%,101,260
14,0,52453,Nicolai Hojgaard,38.69%,53,137
15,0,55789,Taylor Montgomery,38.48%,132,343
16,0,32791,K.H. Lee,38.30%,131,342
17,0,29725,Tony Finau,38.29%,121,316
18,0,55182,Tom Kim,38.26%,132,345
19,0,39971,Sungjae Im,38.25%,140,366
20,0,32333,Kevin Tway,38.19%,118,309
21,0,24502,Adam Scott,38.12%,85,223
22,0,50188,S.H. Kim,38.07%,158,415
23,0,58168,Davis Thompson,37.98%,147,387
23,0,45242,Kevin Yu,37.98%,79,208
25,0,40006,Erik van Rooyen,37.94%,96,253
26,0,40250,Taylor Pendrith,37.93%,121,319
27,0,45157,Cam Davis,37.84%,126,333
28,0,47128,Richy Werenski,37.72%,106,281
29,0,49453,Trevor Cone,37.68%,104,276
29,0,30911,Tommy Fleetwood,37.68%,107,284
31,0,51766,Wyndham Clark,37.54%,134,357
32,0,28089,Jason Day,37.41%,107,286
33,0,46414,Aaron Rai,37.28%,145,389
34,0,33448,Justin Thomas,37.05%,113,305
35,0,32757,Patton Kizzire,37.01%,124,335
36,0,32366,Kevin Chappell,36.91%,55,149
37,0,51634,Sahith Theegala,36.88%,142,385
38,0,28775,Nate Lashley,36.81%,120,326
39,0,29221,Webb Simpson,36.53%,80,219
40,0,27554,Scott Harrington,36.40%,91,250
41,0,56762,Will Gordon,36.21%,147,406
42,0,46970,Jon Rahm,36.19%,97,268
43,0,57975,Harry Hall,36.08%,105,291
44,0,52372,Cameron Champ,35.98%,95,264
45,0,56630,Akshay Bhatia,35.97%,91,253
46,0,48081,Xander Schauffele,35.94%,101,281
47,0,33948,Byeong Hun An,35.88%,127,354
48,0,48867,Matti Schmid,35.87%,80,223
49,0,39335,Kevin Roy,35.65%,77,216
50,0,52375,Doug Ghim,35.63%,114,320
51,0,32640,Troy Merritt,35.61%,94,264
52,0,36724,Augusto Núñez,35.51%,87,245
53,0,35617,Martin Trainer,35.48%,55,155
54,0,25686,Jason Dufner,35.47%,94,265
55,0,35506,Mackenzie Hughes,35.44%,112,316
56,0,27129,Luke List,35.40%,137,387
57,0,39546,Keith Mitchell,35.39%,109,308
58,0,47983,Chad Ramey,35.37%,133,376
59,0,50095,Austin Smotherman,35.25%,104,295
60,0,51890,Greyson Sigg,35.01%,118,337
61,0,29420,Billy Horschel,35.00%,77,220
62,0,33204,Shane Lowry,34.85%,84,241
63,0,47504,Sam Burns,34.77%,105,302
63,0,35461,Beau Hossler,34.77%,129,371
65,0,32662,Michael Gligic,34.76%,73,210
66,0,39324,J.J. Spaun,34.72%,117,337
67,0,32839,Hideki Matsuyama,34.65%,105,303
68,0,40115,Adam Svensson,34.60%,155,448
69,0,50525,Collin Morikawa,34.56%,94,272
70,0,39977,Max Homa,34.53%,115,333
70,0,37455,Si Woo Kim,34.53%,144,417
72,0,33141,Keegan Bradley,34.52%,97,281
73,0,33653,Thomas Detry,34.50%,89,258
74,0,23320,Ryan Palmer,34.48%,100,290
75,0,37338,Zecheng Dou,34.41%,107,311
76,0,31577,Tano Goya,34.39%,98,285
76,0,22405,Justin Rose,34.39%,76,221
78,0,48887,Matt Wallace,34.19%,93,272
79,0,51997,Andrew Novak,34.17%,95,278
80,0,46601,Trey Mullinax,34.15%,97,284
81,0,47079,Harrison Endycott,34.14%,99,290
82,0,36699,Patrick Rodgers,34.11%,117,343
83,0,25818,Scott Piercy,34.04%,96,282
84,0,35310,Lanto Griffin,34.01%,67,197
84,0,34466,Peter Malnati,34.01%,100,294
86,0,36801,Mark Hubbard,34.00%,137,403
87,0,46717,Viktor Hovland,33.97%,107,315
88,0,29908,C.T. Pan,33.96%,54,159
89,0,40098,Matt Fitzpatrick,33.95%,92,271
90,0,34046,Jordan Spieth,33.83%,91,269
91,0,31646,Emiliano Grillo,33.80%,122,361
91,0,33597,Harry Higgs,33.80%,73,216
93,0,34255,Joseph Bramlett,33.78%,100,296
94,0,54628,Lee Hodges,33.77%,128,379
95,0,12716,Charley Hoffman,33.76%,80,237
96,0,49947,Taylor Moore,33.74%,111,329
97,0,47995,Davis Riley,33.66%,102,303
98,0,47591,Eric Cole,33.62%,158,470
99,0,55454,Carl Yuan,33.56%,100,298
100,0,25632,Jimmy Walker,33.55%,102,304
101,0,30692,Scott Stallings,33.45%,93,278
102,0,20229,Stewart Cink,33.33%,84,252
102,0,59018,Ryan Gerard,33.33%,81,243
104,0,57362,Austin Eckroat,33.23%,110,331
105,0,30926,Chris Kirk,33.22%,97,292
106,0,28420,Ryan Brehm,33.20%,81,244
107,0,39954,Cody Gribble,33.00%,66,200
107,0,40162,Justin Lower,33.00%,99,300
109,0,51414,Brent Grant,32.95%,87,264
110,0,54783,Dylan Wu,32.94%,111,337
111,0,45609,Tyler Duncan,32.62%,107,328
