RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ATTEMPTS
1,0,34256,Andrew Putnam,3.000,3,1
1,0,46970,Jon Rahm,3.000,3,1
3,0,50526,Tom Lovelady,3.333,10,3
4,0,26499,Rafa Cabrera Bello,3.500,7,2
4,0,23320,Ryan Palmer,3.500,7,2
6,0,35421,Brandon Harkins,3.600,18,5
6,0,32333,Kevin Tway,3.600,18,5
8,0,35545,Blayne Barber,3.667,11,3
8,0,40026,Daniel Berger,3.667,11,3
8,0,35879,Kelly Kraft,3.667,11,3
8,0,23325,Vaughn Taylor,3.667,11,3
12,0,29478,Kevin Kisner,3.750,15,4
12,0,28237,Rory McIlroy,3.750,15,4
12,0,49964,Aaron Wise,3.750,15,4
15,0,26851,Marc Leishman,3.800,19,5
16,0,30978,Kiradech Aphibarnrat,4.000,4,1
16,0,22371,Aaron Baddeley,4.000,20,5
16,0,24846,Ricky Barnes,4.000,12,3
16,0,40058,Zac Blair,4.000,8,2
16,0,27958,Ryan Blaum,4.000,12,3
16,0,29268,Bronson Burgoon,4.000,4,1
16,0,12510,Chad Campbell,4.000,16,4
16,0,35450,Patrick Cantlay,4.000,16,4
16,0,20472,Alex Cejka,4.000,4,1
16,0,28089,Jason Day,4.000,8,2
16,0,45609,Tyler Duncan,4.000,20,5
16,0,30911,Tommy Fleetwood,4.000,16,4
16,0,24358,Robert Garrigus,4.000,8,2
16,0,19846,Brian Gay,4.000,28,7
16,0,46402,Talor Gooch,4.000,20,5
16,0,33399,Adam Hadwin,4.000,12,3
16,0,34098,Russell Henley,4.000,8,2
16,0,24024,Zach Johnson,4.000,16,4
16,0,26300,Matt Jones,4.000,4,1
16,0,32757,Patton Kizzire,4.000,12,3
16,0,23108,Matt Kuchar,4.000,12,3
16,0,27936,Martin Laird,4.000,20,5
16,0,28775,Nate Lashley,4.000,4,1
16,0,24781,Hunter Mahan,4.000,12,3
16,0,33413,Ben Martin,4.000,12,3
16,0,32640,Troy Merritt,4.000,20,5
16,0,01810,Phil Mickelson,4.000,8,2
16,0,39546,Keith Mitchell,4.000,8,2
16,0,26596,Ryan Moore,4.000,20,5
16,0,34213,Grayson Murray,4.000,12,3
16,0,27349,Alex Noren,4.000,16,4
16,0,26329,Louis Oosthuizen,4.000,4,1
16,0,27942,Rob Oppenheim,4.000,16,4
16,0,20572,Rod Pampling,4.000,4,1
16,0,29908,C.T. Pan,4.000,16,4
16,0,24361,Pat Perez,4.000,12,3
16,0,34358,Jonathan Randolph,4.000,16,4
16,0,26476,Chez Reavie,4.000,12,3
16,0,34360,Patrick Reed,4.000,8,2
16,0,22405,Justin Rose,4.000,8,2
16,0,23621,Rory Sabbatini,4.000,8,2
16,0,27649,Brandt Snedeker,4.000,8,2
16,0,34046,Jordan Spieth,4.000,16,4
16,0,29485,Brett Stegmaier,4.000,4,1
16,0,37189,Harold Varner III,4.000,12,3
16,0,26951,Johnson Wagner,4.000,8,2
16,0,25804,Bubba Watson,4.000,16,4
16,0,25892,Steve Wheatcroft,4.000,12,3
16,0,31323,Gary Woodland,4.000,4,1
16,0,32254,Xinjun Zhang,4.000,16,4
66,0,31560,Brian Stuard,4.143,29,7
67,0,47959,Bryson DeChambeau,4.167,25,6
67,0,35532,Tom Hoge,4.167,25,6
67,0,32876,Martin Piller,4.167,25,6
