RANK,MOVEMENT,PLAYER_ID,PLAYER,STATUS,PAR 5 AVG,TOTAL PAR
1,0,27129,Luke List,-156,4.50,15.70
2,0,12716,Charley Hoffman,-145,4.58,17.30
3,0,29725,Tony Finau,-141,4.56,16.10
4,0,32839,Hideki Matsuyama,-128,4.48,12.30
5,0,25493,Nick Taylor,-123,4.59,15.00
6,0,27974,Sung Kang,-121,4.61,15.50
7,0,35506,Mackenzie Hughes,-120,4.63,16.30
7,0,29461,Jamie Lovemark,-120,4.60,15.10
7,0,30110,Kyle Stanley,-120,4.59,14.50
10,0,24361,Pat Perez,-118,4.59,14.40
11,0,36689,Brooks Koepka,-116,4.52,12.10
11,0,01810,Phil Mickelson,-116,4.54,12.70
13,0,46970,Jon Rahm,-115,4.56,13.20
14,0,32366,Kevin Chappell,-114,4.61,14.80
15,0,32333,Kevin Tway,-113,4.58,13.60
16,0,34360,Patrick Reed,-111,4.65,15.80
17,0,31323,Gary Woodland,-109,4.60,13.70
18,0,34264,Hudson Swafford,-108,4.61,13.90
18,0,27064,Jhonattan Vegas,-108,4.62,14.10
20,0,33399,Adam Hadwin,-107,4.66,15.90
21,0,34098,Russell Henley,-106,4.63,14.30
21,0,29478,Kevin Kisner,-106,4.64,14.90
23,0,12510,Chad Campbell,-105,4.64,14.60
23,0,46550,Brandon Hagy,-105,4.56,11.90
23,0,30925,Dustin Johnson,-105,4.52,11.00
23,0,26851,Marc Leishman,-105,4.59,12.90
23,0,37189,Harold Varner III,-105,4.66,15.50
28,0,25364,Paul Casey,-104,4.63,14.00
28,0,20229,Stewart Cink,-104,4.65,14.80
30,0,23108,Matt Kuchar,-103,4.64,14.50
30,0,28252,Seamus Power,-103,4.58,12.30
32,0,27644,Brian Harman,-102,4.67,15.40
32,0,35891,Cameron Smith,-102,4.63,13.60
34,0,40026,Daniel Berger,-101,4.61,13.10
35,0,32102,Rickie Fowler,-100,4.57,11.60
35,0,25900,Lucas Glover,-100,4.65,14.30
35,0,32448,James Hahn,-100,4.68,15.40
35,0,49771,J.T. Poston,-100,4.64,14.00
35,0,48081,Xander Schauffele,-100,4.62,13.20
