RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,# OF PUTTS,# OF HOLES
1,0,34046,Jordan Spieth,1.545,2448,1584
2,0,34360,Patrick Reed,1.549,2788,1800
3,0,26300,Matt Jones,1.551,2401,1548
4,0,32102,Rickie Fowler,1.558,2019,1296
5,0,27895,Jonas Blixt,1.565,2085,1332
6,0,25274,Steven Bowditch,1.567,2905,1854
7,0,01810,Phil Mickelson,1.568,1976,1260
8,0,29926,Danny Lee,1.570,3392,2160
8,0,27649,Brandt Snedeker,1.570,2685,1710
10,0,22371,Aaron Baddeley,1.571,2093,1332
10,0,24781,Hunter Mahan,1.571,2376,1512
12,0,33461,Morgan Hoffmann,1.572,2405,1530
13,0,24846,Ricky Barnes,1.573,2208,1404
13,0,27141,J.B. Holmes,1.573,2407,1530
15,0,34256,Andrew Putnam,1.574,1813,1152
16,0,25396,Kevin Na,1.575,2693,1710
17,0,24138,Ian Poulter,1.576,1844,1170
18,0,31416,Derek Fathauer,1.577,2186,1386
18,0,23108,Matt Kuchar,1.577,2669,1692
18,0,30927,Brendon Todd,1.577,2640,1674
21,0,24140,Sean O'Hair,1.579,2444,1548
22,0,24494,Erik Compton,1.580,2446,1548
22,0,28089,Jason Day,1.580,2048,1296
22,0,25345,Carl Pettersson,1.580,3015,1908
25,0,08075,Jerry Kelly,1.581,2248,1422
26,0,30925,Dustin Johnson,1.582,2050,1296
26,0,32839,Hideki Matsuyama,1.582,2591,1638
28,0,21753,Brian Davis,1.584,2338,1476
28,0,26596,Ryan Moore,1.584,2224,1404
30,0,24507,Jason Bohn,1.585,2711,1710
30,0,25804,Bubba Watson,1.585,1940,1224
32,0,23048,Eric Axley,1.586,1570,990
32,0,28259,Sangmoon Bae,1.586,2798,1764
32,0,29479,Scott Brown,1.586,2770,1746
32,0,25720,Chad Collins,1.586,2256,1422
32,0,25834,Daniel Summerhays,1.586,2883,1818
37,0,26851,Marc Leishman,1.587,2000,1260
37,0,31560,Brian Stuard,1.587,2657,1674
39,0,20593,Greg Chalmers,1.588,1544,972
39,0,25892,Steve Wheatcroft,1.588,2373,1494
41,0,30926,Chris Kirk,1.589,2088,1314
41,0,32640,Troy Merritt,1.589,2602,1638
43,0,23320,Ryan Palmer,1.590,2204,1386
44,0,25562,Andres Romero,1.591,1890,1188
44,0,33448,Justin Thomas,1.591,3036,1908
46,0,34409,David Lingmerth,1.592,2579,1620
47,0,40058,Zac Blair,1.593,2983,1872
47,0,28307,Matt Every,1.593,2007,1260
47,0,23800,Bryce Molder,1.593,2495,1566
50,0,35539,Luke Guthrie,1.594,2353,1476
50,0,34563,Chesson Hadley,1.594,2897,1818
50,0,25632,Jimmy Walker,1.594,2468,1548
53,0,24357,K.J. Choi,1.595,1780,1116
53,0,34174,John Huh,1.595,2900,1818
53,0,24361,Pat Perez,1.595,2756,1728
56,0,20771,Steven Alker,1.596,1724,1080
56,0,28679,Fabián Gómez,1.596,2384,1494
56,0,29478,Kevin Kisner,1.596,2987,1872
56,0,26329,Louis Oosthuizen,1.596,1810,1134
60,0,02206,David Toms,1.597,1667,1044
61,0,24024,Zach Johnson,1.599,2504,1566
61,0,28475,Jeff Overton,1.599,2648,1656
63,0,25493,Nick Taylor,1.600,2621,1638
64,0,30736,Oscar Fraustro,1.601,1556,972
64,0,10860,Justin Leonard,1.601,1758,1098
66,0,34099,Harris English,1.602,2941,1836
66,0,12716,Charley Hoffman,1.602,2710,1692
66,0,29222,Billy Hurley III,1.602,2278,1422
69,0,39977,Max Homa,1.603,2135,1332
70,0,25818,Scott Piercy,1.604,2599,1620
71,0,35545,Blayne Barber,1.605,2138,1332
71,0,35532,Tom Hoge,1.605,2283,1422
73,0,25349,Tim Wilkinson,1.606,2053,1278
74,0,20472,Alex Cejka,1.607,2662,1656
74,0,26758,David Hearn,1.607,2806,1746
74,0,27770,Camilo Villegas,1.607,2401,1494
77,0,24925,Jonathan Byrd,1.608,1881,1170
77,0,23541,Ben Crane,1.608,1679,1044
77,0,23621,Rory Sabbatini,1.608,2344,1458
77,0,27963,Chris Stroud,1.608,2432,1512
81,0,32366,Kevin Chappell,1.609,2490,1548
81,0,25369,Jamie Donaldson,1.609,1361,846
81,0,21209,Sergio Garcia,1.609,1622,1008
81,0,30852,Ryo Ishikawa,1.609,2548,1584
81,0,31202,William McGirt,1.609,2983,1854
86,0,29720,Andres Gonzales,1.610,2493,1548
86,0,30711,Colt Knost,1.610,2492,1548
86,0,30944,Jason Kokrak,1.610,2551,1584
86,0,36699,Patrick Rodgers,1.610,1536,954
90,0,32448,James Hahn,1.611,2726,1692
90,0,34261,Scott Langley,1.611,2667,1656
90,0,33419,Cameron Tringale,1.611,2784,1728
93,0,20104,Ken Duke,1.612,2582,1602
93,0,34098,Russell Henley,1.612,2437,1512
93,0,24490,George McNeill,1.612,2698,1674
93,0,33418,Shawn Stefani,1.612,2728,1692
97,0,23638,Brendon de Jonge,1.613,3077,1908
97,0,20157,Retief Goosen,1.613,2236,1386
99,0,37454,Whee Kim,1.615,2006,1242
100,0,27644,Brian Harman,1.616,2618,1620
100,0,29420,Billy Horschel,1.616,2793,1728
102,0,25191,Gonzalo Fernandez-Castaño,1.617,2241,1386
102,0,29725,Tony Finau,1.617,3086,1908
102,0,36689,Brooks Koepka,1.617,2357,1458
102,0,34431,Robert Streb,1.617,3201,1980
106,0,27936,Martin Laird,1.618,2242,1386
106,0,29518,Brendan Steele,1.618,2447,1512
108,0,33399,Adam Hadwin,1.619,2711,1674
108,0,20766,Padraig Harrington,1.619,1749,1080
110,0,29476,Kyle Reifers,1.620,2683,1656
110,0,22405,Justin Rose,1.620,1925,1188
110,0,06567,Vijay Singh,1.620,2274,1404
113,0,23983,Luke Donald,1.621,2071,1278
114,0,34358,Jonathan Randolph,1.622,2044,1260
115,0,35541,John Peterson,1.623,2454,1512
116,0,40026,Daniel Berger,1.624,2835,1746
116,0,36801,Mark Hubbard,1.624,2251,1386
116,0,34130,Sung Joon Park,1.624,2251,1386
119,0,25240,D.A. Points,1.625,2047,1260
119,0,22293,Heath Slocum,1.625,1550,954
121,0,27436,Graham DeLaet,1.626,1902,1170
121,0,33667,Carlos Ortiz,1.626,2809,1728
121,0,30692,Scott Stallings,1.626,1756,1080
121,0,26289,Boo Weekley,1.626,2312,1422
125,0,34262,Jon Curran,1.627,2313,1422
125,0,27064,Jhonattan Vegas,1.627,2519,1548
125,0,20396,Lee Westwood,1.627,1523,936
128,0,29289,S.Y. Noh,1.628,1905,1170
129,0,22056,Cameron Percy,1.629,2052,1260
129,0,33486,Roger Sloan,1.629,1525,936
129,0,34264,Hudson Swafford,1.629,2785,1710
129,0,27095,Nick Watney,1.629,2668,1638
133,0,29221,Webb Simpson,1.630,2289,1404
133,0,32150,Michael Thompson,1.630,2377,1458
135,0,21878,Mark Wilson,1.631,2495,1530
136,0,29223,Sam Saunders,1.632,2379,1458
136,0,26951,Johnson Wagner,1.632,1997,1224
138,0,10809,Jim Furyk,1.633,1881,1152
138,0,22892,Jason Gore,1.633,2117,1296
140,0,12510,Chad Campbell,1.634,2853,1746
140,0,24358,Robert Garrigus,1.634,1941,1188
142,0,34265,Will Wilcox,1.637,1591,972
143,0,33141,Keegan Bradley,1.638,2477,1512
143,0,35451,Scott Pinckney,1.638,2594,1584
143,0,24502,Adam Scott,1.638,1415,864
143,0,28132,Tyrone Van Aswegen,1.638,1592,972
147,0,29425,Andrew Svoboda,1.640,2302,1404
147,0,31323,Gary Woodland,1.640,2185,1332
149,0,20645,John Senden,1.641,2215,1350
149,0,23623,Bo Van Pelt,1.641,2334,1422
151,0,33122,Russell Knox,1.642,2838,1728
152,0,24924,Bill Haas,1.643,2544,1548
152,0,26331,Charl Schwartzel,1.643,1863,1134
154,0,27466,Spencer Levin,1.644,2871,1746
155,0,25686,Jason Dufner,1.645,2161,1314
155,0,28500,Martin Flores,1.645,2694,1638
157,0,26476,Chez Reavie,1.646,1659,1008
158,0,33413,Ben Martin,1.647,2668,1620
158,0,27933,John Merrick,1.647,2194,1332
158,0,27214,Kevin Streelman,1.647,2698,1638
161,0,01706,Davis Love III,1.648,1513,918
162,0,37273,Derek Ernst,1.650,2109,1278
163,0,21961,Charles Howell III,1.653,3124,1890
164,0,25364,Paul Casey,1.654,2441,1476
164,0,29535,Brice Garnett,1.654,2352,1422
166,0,06522,Ernie Els,1.655,1698,1026
167,0,32200,Roberto Castro,1.656,1490,900
167,0,28780,Nicholas Thompson,1.656,2564,1548
169,0,28486,Michael Putnam,1.658,2536,1530
169,0,28023,Byron Smith,1.658,1641,990
171,0,20848,Ángel Cabrera,1.659,1583,954
171,0,20691,Greg Owen,1.659,1732,1044
171,0,21528,Henrik Stenson,1.659,1792,1080
174,0,25198,Francesco Molinari,1.664,1587,954
175,0,32334,Charlie Beljan,1.665,2158,1296
176,0,23548,Bill Lunde,1.668,1381,828
177,0,10885,Robert Allenby,1.669,1772,1062
177,0,30946,Alex Prugh,1.669,2403,1440
179,0,31193,Jim Renner,1.670,1984,1188
180,0,20229,Stewart Cink,1.675,2321,1386
181,0,31557,Jim Herman,1.679,2659,1584
182,0,23353,J.J. Henry,1.680,2722,1620
183,0,22046,Geoff Ogilvy,1.691,1461,864
184,0,25900,Lucas Glover,1.697,2413,1422
