RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND- COURSE,HOLE
1,0,28780,Nicholas Thompson,261,Frys.com Open,3,11 - Par 5
2,0,24358,Robert Garrigus,256,Shell Houston,2,4 - Par 5 -
3,0,20645,John Senden,250,Deutsche Bank,2,2 - Par 5 -
4,0,29221,Webb Simpson,221,Arnold Palmer,2,17 - Par 3
5,0,20094,Jonathan Kaye,214,Milwaukee,3,7 - Par 3 -
6,0,08385,Omar Uresti,214,Milwaukee,2,7 - Par 3 -
7,0,32102,Rickie Fowler,211,Frys.com Open,4,5 - Par 3 -
8,0,20634,Peter Lonard,203,Canadian Open,1,12 - Par 3
9,0,01928,Corey Pavin,203,Canadian Open,4,8 - Par 4 -
10,0,26497,Casey Wittenberg,202,Sony Open,3,4 - Par 3 -
11,0,10423,Mike Weir,200,Canadian Open,3,4 - Par 3 -
13,0,12510,Chad Campbell,199,Frys.com Open,3,16 - Par 3
14,0,21959,Ted Purdy,199,Frys.com Open,3,16 - Par 3
15,0,20157,Retief Goosen,195,Buick Invitatio,2,4 - Par 4 -
16,0,26498,Matt Weibring,194,Travelers Champ,2,4 - Par 4 -
17,0,23325,Vaughn Taylor,192,Arnold Palmer,2,7 - Par 3 -
18,0,32199,Matthew Borchert,191,Texas Open,2,14 - Par 5
19,0,10213,Dicky Pride,189,St. Jude,2,13 - Par 4
20,0,27060,John Mallinger,184,50th Bob Hope,5,3 - Par 3 -
21,0,20850,Daniel Chopra,179,The Barclays,3,4 - Par 3 -
22,0,07749,Brett Quigley,178,Deutsche Bank,2,12 - Par 4
23,0,01577,Lee Janzen,177,Heritage,2,17 - Par 3
24,0,12826,Paul Claxton,176,Quail Hollow,2,10 - Par 5
25,0,24980,Scott Gutschewski,174,Turning Stone,4,6 - Par 3 -
26,0,27770,Camilo Villegas,170,St. Jude,2,17 - Par 4
27,0,23409,James Driscoll,170,HP Byron Nelson,2,12 - Par 4
28,0,06643,Paul Goydos,170,BMW Champ,3,16 - Par 4
29,0,12782,Tim Herron,169,Crowne Plaza,2,5 - Par 4 -
30,0,01706,Davis Love III,169,Crowne Plaza,1,10 - Par 4
31,0,01313,Steve Elkington,168,Wyndham Champ.,1,3 - Par 3 -
33,0,25804,Bubba Watson,164,Memorial Tourn,2,17 - Par 4
34,0,21805,Harrison Frazar,164,Turning Stone,4,9 - Par 4 -
35,0,20127,Chris Riley,164,Wyndham Champ.,3,1 - Par 4 -
36,0,01035,Tommy Armour III,163,Heritage,2,7 - Par 3 -
37,0,20498,Briny Baird,163,Shell Houston,1,6 - Par 4 -
38,0,23541,Ben Crane,162,Honda Classic,3,5 - Par 3 -
39,0,26300,Matt Jones,161,Milwaukee,3,3 - Par 3 -
40,0,12602,Dean Wilson,161,Crowne Plaza,1,13 - Par 3
42,0,19824,Craig Barlow,159,Canadian Open,1,3 - Par 4 -
43,0,22293,Heath Slocum,158,The Barclays,4,5 - Par 4 -
44,0,27141,J.B. Holmes,158,BMW Champ,3,4 - Par 4 -
45,0,24503,Jeff Klauk,158,Canadian Open,2,11 - Par 4
46,0,31416,Derek Fathauer,156,Travelers Champ,2,1 - Par 4 -
47,0,27037,Sal Spallone,155,Honda Classic,2,8 - Par 4 -
48,0,12716,Charley Hoffman,155,50th Bob Hope,5,8 - Par 4 -
49,0,23497,Tag Ridings,154,Travelers Champ,1,11 - Par 3
50,0,07223,Brian Bateman,153,FBR Open,2,1 - Par 4 -
51,0,01707,Steve Lowery,150,Frys.com Open,2,14 - Par 4
52,0,30925,Dustin Johnson,150,AT&T Pebble,1,1 - Par 4 -
53,0,26882,Michael Sim,149,Turning Stone,4,10 - Par 4
54,0,23718,Nathan Green,149,John Deere Clas,1,5 - Par 4 -
55,0,06621,Joe Durant,148,Canadian Open,1,7 - Par 3 -
56,0,24507,Jason Bohn,148,THE PLAYERS,3,15 - Par 4
57,0,01142,Bart Bryant,147,Arnold Palmer,3,3 - Par 4 -
58,0,01766,Billy Mayfair,145,Travelers Champ,1,3 - Par 4 -
59,0,26851,Marc Leishman,144,Reno-Tahoe Open,3,6 - Par 4 -
62,0,06197,Michael Allen,143,AT&T National,4,9 - Par 5 -
63,0,24502,Adam Scott,142,Sony Open,1,3 - Par 4 -
64,0,02239,Scott Verplank,141,THE PLAYERS,1,15 - Par 4
66,0,23621,Rory Sabbatini,139,WGC-CA Champ,4,11 - Par 4
67,0,26695,Michael Letzig,139,THE PLAYERS,4,15 - Par 4
69,0,06522,Ernie Els,137,WGC-Bridgestone,1,1 - Par 4 -
70,0,27120,Troy Matteson,135,Buick Open,1,2 - Par 4 -
71,0,06595,Kevin Sutherland,135,Canadian Open,4,7 - Par 3 -
72,0,28158,Steve Marino,134,Shell Houston,4,13 - Par 5
74,0,23349,Charles Warren,134,Disney,1,17 - Par 4
75,0,23633,Phil Schmitt,133,Zurich Classic,1,13 - Par 4
77,0,21407,Arjun Atwal,133,Canadian Open,2,15 - Par 3
79,0,27683,Leif Olson,133,Canadian Open,2,15 - Par 3
80,0,27649,Brandt Snedeker,132,The Barclays,2,6 - Par 5 -
81,0,22896,Grégory Havret,132,WGC-Bridgestone,2,1 - Par 4 -
82,0,08793,Tiger Woods,131,Deutsche Bank,4,6 - Par 4 -
84,0,27933,John Merrick,129,Canadian Open,2,1 - Par 4 -
85,0,23623,Bo Van Pelt,129,Travelers Champ,1,1 - Par 4 -
90,0,01941,Tom Pernice Jr.,127,Disney,1,11 - Par 4
91,0,01132,Mark Brooks,126,Reno-Tahoe Open,1,1 - Par 4 -
92,0,22548,Patrick Sheehan,126,Wyndham Champ.,1,13 - Par 4
94,0,22913,John Rollins,124,Buick Invitatio,2,5 - Par 4 -
95,0,28135,Aaron Watkins,123,St. Jude,1,15 - Par 4
96,0,20160,Charlie Wi,123,Texas Open,3,9 - Par 4 -
97,0,20378,Mathias Grönberg,123,Texas Open,2,12 - Par 4
99,0,25632,Jimmy Walker,122,John Deere Clas,2,4 - Par 4 -
100,0,12755,Vance Veazey,121,St. Jude,1,9 - Par 4 -
101,0,26679,Kevin Stadler,120,AT&T National,1,9 - Par 5 -
103,0,24138,Ian Poulter,120,The Barclays,1,5 - Par 4 -
105,0,20691,Greg Owen,117,Frys.com Open,2,15 - Par 4
106,0,20433,Mark Hensby,114,Milwaukee,4,16 - Par 4
107,0,23353,J.J. Henry,114,Travelers Champ,1,1 - Par 4 -
108,0,20104,Ken Duke,114,Honda Classic,2,4 - Par 4 -
110,0,01685,J.L. Lewis,112,John Deere Clas,1,6 - Par 4 -
111,0,25240,D.A. Points,110,Turning Stone,1,8 - Par 5 -
112,0,26596,Ryan Moore,109,Shell Houston,2,13 - Par 5
113,0,26476,Chez Reavie,108,Reno-Tahoe Open,1,17 - Par 5
114,0,06567,Vijay Singh,108,HP Byron Nelson,2,18 - Par 4
115,0,10860,Justin Leonard,107,BMW Champ,2,15 - Par 5
116,0,20686,Jeev Milkha Singh,105,Turning Stone,4,4 - Par 4 -
117,0,25686,Jason Dufner,105,John Deere Clas,1,6 - Par 4 -
119,0,21878,Mark Wilson,104,Turning Stone,2,18 - Par 5
120,0,07867,Woody Austin,104,St. Jude,2,3 - Par 5 -
121,0,01945,Kenny Perry,103,Northern Trust,1,17 - Par 5
122,0,23135,Tim Clark,103,Northern Trust,4,17 - Par 5
123,0,22378,Trevor Immelman,101,Arnold Palmer,4,6 - Par 5 -
125,0,01161,Mark Calcavecchia,100,HP Byron Nelson,4,3 - Par 4 -
127,0,06527,Steve Stricker,98,John Deere Clas,4,6 - Par 4 -
129,0,23548,Bill Lunde,98,Wyndham Champ.,1,17 - Par 4
131,0,22348,Nick O'Hern,97,Turning Stone,4,8 - Par 5 -
132,0,06004,Stephen Ames,96,Canadian Open,1,18 - Par 5
134,0,30750,Tommy Gainey,93,John Deere Clas,2,1 - Par 4 -
135,0,25818,Scott Piercy,93,Sony Open,4,10 - Par 4
138,0,01249,John Daly,92,Wyndham Champ.,2,6 - Par 4 -
139,0,12393,Rodney Butcher,92,St. Jude,1,11 - Par 3
140,0,10809,Jim Furyk,92,J. Timberlake,1,7 - Par 4 -
143,0,08375,Paul Stankowski,88,John Deere Clas,1,2 - Par 5 -
144,0,01226,Fred Couples,87,FBR Open,1,6 - Par 4 -
145,0,01320,Bob Estes,86,Shell Houston,1,12 - Par 4
147,0,24024,Zach Johnson,84,Texas Open,3,7 - Par 4 -
148,0,06251,Chris DiMarco,82,Reno-Tahoe Open,1,11 - Par 5
149,0,29745,Tyler Aldridge,82,Texas Open,2,1 - Par 5 -
150,0,24925,Jonathan Byrd,82,Memorial Tourn,4,7 - Par 5 -
151,0,20229,Stewart Cink,81,Mercedes-Benz,2,14 - Par 4
154,0,27936,Martin Laird,77,Reno-Tahoe Open,3,18 - Par 4
155,0,10733,Kent Jones,70,Quail Hollow,2,5 - Par 5 -
157,0,25190,Jeff Quinney,69,THE PLAYERS,1,9 - Par 5 -
159,0,06332,Neal Lancaster,64,Buick Open,4,1 - Par 5 -
164,0,01948,Tim Petrovic,60,Turning Stone,4,9 - Par 4 -
165,0,25345,Carl Pettersson,59,Frys.com Open,4,6 - Par 4 -
167,0,22892,Jason Gore,56,Reno-Tahoe Open,4,13 - Par 4
169,0,26287,Roland Thatcher,54,Turning Stone,1,12 - Par 5
170,0,23048,Eric Axley,54,John Deere Clas,2,17 - Par 5
172,0,21350,Ryuji Imada,52,Buick Invitatio,4,18 - Par 5
176,0,21961,Charles Howell III,49,Turning Stone,1,5 - Par 5 -
179,0,23778,Brad Adamonis,49,Heritage,4,15 - Par 5
182,0,10425,Jay Williamson,46,Buick Invitatio,2,6 - Par 5 -
183,0,12705,Cliff Kresge,45,Reno-Tahoe Open,2,4 - Par 5 -
185,0,26668,Marc Turnesa,44,Buick Open,1,1 - Par 5 -
186,0,12652,Cameron Beckman,42,Heritage,2,5 - Par 5 -
189,0,24140,Sean O'Hair,41,WGC-CA Champ,1,2 - Par 4 -
192,0,01797,Rocco Mediate,39,Arnold Palmer,1,4 - Par 4 -
193,0,21753,Brian Davis,39,50th Bob Hope,4,16 - Par 4
194,0,26301,James Nitties,39,AT&T National,4,14 - Par 4
204,0,11032,Frank Lickliter II,37,John Deere Clas,1,7 - Par 3 -
