RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL LEFT ROUGH,POSSIBLE FWYS,RELATIVE TO PAR
1,0,02239,Scott Verplank,4.98,52,1044,+0.06
2,0,01920,Craig Parry,6.63,35,528,+0.03
3,0,06621,Joe Durant,7.03,81,1152,+0.07
4,0,01157,Tom Byrum,7.10,74,1042,+0.15
5,0,01766,Billy Mayfair,7.25,102,1407,+0.27
6,0,01797,Rocco Mediate,7.39,43,582,+0.14
7,0,10201,Matt Gogel,7.43,79,1063,+0.05
8,0,01677,Tom Lehman,7.49,65,868,-0.06
9,0,01320,Bob Estes,7.72,63,816,+0.17
10,0,22293,Heath Slocum,7.99,98,1227,+0.20
11,0,02214,Kirk Triplett,8.48,85,1002,+0.06
12,0,02010,Loren Roberts,8.60,87,1012,+0.23
13,0,07363,Craig Bowden,8.62,95,1102,+0.28
14,0,01941,Tom Pernice Jr.,8.64,112,1296,+0.11
15,0,01928,Corey Pavin,8.66,88,1016,+0.11
16,0,01381,Fred Funk,8.83,108,1223,+0.08
16,0,12753,David Morland IV,8.83,85,963,+0.28
18,0,10213,Dicky Pride,9.15,78,852,+0.23
19,0,19824,Craig Barlow,9.16,97,1059,+0.06
20,0,01219,John Cook,9.23,68,737,+0.25
21,0,24024,Zach Johnson,9.26,123,1328,+0.01
22,0,08385,Omar Uresti,9.28,105,1132,+0.10
23,0,08075,Jerry Kelly,9.51,123,1294,+0.03
24,0,02246,Duffy Waldorf,9.55,89,932,+0.08
25,0,01142,Bart Bryant,9.60,92,958,+0.15
26,0,08537,J.P. Hayes,9.61,95,989,+0.12
26,0,23320,Ryan Palmer,9.61,131,1363,+0.08
28,0,10585,Scott McCarron,9.63,110,1142,-0.08
29,0,08123,Jeff Brehaut,9.64,137,1421,+0.25
30,0,19972,José Coceres,9.73,87,894,+0.15
31,0,20029,Notah Begay III,9.74,91,934,+0.21
32,0,01161,Mark Calcavecchia,9.81,91,928,+0.16
32,0,02206,David Toms,9.81,82,836,+0.01
34,0,01329,Brad Faxon,9.84,100,1016,+0.01
35,0,01926,Steve Pate,9.87,92,932,+0.13
36,0,24925,Jonathan Byrd,9.88,103,1042,+0.01
37,0,02099,Scott Simpson,10.03,74,738,+0.19
38,0,21959,Ted Purdy,10.09,152,1506,+0.03
39,0,06595,Kevin Sutherland,10.11,106,1048,+0.15
40,0,21949,Joe Ogilvie,10.19,131,1285,+0.06
40,0,20127,Chris Riley,10.19,85,834,+0.20
42,0,10733,Kent Jones,10.38,137,1320,+0.23
43,0,01527,Scott Hoch,10.40,67,644,+0.03
44,0,08339,Spike McRoy,10.42,123,1180,+0.11
45,0,20094,Jonathan Kaye,10.52,100,951,+0.20
