RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF 1 PUTTS,# OF HOLES
1,0,01346,Ed Fiori,42.22,380,900
2,0,01960,Don Pooley,41.90,543,1296
3,0,01011,Rafael Alarcon,41.56,591,1422
4,0,01891,David Ogrin,41.49,717,1728
5,0,01196,Brian Claar,41.43,440,1062
6,0,01577,Lee Janzen,41.19,734,1782
7,0,02225,Howard Twitty,41.09,355,864
8,0,06581,David Sutherland,41.06,606,1476
9,0,01353,Bruce Fleisher,40.80,448,1098
10,0,01320,Bob Estes,40.74,506,1242
11,0,02294,Willie Wood,40.70,630,1548
12,0,02131,Mike Springer,40.66,483,1188
12,0,06577,John Wilson,40.66,666,1638
14,0,21007,Gabriel Hjertstedt,40.59,526,1296
15,0,01306,David Edwards,40.56,511,1260
16,0,12663,Phil Tataurangi,40.50,554,1368
17,0,01533,P.H. Horgan III,40.45,648,1602
18,0,08537,J.P. Hayes,40.41,691,1710
19,0,01475,Donnie Hammond,40.36,494,1224
20,0,01201,Lennie Clements,40.28,638,1584
21,0,01489,Steve Hart,40.26,500,1242
22,0,02242,Lanny Wadkins,40.22,514,1278
23,0,11032,Frank Lickliter II,40.20,615,1530
24,0,10860,Justin Leonard,39.99,727,1818
25,0,08265,Eric Johnson,39.89,596,1494
26,0,02010,Loren Roberts,39.77,587,1476
27,0,07547,Craig Kanada,39.71,386,972
28,0,01329,Brad Faxon,39.70,536,1350
29,0,01510,Nolan Henke,39.63,585,1476
30,0,02239,Scott Verplank,39.61,442,1116
31,0,01072,Chip Beck,39.59,506,1278
32,0,01157,Tom Byrum,39.51,697,1764
32,0,02115,Taylor Smith,39.51,576,1458
34,0,01381,Fred Funk,39.37,815,2070
35,0,10569,Mike Brisky,39.33,708,1800
36,0,06214,Guy Boros,39.31,559,1422
37,0,02095,Larry Silveira,39.27,417,1062
38,0,01941,Tom Pernice Jr.,39.22,600,1530
39,0,06617,Brian Henninger,39.18,543,1386
40,0,02007,Larry Rinker,39.17,691,1764
41,0,12387,Michael Christie,39.12,669,1710
42,0,02206,David Toms,39.08,619,1584
43,0,01096,Phil Blackmar,39.07,647,1656
44,0,01444,Ken Green,38.99,372,954
45,0,02214,Kirk Triplett,38.89,616,1584
46,0,06034,Marco Dawson,38.82,594,1530
46,0,06595,Kevin Sutherland,38.82,594,1530
48,0,02099,Scott Simpson,38.75,558,1440
49,0,01905,Joe Ozaki,38.72,460,1188
50,0,02100,Tim Simpson,38.71,439,1134
51,0,01035,Tommy Armour III,38.65,654,1692
52,0,01374,Robin Freeman,38.63,452,1170
53,0,07101,Dave Stockton Jr.,38.61,688,1782
54,0,02267,D.A. Weibring,38.53,430,1116
55,0,02135,Mike Standly,38.50,596,1548
55,0,08375,Paul Stankowski,38.50,700,1818
57,0,01378,David Frost,38.49,478,1242
58,0,08339,Spike McRoy,38.48,471,1224
59,0,06012,Greg Kraft,38.41,719,1872
60,0,01323,Brad Fabel,38.36,649,1692
61,0,06643,Paul Goydos,38.28,689,1800
62,0,02049,Gene Sauers,38.26,365,954
63,0,12826,Paul Claxton,38.22,454,1188
64,0,02146,Payne Stewart,38.19,598,1566
65,0,10837,Kevin Burton,38.14,508,1332
65,0,10963,Jimmy Green,38.14,563,1476
67,0,07749,Brett Quigley,38.09,761,1998
68,0,20158,Anthony Rodriguez,38.07,418,1098
69,0,01040,Emlyn Aubrey,37.96,492,1296
70,0,10809,Jim Furyk,37.93,669,1764
70,0,12645,Brent Geiberger,37.93,635,1674
72,0,01185,Brandel Chamblee,37.90,539,1422
72,0,06315,Pete Jordan,37.90,689,1818
74,0,06090,Jim McGovern,37.89,607,1602
75,0,07235,John Morse,37.80,626,1656
76,0,01331,Rick Fehr,37.76,469,1242
77,0,20229,Stewart Cink,37.71,672,1782
78,0,19881,Robert Damron,37.70,665,1764
79,0,01996,Mike Reid,37.59,548,1458
80,0,08385,Omar Uresti,37.57,683,1818
81,0,01823,Larry Mize,37.52,466,1242
81,0,02166,Chip Sullivan,37.52,520,1386
83,0,12782,Tim Herron,37.51,682,1818
84,0,01098,Jay Don Blake,37.48,614,1638
84,0,05466,Jack O'Keefe,37.48,506,1350
86,0,01261,Jay Delsing,37.37,565,1512
87,0,01139,Olin Browne,37.35,679,1818
87,0,01864,Larry Nelson,37.35,363,972
89,0,02292,Bob Wolcott,37.32,477,1278
90,0,01116,Michael Bradley,37.31,591,1584
91,0,01093,Ronnie Black,37.30,564,1512
92,0,20099,Doug Barron,37.27,691,1854
93,0,06332,Neal Lancaster,37.24,677,1818
94,0,01761,Len Mattiace,37.18,716,1926
95,0,01926,Steve Pate,37.15,555,1494
96,0,01385,Jim Gallagher Jr.,37.10,581,1566
97,0,08931,Glen Day,37.06,547,1476
98,0,06124,Patrick Burke,36.92,432,1170
99,0,01133,Billy Ray Brown,36.90,465,1260
100,0,06575,Dudley Hart,36.85,524,1422
101,0,10585,Scott McCarron,36.83,537,1458
102,0,01006,John Adams,36.76,536,1458
103,0,06527,Steve Stricker,36.72,390,1062
104,0,10207,Jimmy Johnston,36.67,561,1530
105,0,01723,Andrew Magee,36.66,673,1836
106,0,02279,Mark Wiebe,36.65,508,1386
107,0,01024,Billy Andrade,36.63,666,1818
108,0,06132,Sonny Skinner,36.62,468,1278
109,0,01527,Scott Hoch,36.59,573,1566
110,0,01175,Jim Carter,36.56,645,1764
111,0,20098,Stuart Appleby,36.54,513,1404
112,0,08547,John Maginnes,36.52,664,1818
113,0,01928,Corey Pavin,36.51,414,1134
114,0,10875,Todd Demsey,36.49,486,1332
115,0,01307,Joel Edwards,36.47,604,1656
116,0,07267,Allen Doyle,36.41,557,1530
117,0,01682,Wayne Levi,36.40,439,1206
118,0,01334,Keith Fergus,36.30,379,1044
118,0,01968,Nick Price,36.30,379,1044
120,0,08793,Tiger Woods,36.21,528,1458
121,0,01748,Doug Martin,36.17,664,1836
122,0,01549,Mike Hulbert,36.11,637,1764
122,0,10213,Dicky Pride,36.11,494,1368
124,0,07465,Hideki Kase,36.01,551,1530
125,0,01706,Davis Love III,35.99,583,1620
126,0,07087,Hugh Royer III,35.94,537,1494
127,0,01943,Chris Perry,35.85,684,1908
128,0,02226,Tray Tyner,35.81,477,1332
129,0,01887,Mark O'Meara,35.79,496,1386
130,0,01810,Phil Mickelson,35.75,489,1368
131,0,10505,Shane Bertsch,35.74,534,1494
132,0,02008,Lee Rinker,35.73,611,1710
133,0,02104,Jeff Sluman,35.66,629,1764
134,0,02246,Duffy Waldorf,35.64,571,1602
135,0,02223,Bob Tway,35.60,596,1674
