RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# BIRDIES,GREENS HIT
1,0,23320,Ryan Palmer,34.39,260,756
2,0,02223,Bob Tway,32.56,252,774
3,0,20766,Padraig Harrington,32.48,177,545
4,0,23718,Nathan Green,32.13,328,1021
5,0,27770,Camilo Villegas,31.86,289,907
6,0,27141,J.B. Holmes,31.57,304,963
7,0,01810,Phil Mickelson,31.42,290,923
8,0,26695,Michael Letzig,31.34,299,954
9,0,27936,Martin Laird,31.26,346,1107
10,0,12660,Jesper Parnevik,31.20,287,920
11,0,20850,Daniel Chopra,31.19,277,888
12,0,24358,Robert Garrigus,30.82,339,1100
13,0,22371,Aaron Baddeley,30.59,249,814
14,0,23497,Tag Ridings,30.50,308,1010
15,0,20104,Ken Duke,30.47,412,1352
16,0,30750,Tommy Gainey,30.46,191,627
17,0,21949,Joe Ogilvie,30.38,336,1106
18,0,24502,Adam Scott,30.30,170,561
19,0,20229,Stewart Cink,30.15,294,975
20,0,22892,Jason Gore,30.14,340,1128
21,0,29718,Anthony Kim,30.09,288,957
22,0,20433,Mark Hensby,30.07,246,818
23,0,26596,Ryan Moore,30.04,240,799
23,0,23621,Rory Sabbatini,30.04,271,902
25,0,01553,John Huston,29.98,197,657
26,0,23541,Ben Crane,29.92,304,1016
26,0,26668,Marc Turnesa,29.92,283,946
28,0,24361,Pat Perez,29.83,329,1103
29,0,01945,Kenny Perry,29.81,350,1174
30,0,25396,Kevin Na,29.80,329,1104
31,0,23135,Tim Clark,29.79,303,1017
32,0,19846,Brian Gay,29.71,320,1077
33,0,23540,Jason Allred,29.64,190,641
34,0,23048,Eric Axley,29.63,355,1198
35,0,30925,Dustin Johnson,29.59,311,1051
36,0,12510,Chad Campbell,29.58,341,1153
37,0,28475,Jeff Overton,29.56,337,1140
38,0,20098,Stuart Appleby,29.55,276,934
39,0,23325,Vaughn Taylor,29.54,358,1212
40,0,28780,Nicholas Thompson,29.46,357,1212
41,0,11032,Frank Lickliter II,29.43,362,1230
42,0,26679,Kevin Stadler,29.42,281,955
43,0,25190,Jeff Quinney,29.40,284,966
44,0,21350,Ryuji Imada,29.37,259,882
45,0,25562,Andres Romero,29.36,207,705
46,0,20663,Brenden Pappas,29.34,206,702
47,0,24925,Jonathan Byrd,29.31,282,962
48,0,01226,Fred Couples,29.26,206,704
48,0,20378,Mathias Grönberg,29.26,273,933
48,0,27060,John Mallinger,29.26,304,1039
51,0,01928,Corey Pavin,29.25,198,677
52,0,26951,Johnson Wagner,29.20,259,887
53,0,01948,Tim Petrovic,29.18,295,1011
54,0,21753,Brian Davis,29.17,369,1265
54,0,10860,Justin Leonard,29.17,332,1138
56,0,24449,Parker McLachlin,29.15,274,940
57,0,10505,Shane Bertsch,29.11,322,1106
57,0,24924,Bill Haas,29.11,338,1161
59,0,25720,Chad Collins,29.09,210,722
59,0,28158,Steve Marino,29.09,411,1413
59,0,21878,Mark Wilson,29.09,375,1289
62,0,12652,Cameron Beckman,29.01,271,934
63,0,25345,Carl Pettersson,29.00,364,1255
64,0,01941,Tom Pernice Jr.,28.99,347,1197
65,0,24490,George McNeill,28.97,345,1191
66,0,23797,Brett Rumford,28.95,218,753
67,0,27095,Nick Watney,28.94,340,1175
68,0,01313,Steve Elkington,28.92,293,1013
69,0,26300,Matt Jones,28.90,293,1014
70,0,06012,Greg Kraft,28.86,170,589
71,0,06567,Vijay Singh,28.84,276,957
72,0,25804,Bubba Watson,28.83,333,1155
73,0,27214,Kevin Streelman,28.81,376,1305
74,0,26500,Alejandro Cañizares,28.80,142,493
75,0,23409,James Driscoll,28.77,265,921
76,0,06034,Marco Dawson,28.76,176,612
