RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (INCHES),ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
1,0,25572,Graeme McDowell,37' 0",47064,106,3922.000,+5.00
2,0,01706,Davis Love III,37' 3",79058,177,6588.167,+10.00
3,0,07867,Woody Austin,37' 10",71232,157,5936.000,+21.00
4,0,25345,Carl Pettersson,38' 7",139708,302,11642.333,+20.00
4,0,27649,Brandt Snedeker,38' 7",111065,240,9255.417,+12.00
6,0,06515,Shaun Micheel,38' 10",119733,257,9977.750,+45.00
7,0,25804,Bubba Watson,39' 0",110095,235,9174.583,+7.00
8,0,10505,Shane Bertsch,39' 4",68847,146,5737.250,+7.00
9,0,09011,David Duval,39' 5",109253,231,9104.417,+50.00
10,0,06251,Chris DiMarco,39' 7",125766,265,10480.500,+49.00
11,0,20229,Stewart Cink,39' 11",91530,191,7627.500,+3.00
12,0,26476,Chez Reavie,40' 0",122881,256,10240.083,+46.00
13,0,24846,Ricky Barnes,40' 1",116452,242,9704.333,+28.00
14,0,12510,Chad Campbell,40' 2",125355,260,10446.250,+42.00
14,0,21805,Harrison Frazar,40' 2",88228,183,7352.333,+14.00
14,0,23548,Bill Lunde,40' 2",127333,264,10611.083,+35.00
14,0,22293,Heath Slocum,40' 2",95342,198,7945.167,+32.00
18,0,08537,J.P. Hayes,40' 4",77023,159,6418.583,+24.00
19,0,01116,Michael Bradley,40' 5",115894,239,9657.833,+25.00
20,0,28087,Kris Blanks,40' 6",126785,261,10565.417,+34.00
21,0,31557,Jim Herman,40' 7",114986,236,9582.167,+23.00
21,0,30925,Dustin Johnson,40' 7",101785,209,8482.083,+11.00
23,0,30692,Scott Stallings,40' 8",133675,274,11139.583,+38.00
23,0,24663,Y.E. Yang,40' 8",74198,152,6183.167,+13.00
25,0,11123,Chris Couch,40' 9",111095,227,9257.917,+5.00
25,0,12716,Charley Hoffman,40' 9",125667,257,10472.250,+20.00
25,0,06567,Vijay Singh,40' 9",132442,271,11036.833,+27.00
25,0,26679,Kevin Stadler,40' 9",117881,241,9823.417,+36.00
29,0,23788,D.J. Trahan,40' 11",156676,319,13056.333,+44.00
30,0,21209,Sergio Garcia,41' 0",83577,170,6964.750,+4.00
31,0,25274,Steven Bowditch,41' 1",165536,336,13794.667,+42.00
32,0,32698,Bobby Gates,41' 2",128021,259,10668.417,+50.00
32,0,22046,Geoff Ogilvy,41' 2",94280,191,7856.667,+20.00
32,0,22913,John Rollins,41' 2",103224,209,8602.000,+21.00
35,0,30926,Chris Kirk,41' 4",157661,318,13138.417,+43.00
35,0,21878,Mark Wilson,41' 4",105188,212,8765.667,+32.00
37,0,01766,Billy Mayfair,41' 5",126849,255,10570.750,+23.00
38,0,24358,Robert Garrigus,41' 6",147800,297,12316.667,+15.00
39,0,01313,Steve Elkington,41' 7",56378,113,4698.167,+17.00
39,0,24924,Bill Haas,41' 7",126645,254,10553.750,+15.00
39,0,23108,Matt Kuchar,41' 7",117769,236,9814.083,+14.00
39,0,27963,Chris Stroud,41' 7",151104,303,12592.000,+37.00
43,0,06621,Joe Durant,41' 8",76562,153,6380.167,+33.00
43,0,20157,Retief Goosen,41' 8",72428,145,6035.667,+7.00
43,0,26668,Marc Turnesa,41' 8",78969,158,6580.750,+22.00
46,0,24507,Jason Bohn,41' 9",98164,196,8180.333,+37.00
46,0,26289,Boo Weekley,41' 9",97144,194,8095.333,+32.00
48,0,06643,Paul Goydos,41' 10",109468,218,9122.333,+40.00
49,0,28679,Fabián Gómez,41' 11",122112,243,10176.000,+42.00
49,0,24604,Hunter Haas,41' 11",156528,311,13044.000,+27.00
49,0,27095,Nick Watney,41' 11",122842,244,10236.833,+13.00
52,0,12652,Cameron Beckman,42' 0",117946,234,9828.833,+39.00
53,0,01810,Phil Mickelson,42' 1",117208,232,9767.333,+2.00
54,0,22621,Ben Curtis,42' 2",86588,171,7215.667,+17.00
54,0,30750,Tommy Gainey,42' 2",175412,347,14617.667,+49.00
54,0,27141,J.B. Holmes,42' 2",104724,207,8727.000,E
54,0,06573,Brandt Jobe,42' 2",128612,254,10717.667,+35.00
58,0,01797,Rocco Mediate,42' 3",76569,151,6380.750,+35.00
58,0,29221,Webb Simpson,42' 3",146454,289,12204.500,+33.00
60,0,22371,Aaron Baddeley,42' 5",143140,281,11928.333,+13.00
60,0,20848,Ángel Cabrera,42' 5",80869,159,6739.083,+28.00
60,0,25686,Jason Dufner,42' 5",106367,209,8863.917,+20.00
60,0,30946,Alex Prugh,42' 5",142593,280,11882.750,+77.00
60,0,23325,Vaughn Taylor,42' 5",152561,300,12713.417,+60.00
65,0,20098,Stuart Appleby,42' 6",125413,246,10451.083,+35.00
65,0,32102,Rickie Fowler,42' 6",127531,250,10627.583,+11.00
65,0,22961,David Mathis,42' 6",109180,214,9098.333,+20.00
65,0,02206,David Toms,42' 6",82604,162,6883.667,+6.00
69,0,25900,Lucas Glover,42' 7",112526,220,9377.167,+37.00
69,0,31401,Zack Miller,42' 7",146229,286,12185.750,+51.00
71,0,23673,Michael Connell,42' 8",114149,223,9512.417,+47.00
71,0,28620,Aron Price,42' 8",69618,136,5801.500,+25.00
73,0,32366,Kevin Chappell,42' 9",113309,221,9442.417,+40.00
73,0,27936,Martin Laird,42' 9",104680,204,8723.333,+10.00
73,0,24138,Ian Poulter,42' 9",59043,115,4920.250,+1.00
76,0,24490,George McNeill,42' 10",118796,231,9899.667,+24.00
76,0,22405,Justin Rose,42' 10",113146,220,9428.833,+22.00
78,0,23621,Rory Sabbatini,42' 11",125733,244,10477.750,+18.00
79,0,20766,Padraig Harrington,43' 0",92413,179,7701.083,+5.00
80,0,19846,Brian Gay,43' 2",89546,173,7462.167,+22.00
80,0,27466,Spencer Levin,43' 2",169742,328,14145.167,+36.00
80,0,24781,Hunter Mahan,43' 2",120155,232,10012.917,+29.00
83,0,33141,Keegan Bradley,43' 3",141160,272,11763.333,+47.00
84,0,33911,Nate Smith,43' 4",96699,186,8058.250,+52.00
85,0,27214,Kevin Streelman,43' 5",116647,224,9720.583,+27.00
85,0,27064,Jhonattan Vegas,43' 5",162511,312,13542.583,+33.00
87,0,10809,Jim Furyk,43' 7",103121,197,8593.417,+30.00
87,0,21949,Joe Ogilvie,43' 7",137519,263,11459.917,+30.00
87,0,28475,Jeff Overton,43' 7",143705,275,11975.417,+37.00
90,0,24980,Scott Gutschewski,43' 8",110486,211,9207.167,+61.00
91,0,10733,Kent Jones,43' 9",117147,223,9762.250,+42.00
92,0,29518,Brendan Steele,43' 10",123723,235,10310.250,+67.00
