RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF 1 PUTTS,# OF HOLES
1,0,01418,Bill Glasson,47.62,60,126
2,0,08063,Kelly Grunewald,47.22,51,108
3,0,01200,Keith Clearwater,46.83,59,126
3,0,22051,Ben Ferguson,46.83,59,126
5,0,10963,Jimmy Green,46.58,109,234
6,0,01378,David Frost,46.53,134,288
7,0,07547,Craig Kanada,45.45,90,198
8,0,20593,Greg Chalmers,45.32,155,342
9,0,20436,Garrett Willis,44.95,89,198
10,0,01388,Robert Gamez,44.44,48,108
10,0,01928,Corey Pavin,44.44,112,252
10,0,10912,Craig Perks,44.44,64,144
10,0,11011,Mike Sposa,44.44,144,324
14,0,01941,Tom Pernice Jr.,44.14,143,324
15,0,22122,Andrew McLardy,43.89,79,180
16,0,07101,Dave Stockton Jr.,43.83,71,162
17,0,08931,Glen Day,43.70,118,270
18,0,01014,Fulton Allem,43.65,55,126
19,0,06613,Tommy Tolles,43.52,94,216
20,0,01603,Jeff Julian,43.33,39,90
20,0,02294,Willie Wood,43.33,78,180
22,0,01307,Joel Edwards,43.27,148,342
23,0,20043,Edward Fryatt,43.25,109,252
24,0,21584,Richie Coughlan,43.06,62,144
25,0,06431,Jean Van de Velde,42.86,54,126
26,0,02010,Loren Roberts,42.81,131,306
27,0,08993,Franklin Langham,42.78,77,180
28,0,10201,Matt Gogel,42.59,115,270
29,0,02002,John Riegger,42.48,130,306
30,0,22892,Jason Gore,42.42,84,198
30,0,01771,Blaine McCallister,42.42,84,198
30,0,06078,Esteban Toledo,42.42,168,396
33,0,02101,Joey Sindelar,42.22,76,180
34,0,01685,J.L. Lewis,42.17,167,396
35,0,01313,Steve Elkington,42.13,91,216
35,0,19846,Brian Gay,42.13,182,432
35,0,10425,Jay Williamson,42.13,91,216
38,0,19824,Craig Barlow,42.06,106,252
38,0,06527,Steve Stricker,42.06,106,252
40,0,19972,José Coceres,41.92,83,198
40,0,21806,Paul Gow,41.92,83,198
42,0,01457,Jay Haas,41.85,113,270
43,0,01157,Tom Byrum,41.67,120,288
43,0,12760,Danny Ellis,41.67,75,180
43,0,08057,Brian Wilson,41.67,90,216
46,0,01475,Donnie Hammond,41.41,82,198
46,0,01619,Skip Kendall,41.41,164,396
48,0,23125,Brad Elder,41.39,149,360
49,0,25083,Jeremy Anderson,41.27,52,126
49,0,01035,Tommy Armour III,41.27,104,252
49,0,19817,Michael Muehr,41.27,104,252
52,0,01577,Lee Janzen,41.18,126,306
53,0,02104,Jeff Sluman,41.16,163,396
