RANK,MOVEMENT,PLAYER_ID,PLAYER,AVERAGE BOGEYS PER ROUND,TOTAL BOGEYS,ROUNDS PLAYED
179,0,22378,Trevor Immelman,3.18,242,76
181,0,30927,Brendon Todd,3.23,239,74
182,0,28093,Miguel Angel Carballo,3.25,224,69
182,0,30852,Ryo Ishikawa,3.25,169,52
184,0,28259,Sangmoon Bae,3.29,253,77
185,0,21805,Harrison Frazar,3.30,178,54
185,0,24940,Edward Loar,3.30,188,57
187,0,19970,Robert Karlsson,3.31,172,52
188,0,27974,Sung Kang,3.36,245,73
189,0,20070,Matt Bettencourt,3.39,258,76
190,0,23542,Tommy Biershenk,3.46,249,72
191,0,22582,Kyle Thompson,3.51,172,49
