RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS,LOW TOTAL PUTTS
119,5,25804,Bubba Watson,29.14,1923,66,21
121,5,56278,Matthew Wolff,29.15,2157,74,22
122,5,29484,Peter Uihlein,29.16,1254,43,23
123,5,29479,Scott Brown,29.17,1867,64,23
123,5,34213,Grayson Murray,29.17,1050,36,23
123,5,39324,J.J. Spaun,29.17,1692,58,21
123,5,49960,Sepp Straka,29.17,2042,70,25
127,5,36689,Brooks Koepka,29.18,1167,40,25
128,5,35658,Kris Ventura,29.23,1286,44,25
129,5,27214,Kevin Streelman,29.25,2135,73,24
130,5,39953,Chase Seiffert,29.26,1580,54,24
131,5,20229,Stewart Cink,29.27,1493,51,25
131,5,27974,Sung Kang,29.27,2137,73,25
133,5,19803,Ryan Armour,29.28,1698,58,24
133,5,46435,Austin Cook,29.28,1757,60,23
133,5,25632,Jimmy Walker,29.28,1347,46,25
136,5,34563,Chesson Hadley,29.29,1699,58,25
137,5,37189,Harold Varner III,29.30,2168,74,25
138,5,27554,Scott Harrington,29.31,1993,68,22
139,5,33120,Mark Anderson,29.32,1378,47,24
139,5,36871,Matthew NeSmith,29.32,1994,68,25
141,5,21961,Charles Howell III,29.33,2024,69,25
142,4,52372,Cameron Champ,29.34,2054,70,24
142,6,21209,Sergio Garcia,29.34,1291,44,25
142,6,27095,Nick Watney,29.34,1291,44,22
145,5,34098,Russell Henley,29.35,1849,63,26
145,5,35732,Wes Roach,29.35,1174,40,21
145,5,32333,Kevin Tway,29.35,1409,48,21
148,5,49298,Kramer Hickok,29.39,1440,49,23
148,5,53165,Doc Redman,29.39,2410,82,24
150,5,33141,Keegan Bradley,29.41,2000,68,22
150,5,29974,Branden Grace,29.41,1206,41,23
152,5,48045,Michael Gellerman,29.43,1236,42,24
152,16,45486,Joaquin Niemann,29.43,2237,76,23
154,4,33449,Zack Sucher,29.44,1060,36,23
155,4,30163,Henrik Norlander,29.45,2179,74,23
155,4,46441,Robby Shelton,29.45,2091,71,24
157,4,25900,Lucas Glover,29.46,1974,67,24
158,4,24361,Pat Perez,29.47,1621,55,24
159,4,21407,Arjun Atwal,29.48,914,31,26
159,4,32662,Michael Gligic,29.48,1415,48,23
161,4,33122,Russell Knox,29.49,1858,63,26
161,4,22056,Cameron Percy,29.49,1327,45,24
161,4,23788,D.J. Trahan,29.49,1386,47,25
164,5,40042,Tyler McCumber,29.53,1565,53,23
165,5,30944,Jason Kokrak,29.56,1833,62,25
166,5,34431,Robert Streb,29.60,1480,50,24
167,5,25364,Paul Casey,29.61,1658,56,25
167,5,25686,Jason Dufner,29.61,1836,62,23
167,5,32448,James Hahn,29.61,1066,36,24
170,6,27556,Ted Potter Jr.,29.64,1304,44,23
171,6,49766,Hank Lebioda,29.65,1631,55,22
172,6,27064,Jhonattan Vegas,29.68,1484,50,24
173,6,56762,Will Gordon,29.69,950,32,26
174,6,28307,Matt Every,29.71,1337,45,25
174,6,27330,Josh Teater,29.71,1218,41,26
176,6,33490,Bo Hoag,29.73,1992,67,24
177,7,33204,Shane Lowry,29.75,1309,44,26
178,7,48119,Ben Taylor,29.76,1250,42,26
179,7,27129,Luke List,29.77,2054,69,24
179,7,30110,Kyle Stanley,29.77,1578,53,26
181,7,29908,C.T. Pan,29.82,1670,56,25
182,7,27936,Martin Laird,29.85,1164,39,25
183,8,31557,Jim Herman,29.90,1794,60,22
184,8,24924,Bill Haas,29.95,1318,44,25
185,8,34255,Joseph Bramlett,29.96,1588,53,23
186,8,52375,Doug Ghim,30.00,1200,40,26
187,8,39997,Corey Conners,30.03,2222,74,24
188,8,49964,Aaron Wise,30.04,1352,45,26
189,8,33404,Chris Baker,30.08,1474,49,25
190,8,28420,Ryan Brehm,30.12,1506,50,24
191,8,31646,Emiliano Grillo,30.23,1965,65,24
192,8,10809,Jim Furyk,30.28,1181,39,27
192,8,23623,Bo Van Pelt,30.28,1302,43,24
